Project,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max.cc.,avg.cc.,bugs,defective
ant,org.apache.tools.ant.taskdefs.MacroDef$NestedSequential,4,1,0,4,10,0,1,3,4,0.0,60,1.0,0,0.0,0.5,0,0,13.75,4,1.5,0,False
ant,org.apache.tools.ant.taskdefs.optional.jsp.JspC$WebAppParameter,3,1,0,2,4,1,2,0,3,0.5,14,1.0,0,0.0,0.6666667,0,0,3.3333333,1,0.6666667,0,False
ant,org.apache.tools.ant.taskdefs.optional.perforce.P4Change$2,2,2,0,4,11,0,1,4,1,0.0,88,0.5,1,0.875,0.625,0,0,42.0,5,2.5,0,False
ant,org.apache.tools.ant.types.resources.BCFileSet,4,5,0,5,19,6,0,5,4,2.0,57,0.0,0,0.97849464,0.625,2,4,13.25,2,1.0,0,False
ant,org.apache.tools.ant.taskdefs.optional.perforce.P4OutputHandler,1,1,0,1,1,0,0,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,False
ant,org.apache.tools.ant.util.CompositeMapper,2,2,0,3,13,1,1,2,2,2.0,48,0.0,0,0.875,0.75,0,0,23.0,5,2.5,0,False
ant,org.apache.tools.ant.taskdefs.optional.junit.JUnitTask$ForkedTestConfiguration,4,1,0,2,15,0,1,2,2,0.13333334,135,1.0,0,0.0,0.4,1,1,31.5,15,4.75,0,False
ant,org.apache.tools.ant.taskdefs.optional.junit.OutErrSummaryJUnitResultFormatter,1,2,0,1,3,0,0,1,1,2.0,7,0.0,0,1.0,1.0,0,0,6.0,0,0.0,0,False
ant,org.apache.tools.ant.taskdefs.email.EmailTask$Encoding,2,2,0,2,3,1,1,1,2,2.0,24,0.0,0,0.8888889,1.0,1,1,11.0,1,0.5,0,False
ant,org.apache.tools.ant.taskdefs.optional.depend.constantpool.Utf8CPInfo,4,2,0,5,9,0,5,1,4,0.33333334,27,1.0,0,0.6666667,0.625,1,1,5.5,1,0.75,0,False
ant,org.apache.tools.ant.taskdefs.Nice,4,3,0,3,16,2,0,3,4,0.6666667,76,1.0,0,0.925,0.5,1,1,17.5,3,1.25,0,False
ant,org.apache.tools.ant.taskdefs.Length$FileMode,3,2,0,2,4,1,1,1,2,0.5,21,0.0,0,0.8888889,1.0,1,1,5.6666665,1,0.33333334,0,False
ant,org.apache.tools.ant.taskdefs.Copy$1,2,1,0,4,4,0,1,4,1,0.5,20,0.5,1,0.0,0.625,0,0,8.0,1,0.5,0,False
ant,org.apache.tools.ant.taskdefs.Execute$WinNTCommandLauncher,2,3,0,4,7,1,1,3,1,2.0,66,0.0,0,0.75,0.6,1,1,32.0,1,0.5,0,False
ant,org.apache.tools.ant.taskdefs.optional.perforce.P4Counter$1,2,2,0,4,12,0,1,4,1,0.0,53,0.5,2,0.875,0.625,0,0,24.5,1,0.5,0,False
ant,org.apache.tools.ant.taskdefs.email.Mailer,19,1,2,9,21,145,4,5,18,0.9548611,143,1.0,3,0.0,0.23026316,0,0,5.6842103,1,0.94736844,1,True
ant,org.apache.tools.ant.taskdefs.FixCRLF,21,4,0,15,72,54,1,14,16,0.835,457,0.9,2,0.8041237,0.19444445,2,2,20.285715,3,1.0,2,True
ant,org.apache.tools.ant.types.resources.PropertyResource,10,4,0,6,32,41,1,5,9,0.8888889,134,1.0,0,0.8833333,0.4074074,1,6,12.2,3,1.3,0,False
ant,org.apache.tools.ant.types.Path$PathElement,7,1,0,9,13,0,6,4,7,0.5833333,55,0.5,1,0.0,0.35714287,0,0,6.571429,2,1.0,0,False
ant,org.apache.tools.ant.taskdefs.optional.ssh.SSHExec,9,4,0,11,54,10,1,11,7,0.8035714,345,1.0,0,0.87096775,0.3148148,1,1,36.555557,1,0.8888889,4,True
ant,org.apache.tools.ant.types.EnumeratedAttribute,9,1,59,62,22,28,61,1,8,0.75,130,0.6666667,0,0.0,0.4814815,0,0,13.111111,5,1.4444444,0,False
ant,org.apache.tools.ant.taskdefs.optional.ejb.BorlandGenerateClient,14,3,0,9,52,15,1,8,10,0.7307692,468,0.0,1,0.74,0.21428572,2,2,31.857143,2,1.0714285,0,False
ant,org.apache.tools.ant.taskdefs.optional.javacc.JJTree,22,3,0,13,80,59,0,13,17,0.97744364,678,1.0,1,0.63793105,0.47727272,1,1,28.954546,8,1.8181819,0,False
ant,org.apache.tools.ant.helper.ProjectHelperImpl$RootHandler,4,2,0,4,32,0,1,4,4,0.0,134,0.0,1,0.8235294,0.45,0,0,32.25,3,1.25,0,False
ant,org.apache.tools.ant.taskdefs.email.UUMailer,2,3,0,3,15,1,0,3,0,2.0,58,0.0,0,0.95238096,0.6666667,1,1,28.0,1,0.5,0,False
ant,org.apache.tools.ant.helper.ProjectHelperImpl$DataTypeHandler,4,3,0,7,20,0,1,7,4,0.33333334,92,1.0,2,0.85,0.40625,0,0,21.25,1,0.75,0,False
ant,org.apache.tools.ant.taskdefs.optional.XMLValidateTask,29,3,1,18,96,294,2,17,16,0.89761907,796,0.93333334,4,0.578125,0.16269842,2,2,25.931034,5,1.3793104,0,False
ant,org.apache.tools.ant.taskdefs.optional.sound.SoundTask$BuildAlert,7,1,0,2,26,3,1,2,7,0.7083333,138,0.75,1,0.0,0.31428573,0,0,18.142857,6,1.5714285,0,False
ant,org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter,15,1,4,12,53,71,5,8,5,0.97619045,390,0.33333334,2,0.0,0.22857143,0,0,24.4,18,2.3333333,3,True
ant,org.apache.tools.ant.DynamicConfigurator,0,1,0,4,0,0,2,2,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,False
ant,org.apache.tools.ant.types.resources.selectors.Not,4,1,0,5,7,4,3,2,4,0.33333334,35,1.0,1,0.0,0.5833333,0,0,7.5,2,1.0,0,False
ant,org.apache.tools.ant.taskdefs.Manifest$Section,18,1,0,7,59,55,4,3,16,0.5147059,508,1.0,0,0.0,0.23809524,1,1,27.0,4,1.3333334,0,False
ant,org.apache.tools.ant.taskdefs.PathConvert,21,3,0,12,61,144,1,12,15,0.8363636,507,1.0,3,0.66071427,0.1875,2,2,22.619047,4,1.4285715,0,False
ant,org.apache.tools.ant.taskdefs.optional.net.SetProxy$ProxyAuth,3,2,0,1,6,1,1,0,0,0.0,23,1.0,0,0.90909094,0.6666667,1,1,6.3333335,1,0.33333334,0,False
ant,org.apache.tools.ant.taskdefs.optional.perforce.P4OutputStream,4,2,0,2,12,0,1,1,3,0.22222222,68,1.0,1,0.625,0.5,1,1,15.25,1,0.75,0,False
ant,org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool,13,2,0,8,37,60,1,8,7,0.8333333,331,1.0,0,0.56,0.41666666,2,3,24.076923,4,1.3076923,0,False
ant,org.apache.tools.ant.listener.AnsiColorLogger,3,2,0,1,17,0,0,1,1,0.96875,251,1.0,0,0.8888889,0.5,1,3,77.333336,11,5.3333335,0,False
ant,org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner,39,1,0,25,150,625,8,21,24,0.87871855,1561,0.9130435,1,0.0,0.11111111,0,0,38.435898,27,2.2307692,6,True
ant,org.apache.tools.tar.TarInputStream,15,3,0,5,42,69,3,2,15,0.66964287,538,1.0,2,0.6,0.24761905,2,8,34.333332,1,0.8,1,True
ant,org.apache.tools.ant.taskdefs.optional.extension.JarLibAvailableTask,7,3,0,7,28,0,0,7,6,0.6666667,191,1.0,1,0.8604651,0.31428573,0,0,25.714285,2,1.0,0,False
ant,org.apache.tools.ant.filters.StripLineComments,8,5,0,5,26,0,1,4,5,0.5714286,172,1.0,0,0.8235294,0.375,2,5,20.125,4,1.125,0,False
ant,org.apache.tools.ant.TaskAdapter,6,3,0,7,28,9,2,6,6,0.85,261,0.25,0,0.88095236,0.375,1,1,41.833332,4,1.3333334,0,False
ant,org.apache.tools.ant.taskdefs.compilers.Javac12,2,2,0,10,22,1,1,9,2,1.25,163,0.25,0,0.9583333,1.0,0,0,78.5,1,0.5,0,False
ant,org.apache.tools.ant.taskdefs.AntStructure,8,3,0,6,36,18,1,6,4,1.0,182,0.42857143,1,0.8604651,0.2857143,0,0,20.875,1,0.75,0,False
ant,org.apache.tools.ant.taskdefs.optional.j2ee.JonasHotDeploymentTool,9,3,0,8,38,14,1,8,7,0.875,345,1.0,0,0.76666665,0.375,3,5,36.555557,3,1.2222222,0,False
ant,org.apache.tools.ant.filters.FixCrLfFilter$RemoveEofFilter,2,3,0,2,5,0,1,1,2,0.0,39,1.0,0,0.96153843,0.75,1,1,18.0,1,0.5,0,False
ant,org.apache.tools.ant.taskdefs.optional.SchemaValidate,17,4,0,3,58,108,0,3,9,0.95625,345,0.4,1,0.8,0.25490198,2,6,18.705883,4,1.5882353,0,False
ant,org.apache.tools.ant.taskdefs.Length,17,3,0,18,53,86,4,18,14,0.89204544,348,1.0,2,0.6981132,0.15508021,1,1,18.82353,8,2.235294,1,True
ant,org.apache.tools.ant.taskdefs.optional.perforce.P4Counter,5,4,0,6,17,0,1,6,5,0.55,134,0.0,0,0.92727274,0.53333336,1,1,24.8,1,0.8,0,False
ant,org.apache.tools.ant.types.Permissions$Permission,10,1,0,2,32,17,2,0,8,0.75,161,1.0,0,0.0,0.5,0,0,14.7,8,1.9,0,False
ant,org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry,7,1,0,1,11,7,1,0,7,0.33333334,105,1.0,0,0.0,0.71428573,0,0,13.571428,7,1.4285715,0,False
ant,org.apache.tools.ant.taskdefs.optional.dotnet.Ilasm$TargetTypes,2,2,0,2,3,1,1,1,2,2.0,16,0.0,0,0.8888889,1.0,1,1,7.0,1,0.5,0,False
ant,org.apache.tools.ant.taskdefs.condition.ParserSupports,8,2,0,5,19,8,0,5,7,1.0,165,0.3,0,0.5625,0.6875,0,0,18.375,2,1.0,0,False
ant,org.apache.tools.ant.taskdefs.Javac,77,4,1,29,123,2700,14,17,68,0.97795165,1021,1.0,6,0.5064935,0.20593692,1,1,11.779221,14,1.7532468,3,True
ant,org.apache.tools.ant.taskdefs.Execute$Java13CommandLauncher,2,2,1,6,16,0,2,5,2,0.0,145,1.0,0,0.6666667,0.625,0,0,71.0,1,0.5,0,False
ant,org.apache.tools.ant.types.resources.Sort$SortedBag$MutableInt,4,1,0,2,5,0,2,1,0,0.33333334,26,0.5,1,0.0,0.5,0,0,5.0,1,0.5,0,False
ant,org.apache.tools.ant.taskdefs.Replace$Replacefilter,14,1,0,3,37,21,1,3,9,0.72527474,278,0.85714287,1,0.0,0.3392857,0,0,18.357143,4,1.2857143,0,False
ant,org.apache.tools.zip.ZipFile$OffsetEntry,6,1,0,1,7,3,1,0,0,0.4,34,1.0,0,0.0,0.5,0,0,4.3333335,1,0.6666667,0,False
ant,org.apache.tools.ant.taskdefs.condition.Matches,8,2,0,6,15,6,0,6,8,0.74285716,122,1.0,1,0.5625,0.4375,0,0,13.625,2,1.125,0,False
ant,org.apache.tools.ant.taskdefs.optional.javah.SunJavah,3,1,0,12,38,3,1,11,2,1.5,182,0.0,0,0.0,0.8333333,0,0,59.333332,12,4.3333335,0,False
ant,org.apache.tools.ant.taskdefs.optional.clearcase.CCUnCheckout,5,4,0,7,27,4,0,7,4,0.9166667,109,0.33333334,0,0.9230769,0.46666667,2,3,20.2,2,1.0,0,False
ant,org.apache.tools.ant.taskdefs.optional.jlink.jlink,17,1,0,2,81,100,1,1,9,0.7125,654,0.8,0,0.0,0.27450982,0,0,37.17647,7,2.0588236,0,False
ant,org.apache.tools.ant.types.DataType,22,2,28,37,44,183,31,6,7,0.52380955,271,1.0,1,0.3,0.19886364,1,2,11.227273,3,1.3181819,0,False
ant,org.apache.tools.ant.taskdefs.optional.junit.DOMUtil,5,1,0,3,41,10,1,2,4,2.0,241,0.0,0,0.0,0.36,0,0,47.2,7,4.2,0,False
ant,org.apache.tools.ant.taskdefs.Javac$ImplementationSpecificArgument,2,4,0,2,4,1,1,2,2,1.0,13,0.0,1,0.9444444,0.6666667,0,0,5.0,1,0.5,0,False
ant,org.apache.tools.ant.taskdefs.optional.clearcase.CCMklbtype,24,4,0,7,43,222,0,7,20,0.943734,309,0.5294118,0,0.6760563,0.375,2,2,11.166667,8,1.375,0,False
ant,org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask,31,3,0,19,107,391,0,19,28,0.92280704,977,0.8947368,5,0.56060606,0.15,3,3,29.903225,3,1.1290323,0,False
ant,org.apache.tools.ant.taskdefs.optional.vss.MSVSSConstants,0,1,0,1,0,0,1,0,0,2.0,48,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,False
