Project,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max.cc.,avg.cc.,bugs,defective
forrest,org.apache.forrest.locationmap.lm.LocationMap$LocationMapServiceManager,2,2,0,3,6,1,1,2,0,2.0,11,0.0,0,0.9,0.75,0,0,4.5,1,0.5,0,False
forrest,org.apache.forrest.conf.SkinconfTransformer,3,5,0,4,24,3,0,4,3,2.0,276,0.0,0,0.9310345,0.5,1,1,91.0,1,0.6666667,0,False
forrest,org.apache.forrest.sourcetype.SourceType,4,1,0,10,25,0,1,9,4,0.5,144,1.0,0,0.0,0.5,0,0,34.5,4,1.5,0,False
forrest,org.apache.forrest.locationmap.LocationMapModule,11,2,0,17,53,37,0,17,7,0.75,522,1.0,1,0.35714287,0.36666667,0,0,45.545456,2,0.90909094,4,True
forrest,org.apache.forrest.xni.XNIConfigurableFileGenerator$1,1,4,0,3,2,0,1,3,0,2.0,9,1.0,1,1.0,1.0,0,0,7.0,0,0.0,0,False
forrest,org.apache.forrest.conf.ForrestConfModule,12,3,0,16,67,20,0,16,6,0.7818182,702,1.0,1,0.45,0.375,1,1,57.083332,4,1.1666666,0,False
forrest,org.apache.forrest.locationmap.source.impl.LocationmapSourceFactory,5,2,0,18,25,6,0,18,5,1.0,152,0.5,0,0.5555556,0.33333334,0,0,28.6,1,0.8,2,True
forrest,org.apache.forrest.conf.ForrestConfUtils,8,1,0,4,17,28,2,2,6,1.1428572,126,0.0,0,0.0,0.25,0,0,14.625,5,1.375,0,False
forrest,org.apache.forrest.locationmap.lm.LocationMap,8,2,0,17,53,2,3,16,4,0.9142857,514,0.6,3,0.41666666,0.35,0,0,62.0,2,1.0,0,False
forrest,org.apache.forrest.locationmap.lm.SelectNode,4,3,0,15,35,2,3,15,3,0.75,270,1.0,2,0.75,0.35714287,2,2,65.5,2,1.0,0,False
forrest,org.apache.forrest.locationmap.lm.ActNode,4,3,0,20,36,0,3,20,4,0.7619048,278,1.0,2,0.75,0.41666666,2,2,66.75,1,0.75,0,False
forrest,org.apache.forrest.sourceexists.SourceExistsSelector,3,2,0,10,14,0,0,10,3,0.0,104,0.0,0,0.71428573,0.46666667,0,0,33.333332,4,1.6666666,0,False
forrest,org.apache.forrest.locationmap.lm.MatchNode,3,3,0,14,34,0,3,14,3,0.6,270,1.0,2,0.8181818,0.44444445,2,2,87.333336,1,0.6666667,0,False
forrest,org.apache.forrest.sourcetype.SourceTypeAction,3,2,0,23,44,0,0,23,3,0.75,249,1.0,0,0.71428573,0.42857143,0,0,81.333336,1,0.6666667,0,False
forrest,org.apache.forrest.locationmap.lm.LocatorNode,6,3,0,15,37,1,5,14,3,0.6666667,258,1.0,2,0.64285713,0.30555555,1,1,41.5,1,0.8333333,0,False
forrest,org.apache.forrest.locationmap.lm.MountNode,5,3,0,17,36,4,2,16,3,0.75,293,1.0,1,0.6923077,0.33333334,0,0,56.6,1,0.8,0,False
