Project,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max.cc.,avg.cc.,bugs,defective
log4j,org.apache.log4j.PropertyConfigurator,18,2,0,28,78,135,14,15,9,0.9362745,714,0.25,1,0.41379312,0.2777778,1,1,38.0,10,2.5,6,True
log4j,org.apache.log4j.xml.examples.XCategory$XFactory,2,1,0,3,4,1,1,3,2,2.0,10,0.0,0,0.0,0.75,0,0,4.0,1,0.5,0,False
log4j,org.apache.log4j.config.PropertyGetter,6,1,0,3,25,11,1,2,3,0.68,154,0.6,0,0.0,0.44,0,0,23.833334,8,2.3333333,1,True
log4j,org.apache.log4j.spi.ThrowableInformation,4,1,0,2,10,0,1,1,3,0.6666667,43,1.0,1,0.0,0.6666667,0,0,9.0,2,0.75,2,True
log4j,org.apache.log4j.spi.VectorWriter,6,3,0,2,15,0,1,1,5,0.0,66,1.0,0,0.91935486,0.375,0,0,9.833333,2,1.0,0,False
log4j,org.apache.log4j.test.StressAsyncAppender,10,2,0,2,37,23,0,2,7,0.8333333,301,0.0,1,0.884058,0.2,0,0,28.1,4,1.7,0,False
log4j,org.apache.log4j.helpers.BoundedFIFO,10,1,0,3,17,0,2,1,9,0.5555556,243,0.0,1,0.0,0.46666667,0,0,22.8,5,2.1,0,False
log4j,org.apache.log4j.config.PropertySetterException,3,3,0,1,6,1,1,0,3,0.5,28,1.0,0,0.9444444,0.5555556,1,1,8.0,3,1.0,0,False
log4j,org.apache.log4j.SimpleLayout,6,2,0,6,13,13,3,3,6,0.8,54,0.0,0,0.61538464,0.44444445,0,0,7.8333335,1,0.8333333,0,False
log4j,org.apache.log4j.test.SysoutConfigurator,2,1,0,7,7,1,0,7,2,2.0,15,0.0,0,0.0,0.6666667,0,0,6.5,1,0.5,1,True
log4j,org.apache.log4j.performance.Logging,8,1,0,3,30,12,0,3,2,0.6666667,228,0.0,1,0.0,0.32142857,0,0,26.75,4,1.75,1,True
log4j,org.apache.log4j.test.ShortSocketServer,6,1,0,5,32,9,0,5,2,0.6666667,148,0.0,1,0.0,0.33333334,0,0,23.166666,2,1.0,0,False
log4j,org.apache.log4j.config.PropertySetter,10,1,0,7,49,13,1,6,6,0.6944444,386,0.5,0,0.0,0.35,0,0,37.2,11,2.9,2,True
log4j,org.apache.log4j.BasicConfigurator,14,1,1,17,36,91,6,11,10,1.0576923,161,0.0,0,0.0,0.13846155,0,0,10.214286,3,1.0,2,True
log4j,org.apache.log4j.spi.NullWriter,4,2,0,1,5,6,1,0,3,2.0,10,0.0,0,0.8125,0.5,1,1,1.5,1,0.75,0,False
log4j,org.apache.log4j.helpers.LogLog,10,1,0,34,19,0,34,1,9,0.9206349,146,0.71428573,0,0.0,0.33333334,0,0,12.9,4,1.9,0,False
log4j,org.apache.log4j.Appender,12,1,0,21,12,66,17,4,12,2.0,12,0.0,0,0.0,0.2361111,0,0,0.0,1,1.0,0,False
log4j,org.apache.log4j.net.DefaultEvaluator,2,1,0,4,4,1,1,3,1,2.0,10,0.0,0,0.0,0.75,0,0,4.0,1,0.5,0,False
log4j,org.apache.log4j.config.PropertyPrinter,10,1,0,7,42,39,1,6,6,0.64444447,328,1.0,0,0.0,0.31428573,0,0,31.3,9,2.8,0,False
log4j,org.apache.log4j.helpers.PatternParser,8,1,0,15,41,8,4,14,2,0.95604396,693,0.46153846,3,0.0,0.375,0,0,82.375,21,6.25,0,False
log4j,org.apache.log4j.helpers.FileWatchdog,5,2,0,2,17,0,1,1,2,0.60714287,120,0.2857143,0,0.93846154,0.46666667,1,1,21.6,3,1.4,0,False
log4j,org.apache.log4j.RollingFileAppenderBeanInfo,3,2,0,1,15,1,0,1,2,0.8333333,105,0.33333334,0,0.8181818,0.5,0,0,33.0,1,0.6666667,0,False
log4j,org.apache.log4j.test.Shallow,8,1,0,5,39,24,0,5,2,0.71428573,328,0.0,1,0.0,0.21428572,0,0,39.75,2,1.125,1,True
log4j,org.apache.log4j.helpers.PatternParser$NamedPatternConverter,3,2,2,5,7,1,2,3,1,0.5,53,0.0,0,0.6,0.5833333,1,1,16.333334,4,1.6666666,0,False
log4j,org.apache.log4j.spi.OptionHandler,3,1,0,7,3,3,7,0,3,2.0,3,0.0,0,0.0,0.6666667,0,0,0.0,1,1.0,1,True
log4j,org.apache.log4j.helpers.PatternParser$CategoryPatternConverter,2,3,0,4,3,1,1,4,0,1.0,14,1.0,1,0.8333333,0.6,1,1,5.5,1,0.5,0,False
log4j,org.apache.log4j.test.ConfigurationFileParsing,4,1,0,3,20,6,0,3,2,0.6666667,69,0.0,0,0.0,0.33333334,0,0,16.0,2,1.25,0,False
log4j,org.apache.log4j.test.PrintProperties,2,1,0,1,5,1,0,1,2,2.0,15,0.0,0,0.0,0.5,0,0,6.5,1,0.5,0,False
log4j,org.apache.log4j.spi.LoggingEvent,15,1,0,42,48,77,35,8,9,0.89849627,304,0.42105263,4,0.0,0.19642857,0,0,18.0,4,1.4,4,True
log4j,org.apache.log4j.HTMLLayout,16,2,0,5,41,74,0,5,13,0.9166667,853,0.375,0,0.36363637,0.24444444,1,1,51.8125,7,2.0,2,True
log4j,org.apache.log4j.helpers.OptionConverter,15,1,0,20,63,103,17,6,12,0.91071427,757,0.0,0,0.0,0.15476191,0,0,48.933334,11,3.0,3,True
log4j,org.apache.log4j.helpers.PatternParser$BasicPatternConverter,2,2,0,5,9,0,1,4,1,0.0,34,0.0,0,0.75,0.625,1,1,15.5,2,1.0,0,False
log4j,org.apache.log4j.net.test.Loop,4,1,0,7,27,4,0,7,2,0.6666667,134,0.0,0,0.0,0.33333334,0,0,32.25,3,1.5,0,False
log4j,org.apache.log4j.net.SocketAppender,22,2,0,9,51,95,3,7,18,0.8888889,414,0.13333334,1,0.4864865,0.19886364,2,3,17.136364,6,1.5454545,1,True
log4j,org.apache.log4j.helpers.PatternParser$LiteralPatternConverter,3,2,0,3,5,0,1,2,2,0.0,19,1.0,0,0.6,0.5833333,1,1,5.0,1,0.6666667,0,False
log4j,org.apache.log4j.helpers.PatternParser$DatePatternConverter,2,2,0,5,7,0,1,4,1,0.0,36,1.0,0,0.75,0.625,1,1,16.0,1,0.5,0,False
log4j,org.apache.log4j.net.SocketAppender$Connector,2,2,0,2,14,0,1,2,1,0.0,107,0.5,1,0.983871,0.75,1,1,51.5,2,1.0,0,False
log4j,org.apache.log4j.helpers.PatternParser$LocationPatternConverter,2,2,0,5,7,0,1,5,1,0.5,34,0.5,1,0.75,0.6,1,1,15.0,2,1.0,0,False
log4j,org.apache.log4j.Dispatcher,3,2,0,5,17,0,1,5,1,0.25,131,0.0,3,0.96825397,0.5555556,0,0,41.333332,6,2.6666667,0,False
log4j,org.apache.log4j.NDC$DiagnosticContext,1,1,0,1,6,0,1,0,0,2.0,28,0.0,0,0.0,1.0,0,0,25.0,0,0.0,0,False
log4j,org.apache.log4j.performance.NotLogging,8,1,0,6,31,22,0,6,2,0.94285715,324,0.0,7,0.0,0.2857143,0,0,38.25,5,2.0,1,True
log4j,org.apache.log4j.AsyncAppender,16,2,0,10,48,34,1,10,16,0.8833333,320,0.0,3,0.54545456,0.25,2,3,18.5,5,1.4375,5,True
log4j,org.apache.log4j.net.SyslogAppender,18,2,0,8,42,81,0,8,17,1.0,517,0.06451613,1,0.54545456,0.25925925,2,4,26.0,22,3.9444444,1,True
log4j,org.apache.log4j.helpers.OnlyOnceErrorHandler,6,1,0,3,9,9,1,2,6,0.8666667,44,0.0,0,0.0,0.45833334,0,0,5.8333335,2,1.1666666,0,False
