Project,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max.cc.,avg.cc.,bugs,defective
poi,org.apache.poi.hssf.record.DrawingRecord,10,2,0,7,16,15,3,4,8,0.7777778,125,0.5,0,0.57894737,0.34,1,3,11.3,3,1.2,2,True
poi,org.apache.poi.hssf.record.formula.PowerPtg,9,2,0,5,13,36,2,3,9,1.125,62,0.0,0,0.3,0.25925925,0,0,5.6666665,1,0.7777778,0,False
poi,org.apache.poi.ddf.EscherTextboxRecord,11,2,0,7,35,11,1,6,10,0.85,242,0.5,0,0.6785714,0.38,1,5,20.636364,2,0.90909094,1,True
poi,org.apache.poi.hssf.record.RecalcIdRecord,12,2,0,5,26,42,1,4,10,0.7878788,182,0.33333334,0,0.52380955,0.22619048,1,4,13.916667,2,1.1666666,1,True
poi,org.apache.poi.hssf.util.HSSFColor$BLUE,5,2,0,1,6,8,1,1,4,1.125,34,0.0,0,0.5714286,1.0,0,0,5.0,1,0.6,0,False
poi,org.apache.poi.hssf.record.RecordFactory,7,1,0,20,59,9,4,16,5,0.7222222,754,1.0,0,0.0,0.16666667,0,0,106.28571,8,2.0,13,True
poi,org.apache.poi.hssf.record.WindowTwoRecord,47,2,0,9,63,167,3,6,45,0.87173915,741,0.95,12,0.19642857,0.25177306,1,4,14.3404255,3,1.0212766,1,True
poi,org.apache.poi.util.TempFile,3,1,0,0,15,1,0,0,2,0.75,53,0.0,0,0.0,0.5,0,0,16.0,1,0.33333334,1,True
poi,org.apache.poi.hssf.record.LabelRecord,22,2,0,6,36,197,2,4,20,0.8435374,310,0.85714287,0,0.3548387,0.25,1,3,12.772727,6,1.6363636,1,True
poi,org.apache.poi.ddf.EscherDggRecord$FileIdCluster,6,1,0,5,7,0,5,0,4,0.5,36,1.0,0,0.0,0.3888889,0,0,4.6666665,1,0.8333333,0,False
poi,org.apache.poi.hssf.record.CodepageRecord,10,2,0,6,19,39,2,4,8,0.9259259,92,0.33333334,0,0.57894737,0.32,1,4,7.9,2,0.9,1,True
poi,org.apache.poi.hssf.record.TextRecord,61,2,0,8,84,610,1,7,59,0.9576923,1176,0.5,14,0.15714286,0.21545668,1,4,17.42623,2,0.9836066,1,True
poi,org.apache.poi.hssf.record.RightMarginRecord,11,2,0,7,21,35,2,5,9,0.8,107,0.5,0,0.55,0.25757575,1,4,8.545455,2,0.90909094,0,False
poi,org.apache.poi.hssf.record.formula.Ref3DPtg,22,2,1,12,52,89,4,9,22,0.7210884,417,0.85714287,2,0.26923078,0.19886364,1,2,17.636364,8,1.1818181,0,False
poi,org.apache.poi.hssf.record.formula.NamePtg,8,2,0,6,20,4,2,5,7,0.8,143,0.6,0,0.5833333,0.29166666,1,2,16.25,1,0.625,0,False
poi,org.apache.poi.util.List2d,5,1,0,0,11,0,0,0,3,0.0,86,0.0,0,0.0,0.6666667,0,0,16.0,3,1.6,0,False
poi,org.apache.poi.hpsf.VariantSupport,8,2,0,10,61,22,4,7,6,0.64285713,725,1.0,0,0.0,0.19642857,0,0,89.375,54,7.75,1,True
poi,org.apache.poi.hssf.record.NumberFormatIndexRecord,11,2,0,5,22,35,0,5,9,0.8,122,0.5,0,0.55,0.3090909,1,4,9.909091,2,0.90909094,1,True
poi,org.apache.poi.hpsf.IllegalVariantTypeException,2,5,0,3,9,1,0,3,2,2.0,33,0.0,0,1.0,0.875,0,0,15.5,0,0.0,0,False
poi,org.apache.poi.hssf.record.IterationRecord,11,2,0,6,20,35,2,4,9,0.8,112,0.5,0,0.55,0.25757575,1,4,9.0,2,1.0909091,1,True
poi,org.apache.poi.hssf.record.VCenterRecord,11,2,0,7,20,35,3,4,9,0.8,113,0.5,0,0.55,0.25757575,1,4,9.090909,2,1.0909091,1,True
poi,org.apache.poi.hpsf.Constants,1,1,0,0,2,0,0,0,1,2.0,58,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0,False
poi,org.apache.poi.hssf.record.MulBlankRecord,13,2,0,6,24,64,3,3,10,0.85,172,0.8,0,0.5,0.30769232,1,3,11.846154,2,1.0769231,4,True
poi,org.apache.poi.hssf.util.HSSFColor$AUTOMATIC,6,2,0,3,7,13,1,2,5,1.0,24,0.5,1,0.5,0.8,0,0,2.6666667,1,0.6666667,0,False
poi,org.apache.poi.hssf.record.FrameRecord,17,2,0,8,33,32,1,7,15,0.8125,243,0.5714286,2,0.42307693,0.25490198,1,4,12.882353,2,0.9411765,1,True
poi,org.apache.poi.hssf.record.WriteProtectRecord,8,2,0,5,15,28,1,4,6,1.1428572,60,0.0,0,0.64705884,0.325,1,4,6.375,2,0.875,1,True
poi,org.apache.poi.hssf.record.SeriesTextRecord,17,2,0,7,32,64,1,6,15,0.75,270,0.8,0,0.42307693,0.2184874,1,4,14.588235,2,0.9411765,1,True
poi,org.apache.poi.hssf.record.NumberRecord,24,2,0,11,39,234,6,5,22,0.7478261,365,0.8,0,0.33333334,0.19791667,1,4,14.0,7,1.8333334,1,True
poi,org.apache.poi.hssf.util.HSSFColor$DARK_TEAL,5,2,0,1,6,8,1,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,1,0.6,0,False
poi,org.apache.poi.hssf.dev.HSSF,4,1,0,9,49,0,0,9,4,0.0,463,1.0,1,0.0,0.5625,0,0,114.25,8,2.0,2,True
poi,org.apache.poi.util.BinaryTree$5$1,2,2,0,4,4,1,1,4,0,1.0,17,0.0,1,0.8,0.6666667,1,1,7.0,1,0.5,0,False
poi,org.apache.poi.hssf.record.SheetPropertiesRecord,23,2,0,8,41,0,1,7,21,0.8305785,349,0.6363636,5,0.34375,0.2173913,1,4,13.695652,2,0.95652175,1,True
poi,org.apache.poi.hpsf.Variant,4,1,1,3,16,2,3,0,3,1.2727273,798,0.036363635,0,0.0,0.5,0,0,184.75,2,1.0,0,False
poi,org.apache.poi.hssf.record.formula.NumberPtg,10,2,0,5,18,39,2,4,9,0.8518519,75,0.33333334,0,0.5,0.22857143,1,2,6.2,1,0.7,1,True
poi,org.apache.poi.ddf.EscherDggRecord$1,2,1,0,2,4,1,1,2,1,1.0,31,0.0,1,0.0,0.6666667,0,0,14.0,3,1.5,0,False
poi,org.apache.poi.hssf.util.HSSFColor$PINK,5,2,0,1,6,8,1,1,4,1.125,34,0.0,0,0.5714286,1.0,0,0,5.0,1,0.6,0,False
poi,org.apache.poi.hssf.record.formula.NameXPtg,8,2,0,4,12,22,1,4,7,0.8857143,94,0.8,0,0.5833333,0.27083334,1,2,10.125,1,0.625,0,False
poi,org.apache.poi.hssf.record.UnicodeString$UnicodeRecordStats,1,1,0,6,2,0,6,0,1,2.0,13,0.0,0,0.0,1.0,0,0,9.0,0,0.0,0,False
poi,org.apache.poi.hpsf.VariantTypeException,3,4,2,3,4,0,2,1,3,0.5,21,1.0,0,0.9,0.5,0,0,5.3333335,1,0.6666667,0,False
poi,org.apache.poi.hssf.usermodel.HSSFSheet,102,1,0,38,302,0,5,35,88,0.92574257,1843,0.4375,3,0.0,0.1355674,0,0,16.911764,18,1.7352941,19,True
poi,org.apache.poi.hssf.util.HSSFColor$DARK_YELLOW,5,2,0,1,6,8,1,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,1,0.6,0,False
poi,org.apache.poi.hssf.record.formula.ArrayPtg,14,2,2,9,40,27,3,7,13,0.7762238,594,0.90909094,0,0.36842105,0.27380952,1,2,40.642857,7,2.4285715,1,True
poi,org.apache.poi.hssf.model.AbstractShape,6,1,5,23,30,15,6,22,3,2.0,207,0.0,0,0.0,0.33333334,0,0,33.5,7,2.5,0,False
