Project,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max.cc.,avg.cc.,bugs,defective
synapse,org.apache.synapse.config.xml.endpoints.LoadbalanceEndpointFactory,4,2,0,7,19,4,1,7,1,0.6666667,78,1.0,1,0.8181818,0.44444445,1,1,18.25,5,1.5,4,True
synapse,org.apache.synapse.config.xml.endpoints.AddressEndpointFactory,5,3,0,7,18,8,1,6,2,0.75,80,1.0,1,0.8125,0.5,2,5,14.8,3,1.2,1,True
synapse,org.apache.synapse.config.xml.AbstractMediatorSerializer,8,1,18,34,36,22,18,16,0,0.7714286,181,1.0,0,0.0,0.3469388,0,0,21.0,5,1.75,0,False
synapse,org.apache.synapse.registry.RegistryEntryImpl,18,1,0,2,28,87,1,1,18,0.85294116,200,1.0,0,0.0,0.3611111,0,0,9.666667,1,0.9444444,0,False
synapse,org.apache.synapse.config.xml.RMSequenceMediatorFactory,4,2,0,10,28,2,0,10,3,0.6666667,260,1.0,0,0.6,0.6666667,0,0,62.75,19,5.0,0,False
synapse,org.apache.synapse.core.axis2.CustomWSDLLocator,7,1,0,5,11,13,2,3,7,0.76666665,68,1.0,2,0.0,0.4,0,0,8.0,3,1.0,2,True
synapse,org.apache.synapse.core.axis2.CustomURIResolver,3,1,0,5,7,1,1,4,3,0.5,40,1.0,2,0.0,0.5,0,0,11.666667,3,1.0,1,True
synapse,org.apache.synapse.config.xml.IterateMediatorFactory,4,2,0,14,30,2,0,14,3,0.6666667,161,1.0,0,0.6,0.6666667,0,0,38.0,8,2.25,0,False
synapse,org.apache.synapse.core.axis2.SOAPUtils,5,1,0,22,66,4,2,20,4,0.25,493,1.0,0,0.0,0.41666666,0,0,96.8,1,0.6,1,True
synapse,org.apache.synapse.mediators.annotations.UpdateMessage,1,1,0,1,1,0,1,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,False
synapse,org.apache.synapse.config.SynapseConfiguration,50,1,0,46,108,697,27,20,48,0.87198514,976,0.90909094,2,0.0,0.13500784,0,0,18.3,8,2.1,4,True
