Project,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max.cc.,avg.cc.,bugs,defective
velocity,org.apache.velocity.runtime.parser.node.ASTLTNode,5,2,0,11,18,10,4,9,5,2.0,130,0.0,0,0.90909094,0.4,1,1,25.0,1,0.6,1,True
velocity,org.apache.velocity.runtime.ParserPoolImpl,4,1,0,6,18,0,0,6,4,0.33333334,74,0.0,1,0.0,0.5,0,0,17.0,3,1.25,0,False
velocity,org.apache.velocity.runtime.log.LogManager,5,1,0,10,39,10,1,9,2,0.75,344,0.0,0,0.0,0.3,0,0,67.6,4,1.4,2,True
velocity,org.apache.velocity.runtime.parser.node.ASTNotNode,5,2,0,9,10,10,5,6,5,2.0,39,0.0,0,0.90909094,0.4,1,2,6.8,1,0.6,0,False
velocity,org.apache.velocity.runtime.parser.node.Node,25,1,0,54,25,300,47,7,25,2.0,25,0.0,0,0.0,0.24,0,0,0.0,1,1.0,1,True
velocity,org.apache.velocity.util.introspection.UberspectImpl$VelGetterImpl,5,1,0,3,10,0,1,2,4,0.25,36,0.0,1,0.0,0.46666667,0,0,6.0,2,0.8,0,False
velocity,org.apache.velocity.runtime.parser.node.ASTMathNode,7,2,5,16,23,9,5,11,6,0.5,163,1.0,0,0.85714287,0.3877551,1,1,22.142857,1,0.71428573,0,False
velocity,org.apache.velocity.runtime.resource.ResourceManagerImpl,10,1,0,15,81,9,0,15,5,0.74747473,659,0.72727275,3,0.0,0.44,0,0,63.8,3,1.2,2,True
velocity,org.apache.velocity.runtime.directive.Define,9,2,0,9,26,24,1,9,5,0.85,119,1.0,2,0.5294118,0.2962963,0,0,11.666667,2,1.0,1,True
velocity,org.apache.velocity.runtime.Renderable,1,1,0,6,1,0,2,4,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,False
velocity,org.apache.velocity.runtime.RuntimeConstants,0,1,0,5,0,0,5,0,0,2.0,60,0.0,0,0.0,0.0,0,0,0.0,0,0.0,5,True
velocity,org.apache.velocity.runtime.parser.node.ASTObjectArray,4,2,0,8,12,6,4,6,4,2.0,43,0.0,0,0.9375,0.41666666,1,1,9.75,1,0.5,0,False
velocity,org.apache.velocity.runtime.parser.node.SetPropertyExecutor,4,2,0,7,24,0,1,6,2,0.33333334,126,1.0,1,0.5714286,0.5416667,0,0,30.25,2,1.0,0,False
velocity,org.apache.velocity.runtime.log.SystemLogChute,12,1,0,3,19,42,1,2,9,0.8181818,159,0.5,0,0.0,0.3611111,0,0,11.916667,5,1.6666666,2,True
velocity,org.apache.velocity.runtime.parser.node.PropertyExecutor,5,2,1,9,24,4,2,7,3,0.25,124,1.0,1,0.5714286,0.45714286,0,0,23.6,2,0.8,0,False
velocity,org.apache.velocity.runtime.resource.util.StringResourceRepository,6,1,0,3,6,15,2,1,6,2.0,6,0.0,0,0.0,0.9166667,0,0,0.0,1,1.0,0,False
velocity,org.apache.velocity.runtime.directive.MacroParseException,6,4,0,6,14,0,2,4,5,0.9,239,1.0,0,0.75,0.375,1,3,38.5,10,3.0,1,True
velocity,org.apache.velocity.runtime.directive.Foreach,6,2,0,18,48,13,0,18,5,0.8,325,1.0,1,0.64285713,0.35714287,0,0,52.0,1,0.8333333,3,True
velocity,org.apache.velocity.runtime.parser.JJTParserState,12,1,0,2,25,0,1,1,12,0.43636364,253,1.0,0,0.0,0.39583334,0,0,19.666666,3,1.3333334,0,False
velocity,org.apache.velocity.context.AbstractContext,13,2,1,5,18,58,1,4,13,0.6666667,103,1.0,1,0.6333333,0.46153846,0,0,6.8461537,4,1.4615384,0,False
velocity,org.apache.velocity.runtime.parser.node.ASTBlock,4,2,0,10,10,6,4,8,4,2.0,37,0.0,0,0.9375,0.39285713,1,1,8.25,1,0.5,0,False
velocity,org.apache.velocity.runtime.parser.node.ASTEscapedDirective,4,2,0,7,10,6,4,5,4,2.0,28,0.0,0,0.9375,0.39285713,0,0,6.0,1,0.5,1,True
velocity,org.apache.velocity.runtime.parser.node.ASTFalse,6,2,0,6,9,13,4,4,5,0.8,28,1.0,0,0.90909094,0.4,0,0,3.5,1,0.5,0,False
velocity,org.apache.velocity.runtime.parser.node.ASTVariable,3,2,0,3,6,3,0,3,3,2.0,17,0.0,0,0.9677419,0.53333336,0,0,4.6666665,1,0.33333334,0,False
velocity,org.apache.velocity.util.introspection.IntrospectorBase,3,1,1,6,9,1,1,5,1,0.5,52,1.0,2,0.0,0.46666667,0,0,15.666667,1,0.6666667,0,False
velocity,org.apache.velocity.Template,5,2,0,27,35,0,13,15,5,0.25,319,1.0,1,0.8181818,0.5,1,1,62.6,1,0.8,5,True
velocity,org.apache.velocity.util.introspection.MethodMap,9,1,0,3,29,30,1,2,4,1.0,465,0.75,0,0.0,0.2361111,0,0,50.22222,17,5.111111,1,True
velocity,org.apache.velocity.runtime.VelocimacroManager$1,0,1,0,2,0,0,2,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,False
velocity,org.apache.velocity.runtime.VelocimacroFactory$Twonk,2,1,0,3,3,1,1,2,0,2.0,10,0.0,1,0.0,0.75,0,0,3.0,0,0.0,0,False
velocity,org.apache.velocity.runtime.parser.node.ASTAssignment,3,2,0,5,6,3,4,3,3,2.0,17,0.0,0,0.9677419,0.53333336,0,0,4.6666665,1,0.33333334,0,False
velocity,org.apache.velocity.runtime.parser.node.ASTGTNode,5,2,0,11,18,10,4,9,5,2.0,130,0.0,0,0.90909094,0.4,1,1,25.0,1,0.6,1,True
velocity,org.apache.velocity.runtime.directive.Break$BreakException,1,4,0,2,2,0,2,0,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,0,False
