relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity,type
core/src/main/java/org/apache/calcite/DataContext.java,0.0,0,5.127374966732679,3.3219280948873595,4,0.0,0,1.0,1,1,0,4,4,4,4,0,4,1,28,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,5,1,1,0,0,0,0,0.0,NON
core/src/main/java/org/apache/calcite/materialize/Lattice.java,3.93333333333333,22,6.96748418769323,7.00411134708594,5,5.07893252126424,59,17.0,15,15,7,8,15,15,15,6,9,32,654,467,0,0,0,0,0,0,15,0,0,0,0,0,0,0.0,0.0,0,0,0,36,10,3,82,0,82,0,0.0,NON
core/src/main/java/org/apache/calcite/sql/fun/SqlBetweenOperator.java,1.5,3,5.77834055824892,6.33387339951157,5,0.707106781186548,12,11.5,19,9,0,8,8,63,8,1,7,13,126,69,3,0,3,6,6,0,3,55,5,3,0,0,1,0.4819444444444439,0.238095238095238,0,0,0,32,3,2,81,16,65,0,0.0,NON
cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraSchema.java,3.85714285714286,8,4.4504957280205,6.733074263663808,1,2.0995626366713,27,21.1428571428571,5,5,0,7,7,19,7,3,4,12,155,122,1,0,1,1,1,0,6,12,1,1,0,0,1,0.501831501831502,0.0526315789473684,0,0,0,25,4,3,60,2,58,1,0.0064516129032258,NON
druid/src/main/java/org/apache/calcite/adapter/druid/DruidConnectionImpl.java,6.076923076923079,26,6.1209680999110105,6.49323514132241,3,7.37419136074269,79,26.92307692307689,5,5,0,13,13,13,13,8,5,44,457,275,0,0,0,0,0,0,13,0,0,0,0,0,0,0.0,0.0,0,0,0,13,5,4,66,0,66,1,0.0021881838074398,NON
druid/src/main/java/org/apache/calcite/adapter/druid/DruidDateTimeUtils.java,9.214285714285714,34,4.99084370992035,6.55180763784379,1,9.57808936679792,129,25.4285714285714,1,1,13,1,14,14,14,11,3,25,360,205,0,0,0,0,0,0,14,0,0,0,0,0,0,0.0,0.0,0,0,0,9,1,1,30,0,30,1,0.0027777777777777,NON
druid/src/main/java/org/apache/calcite/adapter/druid/DruidQuery.java,4.09090909090909,29,6.916573882680369,7.37007070227551,19,6.04710617675493,135,16.272727272727302,15,7,10,23,33,70,33,10,23,59,872,613,1,0,1,7,7,0,26,37,7,1,0,0,1,0.4992384159050829,0.1,1,1,0,52,6,6,118,11,107,1,0.0011467889908256,NON
core/src/main/java/org/apache/calcite/sql/fun/SqlExtractFunction.java,1.25,2,3.4182958340544904,4.94909721332798,3,0.4330127018922189,5,7.0,13,0,0,4,4,65,4,0,4,6,30,16,2,0,2,4,4,0,1,61,3,2,0,0,1,0.460069444444444,0.0923076923076923,0,0,0,12,0,0,27,8,19,0,0.0,NON
druid/src/main/java/org/apache/calcite/adapter/druid/DruidRules.java,4.0,7,6.92869056950994,4.734326540245268,1,3.0,8,13.5,10,10,1,1,2,2,2,2,0,3,368,255,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,21,10,10,13,0,13,0,0.0,IL
druid/src/main/java/org/apache/calcite/adapter/druid/DruidSchema.java,1.5,2,3.0516016368717005,4.9393790297773394,1,0.5,3,12.5,3,3,0,2,2,14,2,1,1,3,30,18,1,0,1,1,1,0,1,12,1,1,0,0,1,0.442307692307692,0.0714285714285714,0,0,0,2,2,1,5,0,5,1,0.0333333333333333,NON
druid/src/main/java/org/apache/calcite/adapter/druid/DruidSchemaFactory.java,3.0,3,3.12192809488736,3.65228012752312,0,0.0,3,12.0,1,1,0,1,1,1,1,0,1,3,15,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,3,1,1,4,0,4,0,0.0,NON
druid/src/main/java/org/apache/calcite/adapter/druid/DruidTable.java,1.5,3,5.2274509009546914,5.7935736167880085,3,0.8660254037844392,6,10.5,8,8,1,3,4,7,4,0,4,16,66,43,1,0,1,0,0,0,4,3,0,1,0,0,1,0.133333333333333,0.0,0,0,0,16,7,5,19,0,19,1,0.0151515151515151,NON
druid/src/main/java/org/apache/calcite/adapter/druid/DruidTableFactory.java,6.5,12,3.37355726227519,5.39187577185664,1,5.5,13,29.5,1,1,0,2,2,2,2,1,1,4,63,47,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,8,1,1,14,0,14,1,0.0158730158730158,NON
druid/src/main/java/org/apache/calcite/adapter/druid/QueryType.java,1.0,1,3.02698683335929,1.75,4,0.0,4,1.5,5,5,0,4,4,4,4,1,3,2,13,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,2,0,0,0,0,0.0,NON
core/src/main/java/org/apache/calcite/model/ModelHandler.java,3.04545454545455,10,5.4350198294245,6.93667009935756,4,2.34476734118708,67,15.4090909090909,5,5,3,19,22,22,22,9,13,35,355,220,0,0,0,0,0,0,22,0,0,0,0,0,0,0.0,0.0,0,0,0,42,4,4,117,0,117,0,0.0,NON
piglet/src/main/java/org/apache/calcite/piglet/Handler.java,4.66666666666667,21,5.00002871259376,6.74153757310866,5,5.57773351022717,84,17.5,2,2,1,17,18,18,18,16,2,23,320,224,0,1,0,0,0,0,18,0,0,0,1,1,0,0.0,0.0,1,0,1,43,2,2,78,0,78,0,0.0,NON
core/src/main/java/org/apache/calcite/plan/AbstractRelOptPlanner.java,1.47368421052632,5,6.21162459544034,6.53904569434999,28,0.9385555000066852,56,5.86842105263158,10,10,0,38,38,38,38,11,27,36,235,131,0,2,0,23,0,23,38,0,0,0,3,4,0,0.0,0.0,2,0,2,28,7,5,40,0,40,0,0.0,IL
core/src/main/java/org/apache/calcite/sql/fun/SqlInOperator.java,2.3333333333333304,5,3.89240711859288,5.96464628273952,2,1.37436854187255,14,14.833333333333302,10,1,1,5,6,59,6,1,5,8,92,47,2,0,2,5,5,0,3,53,3,2,0,0,1,0.5178571428571429,0.101694915254237,0,0,0,21,0,0,30,9,21,0,0.0,NON
core/src/main/java/org/apache/calcite/sql/fun/SqlItemOperator.java,2.125,5,4.527169118440621,5.856273029904092,5,1.69096865730859,17,9.75,10,1,0,8,8,61,8,1,7,11,85,39,2,0,2,6,6,0,2,53,6,2,0,0,1,0.5153797865662271,0.19672131147541,0,0,0,18,0,0,55,11,44,0,0.0,NON
