relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity,type
gora-accumulo/src/main/java/org/apache/gora/accumulo/encoders/BinaryEncoder.java,1.52173913043478,2,4.59352683900642,4.9867771324083705,11,0.499527186655481,35,6.21739130434783,0,0,0,23,23,23,23,0,23,44,147,97,0,1,0,0,0,0,23,0,0,0,1,1,0,0.0,0.0,10,0,10,2,0,0,18,0,18,0,0.0,NON
gora-accumulo/src/main/java/org/apache/gora/accumulo/encoders/Encoder.java,0.0,0,4.55885229775593,4.51015704150841,23,0.0,0,1.0,0,0,0,23,23,23,23,0,23,32,25,24,0,0,0,0,0,0,23,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,NON
gora-accumulo/src/main/java/org/apache/gora/accumulo/encoders/HexEncoder.java,1.32142857142857,3,4.43597567974924,4.84677954950811,21,0.600807280045026,37,4.357142857142859,1,1,0,28,28,28,28,5,23,38,148,97,0,0,0,0,0,0,28,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,6,0,6,0,0.0,NON
gora-accumulo/src/main/java/org/apache/gora/accumulo/encoders/SignedBinaryEncoder.java,1.4,2,3.89491413368667,3.64589064961761,6,0.489897948556636,14,5.9,0,0,0,10,10,33,10,0,10,15,61,46,1,0,1,0,0,0,10,23,0,1,0,0,1,0.1515151515151519,0.0,10,10,0,0,0,0,35,35,0,0,0.0,NON
gora-accumulo/src/main/java/org/apache/gora/accumulo/encoders/Utils.java,3.0,4,3.37878349348618,4.1603908753556205,1,1.22474487139159,12,12.0,0,0,4,0,4,4,4,2,2,7,50,40,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,NON
gora-accumulo/src/main/java/org/apache/gora/accumulo/query/AccumuloQuery.java,1.0,1,2.6031579868726,2.23592635062903,2,0.0,2,3.0,11,0,0,2,2,31,2,0,2,1,8,5,1,0,1,0,0,0,2,29,0,1,0,0,1,0.111111111111111,0.0,0,0,0,1,0,0,4,4,0,0,0.0,NON
gora-accumulo/src/main/java/org/apache/gora/accumulo/query/AccumuloResult.java,1.2,2,3.99199848441298,4.751738068377549,4,0.4,6,4.2,7,1,0,5,5,17,5,1,4,3,27,18,1,0,1,1,1,0,4,12,1,1,0,0,1,0.158974358974359,0.0588235294117647,0,0,0,3,1,1,8,5,3,0,0.0,NON
gora-accumulo/src/main/java/org/apache/gora/accumulo/store/AccumuloMapping.java,0.0,0,2.88954943086209,0.0,0,0.0,0,0.0,5,5,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,2,0,0,0,0,0.0,NON
gora-accumulo/src/main/java/org/apache/gora/accumulo/store/AccumuloStore.java,5.63333333333333,17,5.5955378489094985,7.51139777403213,7,4.70094553136801,169,19.4,21,11,6,24,30,50,30,6,24,67,610,468,1,0,1,0,0,0,30,20,0,1,0,0,1,0.161290322580645,0.0,3,3,0,17,10,5,59,15,44,0,0.0,NON
gora-accumulo/src/main/java/org/apache/gora/accumulo/util/FixedByteArrayOutputStream.java,1.0,1,3.25,3.1216535224393303,3,0.0,3,3.3333333333333304,2,2,0,3,3,3,3,0,3,5,15,10,1,0,1,0,0,0,3,0,0,1,0,0,1,0.125,0.0,0,0,0,0,0,0,0,0,0,0,0.0,NON
gora-core/src/main/java/org/apache/gora/avro/PersistentDatumReader.java,3.21428571428571,9,4.66934358799437,6.1176726589678,5,2.73021640765948,45,11.0714285714286,4,4,0,14,14,14,14,7,7,27,177,121,1,0,1,0,0,0,14,0,0,1,0,0,1,0.155555555555556,0.0,0,0,0,8,3,3,10,0,10,0,0.0,NON
gora-cassandra/src/main/java/org/apache/gora/cassandra/query/CassandraColumn.java,0.75,1,3.89366068968818,3.51755942959634,8,0.4330127018922189,6,2.5,5,5,0,8,8,8,8,1,7,3,27,20,0,1,0,3,0,3,8,0,0,0,2,2,0,0.0,0.0,1,0,1,0,2,2,0,0,0,0,0.0,NON
gora-cassandra/src/main/java/org/apache/gora/cassandra/query/CassandraQuery.java,1.14285714285714,2,3.82705978176771,4.20860650748882,6,0.349927106111883,8,3.71428571428571,13,2,0,7,7,36,7,0,7,4,30,23,1,0,1,0,0,0,7,29,0,1,0,0,1,0.145833333333333,0.0,0,0,0,1,1,1,4,4,0,0,0.0,NON
gora-cassandra/src/main/java/org/apache/gora/cassandra/query/CassandraResult.java,1.28571428571429,2,4.55350885479768,5.32269309567238,5,0.4517539514526261,9,5.28571428571429,10,4,0,7,7,19,7,2,5,4,47,34,1,0,1,1,1,0,6,12,1,1,0,0,1,0.1684981684981679,0.0526315789473684,0,0,0,6,3,3,9,3,6,0,0.0,NON
gora-cassandra/src/main/java/org/apache/gora/cassandra/query/CassandraResultSet.java,1.5,2,3.3841837197791897,3.53421902118034,1,0.5,3,5.5,2,2,0,2,2,2,2,0,2,3,15,11,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,1,1,1,0,0,0,0,0.0,NON
gora-cassandra/src/main/java/org/apache/gora/cassandra/query/CassandraRow.java,1.0,1,2.8453509366224403,1.75,2,0.0,2,3.0,2,2,0,2,2,2,2,0,2,1,10,7,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,1,1,0,0,0,0,0.0,NON
gora-cassandra/src/main/java/org/apache/gora/cassandra/query/CassandraSubColumn.java,3.25,9,4.1358911107999,5.374233875964558,2,3.34477204006491,13,14.0,9,4,1,3,4,10,4,0,4,3,62,45,1,0,1,2,2,0,2,6,2,1,0,0,1,0.1944444444444439,0.2,0,0,0,0,4,4,1,1,0,0,0.0,NON
gora-cassandra/src/main/java/org/apache/gora/cassandra/query/CassandraSuperColumn.java,4.33333333333333,11,3.29345505252806,5.50509763164919,2,4.7140452079103214,13,22.0,7,2,0,3,3,10,3,0,3,4,70,52,1,0,1,1,1,0,2,7,1,1,0,0,1,0.152777777777778,0.1,1,1,0,3,2,2,10,3,7,0,0.0,NON
gora-cassandra/src/main/java/org/apache/gora/cassandra/store/CassandraClient.java,2.18181818181818,4,4.87440315895138,5.909563120348199,4,1.02851895445316,24,11.272727272727304,6,6,1,10,11,11,11,1,10,15,133,109,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0,5,6,6,35,0,35,0,0.0,NON
gora-cassandra/src/main/java/org/apache/gora/cassandra/store/CassandraMapping.java,1.625,5,4.10305590733327,5.87343834810262,6,1.31695671910659,13,8.125,17,17,0,8,8,8,8,0,8,3,85,73,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,0,17,4,0,0,0,0,0.0,NON
