relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity,type
connectors/filenet/build-stub/src/main/java/com/filenet/api/admin/DocumentClassDefinition.java,0.0,0,1.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,NON
framework/pull-agent/src/main/java/org/apache/manifoldcf/crawler/jobs/JobManager.java,6.191176470588241,61,7.33453014860148,7.33138204549049,59,8.56078156296831,842,41.25,14,14,5,131,136,136,136,27,109,373,5994,3423,0,0,0,0,0,0,136,0,0,0,0,0,0,0.0,0.0,0,0,0,49,8,7,1908,0,1908,0,0.0,NON
framework/pull-agent/src/main/java/org/apache/manifoldcf/crawler/jobs/JobQueue.java,2.96,19,6.26060642221315,6.33622905982949,28,3.96464374187644,148,20.36,41,38,7,43,50,92,50,6,44,87,1131,734,1,0,1,0,0,0,50,42,0,1,0,0,1,0.163398692810458,0.0,0,0,0,18,19,4,794,451,343,1,0.0008841732979664,NON
framework/pull-agent/src/main/java/org/apache/manifoldcf/crawler/jobs/Jobs.java,5.07575757575758,39,6.64445798834234,6.799396998813468,28,6.86958735927312,335,29.6212121212121,81,78,13,53,66,108,66,5,61,109,2179,1347,1,0,1,0,0,0,66,42,0,1,0,0,1,0.164179104477612,0.0,0,0,0,30,28,4,1407,771,636,0,0.0,NON
connectors/documentum/registry/src/main/java/org/apache/manifoldcf/crawler/registry/DCTM/DCTM.java,2.5,4,2.23592635062903,4.453188816197031,1,1.5,5,11.5,1,1,1,1,2,2,2,1,1,3,27,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,2,1,1,1,0,1,0,0.0,NON
connectors/filenet/server/src/main/java/org/apache/manifoldcf/crawler/server/filenet/Filenet.java,3.0,5,2.23592635062903,3.9696073391174,1,2.0,6,14.5,1,1,1,1,2,2,2,1,1,4,33,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1,1,1,0,1,0,0.0,NON
framework/pull-agent/src/main/java/org/apache/manifoldcf/crawler/system/ManifoldCF.java,8.47457627118644,80,6.985680513879879,7.8295854976594015,19,14.7134850314127,500,47.3898305084746,150,108,59,0,59,123,59,21,38,164,2990,1851,2,0,2,4,4,0,55,64,4,2,0,0,1,0.321195144724557,0.0650406504065041,3,3,0,81,97,24,1631,160,1471,1,0.0003344481605351,NON
connectors/livelink/build-stub/src/main/java/com/opentext/api/LAPI_DOCUMENTS.java,1.0,1,4.77546283058868,4.2317785865579305,10,0.0,10,3.9,11,11,0,10,10,10,10,0,10,26,53,31,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.0,NON
connectors/livelink/build-stub/src/main/java/com/opentext/api/LAPI_USERS.java,1.0,1,3.66353275480425,3.3082708345352594,4,0.0,4,3.75,3,3,0,4,4,4,4,0,4,8,21,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.0,NON
framework/pull-agent/src/main/java/org/apache/manifoldcf/crawler/system/WorkerThread.java,12.8,98,7.086849567102469,6.959123790526579,3,28.4914022118954,128,75.3,6,6,8,2,10,10,10,8,2,71,1535,949,1,0,1,0,0,0,10,0,0,1,0,0,1,0.1515151515151519,0.0,0,0,0,33,5,4,191,0,191,0,0.0,NON
