relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity,type
parquet-hadoop/src/main/java/parquet/hadoop/util/BenchmarkCounter.java,1.8,2,4.07257388361143,4.48161203706191,1,0.4,9,5.4,10,10,5,0,5,5,5,1,4,8,39,28,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,1,10,2,17,0,17,0,0.0,NON
parquet-hadoop/src/main/java/parquet/hadoop/util/ContextUtil.java,2.85714285714286,4,5.6459900207346605,4.7862955113365,2,1.24539969815448,20,8.85714285714286,23,23,7,0,7,7,7,1,6,29,195,111,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0,0,0,0,21,5,0,0,0,0,0.0,NON
parquet-hive/src/main/java/parquet/hive/convert/ArrayWritableGroupConverter.java,2.0,3,4.04868811320341,4.26276751421231,2,0.8164965809277259,12,7.16666666666667,6,6,0,6,6,10,6,2,4,8,56,37,3,0,3,5,5,0,1,4,5,3,0,0,1,0.310185185185185,1.5,0,0,0,3,4,3,26,15,11,0,0.0,NON
parquet-avro/src/main/java/parquet/avro/AvroSchemaConverter.java,3.77777777777778,14,4.15747771093635,5.23277018379641,4,4.021546904634191,34,11.555555555555598,0,0,1,8,9,9,9,7,2,19,105,78,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0,0,0,8,0,0,53,0,53,0,0.0,NON
parquet-avro/src/main/java/parquet/avro/AvroWriteSupport.java,2.84615384615385,14,4.89668715533915,6.159155142801992,6,3.41593897094993,37,10.7692307692308,3,3,1,12,13,14,13,7,6,26,149,124,1,0,1,2,2,0,11,1,2,1,0,0,1,0.375,0.142857142857143,1,1,0,8,3,3,130,0,130,0,0.0,NON
parquet-hive/src/main/java/parquet/hive/serde/ArrayWritableObjectInspector.java,2.875,13,5.268641082270361,5.745202425191518,4,3.85478598627732,23,9.25,5,5,0,8,8,8,8,1,7,6,213,140,1,0,1,0,0,0,8,0,0,1,0,0,1,0.148148148148148,0.0,0,0,0,6,5,3,13,0,13,0,0.0,NON
parquet-hive/src/main/java/parquet/hive/serde/ParquetHiveMapInspector.java,1.625,4,3.81038202821275,4.43845589115755,6,1.11102430216445,13,6.125,2,2,0,8,8,8,8,0,8,6,60,41,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1,0,0,0,0,0.0,NON
parquet-cascading/src/main/java/parquet/cascading/ParquetTBaseScheme.java,1.0,1,3.9677201004745,4.39938066391345,4,0.0,4,3.75,1,0,0,4,4,5,4,0,4,8,23,11,2,0,2,0,0,0,4,1,0,2,0,0,1,0.177777777777778,0.0,0,0,0,4,0,0,3,0,3,0,0.0,NON
parquet-cascading/src/main/java/parquet/cascading/TupleReadSupport.java,1.75,3,4.2541956501507805,4.82777231685925,2,0.82915619758885,7,7.75,2,1,2,2,4,5,4,2,2,10,36,22,1,0,1,2,2,0,2,1,2,1,0,0,1,0.333333333333333,0.4,0,0,0,5,1,1,11,0,11,0,0.0,NON
parquet-cascading/src/main/java/parquet/cascading/convert/TupleConverter.java,1.33333333333333,2,4.438416957044719,4.246115365169271,4,0.471404520791032,8,4.33333333333333,2,2,0,6,6,9,6,1,5,4,64,40,2,0,2,3,3,0,3,3,3,2,0,0,1,0.333333333333333,0.666666666666667,0,0,0,3,2,2,7,0,7,0,0.0,NON
