className,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity,type
org.apache.lucene.search.FuzzyQuery,10,3,0,13,42,7,1,12,9,0.638888889,280,0.5,0,0.72,0.285714286,3,4,26.6,6,1.4,1,0.0035714285714285,NON
org.apache.lucene.index.MultiLevelSkipListReader,10,1,1,4,21,0,1,3,1,0.6190476189999999,477,1.0,1,0.0,0.5,0,0,45.3,2,1.0,1,0.0020964360587002,NON
org.apache.lucene.store.RAMDirectory,17,2,0,11,42,0,2,10,15,0.5625,393,0.333333333,0,0.5862068970000001,0.352941176,1,5,21.94117647,2,0.8824,1,0.005089058524173,NON
org.apache.lucene.index.TermPositions,4,1,0,23,4,6,22,1,4,2.0,4,0.0,0,0.0,0.5,0,0,0.0,1,1.0,1,0.25,IL
org.apache.lucene.search.function.DocValues,14,1,6,16,19,79,15,1,11,0.7230769229999999,133,1.0,0,0.0,0.7857142859999999,0,0,8.142857142999999,3,1.0,1,0.0075187969924812,NON
org.apache.lucene.analysis.standard.CharStream,12,1,0,3,12,66,3,0,12,2.0,12,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,0,0.0,NON
org.apache.lucene.search.FieldCacheImpl,14,1,0,22,29,67,9,22,12,0.897435897,199,0.333333333,12,0.0,0.403846154,0,0,12.35714286,1,0.8571,1,0.0201005025125628,NON
org.apache.lucene.document.LoadFirstFieldSelector,2,1,0,2,3,1,0,2,2,2.0,7,0.0,0,0.0,0.75,0,0,2.5,1,0.5,0,0.0,NON
org.apache.lucene.index.SegmentInfo,18,1,0,12,44,0,8,4,4,0.678733032,981,0.461538462,1,0.0,0.243055556,0,0,52.77777778,4,1.3333,1,0.0030581039755351,NON
org.apache.lucene.store.BufferedIndexInput,15,2,2,4,30,21,3,1,9,0.705357143,438,0.625,0,0.538461538,0.3285714289999999,1,4,27.66666667,7,1.2667,1,0.0068493150684931,NON
org.apache.lucene.index.TermInfosWriter,6,1,0,9,29,0,2,7,0,0.45,395,0.666666667,5,0.0,0.479166667,0,0,62.83333333,1,0.6667,1,0.0075949367088607,NON
org.apache.lucene.index.DefaultSkipListReader,8,2,0,3,15,0,1,2,0,0.571428571,158,1.0,0,0.5625,0.425,1,3,17.875,1,0.875,0,0.0,NON
org.apache.lucene.search.Searchable,11,1,0,18,11,55,6,12,11,2.0,11,0.0,0,0.0,0.263636364,0,0,0.0,1,1.0,1,0.1818181818181818,NON
org.apache.lucene.search.MultiPhraseQuery,17,2,0,12,55,12,3,10,13,0.625,407,1.0,0,0.428571429,0.158823529,2,4,22.70588235,7,2.0588,1,0.0049140049140049,NON
org.apache.lucene.store.IndexOutput,15,1,2,19,18,105,19,0,15,2.0,196,0.0,0,0.0,0.311111111,0,0,12.06666667,1,0.9333,1,0.010204081632653,NON
org.apache.lucene.analysis.WordlistLoader,4,1,0,2,17,6,2,0,4,2.0,147,0.0,0,0.0,0.333333333,0,0,35.75,1,0.75,0,0.0,IL
org.apache.lucene.search.spans.TermSpans,8,1,0,6,19,0,3,3,8,0.666666667,160,1.0,2,0.0,0.34375,0,0,18.25,3,1.125,0,0.0,NON
org.apache.lucene.index.MultiReader,28,2,0,17,61,0,1,16,17,0.682539683,664,1.0,1,0.697674419,0.157738095,1,9,22.46428571,6,1.3929,1,0.0060240963855421,NON
org.apache.lucene.search.spans.SpanScorer,7,2,1,7,25,0,2,5,5,0.520833333,201,1.0,2,0.571428571,0.30952381,1,3,26.57142857,1,0.8571,1,0.0049751243781094,NON
org.apache.lucene.search.spans.SpanNearQuery,12,3,0,8,47,0,2,8,12,0.590909091,353,1.0,0,0.592592593,0.208333333,2,2,28.08333333,7,1.75,0,0.0,NON
org.apache.lucene.document.Document,17,1,0,24,39,0,22,2,17,0.5,415,0.5,0,0.0,0.426470588,0,0,23.29411765,5,2.5882,1,0.0120481927710843,NON
org.apache.lucene.queryParser.CharStream,12,1,0,3,12,66,3,0,12,2.0,12,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,1,0.1666666666666666,NON
org.apache.lucene.search.PhrasePositions,5,1,0,6,12,0,5,1,0,0.6785714290000001,95,0.0,2,0.0,0.533333333,0,0,16.6,1,0.8,0,0.0,NON
org.apache.lucene.search.SloppyPhraseScorer,4,3,0,9,19,0,3,7,0,0.5555555560000001,326,1.0,1,0.869565217,0.34375,1,1,79.75,4,1.5,1,0.0030674846625766,NON
org.apache.lucene.index.FieldInfos,20,1,0,18,51,164,12,6,16,0.940789474,482,0.25,0,0.0,0.261111111,0,0,22.7,8,1.5,1,0.0041493775933609,NON
org.apache.lucene.document.FieldSelector,1,1,0,18,1,0,17,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0,NON
org.apache.lucene.index.CompoundFileWriter,6,1,0,6,39,0,1,5,5,0.6,339,1.0,1,0.0,0.333333333,0,0,54.66666667,4,1.3333,1,0.0088495575221238,NON
org.apache.lucene.search.PrefixFilter,4,2,0,4,13,0,1,4,4,0.0,52,1.0,1,0.25,0.5,0,0,11.75,1,0.75,1,0.0192307692307692,NON
org.apache.lucene.search.function.FieldScoreQuery,2,3,0,7,12,1,0,7,1,2.0,52,0.0,0,0.947368421,0.833333333,0,0,25.0,5,2.5,0,0.0,IL
org.apache.lucene.index.FieldsReader,18,1,0,17,61,69,2,16,0,0.8067226890000001,745,1.0,4,0.0,0.237373737,0,0,40.0,5,1.3333,1,0.0147651006711409,NON
org.apache.lucene.index.MultipleTermPositions,13,1,0,8,36,58,1,7,13,0.791666667,191,1.0,2,0.0,0.201923077,0,0,13.38461538,1,0.9231,1,0.0052356020942408,IL
org.apache.lucene.index.MultiTermEnum,5,2,0,6,20,0,1,5,5,0.5,141,1.0,2,0.5555555560000001,0.4,1,2,26.6,1,0.8,0,0.0,NAN
org.apache.lucene.queryParser.QueryParser,64,1,1,34,151,1520,1,33,40,0.893046107,3329,0.595238095,12,0.0,0.112169312,0,0,50.359375,23,2.4844,1,0.0021027335536197,NON
org.apache.lucene.search.function.FieldCacheSource,8,2,4,8,12,8,4,4,8,0.5,68,1.0,1,0.416666667,0.3125,2,2,7.25,5,1.375,1,0.0294117647058823,NON
org.apache.lucene.search.BooleanQuery,27,2,0,19,64,171,12,11,22,0.7692307690000001,443,1.0,0,0.333333333,0.102564103,2,6,15.22222222,12,1.5926,1,0.0067720090293453,NON
org.apache.lucene.search.PrefixGenerator,2,1,1,6,16,0,1,5,1,0.0,66,1.0,1,0.0,0.666666667,0,0,31.5,1,0.5,0,0.0,NAN
org.apache.lucene.search.TermQuery,8,2,0,15,22,0,10,6,6,0.142857143,100,1.0,1,0.6315789470000001,0.2321428569999999,2,2,11.375,4,1.375,1,0.01,NON
org.apache.lucene.index.CorruptIndexException,1,4,0,28,2,0,28,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0,0.0,NON
org.apache.lucene.queryParser.MultiFieldQueryParser,11,2,0,9,31,23,0,9,5,0.55,410,1.0,0,0.869565217,0.313131313,1,5,36.09090909,1,0.8182,1,0.0048780487804878,NON
org.apache.lucene.store.Directory,18,1,3,36,33,141,32,4,18,0.8235294120000001,177,1.0,1,0.0,0.296296296,0,0,8.777777777999999,1,0.9444,1,0.0225988700564971,NON
org.apache.lucene.search.Searcher,23,1,3,40,28,247,29,14,22,0.909090909,131,1.0,1,0.0,0.273913043,0,0,4.652173913,1,0.9565,1,0.0305343511450381,NON
org.apache.lucene.search.payloads.BoostingTermQuery,3,4,0,5,7,3,1,5,2,2.0,38,0.0,0,0.923076923,0.5,1,1,11.66666667,4,1.6667,1,0.1052631578947368,NON
org.apache.lucene.store.SimpleFSLockFactory,6,2,0,4,17,3,1,3,4,0.2,102,1.0,0,0.571428571,0.611111111,0,0,15.83333333,2,0.6667,1,0.0294117647058823,NON
org.apache.lucene.search.DisjunctionSumScorer,12,2,1,7,37,0,2,5,9,0.454545455,357,1.0,1,0.444444444,0.416666667,1,3,28.08333333,1,0.8333,0,0.0,IL
org.apache.lucene.store.BufferedIndexOutput,10,2,1,2,12,17,1,1,8,0.5555555560000001,185,0.75,0,0.608695652,0.36,1,3,17.1,1,0.9,0,0.0,NON
org.apache.lucene.search.function.IntFieldSource,7,3,0,7,22,9,2,6,6,0.7777777779999999,122,0.333333333,1,0.705882353,0.333333333,2,3,16.0,6,1.7143,1,0.0081967213114754,NON
org.apache.lucene.index.MultiLevelSkipListWriter,6,1,1,3,16,0,1,2,0,0.466666667,178,1.0,1,0.0,0.611111111,0,0,28.16666667,3,1.3333,0,0.0,IL
org.apache.lucene.index.IndexDeletionPolicy,2,1,0,5,2,1,5,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1,0.5,IL
org.apache.lucene.search.MatchAllDocsQuery,6,2,0,7,14,15,3,5,5,2.0,57,0.0,0,0.705882353,0.333333333,2,3,8.5,3,1.1667,1,0.0175438596491228,NON
org.apache.lucene.search.BooleanClause,10,1,0,6,18,0,5,2,10,0.333333333,104,1.0,2,0.0,0.375,1,1,9.2,4,1.4,0,0.0,NON
org.apache.lucene.index.IndexCommitPoint,2,1,0,2,2,1,2,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1,1.0,NON
org.apache.lucene.search.WildcardQuery,4,3,0,8,12,4,1,7,3,0.666666667,55,1.0,0,0.857142857,0.5,1,1,12.5,2,1.0,0,0.0,IL
org.apache.lucene.search.function.ValueSource,6,1,3,8,7,15,6,2,6,2.0,12,0.0,0,0.0,0.444444444,1,1,1.0,1,0.8333,1,0.0833333333333333,IL
org.apache.lucene.index.SegmentMerger,16,1,0,25,99,0,3,24,0,0.691666667,1172,0.9375,8,0.0,0.2,0,0,71.25,1,0.8125,1,0.0068259385665529,NON
org.apache.lucene.index.MultiTermDocs,11,1,1,6,21,1,2,4,9,0.514285714,258,1.0,4,0.0,0.2467532469999999,0,0,21.81818182,1,0.9091,0,0.0,NAN
org.apache.lucene.document.FieldSelectorResult,4,1,0,7,6,0,7,0,2,0.875,83,0.125,7,0.0,0.5555555560000001,1,1,17.75,5,1.5,0,0.0,IL
org.apache.lucene.search.DisjunctionMaxScorer,11,2,0,4,25,0,1,3,7,0.625,447,1.0,0,0.444444444,0.287878788,1,3,39.27272727,6,1.5455,1,0.0022371364653243,NON
org.apache.lucene.store.SingleInstanceLockFactory,3,2,0,4,8,0,1,3,3,0.0,43,1.0,0,0.666666667,0.833333333,0,0,13.0,1,0.6667,1,0.0232558139534883,NON
org.apache.lucene.store.Lock,6,1,4,15,17,13,14,1,5,0.9,89,0.5,0,0.0,0.6,0,0,13.5,1,0.6667,1,0.0224719101123595,NON
org.apache.lucene.search.ComplexExplanation,6,2,0,10,18,9,9,1,5,0.2,65,1.0,0,0.7333333329999999,0.333333333,1,1,9.666666667,3,1.1667,1,0.0153846153846153,NON
org.apache.lucene.search.spans.NearSpansUnordered,19,1,0,6,48,71,3,6,7,0.75,468,1.0,5,0.0,0.210526316,0,0,23.10526316,3,1.3158,1,0.0021367521367521,NON
org.apache.lucene.document.Fieldable,18,1,0,10,18,153,9,1,18,2.0,18,0.0,0,0.0,0.37037037,0,0,0.0,1,1.0,1,0.1111111111111111,NON
org.apache.lucene.search.Hits,11,1,0,13,28,19,3,12,5,0.64,338,1.0,6,0.0,0.324675325,0,0,28.81818182,4,1.1818,1,0.0059171597633136,NON
org.apache.lucene.search.spans.SpanTermQuery,9,3,1,8,27,0,1,7,9,0.0,116,1.0,1,0.666666667,0.2592592589999999,2,2,11.77777778,4,1.3333,0,0.0,NON
org.apache.lucene.store.RAMInputStream,8,2,0,3,13,0,1,2,7,0.5,204,0.875,1,0.666666667,0.3,1,4,23.5,2,1.0,1,0.0147058823529411,NON
org.apache.lucene.search.CachingWrapperFilter,5,2,1,3,16,0,1,2,5,0.5,102,1.0,1,0.2,0.4,1,1,19.0,2,1.0,1,0.0098039215686274,NON
org.apache.lucene.store.RAMFile,8,1,0,3,12,6,3,1,0,0.80952381,115,0.333333333,1,0.0,0.375,0,0,12.625,2,0.875,1,0.017391304347826,NON
org.apache.lucene.store.NoLock,5,2,0,2,6,10,1,1,4,2.0,15,0.0,0,0.5,1.0,1,1,2.0,1,0.8,0,0.0,NON
org.apache.lucene.util.ScorerDocQueue,16,1,0,3,24,0,2,2,12,0.3833333329999999,361,1.0,2,0.0,0.328125,0,0,21.3125,7,1.75,0,0.0,IL
org.apache.lucene.search.PhraseQueue,2,2,0,5,4,1,3,2,0,2.0,51,0.0,0,0.916666667,0.666666667,1,3,24.5,6,3.0,0,0.0,NON
org.apache.lucene.index.KeepOnlyLastCommitDeletionPolicy,3,1,0,4,7,3,2,2,3,2.0,28,0.0,0,0.0,0.833333333,0,0,8.333333332999999,2,1.0,1,0.0357142857142857,NON
org.apache.lucene.store.RAMOutputStream,13,2,0,4,25,0,2,2,10,0.523809524,292,0.857142857,1,0.56,0.2087912089999999,1,3,20.92307692,2,1.0,1,0.0136986301369863,NON
org.apache.lucene.store.AlreadyClosedException,1,5,0,4,2,0,4,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0,0.0,NON
org.apache.lucene.index.SegmentTermDocs,12,1,1,13,33,12,2,12,8,0.690909091,377,0.8666666670000001,4,0.0,0.21875,0,0,29.16666667,1,0.9167,0,0.0,NON
