className,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity,type
org.apache.poi.hssf.record.SSTDeserializer,23,1,0,5,46,123,1,4,4,0.659090909,668,1.0,1,0.0,0.267080745,0,0,27.60869565,8,2.3043,0,0.0,IL
org.apache.poi.hssf.record.BottomMarginRecord,12,2,0,6,23,46,2,4,10,0.818181818,122,0.5,0,0.55,0.4,1,6,9.0,2,0.8333,0,0.0,IL
org.apache.poi.hssf.record.MergeCellsRecord,15,2,0,6,35,41,3,4,13,0.69047619,363,0.666666667,0,0.47826087,0.5166666670000001,1,6,23.0,2,1.1333,0,0.0,NON
org.apache.poi.hssf.eventusermodel.HSSFRequest,4,1,0,8,17,0,3,5,3,0.0,116,1.0,0,0.0,0.5,0,0,27.75,2,1.25,1,0.0086206896551724,IL
org.apache.poi.hssf.record.formula.ConcatPtg,9,2,0,4,13,36,2,2,9,1.125,60,0.333333333,0,0.3,0.333333333,0,0,5.333333333,1,0.7778,0,0.0,IL
org.apache.poi.hssf.record.DataFormatRecord,20,2,0,6,37,88,1,5,18,0.763157895,348,0.833333333,1,0.3928571429999999,0.36,1,6,16.1,2,0.9,0,0.0,IL
org.apache.poi.hssf.usermodel.HSSFCell,30,1,0,20,104,87,5,16,22,0.7482758620000001,1151,0.6,4,0.0,0.146153846,0,0,36.7,20,2.9,1,0.0008688097306689,NON
org.apache.poi.hssf.record.ExternSheetRecord,14,2,0,6,33,65,2,4,12,0.7435897440000001,229,0.666666667,0,0.5,0.4,1,6,15.14285714,2,1.0714,0,0.0,IL
org.apache.poi.hssf.util.RangeAddress,30,1,0,3,53,331,3,0,24,0.8735632179999999,767,0.0,0,0.0,0.391666667,0,0,24.36666667,6,2.6333,0,0.0,IL
org.apache.poi.hssf.record.MulBlankRecord,14,2,0,6,25,77,3,3,11,0.8615384620000001,212,0.8,0,0.5,0.517857143,1,5,13.78571429,2,1.0,0,0.0,IL
org.apache.poi.util.StringUtil,12,1,0,14,37,66,14,0,10,1.090909091,494,1.0,0,0.0,0.2738095239999999,0,0,40.08333333,10,2.5833,1,0.0020242914979757,NON
org.apache.poi.hssf.record.PrintGridlinesRecord,12,2,0,6,22,46,3,3,10,0.818181818,128,0.5,0,0.55,0.4,1,6,9.5,2,1.0,0,0.0,IL
org.apache.poi.hssf.record.LabelRecord,23,2,0,7,37,219,2,5,21,0.8506493509999999,345,0.857142857,0,0.35483871,0.347826087,1,5,13.69565217,6,1.5652,0,0.0,IL
org.apache.poi.hssf.record.FooterRecord,14,2,0,8,26,69,4,4,12,0.7435897440000001,187,0.666666667,0,0.5,0.321428571,1,6,12.14285714,3,1.1429,0,0.0,IL
org.apache.poi.hssf.record.formula.AreaPtg,29,2,0,7,53,100,2,6,28,0.75,556,0.8888888890000001,3,0.212121212,0.221674877,1,2,17.86206897,5,1.0345,1,0.0017985611510791,NON
org.apache.poi.hssf.record.CustomField,4,1,0,1,4,6,1,0,4,2.0,4,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0,0.0,IL
org.apache.poi.hssf.record.SCLRecord,14,2,0,7,26,57,3,4,12,0.7692307690000001,195,0.666666667,0,0.5,0.482142857,1,6,12.71428571,2,0.8571,0,0.0,IL
org.apache.poi.hssf.record.NumberRecord,25,2,0,11,41,258,7,4,23,0.7583333329999999,389,0.8,0,0.333333333,0.257142857,1,6,14.36,7,1.76,0,0.0,IL
org.apache.poi.hssf.eventmodel.ERFListener,1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0,NON
org.apache.poi.hssf.dev.EFHSSFListener,2,1,0,3,4,0,1,3,2,0.0,14,0.0,1,0.0,0.666666667,0,0,5.5,1,0.5,0,0.0,NAN
org.apache.poi.hssf.record.formula.MultiplyPtg,11,2,0,4,16,55,2,3,11,1.1,96,0.333333333,0,0.25,0.272727273,0,0,7.454545455,1,0.8182,0,0.0,IL
org.apache.poi.hssf.record.MulRKRecord,15,2,0,8,34,87,3,5,12,0.8714285709999999,230,0.8,0,0.47826087,0.5166666670000001,1,5,14.0,2,1.0,0,0.0,IL
org.apache.poi.hssf.record.ExtSSTRecord,17,2,0,8,41,66,4,4,15,0.85,319,0.4,0,0.44,0.31372549,1,6,17.47058824,3,1.2353,0,0.0,IL
org.apache.poi.hssf.record.BlankRecord,23,2,0,9,36,221,5,4,21,0.727272727,350,0.75,0,0.35483871,0.304347826,1,6,14.04347826,7,1.8261,0,0.0,IL
org.apache.poi.hssf.record.formula.AbstractFunctionPtg,16,2,2,6,31,102,3,3,11,0.933333333,9849,0.75,1,0.176470588,0.19047619,0,0,614.0625,5,1.1875,1,0.0001015331505736,NON
org.apache.poi.hssf.record.AxisRecord,20,2,0,5,35,114,1,4,18,0.8771929820000001,360,0.5555555560000001,0,0.3928571429999999,0.45,1,6,16.55,2,0.9,0,0.0,IL
org.apache.poi.hssf.record.ExtSSTInfoSubRecord,13,2,0,3,24,64,1,2,11,0.8833333329999999,143,0.6,0,0.523809524,0.5,1,6,9.615384615,1,0.7692,0,0.0,IL
org.apache.poi.hssf.record.LeftMarginRecord,12,2,0,6,23,46,2,4,10,0.818181818,122,0.5,0,0.55,0.4,1,6,9.0,2,0.8333,0,0.0,NON
org.apache.poi.hssf.record.formula.ExpPtg,7,2,0,3,10,9,2,2,7,0.944444444,69,0.666666667,0,0.583333333,0.428571429,1,2,8.428571429,2,1.0,0,0.0,IL
org.apache.poi.hssf.record.RkRec,1,1,0,1,2,0,1,0,0,2.0,6,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0,0.0,NAN
org.apache.poi.hssf.record.aggregates.RowRecordsAggregate,14,2,0,3,30,35,1,2,12,0.673076923,173,0.0,0,0.4583333329999999,0.3285714289999999,1,5,11.07142857,5,1.3571,0,0.0,NON
org.apache.poi.util.POILogger,26,1,3,9,42,325,8,1,22,1.04,693,0.0,0,0.0,0.544871795,0,0,25.46153846,10,1.9615,1,0.0014430014430014,IL
org.apache.poi.hssf.record.formula.StringPtg,9,2,0,5,22,2,2,4,8,0.666666667,202,0.166666667,1,0.538461538,0.333333333,1,2,20.77777778,2,0.8889,0,0.0,IL
org.apache.poi.util.IOUtils,3,1,0,3,5,3,3,0,2,2.0,43,0.0,0,0.0,0.5,0,0,13.33333333,1,0.6667,0,0.0,IL
org.apache.poi.hssf.record.IterationRecord,12,2,0,5,22,46,2,3,10,0.818181818,127,0.5,0,0.55,0.4,1,6,9.416666667,2,1.0,0,0.0,IL
