className,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity,type
org.apache.xalan.xsltc.compiler.FilterExpr,7,3,0,19,35,0,0,19,6,0.083333333,226,1.0,1,0.922077922,0.3061224489999999,2,9,31.0,3,1.5714,1,0.0044247787610619,NON
org.apache.xalan.xsltc.runtime.BasisLibrary,69,1,0,36,198,2330,20,18,64,1.005793226,2601,0.303030303,0,0.0,0.102076125,0,0,36.2173913,49,4.2464,1,0.0011534025374855,NON
org.apache.xalan.xsltc.runtime.ErrorMessages_cs,3,3,0,0,4,1,0,0,2,0.5,234,1.0,0,0.974358974,1.0,0,0,76.66666667,1,0.3333,1,0.0042735042735042,NON
org.apache.xpath.functions.SecuritySupport,11,1,1,3,20,53,3,1,0,0.9,90,1.0,0,0.0,0.4,0,0,7.090909091,2,0.9091,0,0.0,IL
org.apache.xalan.trace.ExtensionEvent,3,1,0,6,4,0,5,1,3,0.5625,65,0.0,1,0.0,0.571428571,0,0,18.0,0,0.0,0,0.0,IL
org.apache.xalan.xsltc.compiler.util.ObjectType,16,2,0,30,47,74,8,23,14,0.6,225,1.0,0,0.70212766,0.236111111,2,3,12.9375,2,1.0625,0,0.0,NON
org.apache.xalan.xsltc.compiler.BinOpExpr,8,3,0,14,38,0,0,14,7,0.80952381,255,0.444444444,2,0.922077922,0.265306122,2,8,29.75,3,1.375,0,0.0,IL
org.apache.xalan.xsltc.compiler.UnaryOpExpr,7,3,0,13,30,0,0,13,7,0.0,106,1.0,1,0.922077922,0.285714286,2,8,14.0,1,0.8571,0,0.0,IL
org.apache.xalan.xsltc.compiler.util.ObjectFactory,12,1,0,3,44,64,1,2,0,0.981818182,586,1.0,0,0.0,0.318181818,0,0,47.41666667,8,1.8333,0,0.0,NON
org.apache.xalan.xsltc.compiler.DecimalFormatting,5,3,0,23,36,2,2,22,4,1.0,537,1.0,1,0.9375,0.4,3,7,105.8,17,4.8,1,0.0018621973929236,NON
org.apache.xalan.extensions.ExtensionHandlerJavaPackage,6,3,0,13,51,3,0,13,6,2.0,851,0.0,0,0.615384615,0.3888888889999999,2,5,140.83333330000002,5,1.6667,1,0.0035252643948296,NON
org.apache.xalan.xsltc.compiler.Sort,20,3,0,55,105,130,2,55,15,0.847953216,1393,1.0,4,0.7466666670000001,0.236363636,1,4,68.2,11,2.5,1,0.0014357501794687,NON
org.apache.xalan.templates.ElemElement,12,4,1,16,47,18,2,14,9,0.545454545,331,1.0,2,0.948356808,0.229166667,2,6,26.41666667,4,1.1667,1,0.0060422960725075,NON
org.apache.xalan.xsltc.compiler.Constants,0,1,0,6,0,0,5,1,0,2.0,218,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,IL
org.apache.xalan.xsltc.compiler.XslAttribute,6,3,0,39,72,0,3,37,5,0.52,550,1.0,2,0.918032787,0.305555556,2,10,89.83333333,30,7.5,1,0.0018181818181818,NON
org.apache.xalan.templates.ElemExtensionCall,10,5,0,21,52,39,4,18,6,1.022222222,304,0.0,1,0.963709677,0.333333333,3,7,28.9,5,1.7,1,0.0098684210526315,NON
org.apache.xalan.lib.ObjectFactory,12,1,0,3,44,64,1,2,0,0.981818182,586,1.0,0,0.0,0.318181818,0,0,47.41666667,8,1.8333,0,0.0,NON
org.apache.xalan.processor.ProcessorLRE,4,5,1,18,73,6,2,17,3,2.0,462,0.0,0,0.986111111,0.5,4,6,114.5,3,1.25,1,0.0064935064935064,NON
org.apache.xalan.xsltc.compiler.SecuritySupport,11,1,1,2,20,53,2,1,0,0.9,90,1.0,0,0.0,0.4,0,0,7.090909091,2,0.9091,0,0.0,IL
org.apache.xalan.templates.ElemTemplateElement,87,2,29,95,125,3307,84,17,77,0.925249169,1274,0.7857142859999999,3,0.558974359,0.09127789,1,12,13.48275862,7,1.4483,1,0.0007849293563579,NON
org.apache.xalan.client.XSLTProcessorApplet,29,5,0,2,83,298,1,2,21,0.8792517009999999,801,0.904761905,1,0.94214876,0.344827586,3,5,25.89655172,10,1.5172,1,0.0012484394506866,NON
org.apache.xalan.xslt.Process,7,1,0,10,109,21,0,10,2,2.0,2028,0.0,0,0.0,0.2,0,0,288.7142857,138,20.4286,1,0.0009861932938856,NON
org.apache.xalan.xsltc.trax.SecuritySupport,11,1,1,2,20,53,2,1,0,0.9,90,1.0,0,0.0,0.4,0,0,7.090909091,2,0.9091,0,0.0,IL
org.apache.xalan.xsltc.dom.NodeSortRecord,11,1,0,9,29,7,2,7,8,0.806666667,324,0.7333333329999999,3,0.0,0.35,0,0,27.09090909,5,1.2727,0,0.0,IL
org.apache.xalan.xsltc.compiler.LiteralAttribute,8,3,0,20,35,0,2,19,6,0.428571429,208,1.0,1,0.8888888890000001,0.267857143,1,4,24.75,9,2.75,0,0.0,NON
org.apache.xalan.xsltc.compiler.util.ErrorMessages_ca,3,3,0,0,4,1,0,0,2,0.5,1248,1.0,0,0.974358974,1.0,0,0,414.6666667,1,0.3333,1,0.000801282051282,NON
org.apache.xalan.res.XSLTErrorResources_ca,5,3,0,1,16,8,0,1,3,1.24795082,4275,0.0,0,0.926829268,0.333333333,0,0,805.2,2,0.8,1,0.0002339181286549,NON
org.apache.xpath.res.XPATHErrorResources_hu,5,3,0,1,16,8,0,1,3,1.246296296,2125,0.0,0,0.926829268,0.333333333,0,0,397.0,2,0.8,1,0.0009411764705882,NON
org.apache.xalan.res.XSLTErrorResources_cs,5,3,0,1,16,8,0,1,3,1.24795082,4275,0.0,0,0.926829268,0.333333333,0,0,805.2,2,0.8,1,0.0002339181286549,NON
org.apache.xalan.templates.ElemTextLiteral,11,3,0,9,21,29,6,4,11,0.825,135,1.0,0,0.951456311,0.340909091,2,5,10.90909091,2,1.0,1,0.0148148148148148,NON
org.apache.xml.utils.DOMBuilder,30,1,0,4,68,207,2,2,28,0.620689655,494,0.6,0,0.0,0.2,0,0,15.3,5,1.0667,0,0.0,NON
org.apache.xpath.res.XPATHErrorResources_it,5,3,0,1,16,8,0,1,3,1.246296296,2125,0.0,0,0.926829268,0.333333333,0,0,397.0,2,0.8,1,0.0009411764705882,NON
org.apache.xalan.xsltc.dom.MultiDOM,54,1,0,16,115,277,4,14,52,0.870283019,803,1.0,4,0.0,0.171296296,0,0,13.72222222,11,1.6111,1,0.0012453300124533,NON
org.apache.xalan.xsltc.compiler.Number,15,3,0,53,104,23,2,52,9,0.7983193279999999,1308,1.0,8,0.811594203,0.214285714,2,3,85.06666667,14,3.1333,1,0.0007645259938837,NON
org.apache.xpath.res.XPATHErrorResources_ko,5,3,0,1,16,8,0,1,3,1.246296296,2125,0.0,0,0.926829268,0.333333333,0,0,397.0,2,0.8,1,0.0009411764705882,NON
