old,new,isSame
org.apache.ivy.core.repository.RepositoryManagementEngine,org.apache.ivy.core.repository.RepositoryManagementEngine,False
org.apache.ivy.core.repository.RepositoryManagementEngine.getAllRevisions.(Anon_1),org.apache.ivy.core.repository.RepositoryManagementEngine.getAllRevisions.(Anon_1),False
org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor,org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor,True
org.apache.ivy.core.module.descriptor.DependencyDescriptor,org.apache.ivy.core.module.descriptor.DependencyDescriptor,True
org.apache.ivy.core.module.descriptor.ModuleDescriptor,org.apache.ivy.core.module.descriptor.ModuleDescriptor,False
org.apache.ivy.core.module.id.ModuleRevisionId,org.apache.ivy.core.module.id.ModuleRevisionId,True
org.apache.ivy.core.resolve.ResolveData,org.apache.ivy.core.resolve.ResolveData,True
org.apache.ivy.core.resolve.ResolveEngine,org.apache.ivy.core.resolve.ResolveEngine,False
org.apache.ivy.core.resolve.ResolveOptions,org.apache.ivy.core.resolve.ResolveOptions,True
org.apache.ivy.core.resolve.ResolvedModuleRevision,org.apache.ivy.core.resolve.ResolvedModuleRevision,True
org.apache.ivy.core.search.SearchEngine,org.apache.ivy.core.search.SearchEngine,False
org.apache.ivy.plugins.latest.ArtifactInfo,org.apache.ivy.plugins.latest.ArtifactInfo,True
org.apache.ivy.plugins.matcher.PatternMatcher,org.apache.ivy.plugins.matcher.PatternMatcher,True
org.apache.ivy.plugins.matcher.RegexpPatternMatcher,org.apache.ivy.plugins.matcher.RegexpPatternMatcher,True
org.apache.ivy.plugins.version.VersionMatcher,org.apache.ivy.plugins.version.VersionMatcher,True
org.apache.ivy.util.MemoryUtil,org.apache.ivy.util.MemoryUtil,False
org.apache.ivy.util.Message,org.apache.ivy.util.Message,False
org.apache.ivy.core.repository.RepositoryManagementEngineSettings,org.apache.ivy.core.repository.RepositoryManagementEngineSettings,True
org.apache.ivy.plugins.resolver.ResolverSettings,org.apache.ivy.plugins.resolver.ResolverSettings,True
org.apache.ivy.plugins.parser.ParserSettings,org.apache.ivy.plugins.parser.ParserSettings,True
org.apache.ivy.plugins.resolver.DependencyResolver,org.apache.ivy.plugins.resolver.DependencyResolver,True
org.apache.ivy.plugins.latest.LatestStrategy,org.apache.ivy.plugins.latest.LatestStrategy,True
org.apache.ivy.core.event.resolve.ResolveDependencyEvent,org.apache.ivy.core.event.resolve.ResolveDependencyEvent,True
org.apache.ivy.core.event.IvyEvent,org.apache.ivy.core.event.IvyEvent,True
org.apache.ivy.util.extendable.ExtendableItem,org.apache.ivy.util.extendable.ExtendableItem,True
org.apache.ivy.util.DefaultMessageLogger,org.apache.ivy.util.DefaultMessageLogger,True
org.apache.ivy.util.AbstractMessageLogger,org.apache.ivy.util.AbstractMessageLogger,True
org.apache.ivy.core.event.IvyListener,org.apache.ivy.core.event.IvyListener,True
org.apache.ivy.plugins.report.XmlReportParserTest,org.apache.ivy.plugins.report.XmlReportParserTest,False
org.apache.ivy.Ivy,org.apache.ivy.Ivy,False
org.apache.ivy.core.report.ResolveReport,org.apache.ivy.core.report.ResolveReport,False
org.apache.ivy.plugins.report.XmlReportParser,org.apache.ivy.plugins.report.XmlReportParser,False
org.apache.ivy.core.cache.ResolutionCacheManager,org.apache.ivy.core.cache.ResolutionCacheManager,True
org.apache.ivy.plugins.parser.ModuleDescriptorParser,org.apache.ivy.plugins.parser.ModuleDescriptorParser,True
org.apache.ivy.core.module.descriptor.Artifact,org.apache.ivy.core.module.descriptor.Artifact,True
