old,new,isSame
org.apache.maven.archiva.web.action.GlobalResults,org.apache.maven.archiva.web.action.GlobalResults,True
org.apache.maven.archiva.configuration.FileTypes,org.apache.maven.archiva.configuration.FileTypes,False
org.apache.maven.archiva.repository.content.ManagedDefaultRepositoryContent,org.apache.maven.archiva.repository.content.ManagedDefaultRepositoryContent,False
org.apache.maven.archiva.repository.project.ProjectModelException,org.apache.maven.archiva.repository.project.ProjectModelException,True
org.apache.maven.archiva.repository.project.readers.ProjectModel400Reader,org.apache.maven.archiva.repository.project.readers.ProjectModel400Reader,False
org.apache.maven.archiva.repository.project.resolvers.ManagedRepositoryProjectResolver,org.apache.maven.archiva.repository.project.resolvers.ManagedRepositoryProjectResolver,False
org.apache.maven.archiva.policies.AbstractUpdatePolicy,org.apache.maven.archiva.policies.AbstractUpdatePolicy,True
org.apache.maven.archiva.common.utils.VersionUtil,org.apache.maven.archiva.common.utils.VersionUtil,False
org.apache.maven.archiva.policies.PreDownloadPolicy,org.apache.maven.archiva.policies.PreDownloadPolicy,True
org.apache.maven.archiva.policies.PolicyViolationException,org.apache.maven.archiva.policies.PolicyViolationException,True
org.apache.maven.archiva.policies.PolicyConfigurationException,org.apache.maven.archiva.policies.PolicyConfigurationException,True
org.apache.maven.archiva.dependency.graph.tasks.DependencyManagementStack,org.apache.maven.archiva.dependency.graph.tasks.DependencyManagementStack,True
org.apache.maven.archiva.dependency.graph.tasks.DependencyManagementStack.Rules,org.apache.maven.archiva.dependency.graph.tasks.DependencyManagementStack.Rules,True
org.apache.maven.archiva.dependency.graph.DependencyGraphEdge,org.apache.maven.archiva.dependency.graph.DependencyGraphEdge,True
org.apache.maven.archiva.dependency.graph.DependencyGraphKeys,org.apache.maven.archiva.dependency.graph.DependencyGraphKeys,True
org.apache.maven.archiva.dependency.graph.DependencyGraphNode,org.apache.maven.archiva.dependency.graph.DependencyGraphNode,True
org.apache.maven.archiva.web.tags.DependencyTree,org.apache.maven.archiva.web.tags.DependencyTree,True
org.apache.maven.archiva.web.tags.DependencyTree.TreeEntry,org.apache.maven.archiva.web.tags.DependencyTree.TreeEntry,True
org.apache.maven.archiva.web.tags.DependencyTree.TreeListVisitor,org.apache.maven.archiva.web.tags.DependencyTree.TreeListVisitor,True
org.apache.maven.archiva.common.ArchivaException,org.apache.maven.archiva.common.ArchivaException,True
org.apache.maven.archiva.dependency.DependencyGraphFactory,org.apache.maven.archiva.dependency.DependencyGraphFactory,True
org.apache.maven.archiva.dependency.graph.DependencyGraph,org.apache.maven.archiva.dependency.graph.DependencyGraph,True
org.apache.maven.archiva.dependency.graph.DependencyGraphBuilder,org.apache.maven.archiva.dependency.graph.DependencyGraphBuilder,True
org.apache.maven.archiva.dependency.graph.GraphTaskException,org.apache.maven.archiva.dependency.graph.GraphTaskException,True
org.apache.maven.archiva.dependency.graph.walk.BaseVisitor,org.apache.maven.archiva.dependency.graph.walk.BaseVisitor,True
org.apache.maven.archiva.dependency.graph.walk.DependencyGraphWalker,org.apache.maven.archiva.dependency.graph.walk.DependencyGraphWalker,True
org.apache.maven.archiva.dependency.graph.walk.WalkDepthFirstSearch,org.apache.maven.archiva.dependency.graph.walk.WalkDepthFirstSearch,True
org.apache.maven.archiva.model.DependencyScope,org.apache.maven.archiva.model.DependencyScope,True
org.apache.maven.archiva.model.Keys,org.apache.maven.archiva.model.Keys,True
org.apache.maven.archiva.reporting.artifact.OldSnapshotArtifactReport,org.apache.maven.archiva.reporting.artifact.OldSnapshotArtifactReport,True
org.apache.maven.archiva.database.ArchivaDAO,org.apache.maven.archiva.database.ArchivaDAO,True
org.apache.maven.archiva.database.ArchivaDatabaseException,org.apache.maven.archiva.database.ArchivaDatabaseException,True
org.apache.maven.archiva.database.ObjectNotFoundException,org.apache.maven.archiva.database.ObjectNotFoundException,True
org.apache.maven.archiva.database.constraints.OlderSnapshotArtifactsByAgeConstraint,org.apache.maven.archiva.database.constraints.OlderSnapshotArtifactsByAgeConstraint,True
org.apache.maven.archiva.model.ArchivaArtifact,org.apache.maven.archiva.model.ArchivaArtifact,True
org.apache.maven.archiva.reporting.DataLimits,org.apache.maven.archiva.reporting.DataLimits,True
org.apache.maven.archiva.reporting.DynamicReportSource,org.apache.maven.archiva.reporting.DynamicReportSource,True
org.apache.maven.archiva.database.ArtifactDAO,org.apache.maven.archiva.database.ArtifactDAO,True
org.apache.maven.archiva.webdav.RepositoryServletProxiedPassthroughTest,org.apache.maven.archiva.webdav.RepositoryServletProxiedPassthroughTest,False
org.apache.maven.archiva.webdav.AbstractRepositoryServletProxiedTestCase,org.apache.maven.archiva.webdav.AbstractRepositoryServletProxiedTestCase,False
org.apache.maven.archiva.consumers.core.MetadataUpdateConsumerTest,org.apache.maven.archiva.consumers.core.MetadataUpdateConsumerTest,True
org.apache.maven.archiva.consumers.KnownRepositoryContentConsumer,org.apache.maven.archiva.consumers.KnownRepositoryContentConsumer,True
org.apache.maven.archiva.consumers.core.AbstractArtifactConsumerTest,org.apache.maven.archiva.consumers.core.AbstractArtifactConsumerTest,True
org.apache.maven.archiva.web.test.MavenConnectionTest,org.apache.maven.archiva.web.test.MavenConnectionTest,True
org.apache.maven.archiva.web.test.AbstractArchivaTestCase,org.apache.maven.archiva.web.test.AbstractArchivaTestCase,False
org.apache.maven.archiva.web.mapper.RepositoryActionMapper,org.apache.maven.archiva.web.mapper.RepositoryActionMapper,True
org.apache.maven.archiva.consumers.database.ProjectModelToDatabaseConsumer,org.apache.maven.archiva.consumers.database.ProjectModelToDatabaseConsumer,False
org.apache.maven.archiva.consumers.AbstractMonitoredConsumer,org.apache.maven.archiva.consumers.AbstractMonitoredConsumer,True
org.apache.maven.archiva.consumers.ConsumerException,org.apache.maven.archiva.consumers.ConsumerException,True
org.apache.maven.archiva.database.updater.DatabaseUnprocessedArtifactConsumer,org.apache.maven.archiva.database.updater.DatabaseUnprocessedArtifactConsumer,True
org.apache.maven.archiva.model.ArchivaModelCloner,org.apache.maven.archiva.model.ArchivaModelCloner,False
org.apache.maven.archiva.reporting.artifact.CorruptArtifactReport,org.apache.maven.archiva.reporting.artifact.CorruptArtifactReport,True
org.apache.maven.archiva.repository.ManagedRepositoryContent,org.apache.maven.archiva.repository.ManagedRepositoryContent,True
org.apache.maven.archiva.repository.RepositoryContentFactory,org.apache.maven.archiva.repository.RepositoryContentFactory,True
org.apache.maven.archiva.repository.RepositoryException,org.apache.maven.archiva.repository.RepositoryException,True
org.apache.maven.archiva.repository.content.ManagedLegacyRepositoryContent,org.apache.maven.archiva.repository.content.ManagedLegacyRepositoryContent,True
org.apache.maven.archiva.repository.project.ProjectModelReader,org.apache.maven.archiva.repository.project.ProjectModelReader,True
org.apache.maven.archiva.repository.project.filters.EffectiveProjectModelFilter,org.apache.maven.archiva.repository.project.filters.EffectiveProjectModelFilter,False
org.apache.maven.archiva.repository.project.readers.ProjectModel300Reader,org.apache.maven.archiva.repository.project.readers.ProjectModel300Reader,False
org.apache.maven.archiva.xml.XMLException,org.apache.maven.archiva.xml.XMLException,True
org.apache.maven.archiva.database.ProjectModelDAO,org.apache.maven.archiva.database.ProjectModelDAO,True
org.apache.maven.archiva.database.RepositoryProblemDAO,org.apache.maven.archiva.database.RepositoryProblemDAO,True
org.apache.maven.archiva.model.ArchivaArtifactPlatformDetails,org.apache.maven.archiva.model.ArchivaArtifactPlatformDetails,True
org.apache.maven.archiva.repository.content.LegacyPathParserTest,org.apache.maven.archiva.repository.content.LegacyPathParserTest,True
org.apache.maven.archiva.configuration.ArchivaConfiguration,org.apache.maven.archiva.configuration.ArchivaConfiguration,True
org.apache.maven.archiva.repository.AbstractRepositoryLayerTestCase,org.apache.maven.archiva.repository.AbstractRepositoryLayerTestCase,True
org.apache.maven.archiva.repository.layout.LayoutException,org.apache.maven.archiva.repository.layout.LayoutException,True
org.apache.maven.archiva.repository.content.LegacyPathParser,org.apache.maven.archiva.repository.content.LegacyPathParser,True
