old,new,isSame
org.apache.commons.beanutils.DynaClass,org.apache.commons.beanutils.DynaClass,True
org.apache.commons.beanutils.DynaProperty,org.apache.commons.beanutils.DynaProperty,False
org.apache.commons.beanutils.DynaBean,org.apache.commons.beanutils.DynaBean,True
org.apache.commons.beanutils.converters.CharacterArrayConverter,org.apache.commons.beanutils.converters.CharacterArrayConverter,False
org.apache.commons.beanutils.ConversionException,org.apache.commons.beanutils.ConversionException,False
org.apache.commons.beanutils.converters.AbstractArrayConverter,org.apache.commons.beanutils.converters.AbstractArrayConverter,False
org.apache.commons.beanutils.PropertyUtilsBean,org.apache.commons.beanutils.PropertyUtilsBean,False
org.apache.commons.beanutils.PropertyUtilsTestCase,org.apache.commons.beanutils.PropertyUtilsTestCase,False
org.apache.commons.beanutils.priv.PrivateBeanFactory,org.apache.commons.beanutils.priv.PrivateBeanFactory,True
org.apache.commons.beanutils.priv.PrivateDirect,org.apache.commons.beanutils.priv.PrivateDirect,True
org.apache.commons.beanutils.priv.PublicSubBean,org.apache.commons.beanutils.priv.PublicSubBean,True
org.apache.commons.beanutils.TestBean,org.apache.commons.beanutils.TestBean,False
org.apache.commons.beanutils.TestBeanPackageSubclass,org.apache.commons.beanutils.TestBeanPackageSubclass,True
org.apache.commons.beanutils.TestBeanPublicSubclass,org.apache.commons.beanutils.TestBeanPublicSubclass,True
org.apache.commons.beanutils.BasicDynaClass,org.apache.commons.beanutils.BasicDynaClass,False
org.apache.commons.beanutils.BasicDynaBean,org.apache.commons.beanutils.BasicDynaBean,False
org.apache.commons.beanutils.NestedNullException,org.apache.commons.beanutils.NestedNullException,True
org.apache.commons.beanutils.BeanWithInnerBean,org.apache.commons.beanutils.BeanWithInnerBean,False
org.apache.commons.beanutils.SonOfAlphaBean,org.apache.commons.beanutils.SonOfAlphaBean,True
org.apache.commons.beanutils.ExtendMapBean,org.apache.commons.beanutils.ExtendMapBean,False
org.apache.commons.beanutils.PropsFirstPropertyUtilsBean,org.apache.commons.beanutils.PropsFirstPropertyUtilsBean,False
org.apache.commons.beanutils.MappedPropertyDescriptor,org.apache.commons.beanutils.MappedPropertyDescriptor,False
org.apache.commons.beanutils.BetaBean,org.apache.commons.beanutils.BetaBean,True
org.apache.commons.beanutils.NestedTestBean,org.apache.commons.beanutils.NestedTestBean,True
org.apache.commons.beanutils.PropertyUtils,org.apache.commons.beanutils.PropertyUtils,False
org.apache.commons.beanutils.priv.PackageBean,org.apache.commons.beanutils.priv.PackageBean,True
org.apache.commons.beanutils.AlphaBean,org.apache.commons.beanutils.AlphaBean,True
org.apache.commons.beanutils.BeanUtils,org.apache.commons.beanutils.BeanUtils,False
org.apache.commons.beanutils.BeanUtilsTestCase,org.apache.commons.beanutils.BeanUtilsTestCase,False
org.apache.commons.beanutils.bugs.other.Jira87BeanFactory,org.apache.commons.beanutils.bugs.other.Jira87BeanFactory,True
org.apache.commons.beanutils.bugs.other.Jira87BeanFactory.PackageMappedImpl,org.apache.commons.beanutils.bugs.other.Jira87BeanFactory.PackageMappedImpl,True
org.apache.commons.beanutils.bugs.other.Jira87BeanFactory.PublicMappedInterface,org.apache.commons.beanutils.bugs.other.Jira87BeanFactory.PublicMappedInterface,True
org.apache.commons.beanutils.bugs.Jira87TestCase,org.apache.commons.beanutils.bugs.Jira87TestCase,False
org.apache.commons.beanutils.locale.LocaleConvertUtilsTestCase,org.apache.commons.beanutils.locale.LocaleConvertUtilsTestCase,False
org.apache.commons.beanutils.locale.LocaleConvertUtils,org.apache.commons.beanutils.locale.LocaleConvertUtils,False
org.apache.commons.beanutils.locale.BaseLocaleConverter,org.apache.commons.beanutils.locale.BaseLocaleConverter,False
org.apache.commons.beanutils.ConvertUtils,org.apache.commons.beanutils.ConvertUtils,False
org.apache.commons.beanutils.locale.LocaleConverter,org.apache.commons.beanutils.locale.LocaleConverter,False
org.apache.commons.beanutils.BeanUtils2TestCase,org.apache.commons.beanutils.BeanUtils2TestCase,False
org.apache.commons.beanutils.BeanUtilsBean,org.apache.commons.beanutils.BeanUtilsBean,False
org.apache.commons.beanutils.BeanUtilsBean2,org.apache.commons.beanutils.BeanUtilsBean2,False
org.apache.commons.beanutils.priv.PrivateBeanSubclass,org.apache.commons.beanutils.priv.PrivateBeanSubclass,False
org.apache.commons.beanutils.priv.PrivateBean,org.apache.commons.beanutils.priv.PrivateBean,False
org.apache.commons.beanutils.BeanAccessLanguageException,org.apache.commons.beanutils.BeanAccessLanguageException,True
org.apache.commons.beanutils.expression.DefaultResolver,org.apache.commons.beanutils.expression.DefaultResolver,True
org.apache.commons.beanutils.expression.Resolver,org.apache.commons.beanutils.expression.Resolver,True
org.apache.commons.beanutils.WeakFastHashMap,org.apache.commons.beanutils.WeakFastHashMap,False
org.apache.commons.beanutils.MethodUtils,org.apache.commons.beanutils.MethodUtils,False
org.apache.commons.beanutils.WrapDynaBean,org.apache.commons.beanutils.WrapDynaBean,False
org.apache.commons.beanutils.BeanMapTestCase,org.apache.commons.beanutils.BeanMapTestCase,False
org.apache.commons.beanutils.BeanMapTestCase.BeanWithProperties,org.apache.commons.beanutils.BeanMapTestCase.BeanWithProperties,False
org.apache.commons.beanutils.BeanMap,org.apache.commons.beanutils.BeanMap,False
org.apache.commons.beanutils.converters.BigIntegerConverter,org.apache.commons.beanutils.converters.BigIntegerConverter,False
org.apache.commons.beanutils.converters.NumberConverter,org.apache.commons.beanutils.converters.NumberConverter,False
org.apache.commons.beanutils.AbstractParent,org.apache.commons.beanutils.AbstractParent,True
org.apache.commons.beanutils.Child,org.apache.commons.beanutils.Child,True
org.apache.commons.beanutils.LazyDynaClassTestCase,org.apache.commons.beanutils.LazyDynaClassTestCase,False
org.apache.commons.beanutils.LazyDynaClass,org.apache.commons.beanutils.LazyDynaClass,False
org.apache.commons.beanutils.bugs.Jira298TestCase,org.apache.commons.beanutils.bugs.Jira298TestCase,False
org.apache.commons.beanutils.bugs.other.Jira298BeanFactory,org.apache.commons.beanutils.bugs.other.Jira298BeanFactory,True
org.apache.commons.beanutils.bugs.other.Jira298BeanFactory.IX,org.apache.commons.beanutils.bugs.other.Jira298BeanFactory.IX,True
org.apache.commons.beanutils.MappedPropertyTestBean,org.apache.commons.beanutils.MappedPropertyTestBean,False
org.apache.commons.beanutils.converters.StringArrayConverterTestCase,org.apache.commons.beanutils.converters.StringArrayConverterTestCase,True
org.apache.commons.beanutils.converters.StringArrayConverter,org.apache.commons.beanutils.converters.StringArrayConverter,False
org.apache.commons.beanutils.locale.converters.LongLocaleConverterTestCase,org.apache.commons.beanutils.locale.converters.LongLocaleConverterTestCase,False
org.apache.commons.beanutils.locale.converters.BaseLocaleConverterTestCase,org.apache.commons.beanutils.locale.converters.BaseLocaleConverterTestCase,False
org.apache.commons.beanutils.locale.converters.LongLocaleConverter,org.apache.commons.beanutils.locale.converters.LongLocaleConverter,False
org.apache.commons.beanutils.locale.converters.BigDecimalLocaleConverterTestCase,org.apache.commons.beanutils.locale.converters.BigDecimalLocaleConverterTestCase,False
org.apache.commons.beanutils.locale.converters.BigDecimalLocaleConverter,org.apache.commons.beanutils.locale.converters.BigDecimalLocaleConverter,False
org.apache.commons.beanutils.locale.converters.DateLocaleConverterTestCase,org.apache.commons.beanutils.locale.converters.DateLocaleConverterTestCase,False
org.apache.commons.beanutils.locale.converters.DateLocaleConverter,org.apache.commons.beanutils.locale.converters.DateLocaleConverter,False
org.apache.commons.beanutils.locale.converters.StringLocaleConverter,org.apache.commons.beanutils.locale.converters.StringLocaleConverter,False
org.apache.commons.beanutils.bugs.Jira92TestCase,org.apache.commons.beanutils.bugs.Jira92TestCase,False
org.apache.commons.beanutils.bugs.Jira92TestCase.Jira92TestBean,org.apache.commons.beanutils.bugs.Jira92TestCase.Jira92TestBean,False
