old,new,isSame
org.apache.commons.codec.StringDecoder,org.apache.commons.codec.StringDecoder,False
org.apache.commons.codec.Decoder,org.apache.commons.codec.Decoder,False
org.apache.commons.codec.DecoderException,org.apache.commons.codec.DecoderException,True
org.apache.commons.codec.language.RefinedSoundex,org.apache.commons.codec.language.RefinedSoundex,False
org.apache.commons.codec.EncoderException,org.apache.commons.codec.EncoderException,True
org.apache.commons.codec.StringEncoder,org.apache.commons.codec.StringEncoder,False
org.apache.commons.codec.language.SoundexUtils,org.apache.commons.codec.language.SoundexUtils,True
org.apache.commons.codec.net.BCodec,org.apache.commons.codec.net.BCodec,True
org.apache.commons.codec.CharEncoding,org.apache.commons.codec.CharEncoding,True
org.apache.commons.codec.binary.Base64,org.apache.commons.codec.binary.Base64,False
org.apache.commons.codec.net.RFC1522Codec,org.apache.commons.codec.net.RFC1522Codec,True
org.apache.commons.codec.net.QCodecTest,org.apache.commons.codec.net.QCodecTest,True
org.apache.commons.codec.net.QCodec,org.apache.commons.codec.net.QCodec,True
org.apache.commons.codec.digest.DigestUtilsTest,org.apache.commons.codec.digest.DigestUtilsTest,True
org.apache.commons.codec.binary.StringUtils,org.apache.commons.codec.binary.StringUtils,True
org.apache.commons.codec.digest.DigestUtils,org.apache.commons.codec.digest.DigestUtils,True
org.apache.commons.codec.binary.Base64OutputStream,org.apache.commons.codec.binary.Base64OutputStream,False
org.apache.commons.codec.language.RefinedSoundexTest,org.apache.commons.codec.language.RefinedSoundexTest,False
org.apache.commons.codec.StringEncoderAbstractTest,org.apache.commons.codec.StringEncoderAbstractTest,False
org.apache.commons.codec.BinaryDecoder,org.apache.commons.codec.BinaryDecoder,False
org.apache.commons.codec.Encoder,org.apache.commons.codec.Encoder,False
org.apache.commons.codec.language.DoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphone,False
org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,False
org.apache.commons.codec.EncoderExceptionTest,org.apache.commons.codec.EncoderExceptionTest,True
org.apache.commons.codec.binary.Base64TestData,org.apache.commons.codec.binary.Base64TestData,False
org.apache.commons.codec.language.Metaphone,org.apache.commons.codec.language.Metaphone,True
org.apache.commons.codec.binary.Base64Test,org.apache.commons.codec.binary.Base64Test,False
org.apache.commons.codec.binary.Hex,org.apache.commons.codec.binary.Hex,False
org.apache.commons.codec.language.DoubleMetaphone2Test,org.apache.commons.codec.language.DoubleMetaphone2Test,False
org.apache.commons.codec.language.MetaphoneTest,org.apache.commons.codec.language.MetaphoneTest,False
org.apache.commons.codec.binary.Base64OutputStreamTest,org.apache.commons.codec.binary.Base64OutputStreamTest,False
org.apache.commons.codec.net.BCodecTest,org.apache.commons.codec.net.BCodecTest,True
org.apache.commons.codec.BinaryEncoder,org.apache.commons.codec.BinaryEncoder,False
org.apache.commons.codec.net.URLCodec,org.apache.commons.codec.net.URLCodec,False
org.apache.commons.codec.net.Utils,org.apache.commons.codec.net.Utils,True
org.apache.commons.codec.net.QuotedPrintableCodec,org.apache.commons.codec.net.QuotedPrintableCodec,True
org.apache.commons.codec.language.CaverphoneTest,org.apache.commons.codec.language.CaverphoneTest,False
org.apache.commons.codec.StringEncoderComparatorTest,org.apache.commons.codec.StringEncoderComparatorTest,True
org.apache.commons.codec.language.Soundex,org.apache.commons.codec.language.Soundex,False
org.apache.commons.codec.StringEncoderComparator,org.apache.commons.codec.StringEncoderComparator,True
org.apache.commons.codec.language.SoundexTest,org.apache.commons.codec.language.SoundexTest,False
org.apache.commons.codec.net.RFC1522CodecTest,org.apache.commons.codec.net.RFC1522CodecTest,True
org.apache.commons.codec.net.RFC1522CodecTest.RFC1522TestCodec,org.apache.commons.codec.net.RFC1522CodecTest.RFC1522TestCodec,True
org.apache.commons.codec.binary.Base64InputStreamTest,org.apache.commons.codec.binary.Base64InputStreamTest,False
org.apache.commons.codec.binary.Base64InputStream,org.apache.commons.codec.binary.Base64InputStream,False
org.apache.commons.codec.binary.HexTest,org.apache.commons.codec.binary.HexTest,False
org.apache.commons.codec.language.DoubleMetaphoneTest,org.apache.commons.codec.language.DoubleMetaphoneTest,False
org.apache.commons.codec.binary.BinaryCodecTest,org.apache.commons.codec.binary.BinaryCodecTest,False
org.apache.commons.codec.binary.BinaryCodec,org.apache.commons.codec.binary.BinaryCodec,True
org.apache.commons.codec.DecoderExceptionTest,org.apache.commons.codec.DecoderExceptionTest,True
org.apache.commons.codec.language.Caverphone,org.apache.commons.codec.language.Caverphone,False
org.apache.commons.codec.net.QuotedPrintableCodecTest,org.apache.commons.codec.net.QuotedPrintableCodecTest,False
org.apache.commons.codec.net.UtilsTest,org.apache.commons.codec.net.UtilsTest,True
org.apache.commons.codec.net.URLCodecTest,org.apache.commons.codec.net.URLCodecTest,False
org.apache.commons.codec.CharEncodingTest,org.apache.commons.codec.CharEncodingTest,True
org.apache.commons.codec.binary.StringUtilsTest,org.apache.commons.codec.binary.StringUtilsTest,False
org.apache.commons.codec.BinaryEncoderAbstractTest,org.apache.commons.codec.BinaryEncoderAbstractTest,True
