old,new,isSame
org.apache.commons.collections.EnumerationIterator,org.apache.commons.collections.EnumerationIterator,False
org.apache.commons.collections.Predicate,org.apache.commons.collections.Predicate,True
org.apache.commons.collections.ExtendedProperties,org.apache.commons.collections.ExtendedProperties,False
org.apache.commons.collections.ExtendedProperties.PropertiesReader,org.apache.commons.collections.ExtendedProperties.PropertiesReader,False
org.apache.commons.collections.ExtendedProperties.PropertiesTokenizer,org.apache.commons.collections.ExtendedProperties.PropertiesTokenizer,False
org.apache.commons.collections.SoftRefHashMap,org.apache.commons.collections.SoftRefHashMap,True
org.apache.commons.collections.SoftRefHashMap.Entry,org.apache.commons.collections.SoftRefHashMap.Entry,True
org.apache.commons.collections.MapUtils,org.apache.commons.collections.MapUtils,False
org.apache.commons.collections.ArrayIterator,org.apache.commons.collections.ArrayIterator,False
org.apache.commons.collections.TestCursorableLinkedList,org.apache.commons.collections.TestCursorableLinkedList,False
org.apache.commons.collections.TestList,org.apache.commons.collections.TestList,False
org.apache.commons.collections.CursorableLinkedList,org.apache.commons.collections.CursorableLinkedList,True
org.apache.commons.collections.CursorableLinkedList.Cursor,org.apache.commons.collections.CursorableLinkedList.Cursor,True
org.apache.commons.collections.CursorableLinkedList.ListIter,org.apache.commons.collections.CursorableLinkedList.ListIter,True
org.apache.commons.collections.CursorableLinkedList.Listable,org.apache.commons.collections.CursorableLinkedList.Listable,True
org.apache.commons.collections.CursorableSubList,org.apache.commons.collections.CursorableSubList,True
org.apache.commons.collections.FastTreeMap,org.apache.commons.collections.FastTreeMap,True
org.apache.commons.collections.PriorityQueue,org.apache.commons.collections.PriorityQueue,False
org.apache.commons.collections.FilterIterator,org.apache.commons.collections.FilterIterator,False
org.apache.commons.collections.ProxyIterator,org.apache.commons.collections.ProxyIterator,False
org.apache.commons.collections.BeanMap,org.apache.commons.collections.BeanMap,False
org.apache.commons.collections.BeanMap.(Anon_1),org.apache.commons.collections.BeanMap.(Anon_1),False
org.apache.commons.collections.BeanMap.(Anon_2),org.apache.commons.collections.BeanMap.(Anon_2),False
org.apache.commons.collections.BeanMap.(Anon_3),org.apache.commons.collections.BeanMap.(Anon_3),False
org.apache.commons.collections.BeanMap.(Anon_4),org.apache.commons.collections.BeanMap.(Anon_4),False
org.apache.commons.collections.BeanMap.(Anon_5),org.apache.commons.collections.BeanMap.(Anon_5),False
org.apache.commons.collections.BeanMap.(Anon_6),org.apache.commons.collections.BeanMap.(Anon_6),False
org.apache.commons.collections.BeanMap.(Anon_7),org.apache.commons.collections.BeanMap.(Anon_7),False
org.apache.commons.collections.BeanMap.(Anon_8),org.apache.commons.collections.BeanMap.(Anon_8),False
org.apache.commons.collections.BeanMap.MyMapEntry,org.apache.commons.collections.BeanMap.MyMapEntry,False
org.apache.commons.collections.Transformer,org.apache.commons.collections.Transformer,True
org.apache.commons.collections.DefaultMapEntry,org.apache.commons.collections.DefaultMapEntry,False
org.apache.commons.collections.TestTreeMap,org.apache.commons.collections.TestTreeMap,False
org.apache.commons.collections.TestMap,org.apache.commons.collections.TestMap,False
org.apache.commons.collections.TestHashMap,org.apache.commons.collections.TestHashMap,False
org.apache.commons.collections.TestCollectionUtils,org.apache.commons.collections.TestCollectionUtils,True
org.apache.commons.collections.CollectionUtils,org.apache.commons.collections.CollectionUtils,False
org.apache.commons.collections.TestFastArrayList1,org.apache.commons.collections.TestFastArrayList1,True
org.apache.commons.collections.TestFastArrayList,org.apache.commons.collections.TestFastArrayList,False
org.apache.commons.collections.FastArrayList,org.apache.commons.collections.FastArrayList,True
org.apache.commons.collections.ArrayEnumeration,org.apache.commons.collections.ArrayEnumeration,False
org.apache.commons.collections.TestArrayStack,org.apache.commons.collections.TestArrayStack,False
org.apache.commons.collections.TestArrayList,org.apache.commons.collections.TestArrayList,False
org.apache.commons.collections.ArrayStack,org.apache.commons.collections.ArrayStack,True
org.apache.commons.collections.TestCollection,org.apache.commons.collections.TestCollection,True
org.apache.commons.collections.TestArrayIterator,org.apache.commons.collections.TestArrayIterator,False
org.apache.commons.collections.TestFastTreeMap,org.apache.commons.collections.TestFastTreeMap,False
org.apache.commons.collections.Closure,org.apache.commons.collections.Closure,True
org.apache.commons.collections.ListUtils,org.apache.commons.collections.ListUtils,True
org.apache.commons.collections.TestObject,org.apache.commons.collections.TestObject,False
org.apache.commons.collections.TestExtendedProperties,org.apache.commons.collections.TestExtendedProperties,False
org.apache.commons.collections.BinaryHeap,org.apache.commons.collections.BinaryHeap,False
org.apache.commons.collections.SynchronizedPriorityQueue,org.apache.commons.collections.SynchronizedPriorityQueue,False
org.apache.commons.collections.TestSoftRefHashMap,org.apache.commons.collections.TestSoftRefHashMap,False
org.apache.commons.collections.IteratorEnumeration,org.apache.commons.collections.IteratorEnumeration,True
org.apache.commons.collections.LRUMap,org.apache.commons.collections.LRUMap,False
org.apache.commons.collections.TestFastHashMap1,org.apache.commons.collections.TestFastHashMap1,False
org.apache.commons.collections.TestFastHashMap,org.apache.commons.collections.TestFastHashMap,False
org.apache.commons.collections.FastHashMap,org.apache.commons.collections.FastHashMap,True
org.apache.commons.collections.TestLRUMap,org.apache.commons.collections.TestLRUMap,False
org.apache.commons.collections.TestFastTreeMap1,org.apache.commons.collections.TestFastTreeMap1,False
org.apache.commons.collections.TestAll,org.apache.commons.collections.TestAll,False
org.apache.commons.collections.TransformIterator,org.apache.commons.collections.TransformIterator,True
