old,new,isSame
org.apache.commons.compress.archivers.zip.ZipUtil,org.apache.commons.compress.archivers.zip.ZipUtil,False
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,org.apache.commons.compress.archivers.zip.ZipArchiveEntry,False
org.apache.commons.compress.archivers.zip.ZipLong,org.apache.commons.compress.archivers.zip.ZipLong,False
org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField,org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField,True
org.apache.commons.compress.archivers.zip.UnicodeCommentExtraField,org.apache.commons.compress.archivers.zip.UnicodeCommentExtraField,True
org.apache.commons.compress.archivers.zip.UnicodePathExtraField,org.apache.commons.compress.archivers.zip.UnicodePathExtraField,True
org.apache.commons.compress.archivers.zip.ZipEncodingHelper,org.apache.commons.compress.archivers.zip.ZipEncodingHelper,False
org.apache.commons.compress.archivers.zip.ZipEncoding,org.apache.commons.compress.archivers.zip.ZipEncoding,True
org.apache.commons.compress.archivers.zip.GeneralPurposeBit,org.apache.commons.compress.archivers.zip.GeneralPurposeBit,True
org.apache.commons.compress.archivers.zip.UnsupportedZipFeatureException,org.apache.commons.compress.archivers.zip.UnsupportedZipFeatureException,False
org.apache.commons.compress.archivers.zip.UnsupportedZipFeatureException.Feature,org.apache.commons.compress.archivers.zip.UnsupportedZipFeatureException.Feature,False
org.apache.commons.compress.archivers.tar.TarArchiveEntryTest,org.apache.commons.compress.archivers.tar.TarArchiveEntryTest,False
org.apache.commons.compress.AbstractTestCase,org.apache.commons.compress.AbstractTestCase,False
org.apache.commons.compress.archivers.tar.TarConstants,org.apache.commons.compress.archivers.tar.TarConstants,False
org.apache.commons.compress.archivers.tar.TarArchiveEntry,org.apache.commons.compress.archivers.tar.TarArchiveEntry,False
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,False
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,False
org.apache.commons.compress.archivers.ArchiveOutputStream,org.apache.commons.compress.archivers.ArchiveOutputStream,True
org.apache.commons.compress.archivers.ArchiveEntry,org.apache.commons.compress.archivers.ArchiveEntry,True
org.apache.commons.compress.archivers.zip.UnparseableExtraFieldData,org.apache.commons.compress.archivers.zip.UnparseableExtraFieldData,True
org.apache.commons.compress.archivers.zip.ZipExtraField,org.apache.commons.compress.archivers.zip.ZipExtraField,True
org.apache.commons.compress.archivers.zip.ZipShort,org.apache.commons.compress.archivers.zip.ZipShort,False
org.apache.commons.compress.archivers.zip.ExtraFieldUtils,org.apache.commons.compress.archivers.zip.ExtraFieldUtils,False
org.apache.commons.compress.archivers.zip.ExtraFieldUtils.UnparseableExtraField,org.apache.commons.compress.archivers.zip.ExtraFieldUtils.UnparseableExtraField,False
org.apache.commons.compress.archivers.zip.UnixStat,org.apache.commons.compress.archivers.zip.UnixStat,True
org.apache.commons.compress.ArchiveUtilsTest,org.apache.commons.compress.ArchiveUtilsTest,True
org.apache.commons.compress.utils.ArchiveUtils,org.apache.commons.compress.utils.ArchiveUtils,True
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry,org.apache.commons.compress.archivers.cpio.CpioArchiveEntry,True
org.apache.commons.compress.archivers.cpio.CpioConstants,org.apache.commons.compress.archivers.cpio.CpioConstants,True
org.apache.commons.compress.archivers.tar.TarUtilsTest,org.apache.commons.compress.archivers.tar.TarUtilsTest,False
org.apache.commons.compress.utils.CharsetNames,org.apache.commons.compress.utils.CharsetNames,True
org.apache.commons.compress.archivers.tar.TarUtils,org.apache.commons.compress.archivers.tar.TarUtils,False
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField,org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField,False
org.apache.commons.compress.archivers.zip.ZipEightByteInteger,org.apache.commons.compress.archivers.zip.ZipEightByteInteger,False
org.apache.commons.compress.archivers.zip.ZipConstants,org.apache.commons.compress.archivers.zip.ZipConstants,True
org.apache.commons.compress.archivers.DumpTestCase,org.apache.commons.compress.archivers.DumpTestCase,True
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,False
org.apache.commons.compress.utils.IOUtils,org.apache.commons.compress.utils.IOUtils,False
org.apache.commons.compress.archivers.ArchiveInputStream,org.apache.commons.compress.archivers.ArchiveInputStream,False
org.apache.commons.compress.archivers.ArchiveStreamFactory,org.apache.commons.compress.archivers.ArchiveStreamFactory,False
org.apache.commons.compress.archivers.CpioTestCase,org.apache.commons.compress.archivers.CpioTestCase,True
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,False
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,True
org.apache.commons.compress.compressors.xz.XZCompressorInputStream,org.apache.commons.compress.compressors.xz.XZCompressorInputStream,True
org.apache.commons.compress.compressors.CompressorInputStream,org.apache.commons.compress.compressors.CompressorInputStream,True
org.apache.commons.compress.archivers.zip.ZipEightByteIntegerTest,org.apache.commons.compress.archivers.zip.ZipEightByteIntegerTest,True
org.apache.commons.compress.compressors.GzipUtilsTestCase,org.apache.commons.compress.compressors.GzipUtilsTestCase,True
