old,new,isSame
src\main\java\org\apache\commons\compress\archivers\zip\ZipUtil.java,src\main\java\org\apache\commons\compress\archivers\zip\ZipUtil.java,False
src\test\java\org\apache\commons\compress\archivers\tar\TarArchiveEntryTest.java,src\test\java\org\apache\commons\compress\archivers\tar\TarArchiveEntryTest.java,False
src\main\java\org\apache\commons\compress\archivers\zip\ZipArchiveEntry.java,src\main\java\org\apache\commons\compress\archivers\zip\ZipArchiveEntry.java,False
src\test\java\org\apache\commons\compress\ArchiveUtilsTest.java,src\test\java\org\apache\commons\compress\ArchiveUtilsTest.java,True
src\main\java\org\apache\commons\compress\archivers\cpio\CpioArchiveEntry.java,src\main\java\org\apache\commons\compress\archivers\cpio\CpioArchiveEntry.java,True
src\main\java\org\apache\commons\compress\archivers\zip\GeneralPurposeBit.java,src\main\java\org\apache\commons\compress\archivers\zip\GeneralPurposeBit.java,True
src\test\java\org\apache\commons\compress\archivers\tar\TarUtilsTest.java,src\test\java\org\apache\commons\compress\archivers\tar\TarUtilsTest.java,False
src\main\java\org\apache\commons\compress\archivers\zip\Zip64ExtendedInformationExtraField.java,src\main\java\org\apache\commons\compress\archivers\zip\Zip64ExtendedInformationExtraField.java,False
src\test\java\org\apache\commons\compress\archivers\DumpTestCase.java,src\test\java\org\apache\commons\compress\archivers\DumpTestCase.java,True
src\test\java\org\apache\commons\compress\archivers\CpioTestCase.java,src\test\java\org\apache\commons\compress\archivers\CpioTestCase.java,True
src\main\java\org\apache\commons\compress\compressors\xz\XZCompressorInputStream.java,src\main\java\org\apache\commons\compress\compressors\xz\XZCompressorInputStream.java,True
src\test\java\org\apache\commons\compress\archivers\zip\ZipEightByteIntegerTest.java,src\test\java\org\apache\commons\compress\archivers\zip\ZipEightByteIntegerTest.java,True
src\test\java\org\apache\commons\compress\compressors\GzipUtilsTestCase.java,src\test\java\org\apache\commons\compress\compressors\GzipUtilsTestCase.java,True
src\main\java\org\apache\commons\compress\archivers\cpio\CpioArchiveInputStream.java,src\main\java\org\apache\commons\compress\archivers\cpio\CpioArchiveInputStream.java,False
src\main\java\org\apache\commons\compress\compressors\bzip2\BZip2Utils.java,src\main\java\org\apache\commons\compress\compressors\bzip2\BZip2Utils.java,True
src\main\java\org\apache\commons\compress\archivers\dump\DumpArchiveEntry.java,src\main\java\org\apache\commons\compress\archivers\dump\DumpArchiveEntry.java,False
src\main\java\org\apache\commons\compress\compressors\pack200\Pack200CompressorInputStream.java,src\main\java\org\apache\commons\compress\compressors\pack200\Pack200CompressorInputStream.java,True
src\main\java\org\apache\commons\compress\archivers\zip\AsiExtraField.java,src\main\java\org\apache\commons\compress\archivers\zip\AsiExtraField.java,True
src\test\java\org\apache\commons\compress\compressors\XZTestCase.java,src\test\java\org\apache\commons\compress\compressors\XZTestCase.java,True
src\main\java\org\apache\commons\compress\archivers\zip\ZipEncoding.java,src\main\java\org\apache\commons\compress\archivers\zip\ZipEncoding.java,True
src\main\java\org\apache\commons\compress\utils\CharsetNames.java,src\main\java\org\apache\commons\compress\utils\CharsetNames.java,True
src\main\java\org\apache\commons\compress\archivers\dump\DumpArchiveSummary.java,src\main\java\org\apache\commons\compress\archivers\dump\DumpArchiveSummary.java,True
src\test\java\org\apache\commons\compress\archivers\JarTestCase.java,src\test\java\org\apache\commons\compress\archivers\JarTestCase.java,True
src\main\java\org\apache\commons\compress\compressors\gzip\GzipUtils.java,src\main\java\org\apache\commons\compress\compressors\gzip\GzipUtils.java,True
src\main\java\org\apache\commons\compress\archivers\tar\TarArchiveEntry.java,src\main\java\org\apache\commons\compress\archivers\tar\TarArchiveEntry.java,False
src\main\java\org\apache\commons\compress\compressors\pack200\InMemoryCachingStreamBridge.java,src\main\java\org\apache\commons\compress\compressors\pack200\InMemoryCachingStreamBridge.java,True
src\main\java\org\apache\commons\compress\archivers\dump\ShortFileException.java,src\main\java\org\apache\commons\compress\archivers\dump\ShortFileException.java,True
src\test\java\org\apache\commons\compress\compressors\Pack200TestCase.java,src\test\java\org\apache\commons\compress\compressors\Pack200TestCase.java,True
src\test\java\org\apache\commons\compress\archivers\cpio\CpioArchiveInputStreamTest.java,src\test\java\org\apache\commons\compress\archivers\cpio\CpioArchiveInputStreamTest.java,True
src\main\java\org\apache\commons\compress\archivers\zip\UnparseableExtraFieldData.java,src\main\java\org\apache\commons\compress\archivers\zip\UnparseableExtraFieldData.java,True
