old,new,isSame
src\java\org\apache\commons\configuration\SubsetConfiguration.java,src\java\org\apache\commons\configuration\SubsetConfiguration.java,True
src\test\org\apache\commons\configuration\TestCompositeConfigurationNonStringProperties.java,src\test\org\apache\commons\configuration\TestCompositeConfigurationNonStringProperties.java,True
src\test\org\apache\commons\configuration\plist\TestXMLPropertyListConfiguration.java,src\test\org\apache\commons\configuration\plist\TestXMLPropertyListConfiguration.java,True
src\test\org\apache\commons\configuration\TestHierarchicalConfiguration.java,src\test\org\apache\commons\configuration\TestHierarchicalConfiguration.java,False
src\java\org\apache\commons\configuration\ConfigurationKey.java,src\java\org\apache\commons\configuration\ConfigurationKey.java,False
src\test\org\apache\commons\configuration\web\TestServletRequestConfiguration.java,src\test\org\apache\commons\configuration\web\TestServletRequestConfiguration.java,True
src\java\org\apache\commons\configuration\web\ServletRequestConfiguration.java,src\java\org\apache\commons\configuration\web\ServletRequestConfiguration.java,True
src\test\org\apache\commons\configuration\TestBaseConfiguration.java,src\test\org\apache\commons\configuration\TestBaseConfiguration.java,False
src\test\org\apache\commons\configuration\test\HsqlDB.java,src\test\org\apache\commons\configuration\test\HsqlDB.java,True
src\test\org\apache\commons\configuration\TestMapConfiguration.java,src\test\org\apache\commons\configuration\TestMapConfiguration.java,False
src\test\org\apache\commons\configuration\TestPropertiesConfiguration.java,src\test\org\apache\commons\configuration\TestPropertiesConfiguration.java,False
src\java\org\apache\commons\configuration\plist\PropertyListParserConstants.java,src\java\org\apache\commons\configuration\plist\PropertyListParserConstants.java,True
src\java\org\apache\commons\configuration\plist\PropertyListParser.java,src\java\org\apache\commons\configuration\plist\PropertyListParser.java,True
src\java\org\apache\commons\configuration\AbstractHierarchicalFileConfiguration.java,src\java\org\apache\commons\configuration\AbstractHierarchicalFileConfiguration.java,False
src\java\org\apache\commons\configuration\PropertiesConfiguration.java,src\java\org\apache\commons\configuration\PropertiesConfiguration.java,False
src\test\org\apache\commons\configuration\TestXMLConfiguration.java,src\test\org\apache\commons\configuration\TestXMLConfiguration.java,False
src\java\org\apache\commons\configuration\plist\SimpleCharStream.java,src\java\org\apache\commons\configuration\plist\SimpleCharStream.java,True
src\test\org\apache\commons\configuration\TestEqualsProperty.java,src\test\org\apache\commons\configuration\TestEqualsProperty.java,True
src\java\org\apache\commons\configuration\plist\Token.java,src\java\org\apache\commons\configuration\plist\Token.java,True
src\test\org\apache\commons\configuration\TestDataConfiguration.java,src\test\org\apache\commons\configuration\TestDataConfiguration.java,False
src\test\org\apache\commons\configuration\TestSystemConfiguration.java,src\test\org\apache\commons\configuration\TestSystemConfiguration.java,True
src\test\org\apache\commons\configuration\TestThreesomeConfiguration.java,src\test\org\apache\commons\configuration\TestThreesomeConfiguration.java,True
src\test\org\apache\commons\configuration\TestStrictConfigurationComparator.java,src\test\org\apache\commons\configuration\TestStrictConfigurationComparator.java,True
src\test\org\apache\commons\configuration\NonStringTestHolder.java,src\test\org\apache\commons\configuration\NonStringTestHolder.java,True
src\java\org\apache\commons\configuration\MapConfiguration.java,src\java\org\apache\commons\configuration\MapConfiguration.java,False
src\test\org\apache\commons\configuration\TestBaseNullConfiguration.java,src\test\org\apache\commons\configuration\TestBaseNullConfiguration.java,True
src\java\org\apache\commons\configuration\StrictConfigurationComparator.java,src\java\org\apache\commons\configuration\StrictConfigurationComparator.java,True
src\java\org\apache\commons\configuration\ConfigurationException.java,src\java\org\apache\commons\configuration\ConfigurationException.java,False
src\test\org\apache\commons\configuration\TestXMLPropertiesConfiguration.java,src\test\org\apache\commons\configuration\TestXMLPropertiesConfiguration.java,True
src\test\org\apache\commons\configuration\BaseNonStringProperties.java,src\test\org\apache\commons\configuration\BaseNonStringProperties.java,True
src\test\org\apache\commons\configuration\TestSubsetConfiguration.java,src\test\org\apache\commons\configuration\TestSubsetConfiguration.java,True
src\java\org\apache\commons\configuration\BaseConfiguration.java,src\java\org\apache\commons\configuration\BaseConfiguration.java,False
src\test\org\apache\commons\configuration\TestPropertiesSequence.java,src\test\org\apache\commons\configuration\TestPropertiesSequence.java,True
src\test\org\apache\commons\configuration\plist\TestPropertyListParser.java,src\test\org\apache\commons\configuration\plist\TestPropertyListParser.java,True
src\test\org\apache\commons\configuration\TestDatabaseConfiguration.java,src\test\org\apache\commons\configuration\TestDatabaseConfiguration.java,True
src\java\org\apache\commons\configuration\plist\ParseException.java,src\java\org\apache\commons\configuration\plist\ParseException.java,True
src\test\org\apache\commons\configuration\web\TestServletContextConfiguration.java,src\test\org\apache\commons\configuration\web\TestServletContextConfiguration.java,True
src\java\org\apache\commons\configuration\ConfigurationConverter.java,src\java\org\apache\commons\configuration\ConfigurationConverter.java,False
src\java\org\apache\commons\configuration\AbstractFileConfiguration.java,src\java\org\apache\commons\configuration\AbstractFileConfiguration.java,False
src\test\org\apache\commons\configuration\TestAbstractConfiguration.java,src\test\org\apache\commons\configuration\TestAbstractConfiguration.java,True
src\java\org\apache\commons\configuration\SystemConfiguration.java,src\java\org\apache\commons\configuration\SystemConfiguration.java,True
src\java\org\apache\commons\configuration\plist\XMLPropertyListConfiguration.java,src\java\org\apache\commons\configuration\plist\XMLPropertyListConfiguration.java,False
src\test\org\apache\commons\configuration\TestNonStringProperties.java,src\test\org\apache\commons\configuration\TestNonStringProperties.java,True
src\java\org\apache\commons\configuration\ConfigurationRuntimeException.java,src\java\org\apache\commons\configuration\ConfigurationRuntimeException.java,False
src\test\org\apache\commons\configuration\TestJNDIConfiguration.java,src\test\org\apache\commons\configuration\TestJNDIConfiguration.java,True
src\test\org\apache\commons\configuration\TestConfigurationUtils.java,src\test\org\apache\commons\configuration\TestConfigurationUtils.java,False
src\java\org\apache\commons\configuration\plist\TokenMgrError.java,src\java\org\apache\commons\configuration\plist\TokenMgrError.java,True
src\java\org\apache\commons\configuration\web\ServletConfiguration.java,src\java\org\apache\commons\configuration\web\ServletConfiguration.java,False
src\java\org\apache\commons\configuration\web\BaseWebConfiguration.java,src\java\org\apache\commons\configuration\web\BaseWebConfiguration.java,True
src\java\org\apache\commons\configuration\ConfigurationUtils.java,src\java\org\apache\commons\configuration\ConfigurationUtils.java,False
src\test\org\apache\commons\configuration\TestHierarchicalConfigurationXMLReader.java,src\test\org\apache\commons\configuration\TestHierarchicalConfigurationXMLReader.java,False
src\java\org\apache\commons\configuration\web\ServletContextConfiguration.java,src\java\org\apache\commons\configuration\web\ServletContextConfiguration.java,False
src\test\org\apache\commons\configuration\TestJNDIEnvironmentValues.java,src\test\org\apache\commons\configuration\TestJNDIEnvironmentValues.java,True
src\java\org\apache\commons\configuration\XMLConfiguration.java,src\java\org\apache\commons\configuration\XMLConfiguration.java,False
src\test\org\apache\commons\configuration\TestEqualBehaviour.java,src\test\org\apache\commons\configuration\TestEqualBehaviour.java,True
src\test\org\apache\commons\configuration\TestNullCompositeConfiguration.java,src\test\org\apache\commons\configuration\TestNullCompositeConfiguration.java,True
src\test\org\apache\commons\configuration\plist\TestPropertyListConfiguration.java,src\test\org\apache\commons\configuration\plist\TestPropertyListConfiguration.java,True
src\java\org\apache\commons\configuration\beanutils\ConfigurationDynaClass.java,src\java\org\apache\commons\configuration\beanutils\ConfigurationDynaClass.java,True
src\test\org\apache\commons\configuration\beanutils\TestConfigurationDynaBean.java,src\test\org\apache\commons\configuration\beanutils\TestConfigurationDynaBean.java,False
src\java\org\apache\commons\configuration\reloading\FileChangedReloadingStrategy.java,src\java\org\apache\commons\configuration\reloading\FileChangedReloadingStrategy.java,True
src\test\org\apache\commons\configuration\web\TestAppletConfiguration.java,src\test\org\apache\commons\configuration\web\TestAppletConfiguration.java,False
src\test\org\apache\commons\configuration\TestCompositeConfiguration.java,src\test\org\apache\commons\configuration\TestCompositeConfiguration.java,False
src\test\org\apache\commons\configuration\TestPropertyConverter.java,src\test\org\apache\commons\configuration\TestPropertyConverter.java,False
src\test\org\apache\commons\configuration\TestFileConfiguration.java,src\test\org\apache\commons\configuration\TestFileConfiguration.java,False
src\java\org\apache\commons\configuration\DatabaseConfiguration.java,src\java\org\apache\commons\configuration\DatabaseConfiguration.java,True
src\java\org\apache\commons\configuration\ConfigurationMap.java,src\java\org\apache\commons\configuration\ConfigurationMap.java,True
src\test\org\apache\commons\configuration\web\TestServletConfiguration.java,src\test\org\apache\commons\configuration\web\TestServletConfiguration.java,True
src\test\org\apache\commons\configuration\TestConfigurationFactory.java,src\test\org\apache\commons\configuration\TestConfigurationFactory.java,False
src\java\org\apache\commons\configuration\plist\PropertyListParserTokenManager.java,src\java\org\apache\commons\configuration\plist\PropertyListParserTokenManager.java,True
src\test\org\apache\commons\configuration\TestBaseConfigurationXMLReader.java,src\test\org\apache\commons\configuration\TestBaseConfigurationXMLReader.java,False
src\java\org\apache\commons\configuration\BaseConfigurationXMLReader.java,src\java\org\apache\commons\configuration\BaseConfigurationXMLReader.java,True
src\java\org\apache\commons\configuration\HierarchicalConfigurationConverter.java,src\java\org\apache\commons\configuration\HierarchicalConfigurationConverter.java,True
src\java\org\apache\commons\configuration\web\ServletFilterConfiguration.java,src\java\org\apache\commons\configuration\web\ServletFilterConfiguration.java,False
src\java\org\apache\commons\configuration\DataConfiguration.java,src\java\org\apache\commons\configuration\DataConfiguration.java,False
src\java\org\apache\commons\configuration\JNDIConfiguration.java,src\java\org\apache\commons\configuration\JNDIConfiguration.java,True
src\java\org\apache\commons\configuration\reloading\ReloadingStrategy.java,src\java\org\apache\commons\configuration\reloading\ReloadingStrategy.java,True
src\java\org\apache\commons\configuration\FileConfiguration.java,src\java\org\apache\commons\configuration\FileConfiguration.java,True
src\java\org\apache\commons\configuration\ConfigurationComparator.java,src\java\org\apache\commons\configuration\ConfigurationComparator.java,True
src\java\org\apache\commons\configuration\reloading\InvariantReloadingStrategy.java,src\java\org\apache\commons\configuration\reloading\InvariantReloadingStrategy.java,True
src\test\org\apache\commons\configuration\TestConfigurationSet.java,src\test\org\apache\commons\configuration\TestConfigurationSet.java,True
src\test-cactus\org\apache\commons\configuration\TestConfigurationFactoryWithJNDI.java,src\test-cactus\org\apache\commons\configuration\TestConfigurationFactoryWithJNDI.java,True
src\java\org\apache\commons\configuration\HierarchicalConfiguration.java,src\java\org\apache\commons\configuration\HierarchicalConfiguration.java,False
src\java\org\apache\commons\configuration\plist\PropertyListConfiguration.java,src\java\org\apache\commons\configuration\plist\PropertyListConfiguration.java,False
src\test-cactus\org\apache\commons\configuration\TestJNDIAndCompositeConfiguration.java,src\test-cactus\org\apache\commons\configuration\TestJNDIAndCompositeConfiguration.java,True
src\java\org\apache\commons\configuration\HierarchicalXMLConfiguration.java,src\java\org\apache\commons\configuration\HierarchicalXMLConfiguration.java,False
src\test\org\apache\commons\configuration\TestNullJNDIEnvironmentValues.java,src\test\org\apache\commons\configuration\TestNullJNDIEnvironmentValues.java,True
src\java\org\apache\commons\configuration\HierarchicalConfigurationXMLReader.java,src\java\org\apache\commons\configuration\HierarchicalConfigurationXMLReader.java,False
src\test\org\apache\commons\configuration\web\TestServletFilterConfiguration.java,src\test\org\apache\commons\configuration\web\TestServletFilterConfiguration.java,True
src\java\org\apache\commons\configuration\Configuration.java,src\java\org\apache\commons\configuration\Configuration.java,True
src\java\org\apache\commons\configuration\beanutils\ConfigurationDynaBean.java,src\java\org\apache\commons\configuration\beanutils\ConfigurationDynaBean.java,True
src\java\org\apache\commons\configuration\CompositeConfiguration.java,src\java\org\apache\commons\configuration\CompositeConfiguration.java,False
src\java\org\apache\commons\configuration\ConfigurationFactory.java,src\java\org\apache\commons\configuration\ConfigurationFactory.java,False
src\test\org\apache\commons\configuration\MockStaticMemoryInitialContextFactory.java,src\test\org\apache\commons\configuration\MockStaticMemoryInitialContextFactory.java,True
