old,new,isSame
org.apache.commons.dbcp.PoolableConnection,org.apache.commons.dbcp.PoolableConnection,True
org.apache.commons.dbcp.DelegatingConnection,org.apache.commons.dbcp.DelegatingConnection,False
org.apache.commons.dbcp.AbandonedConfig,org.apache.commons.dbcp.AbandonedConfig,True
org.apache.commons.dbcp.SQLNestedException,org.apache.commons.dbcp.SQLNestedException,True
org.apache.commons.dbcp.DbcpException,org.apache.commons.dbcp.DbcpException,True
org.apache.commons.dbcp.TestPoolableConnection,org.apache.commons.dbcp.TestPoolableConnection,True
org.apache.commons.dbcp.PoolableConnectionFactory,org.apache.commons.dbcp.PoolableConnectionFactory,True
org.apache.commons.dbcp.TesterDriver,org.apache.commons.dbcp.TesterDriver,True
org.apache.commons.dbcp.DriverConnectionFactory,org.apache.commons.dbcp.DriverConnectionFactory,True
org.apache.commons.dbcp.managed.ManagedDataSource,org.apache.commons.dbcp.managed.ManagedDataSource,True
org.apache.commons.dbcp.PoolingDataSource,org.apache.commons.dbcp.PoolingDataSource,False
org.apache.commons.dbcp.managed.TransactionRegistry,org.apache.commons.dbcp.managed.TransactionRegistry,True
org.apache.commons.dbcp.managed.ManagedConnection,org.apache.commons.dbcp.managed.ManagedConnection,True
org.apache.commons.dbcp.managed.PoolableManagedConnection,org.apache.commons.dbcp.managed.PoolableManagedConnection,True
org.apache.commons.dbcp.datasources.InstanceKeyDataSource,org.apache.commons.dbcp.datasources.InstanceKeyDataSource,False
org.apache.commons.dbcp.datasources.PooledConnectionAndInfo,org.apache.commons.dbcp.datasources.PooledConnectionAndInfo,True
org.apache.commons.dbcp.datasources.PooledConnectionManager,org.apache.commons.dbcp.datasources.PooledConnectionManager,True
org.apache.commons.dbcp.datasources.UserPassKey,org.apache.commons.dbcp.datasources.UserPassKey,True
org.apache.commons.dbcp.datasources.InstanceKeyObjectFactory,org.apache.commons.dbcp.datasources.InstanceKeyObjectFactory,True
org.apache.commons.dbcp.cpdsadapter.PoolablePreparedStatementStub,org.apache.commons.dbcp.cpdsadapter.PoolablePreparedStatementStub,True
org.apache.commons.dbcp.PoolablePreparedStatement,org.apache.commons.dbcp.PoolablePreparedStatement,True
org.apache.commons.dbcp.TestJOCLed,org.apache.commons.dbcp.TestJOCLed,True
org.apache.commons.dbcp.TestConnectionPool,org.apache.commons.dbcp.TestConnectionPool,True
org.apache.commons.dbcp.PoolingDriver,org.apache.commons.dbcp.PoolingDriver,True
org.apache.commons.dbcp.TesterConnection,org.apache.commons.dbcp.TesterConnection,False
org.apache.commons.dbcp.TesterDatabaseMetaData,org.apache.commons.dbcp.TesterDatabaseMetaData,False
org.apache.commons.dbcp.TesterStatement,org.apache.commons.dbcp.TesterStatement,False
org.apache.commons.dbcp.TesterCallableStatement,org.apache.commons.dbcp.TesterCallableStatement,False
