old,new,isSame
src\test\java\org\apache\commons\dbcp2\TesterConnection.java,src\test\java\org\apache\commons\dbcp2\TesterConnection.java,True
src\test\java\org\apache\commons\dbcp2\datasources\TestFactory.java,src\test\java\org\apache\commons\dbcp2\datasources\TestFactory.java,True
src\test\java\org\apache\commons\dbcp2\TestDelegatingStatement.java,src\test\java\org\apache\commons\dbcp2\TestDelegatingStatement.java,True
src\main\java\org\apache\commons\dbcp2\datasources\PooledConnectionManager.java,src\main\java\org\apache\commons\dbcp2\datasources\PooledConnectionManager.java,True
src\main\java\org\apache\commons\dbcp2\PStmtKey.java,src\main\java\org\apache\commons\dbcp2\PStmtKey.java,True
src\main\java\org\apache\commons\dbcp2\Utils.java,src\main\java\org\apache\commons\dbcp2\Utils.java,True
src\main\java\org\apache\commons\dbcp2\DelegatingPreparedStatement.java,src\main\java\org\apache\commons\dbcp2\DelegatingPreparedStatement.java,True
src\main\java\org\apache\commons\dbcp2\managed\BasicManagedDataSource.java,src\main\java\org\apache\commons\dbcp2\managed\BasicManagedDataSource.java,True
src\test\java\org\apache\commons\dbcp2\TesterResultSet.java,src\test\java\org\apache\commons\dbcp2\TesterResultSet.java,True
src\main\java\org\apache\commons\dbcp2\AbandonedTrace.java,src\main\java\org\apache\commons\dbcp2\AbandonedTrace.java,False
src\test\java\org\apache\commons\dbcp2\datasources\TestKeyedCPDSConnectionFactory.java,src\test\java\org\apache\commons\dbcp2\datasources\TestKeyedCPDSConnectionFactory.java,True
src\test\java\org\apache\commons\dbcp2\datasources\ConnectionPoolDataSourceProxy.java,src\test\java\org\apache\commons\dbcp2\datasources\ConnectionPoolDataSourceProxy.java,True
src\test\java\org\apache\commons\dbcp2\cpdsadapter\TestDriverAdapterCPDS.java,src\test\java\org\apache\commons\dbcp2\cpdsadapter\TestDriverAdapterCPDS.java,False
src\main\java\org\apache\commons\dbcp2\DelegatingConnection.java,src\main\java\org\apache\commons\dbcp2\DelegatingConnection.java,True
src\test\java\org\apache\commons\dbcp2\TestDriverManagerConnectionFactory.java,src\test\java\org\apache\commons\dbcp2\TestDriverManagerConnectionFactory.java,True
src\test\java\org\apache\commons\dbcp2\TestConnectionPool.java,src\test\java\org\apache\commons\dbcp2\TestConnectionPool.java,True
src\test\java\org\apache\commons\dbcp2\datasources\TestCPDSConnectionFactory.java,src\test\java\org\apache\commons\dbcp2\datasources\TestCPDSConnectionFactory.java,True
src\test\java\org\apache\commons\dbcp2\managed\TestManagedDataSource.java,src\test\java\org\apache\commons\dbcp2\managed\TestManagedDataSource.java,True
src\main\java\org\apache\commons\dbcp2\DriverManagerConnectionFactory.java,src\main\java\org\apache\commons\dbcp2\DriverManagerConnectionFactory.java,True
src\main\java\org\apache\commons\dbcp2\cpdsadapter\ConnectionImpl.java,src\main\java\org\apache\commons\dbcp2\cpdsadapter\ConnectionImpl.java,True
src\test\java\org\apache\commons\dbcp2\TesterClassLoader.java,src\test\java\org\apache\commons\dbcp2\TesterClassLoader.java,True
src\test\java\org\apache\commons\dbcp2\TestAbandonedBasicDataSource.java,src\test\java\org\apache\commons\dbcp2\TestAbandonedBasicDataSource.java,True
src\main\java\org\apache\commons\dbcp2\datasources\PooledConnectionAndInfo.java,src\main\java\org\apache\commons\dbcp2\datasources\PooledConnectionAndInfo.java,True
src\main\java\org\apache\commons\dbcp2\BasicDataSource.java,src\main\java\org\apache\commons\dbcp2\BasicDataSource.java,False
src\main\java\org\apache\commons\dbcp2\datasources\PoolKey.java,src\main\java\org\apache\commons\dbcp2\datasources\PoolKey.java,True
