old,new,isSame
src\java\org\apache\jcs\auxiliary\lateral\javagroups\LateralJGService.java,auxiliary-builds\jdk14\src\java\org\apache\jcs\auxiliary\lateral\javagroups\LateralJGService.java,False
src\java\org\apache\jcs\engine\memory\lru\LRUMemoryCache.java,src\java\org\apache\jcs\engine\memory\lru\LRUMemoryCache.java,False
src\java\org\apache\jcs\auxiliary\disk\indexed\IndexedDiskCacheFactory.java,src\java\org\apache\jcs\auxiliary\disk\indexed\IndexedDiskCacheFactory.java,False
src\java\org\apache\jcs\auxiliary\lateral\ZombieLateralCacheService.java,src\java\org\apache\jcs\auxiliary\lateral\ZombieLateralCacheService.java,False
src\java\org\apache\jcs\auxiliary\lateral\LateralElementDescriptor.java,src\java\org\apache\jcs\auxiliary\lateral\LateralElementDescriptor.java,False
src\test\org\apache\jcs\auxiliary\lateral\http\broadcast\LateralCacheTester.java,src\test\org\apache\jcs\auxiliary\lateral\http\broadcast\LateralCacheTester.java,True
src\java\org\apache\jcs\auxiliary\remote\RemoteCacheListener.java,src\java\org\apache\jcs\auxiliary\remote\RemoteCacheListener.java,False
src\java\org\apache\jcs\auxiliary\disk\AbstractDiskCache.java,src\java\org\apache\jcs\auxiliary\disk\AbstractDiskCache.java,False
src\java\org\apache\jcs\engine\behavior\ICompositeCacheAttributes.java,src\java\org\apache\jcs\engine\behavior\ICompositeCacheAttributes.java,False
src\java\org\apache\jcs\engine\ZombieCacheWatch.java,src\java\org\apache\jcs\engine\ZombieCacheWatch.java,False
src\java\org\apache\jcs\auxiliary\lateral\javagroups\behavior\ILateralCacheJGListener.java,auxiliary-builds\jdk14\src\java\org\apache\jcs\auxiliary\lateral\javagroups\behavior\ILateralCacheJGListener.java,True
src\java\org\apache\jcs\auxiliary\remote\behavior\IRemoteCacheAttributes.java,src\java\org\apache\jcs\auxiliary\remote\behavior\IRemoteCacheAttributes.java,False
src\experimental\org\apache\jcs\auxiliary\lateral\socket\udp\LateralUDPService.java,src\experimental\org\apache\jcs\auxiliary\lateral\socket\udp\LateralUDPService.java,True
src\java\org\apache\jcs\engine\CacheInfo.java,src\java\org\apache\jcs\engine\CacheInfo.java,False
src\java\org\apache\jcs\engine\behavior\ICacheServiceAdmin.java,src\java\org\apache\jcs\engine\behavior\ICacheServiceAdmin.java,True
src\java\org\apache\jcs\engine\CacheWatchRepairable.java,src\java\org\apache\jcs\engine\CacheWatchRepairable.java,False
src\java\org\apache\jcs\access\exception\InvalidArgumentException.java,src\java\org\apache\jcs\access\exception\InvalidArgumentException.java,False
src\java\org\apache\jcs\access\exception\NotARetrievableObjectException.java,src\java\org\apache\jcs\access\exception\NotARetrievableObjectException.java,False
src\experimental\org\apache\jcs\auxiliary\lateral\xmlrpc\LateralXMLRPCSender.java,src\experimental\org\apache\jcs\auxiliary\lateral\xmlrpc\LateralXMLRPCSender.java,True
src\experimental\org\apache\jcs\auxiliary\lateral\http\remove\DeleteLateralCacheUnicaster.java,src\experimental\org\apache\jcs\auxiliary\lateral\http\remove\DeleteLateralCacheUnicaster.java,True
src\java\org\apache\jcs\auxiliary\disk\indexed\IndexedDiskDumper.java,src\java\org\apache\jcs\auxiliary\disk\indexed\IndexedDiskDumper.java,False
src\java\org\apache\jcs\engine\CacheListeners.java,src\java\org\apache\jcs\engine\CacheListeners.java,True
src\java\org\apache\jcs\auxiliary\lateral\javagroups\utils\JGSocketOpener.java,auxiliary-builds\jdk14\src\java\org\apache\jcs\auxiliary\lateral\javagroups\utils\JGSocketOpener.java,False
src\java\org\apache\jcs\auxiliary\lateral\LateralCacheWatchRepairable.java,src\java\org\apache\jcs\auxiliary\lateral\LateralCacheWatchRepairable.java,True
src\experimental\org\apache\jcs\auxiliary\lateral\xmlrpc\LateralXMLRPCService.java,src\experimental\org\apache\jcs\auxiliary\lateral\xmlrpc\LateralXMLRPCService.java,True
src\java\org\apache\jcs\auxiliary\remote\RemoteCacheNoWait.java,src\java\org\apache\jcs\auxiliary\remote\RemoteCacheNoWait.java,False
src\experimental\org\apache\jcs\auxiliary\lateral\xmlrpc\utils\XMLRPCSocketOpener.java,src\experimental\org\apache\jcs\auxiliary\lateral\xmlrpc\utils\XMLRPCSocketOpener.java,True
src\java\org\apache\jcs\engine\behavior\IElementAttributes.java,src\java\org\apache\jcs\engine\behavior\IElementAttributes.java,False
src\java\org\apache\jcs\auxiliary\lateral\LateralCacheManager.java,auxiliary-builds\jdk14\src\java\org\apache\jcs\auxiliary\lateral\LateralCacheManager.java,False
src\java\org\apache\jcs\access\exception\ObjectNotFoundException.java,src\java\org\apache\jcs\access\exception\ObjectNotFoundException.java,False
src\java\org\apache\jcs\auxiliary\remote\RemoteCache.java,src\java\org\apache\jcs\auxiliary\remote\RemoteCache.java,False
src\java\org\apache\jcs\auxiliary\lateral\javagroups\LateralGroupCacheJGListener.java,auxiliary-builds\jdk14\src\java\org\apache\jcs\auxiliary\lateral\javagroups\LateralGroupCacheJGListener.java,False
src\java\org\apache\jcs\auxiliary\remote\RemoteUtils.java,src\java\org\apache\jcs\auxiliary\remote\RemoteUtils.java,False
src\java\org\apache\jcs\auxiliary\lateral\javagroups\LateralCacheJGListener.java,auxiliary-builds\jdk14\src\java\org\apache\jcs\auxiliary\lateral\javagroups\LateralCacheJGListener.java,False
src\java\org\apache\jcs\admin\JCSAdminBean.java,src\java\org\apache\jcs\admin\JCSAdminBean.java,False
src\experimental\org\apache\jcs\engine\memory\arc\ARCMemoryCache.java,src\experimental\org\apache\jcs\engine\memory\arc\ARCMemoryCache.java,False
src\java\org\apache\jcs\auxiliary\remote\behavior\IRemoteCacheListener.java,src\java\org\apache\jcs\auxiliary\remote\behavior\IRemoteCacheListener.java,False
src\java\org\apache\jcs\engine\memory\AbstractMemoryCache.java,src\java\org\apache\jcs\engine\memory\AbstractMemoryCache.java,False
src\java\org\apache\jcs\auxiliary\lateral\LateralCacheMonitor.java,src\java\org\apache\jcs\auxiliary\lateral\LateralCacheMonitor.java,False
src\java\org\apache\jcs\auxiliary\javagroups\JavaGroupsCacheFactory.java,auxiliary-builds\javagroups\src\java\org\apache\jcs\auxiliary\javagroups\JavaGroupsCacheFactory.java,False
src\java\org\apache\jcs\auxiliary\AuxiliaryCacheFactory.java,src\java\org\apache\jcs\auxiliary\AuxiliaryCacheFactory.java,False
src\java\org\apache\jcs\auxiliary\remote\RemoteCacheMonitor.java,src\java\org\apache\jcs\auxiliary\remote\RemoteCacheMonitor.java,False
src\experimental\org\apache\jcs\auxiliary\lateral\http\broadcast\LateralCacheUnicaster.java,src\experimental\org\apache\jcs\auxiliary\lateral\http\broadcast\LateralCacheUnicaster.java,True
src\java\org\apache\jcs\access\behavior\IGroupCacheAccess.java,src\java\org\apache\jcs\access\behavior\IGroupCacheAccess.java,True
src\java\org\apache\jcs\engine\behavior\ICache.java,sandbox\yajcache\src\org\apache\jcs\yajcache\core\ICache.java,False
src\java\org\apache\jcs\admin\CountingOnlyOutputStream.java,src\java\org\apache\jcs\admin\CountingOnlyOutputStream.java,False
auxiliary-builds\javagroups\src\java\org\apache\jcs\auxiliary\javagroups\JavaGroupsCacheAttributes.java,auxiliary-builds\jdk14\src\java\org\apache\jcs\auxiliary\javagroups\JavaGroupsCacheAttributes.java,False
src\java\org\apache\jcs\engine\memory\util\DoubleLinkedListNode.java,src\java\org\apache\jcs\utils\struct\DoubleLinkedListNode.java,False
src\test\org\apache\jcs\access\TestCacheAccess.java,src\test\org\apache\jcs\access\TestCacheAccess.java,False
auxiliary-builds\javagroups\src\test\org\apache\jcs\auxiliary\javagroups\JavaGroupsCacheWithGetTest.java,auxiliary-builds\javagroups\src\test\org\apache\jcs\auxiliary\javagroups\JavaGroupsCacheWithGetTest.java,True
src\java\org\apache\jcs\utils\struct\SortedPreferentialArray.java,src\java\org\apache\jcs\utils\struct\SortedPreferentialArray.java,False
src\java\org\apache\jcs\auxiliary\lateral\LateralCacheFactory.java,auxiliary-builds\jdk14\src\java\org\apache\jcs\auxiliary\lateral\LateralCacheFactory.java,False
src\java\org\apache\jcs\engine\behavior\ICacheType.java,src\java\org\apache\jcs\engine\behavior\ICacheType.java,True
src\java\org\apache\jcs\auxiliary\lateral\LateralCacheRestore.java,src\java\org\apache\jcs\auxiliary\lateral\LateralCacheRestore.java,False
src\java\org\apache\jcs\auxiliary\remote\behavior\IRemoteCacheServiceAdmin.java,src\java\org\apache\jcs\auxiliary\remote\behavior\IRemoteCacheServiceAdmin.java,True
src\test\org\apache\jcs\servlet\ListTestCacheServlet.java,src\test\org\apache\jcs\servlet\ListTestCacheServlet.java,False
