old,new,isSame
ArrayExample,ArrayExample,False
org.apache.commons.jexl.Expression,org.apache.commons.jexl.Expression,True
org.apache.commons.jexl.ExpressionFactory,org.apache.commons.jexl.ExpressionFactory,False
org.apache.commons.jexl.JexlContext,org.apache.commons.jexl.JexlContext,True
org.apache.commons.jexl.JexlHelper,org.apache.commons.jexl.JexlHelper,True
org.apache.commons.jexl.parser.SimpleNode,org.apache.commons.jexl.parser.SimpleNode,False
org.apache.commons.jexl.parser.Node,org.apache.commons.jexl.parser.Node,False
org.apache.commons.jexl.parser.Parser,org.apache.commons.jexl.parser.Parser,False
org.apache.commons.jexl.parser.ParserVisitor,org.apache.commons.jexl.parser.ParserVisitor,False
org.apache.commons.jexl.parser.ParserTreeConstants,org.apache.commons.jexl.parser.ParserTreeConstants,False
org.apache.commons.jexl.parser.ASTIntegerLiteral,org.apache.commons.jexl.parser.ASTIntegerLiteral,False
org.apache.commons.jexl.parser.ASTArrayAccess,org.apache.commons.jexl.parser.ASTArrayAccess,False
org.apache.commons.jexl.parser.ASTJexlScript,org.apache.commons.jexl.parser.ASTJexlScript,False
org.apache.commons.jexl.parser.Token,org.apache.commons.jexl.parser.Token,True
org.apache.commons.jexl.parser.ASTBitwiseOrNode,org.apache.commons.jexl.parser.ASTBitwiseOrNode,False
org.apache.commons.jexl.util.Coercion,org.apache.commons.jexl.util.Coercion,False
org.apache.commons.jexl.parser.ASTExpressionExpression,org.apache.commons.jexl.parser.ASTExpressionExpression,True
org.apache.commons.jexl.parser.ASTForeachStatement,org.apache.commons.jexl.parser.ASTForeachStatement,False
org.apache.commons.jexl.parser.ASTIfStatement,org.apache.commons.jexl.parser.ASTIfStatement,False
org.apache.commons.jexl.parser.ASTReferenceExpression,org.apache.commons.jexl.parser.ASTReferenceExpression,False
org.apache.commons.jexl.parser.ASTStatementExpression,org.apache.commons.jexl.parser.ASTStatementExpression,False
org.apache.commons.jexl.parser.ASTWhileStatement,org.apache.commons.jexl.parser.ASTWhileStatement,False
org.apache.commons.jexl.parser.ParseException,org.apache.commons.jexl.parser.ParseException,False
org.apache.commons.jexl.parser.TokenMgrError,org.apache.commons.jexl.parser.TokenMgrError,False
org.apache.commons.jexl.ExpressionImpl,org.apache.commons.jexl.ExpressionImpl,False
org.apache.commons.jexl.util.ArrayIterator,org.apache.commons.jexl.util.ArrayIterator,False
org.apache.commons.jexl.util.introspection.UberspectImpl,org.apache.commons.jexl.util.introspection.UberspectImpl,False
org.apache.commons.jexl.util.introspection.UberspectImpl.VelGetterImpl,org.apache.commons.jexl.util.introspection.UberspectImpl.VelGetterImpl,False
org.apache.commons.jexl.util.introspection.UberspectImpl.VelMethodImpl,org.apache.commons.jexl.util.introspection.UberspectImpl.VelMethodImpl,False
