old,new,isSame
src\java\org\apache\commons\lang\SystemUtils.java,src\java\org\apache\commons\lang\SystemUtils.java,False
src\test\org\apache\commons\lang\enum\DummyEnum.java,src\test\org\apache\commons\lang\enum\DummyEnum.java,True
src\java\org\apache\commons\lang\math\DoubleRange.java,src\java\org\apache\commons\lang\math\DoubleRange.java,False
src\java\org\apache\commons\lang\ArrayUtils.java,src\java\org\apache\commons\lang\ArrayUtils.java,False
src\java\org\apache\commons\lang\IllegalClassException.java,src\java\org\apache\commons\lang\IllegalClassException.java,False
src\test\org\apache\commons\lang\StringEscapeUtilsTest.java,src\test\org\apache\commons\lang\StringEscapeUtilsTest.java,False
src\test\org\apache\commons\lang\enum\Extended1Enum.java,src\test\org\apache\commons\lang\enums\Extended1Enum.java,False
src\java\org\apache\commons\lang\math\NumberUtils.java,src\java\org\apache\commons\lang\math\NumberUtils.java,False
src\test\org\apache\commons\lang\NumberUtilsTest.java,src\test\org\apache\commons\lang\math\NumberUtilsTest.java,False
src\java\org\apache\commons\lang\math\Fraction.java,src\java\org\apache\commons\lang\math\Fraction.java,False
src\test\org\apache\commons\lang\enum\Broken1Enum.java,src\test\org\apache\commons\lang\enums\Broken1Enum.java,False
src\java\org\apache\commons\lang\CharRange.java,src\java\org\apache\commons\lang\CharRange.java,False
src\java\org\apache\commons\lang\math\FloatRange.java,src\java\org\apache\commons\lang\math\FloatRange.java,False
src\test\org\apache\commons\lang\StringUtilsIsTest.java,src\test\org\apache\commons\lang\StringUtilsIsTest.java,False
src\test\org\apache\commons\lang\enum\OperationEnum.java,src\test\org\apache\commons\lang\enums\OperationEnum.java,False
src\java\org\apache\commons\lang\math\JVMRandom.java,src\java\org\apache\commons\lang\math\JVMRandom.java,False
src\test\org\apache\commons\lang\enum\Broken1Enum.java,src\test\org\apache\commons\lang\enum\Broken1Enum.java,True
src\java\org\apache\commons\lang\exception\NestableError.java,src\java\org\apache\commons\lang\exception\NestableError.java,True
src\test\org\apache\commons\lang\BitFieldTest.java,src\test\org\apache\commons\lang\BitFieldTest.java,True
src\java\org\apache\commons\lang\exception\NestableRuntimeException.java,src\java\org\apache\commons\lang\exception\NestableRuntimeException.java,True
src\test\org\apache\commons\lang\enum\ValuedColorEnum.java,src\test\org\apache\commons\lang\enums\ValuedColorEnum.java,False
src\test\org\apache\commons\lang\builder\HashCodeBuilderAndEqualsBuilderTest.java,src\test\org\apache\commons\lang\builder\HashCodeBuilderAndEqualsBuilderTest.java,True
src\java\org\apache\commons\lang\NumberRange.java,src\java\org\apache\commons\lang\math\NumberRange.java,False
src\test\org\apache\commons\lang\time\TimeTestSuite.java,src\test\org\apache\commons\lang\time\TimeTestSuite.java,True
src\test\org\apache\commons\lang\math\FractionTest.java,src\test\org\apache\commons\lang\math\FractionTest.java,False
src\test\org\apache\commons\lang\builder\ToStringBuilderTest.java,src\test\org\apache\commons\lang\builder\ToStringBuilderTest.java,False
src\test\org\apache\commons\lang\builder\EqualsBuilderTest.java,src\test\org\apache\commons\lang\builder\EqualsBuilderTest.java,False
src\test\org\apache\commons\lang\math\FloatRangeTest.java,src\test\org\apache\commons\lang\math\FloatRangeTest.java,True
src\test\org\apache\commons\lang\ValidateTest.java,src\test\org\apache\commons\lang\ValidateTest.java,False
src\java\org\apache\commons\lang\math\IntRange.java,src\java\org\apache\commons\lang\math\IntRange.java,False
src\test\org\apache\commons\lang\enum\Broken3OperationEnum.java,src\test\org\apache\commons\lang\enums\Broken3OperationEnum.java,False
src\test\org\apache\commons\lang\enum\ValuedEnumTest.java,src\test\org\apache\commons\lang\enums\ValuedEnumTest.java,False
src\test\org\apache\commons\lang\exception\NestableErrorTestCase.java,src\test\org\apache\commons\lang\exception\NestableErrorTestCase.java,False
src\test\org\apache\commons\lang\enum\Broken2Enum.java,src\test\org\apache\commons\lang\enums\Broken2Enum.java,False
src\test\org\apache\commons\lang\EntitiesPerformanceTest.java,src\test\org\apache\commons\lang\EntitiesPerformanceTest.java,True
src\java\org\apache\commons\lang\StringPrintWriter.java,src\java\org\apache\commons\lang\StringPrintWriter.java,False
src\test\org\apache\commons\lang\exception\AbstractNestableTestCase.java,src\test\org\apache\commons\lang\exception\AbstractNestableTestCase.java,False
src\test\org\apache\commons\lang\exception\ExceptionUtilsTestCase.java,src\test\org\apache\commons\lang\exception\ExceptionUtilsTestCase.java,False
src\java\org\apache\commons\lang\IntHashMap.java,src\java\org\apache\commons\lang\IntHashMap.java,True
src\test\org\apache\commons\lang\time\StopWatchTest.java,src\test\org\apache\commons\lang\time\StopWatchTest.java,False
src\java\org\apache\commons\lang\time\DateUtils.java,src\java\org\apache\commons\lang\time\DateUtils.java,False
src\java\org\apache\commons\lang\builder\StandardToStringStyle.java,src\java\org\apache\commons\lang\builder\StandardToStringStyle.java,True
src\java\org\apache\commons\lang\RandomStringUtils.java,src\java\org\apache\commons\lang\RandomStringUtils.java,True
src\java\org\apache\commons\lang\math\Range.java,src\java\org\apache\commons\lang\math\Range.java,False
src\test\org\apache\commons\lang\math\IntRangeTest.java,src\test\org\apache\commons\lang\math\IntRangeTest.java,False
src\test\org\apache\commons\lang\NotImplementedExceptionTest.java,src\test\org\apache\commons\lang\NotImplementedExceptionTest.java,False
src\test\org\apache\commons\lang\math\MathTestSuite.java,src\test\org\apache\commons\lang\math\MathTestSuite.java,True
src\test\org\apache\commons\lang\StringUtilsEqualsIndexOfTest.java,src\test\org\apache\commons\lang\StringUtilsEqualsIndexOfTest.java,False
src\test\org\apache\commons\lang\enum\Broken3Enum.java,src\test\org\apache\commons\lang\enums\Broken3Enum.java,False
src\test\org\apache\commons\lang\IllegalClassExceptionTest.java,src\test\org\apache\commons\lang\IllegalClassExceptionTest.java,True
src\java\org\apache\commons\lang\builder\EqualsBuilder.java,src\java\org\apache\commons\lang\builder\EqualsBuilder.java,False
src\java\org\apache\commons\lang\exception\ExceptionUtils.java,src\java\org\apache\commons\lang\exception\ExceptionUtils.java,False
src\test\org\apache\commons\lang\builder\NoFieldNamesToStringStyleTest.java,src\test\org\apache\commons\lang\builder\NoFieldNamesToStringStyleTest.java,True
src\java\org\apache\commons\lang\builder\CompareToBuilder.java,src\java\org\apache\commons\lang\builder\CompareToBuilder.java,True
src\java\org\apache\commons\lang\builder\ToStringBuilder.java,src\java\org\apache\commons\lang\builder\ToStringBuilder.java,False
src\test\org\apache\commons\lang\time\DateFormatUtilsTest.java,src\test\org\apache\commons\lang\time\DateFormatUtilsTest.java,True
src\test\org\apache\commons\lang\enum\Broken2Enum.java,src\test\org\apache\commons\lang\enum\Broken2Enum.java,True
src\test\org\apache\commons\lang\exception\ExceptionTestSuite.java,src\test\org\apache\commons\lang\exception\ExceptionTestSuite.java,True
src\java\org\apache\commons\lang\builder\ReflectionToStringBuilder.java,src\java\org\apache\commons\lang\builder\ReflectionToStringBuilder.java,False
src\test\org\apache\commons\lang\math\NumberRangeTest.java,src\test\org\apache\commons\lang\math\NumberRangeTest.java,True
src\java\org\apache\commons\lang\StringEscapeUtils.java,src\java\org\apache\commons\lang\StringEscapeUtils.java,False
src\java\org\apache\commons\lang\WordUtils.java,src\java\org\apache\commons\lang\WordUtils.java,False
src\java\org\apache\commons\lang\ObjectUtils.java,src\java\org\apache\commons\lang\ObjectUtils.java,False
src\test\org\apache\commons\lang\time\DurationFormatUtilsTest.java,src\test\org\apache\commons\lang\time\DurationFormatUtilsTest.java,False
src\java\org\apache\commons\lang\builder\HashCodeBuilder.java,src\java\org\apache\commons\lang\builder\HashCodeBuilder.java,False
