old,new,isSame
src\main\java\org\apache\commons\math\ode\FirstOrderIntegrator.java,src\main\java\org\apache\commons\math\ode\FirstOrderIntegrator.java,False
src\test\java\org\apache\commons\math\util\OpenIntToFieldTest.java,src\test\java\org\apache\commons\math\util\OpenIntToFieldTest.java,True
src\main\java\org\apache\commons\math\optimization\linear\LinearOptimizer.java,src\main\java\org\apache\commons\math\optimization\linear\LinearOptimizer.java,True
src\test\java\org\apache\commons\math\geometry\FrenchVector3DFormatTest.java,src\test\java\org\apache\commons\math\geometry\FrenchVector3DFormatTest.java,True
src\test\java\org\apache\commons\math\stat\data\LewTest.java,src\test\java\org\apache\commons\math\stat\data\LewTest.java,True
src\test\java\org\apache\commons\math\genetics\OnePointCrossoverTest.java,src\test\java\org\apache\commons\math\genetics\OnePointCrossoverTest.java,True
src\main\java\org\apache\commons\math\analysis\DifferentiableUnivariateMatrixFunction.java,src\main\java\org\apache\commons\math\analysis\DifferentiableUnivariateMatrixFunction.java,False
src\test\java\org\apache\commons\math\optimization\general\NonLinearConjugateGradientOptimizerTest.java,src\test\java\org\apache\commons\math\optimization\general\NonLinearConjugateGradientOptimizerTest.java,False
src\test\java\org\apache\commons\math\random\TestRandomGenerator.java,src\test\java\org\apache\commons\math\random\TestRandomGenerator.java,True
src\main\java\org\apache\commons\math\stat\descriptive\summary\SumOfLogs.java,src\main\java\org\apache\commons\math\stat\descriptive\summary\SumOfLogs.java,True
src\test\java\org\apache\commons\math\analysis\integration\SimpsonIntegratorTest.java,src\test\java\org\apache\commons\math\analysis\integration\SimpsonIntegratorTest.java,True
src\main\java\org\apache\commons\math\optimization\SimpleScalarValueChecker.java,src\main\java\org\apache\commons\math\optimization\SimpleScalarValueChecker.java,True
src\main\java\org\apache\commons\math\linear\SparseRealVector.java,src\main\java\org\apache\commons\math\linear\SparseRealVector.java,True
src\main\java\org\apache\commons\math\distribution\BinomialDistribution.java,src\main\java\org\apache\commons\math\distribution\BinomialDistribution.java,False
src\main\java\org\apache\commons\math\linear\EigenDecompositionImpl.java,src\main\java\org\apache\commons\math\linear\EigenDecompositionImpl.java,False
