old,new,isSame
org.apache.commons.math3.genetics.RandomKeyMutation,org.apache.commons.math3.genetics.RandomKeyMutation,False
org.apache.commons.math3.exception.MathIllegalArgumentException,org.apache.commons.math3.exception.MathIllegalArgumentException,True
org.apache.commons.math3.exception.util.LocalizedFormats,org.apache.commons.math3.exception.util.LocalizedFormats,False
org.apache.commons.math3.genetics.MutationPolicy,org.apache.commons.math3.genetics.MutationPolicy,False
org.apache.commons.math3.genetics.Chromosome,org.apache.commons.math3.genetics.Chromosome,True
org.apache.commons.math3.genetics.RandomKey,org.apache.commons.math3.genetics.RandomKey,False
org.apache.commons.math3.genetics.AbstractListChromosome,org.apache.commons.math3.genetics.AbstractListChromosome,False
org.apache.commons.math3.genetics.GeneticAlgorithm,org.apache.commons.math3.genetics.GeneticAlgorithm,False
org.apache.commons.math3.random.RandomGenerator,org.apache.commons.math3.random.RandomGenerator,True
org.apache.commons.math3.util.FastMath,org.apache.commons.math3.util.FastMath,False
org.apache.commons.math3.genetics.Population,org.apache.commons.math3.genetics.Population,False
org.apache.commons.math3.analysis.function.Log,org.apache.commons.math3.analysis.function.Log,False
org.apache.commons.math3.analysis.FunctionUtils,org.apache.commons.math3.analysis.FunctionUtils,False
org.apache.commons.math3.analysis.UnivariateFunction,org.apache.commons.math3.analysis.UnivariateFunction,True
org.apache.commons.math3.analysis.DifferentiableUnivariateFunction,org.apache.commons.math3.analysis.DifferentiableUnivariateFunction,False
org.apache.commons.math3.ode.nonstiff.AdamsBashforthIntegrator,org.apache.commons.math3.ode.nonstiff.AdamsBashforthIntegrator,False
org.apache.commons.math3.exception.DimensionMismatchException,org.apache.commons.math3.exception.DimensionMismatchException,True
org.apache.commons.math3.exception.MaxCountExceededException,org.apache.commons.math3.exception.MaxCountExceededException,True
org.apache.commons.math3.exception.NoBracketingException,org.apache.commons.math3.exception.NoBracketingException,True
org.apache.commons.math3.exception.NumberIsTooSmallException,org.apache.commons.math3.exception.NumberIsTooSmallException,True
org.apache.commons.math3.linear.Array2DRowRealMatrix,org.apache.commons.math3.linear.Array2DRowRealMatrix,False
org.apache.commons.math3.ode.ExpandableStatefulODE,org.apache.commons.math3.ode.ExpandableStatefulODE,False
org.apache.commons.math3.ode.sampling.NordsieckStepInterpolator,org.apache.commons.math3.ode.sampling.NordsieckStepInterpolator,False
org.apache.commons.math3.ode.nonstiff.AdamsIntegrator,org.apache.commons.math3.ode.nonstiff.AdamsIntegrator,False
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator,org.apache.commons.math3.ode.sampling.AbstractStepInterpolator,False
org.apache.commons.math3.linear.MatrixUtils,org.apache.commons.math3.linear.MatrixUtils,False
org.apache.commons.math3.linear.MatrixUtils.BigFractionMatrixConverter,org.apache.commons.math3.linear.MatrixUtils.BigFractionMatrixConverter,False
org.apache.commons.math3.linear.MatrixUtils.FractionMatrixConverter,org.apache.commons.math3.linear.MatrixUtils.FractionMatrixConverter,False
