old,new,isSame
org.apache.commons.net.ftp.ftp2.parser.OS2FTPEntryParser,org.apache.commons.net.ftp.ftp2.parser.OS2FTPEntryParser,True
org.apache.commons.net.ftp.FTPFile,org.apache.commons.net.ftp.FTPFile,True
org.apache.commons.net.ftp.ftp2.FTPFileEntryParser,org.apache.commons.net.ftp.ftp2.FTPFileEntryParser,True
org.apache.commons.net.ftp.ftp2.parser.MatchApparatus,org.apache.commons.net.ftp.ftp2.parser.MatchApparatus,True
org.apache.commons.net.pop3.POP3Client,org.apache.commons.net.pop3.POP3Client,True
org.apache.commons.net.io.DotTerminatedMessageReader,org.apache.commons.net.io.DotTerminatedMessageReader,True
org.apache.commons.net.pop3.POP3,org.apache.commons.net.pop3.POP3,True
org.apache.commons.net.pop3.POP3MessageInfo,org.apache.commons.net.pop3.POP3MessageInfo,True
org.apache.commons.net.pop3.POP3Command,org.apache.commons.net.pop3.POP3Command,True
org.apache.commons.net.pop3.POP3Reply,org.apache.commons.net.pop3.POP3Reply,True
org.apache.commons.net.io.ToNetASCIIInputStream,org.apache.commons.net.io.ToNetASCIIInputStream,True
org.apache.commons.net.ftp.FTPReply,org.apache.commons.net.ftp.FTPReply,True
org.apache.commons.net.ftp.ftp2.FTPFileList,org.apache.commons.net.ftp.ftp2.FTPFileList,True
org.apache.commons.net.ftp.ftp2.FTPFileIterator,org.apache.commons.net.ftp.ftp2.FTPFileIterator,True
examples.daytime,examples.daytime,True
org.apache.commons.net.DaytimeTCPClient,org.apache.commons.net.DaytimeTCPClient,True
org.apache.commons.net.DaytimeUDPClient,org.apache.commons.net.DaytimeUDPClient,True
org.apache.commons.net.SocketClient,org.apache.commons.net.SocketClient,True
org.apache.commons.net.DatagramSocketClient,org.apache.commons.net.DatagramSocketClient,True
org.apache.commons.net.nntp.NNTP,org.apache.commons.net.nntp.NNTP,False
org.apache.commons.net.MalformedServerReplyException,org.apache.commons.net.MalformedServerReplyException,True
org.apache.commons.net.ProtocolCommandSupport,org.apache.commons.net.ProtocolCommandSupport,True
org.apache.commons.net.ProtocolCommandListener,org.apache.commons.net.ProtocolCommandListener,True
org.apache.commons.net.nntp.NNTPConnectionClosedException,org.apache.commons.net.nntp.NNTPConnectionClosedException,True
org.apache.commons.net.nntp.NNTPReply,org.apache.commons.net.nntp.NNTPReply,True
org.apache.commons.net.nntp.NNTPCommand,org.apache.commons.net.nntp.NNTPCommand,False
org.apache.commons.net.telnet.TerminalTypeOptionHandler,org.apache.commons.net.telnet.TerminalTypeOptionHandler,True
org.apache.commons.net.telnet.TelnetOptionHandler,org.apache.commons.net.telnet.TelnetOptionHandler,True
org.apache.commons.net.telnet.TelnetOption,org.apache.commons.net.telnet.TelnetOption,True
org.apache.commons.net.WhoisClient,org.apache.commons.net.WhoisClient,True
org.apache.commons.net.FingerClient,org.apache.commons.net.FingerClient,True
org.apache.commons.net.ftp.FTPFileEntryParser,org.apache.commons.net.ftp.FTPFileEntryParser,False
org.apache.commons.net.ftp.parser.FTPParseTestFramework,org.apache.commons.net.ftp.parser.FTPParseTestFramework,False
org.apache.commons.net.telnet.TelnetInputStream,org.apache.commons.net.telnet.TelnetInputStream,False
org.apache.commons.net.telnet.TelnetClient,org.apache.commons.net.telnet.TelnetClient,False
org.apache.commons.net.telnet.Telnet,org.apache.commons.net.telnet.Telnet,True
org.apache.commons.net.telnet.TelnetCommand,org.apache.commons.net.telnet.TelnetCommand,True
