old,new,isSame
src\java\org\apache\commons\net\bsd\RExecClient.java,trunk\src\java\org\apache\commons\net\bsd\RExecClient.java,True
src\test\org\apache\commons\net\ftp\parser\DefaultFTPFileEntryParserFactoryTest.java,src\test\org\apache\commons\net\ftp\parser\DefaultFTPFileEntryParserFactoryTest.java,True
src\test\org\apache\commons\net\telnet\TelnetClientTest.java,trunk\src\test\org\apache\commons\net\telnet\TelnetClientTest.java,False
src\java\org\apache\commons\net\bsd\RExecClient.java,src\java\org\apache\commons\net\bsd\RExecClient.java,True
src\java\org\apache\commons\net\ProtocolCommandEvent.java,src\java\org\apache\commons\net\ProtocolCommandEvent.java,True
proposal\ftp2\src\java\org\apache\commons\net\ftp\ftp2\parser\AIXFTPEntryParser.java,trunk\proposal\ftp2\src\java\org\apache\commons\net\ftp\ftp2\parser\AIXFTPEntryParser.java,True
src\java\org\apache\commons\net\SocketClient.java,trunk\src\java\org\apache\commons\net\SocketClient.java,True
src\java\examples\rlogin.java,trunk\src\java\examples\rlogin.java,True
src\test\org\apache\commons\net\ftp\parser\NTFTPEntryParserTest.java,proposal\ftp2\src\test\org\apache\commons\net\ftp\ftp2\parser\NTFTPEntryParserTest.java,False
src\java\org\apache\commons\net\nntp\NewGroupsOrNewsQuery.java,src\java\org\apache\commons\net\nntp\NewGroupsOrNewsQuery.java,True
src\java\org\apache\commons\net\DiscardUDPClient.java,trunk\src\java\org\apache\commons\net\DiscardUDPClient.java,True
src\java\org\apache\commons\net\util\ListenerList.java,trunk\src\java\org\apache\commons\net\util\ListenerList.java,True
src\test\org\apache\commons\net\ftp\parser\FTPParseTestFramework.java,proposal\ftp2\src\test\org\apache\commons\net\ftp\ftp2\parser\FTPParseTestFramework.java,False
src\java\org\apache\commons\net\telnet\TelnetOptionHandler.java,src\java\org\apache\commons\net\telnet\TelnetOptionHandler.java,True
src\java\org\apache\commons\net\ProtocolCommandSupport.java,trunk\src\java\org\apache\commons\net\ProtocolCommandSupport.java,True
src\java\examples\rdate.java,src\java\examples\rdate.java,True
src\java\org\apache\commons\net\SocketClient.java,src\java\org\apache\commons\net\SocketClient.java,True
src\java\org\apache\commons\net\io\CopyStreamAdapter.java,src\java\org\apache\commons\net\io\CopyStreamAdapter.java,True
src\java\org\apache\commons\net\smtp\SMTPClient.java,trunk\src\java\org\apache\commons\net\smtp\SMTPClient.java,True
src\java\org\apache\commons\net\telnet\SuppressGAOptionHandler.java,trunk\src\java\org\apache\commons\net\telnet\SuppressGAOptionHandler.java,True
src\java\org\apache\commons\net\tftp\TFTPPacketException.java,trunk\src\java\org\apache\commons\net\tftp\TFTPPacketException.java,True
src\java\examples\nntp\ExtendedNNTPOps.java,src\java\examples\nntp\ExtendedNNTPOps.java,True
src\java\org\apache\commons\net\DatagramSocketClient.java,trunk\src\java\org\apache\commons\net\DatagramSocketClient.java,True
src\java\org\apache\commons\net\pop3\POP3Reply.java,trunk\src\java\org\apache\commons\net\pop3\POP3Reply.java,True
src\java\examples\server2serverFTP.java,src\java\examples\server2serverFTP.java,True
src\java\org\apache\commons\net\nntp\NNTPConnectionClosedException.java,trunk\src\java\org\apache\commons\net\nntp\NNTPConnectionClosedException.java,True
src\java\org\apache\commons\net\tftp\TFTPDataPacket.java,src\java\org\apache\commons\net\tftp\TFTPDataPacket.java,True
src\java\org\apache\commons\net\bsd\RCommandClient.java,trunk\src\java\org\apache\commons\net\bsd\RCommandClient.java,True
src\java\org\apache\commons\net\nntp\NewsgroupInfo.java,trunk\src\java\org\apache\commons\net\nntp\NewsgroupInfo.java,True
src\java\org\apache\commons\net\smtp\SimpleSMTPHeader.java,trunk\src\java\org\apache\commons\net\smtp\SimpleSMTPHeader.java,True
src\test\org\apache\commons\net\ftp\parser\VMSFTPEntryParserTest.java,trunk\src\test\org\apache\commons\net\ftp\parser\VMSFTPEntryParserTest.java,False
src\java\org\apache\commons\net\EchoTCPClient.java,trunk\src\java\org\apache\commons\net\EchoTCPClient.java,True
src\java\org\apache\commons\net\TimeUDPClient.java,src\java\org\apache\commons\net\TimeUDPClient.java,True
src\java\examples\mail.java,trunk\src\java\examples\mail.java,True
proposal\ftp2\src\java\org\apache\commons\net\ftp\ftp2\parser\VMSFTPEntryParser.java,src\java\org\apache\commons\net\ftp\parser\VMSFTPEntryParser.java,False
src\java\org\apache\commons\net\tftp\TFTPClient.java,trunk\src\java\org\apache\commons\net\tftp\TFTPClient.java,False
src\java\org\apache\commons\net\ftp\parser\FTPFileEntryParserFactory.java,src\java\org\apache\commons\net\ftp\parser\FTPFileEntryParserFactory.java,False
src\test\org\apache\commons\net\telnet\TelnetTestResponder.java,src\test\org\apache\commons\net\telnet\TelnetTestResponder.java,True
