old,new,isSame
src\main\java\org\apache\commons\scxml\SCInstance.java,src\main\java\org\apache\commons\scxml\SCInstance.java,True
src\main\java\org\apache\commons\scxml\semantics\TransitionTargetComparator.java,src\main\java\org\apache\commons\scxml\semantics\TransitionTargetComparator.java,True
src\main\java\org\apache\commons\scxml\SCXMLSemantics.java,src\main\java\org\apache\commons\scxml\SCXMLSemantics.java,True
src\test\java\org\apache\commons\scxml\model\AssignTest.java,src\test\java\org\apache\commons\scxml\model\AssignTest.java,True
src\main\java\org\apache\commons\scxml\env\servlet\ServletContextResolver.java,src\main\java\org\apache\commons\scxml\env\servlet\ServletContextResolver.java,True
src\test\java\org\apache\commons\scxml\StatusTest.java,src\test\java\org\apache\commons\scxml\StatusTest.java,True
src\main\java\org\apache\commons\scxml\SCXMLExpressionException.java,src\main\java\org\apache\commons\scxml\SCXMLExpressionException.java,True
src\test\java\org\apache\commons\scxml\env\jexl\JexlContextTest.java,src\test\java\org\apache\commons\scxml\env\jexl\JexlContextTest.java,True
src\test\java\org\apache\commons\scxml\semantics\SemanticsTestSuite.java,src\test\java\org\apache\commons\scxml\semantics\SemanticsTestSuite.java,True
src\test\java\org\apache\commons\scxml\NamespacePrefixedXPathsTest.java,src\test\java\org\apache\commons\scxml\NamespacePrefixedXPathsTest.java,True
src\test\java\org\apache\commons\scxml\semantics\TransitionTargetComparatorTest.java,src\test\java\org\apache\commons\scxml\semantics\TransitionTargetComparatorTest.java,True
src\main\java\org\apache\commons\scxml\env\jexl\JexlContext.java,src\main\java\org\apache\commons\scxml\env\jexl\JexlContext.java,True
src\main\java\org\apache\commons\scxml\model\Initial.java,src\main\java\org\apache\commons\scxml\model\Initial.java,True
src\test\java\org\apache\commons\scxml\WizardsTest.java,src\test\java\org\apache\commons\scxml\WizardsTest.java,True
src\test\java\org\apache\commons\scxml\env\jsp\MockJspContext.java,src\test\java\org\apache\commons\scxml\env\jsp\MockJspContext.java,True
src\test\java\org\apache\commons\scxml\EventDataTest.java,src\test\java\org\apache\commons\scxml\EventDataTest.java,True
src\main\java\org\apache\commons\scxml\SCXMLHelper.java,src\main\java\org\apache\commons\scxml\SCXMLHelper.java,True
src\main\java\org\apache\commons\scxml\ErrorReporter.java,src\main\java\org\apache\commons\scxml\ErrorReporter.java,True
src\test\java\org\apache\commons\scxml\WildcardTest.java,src\test\java\org\apache\commons\scxml\WildcardTest.java,True
src\main\java\org\apache\commons\scxml\env\Tracer.java,src\main\java\org\apache\commons\scxml\env\Tracer.java,True
src\main\java\org\apache\commons\scxml\model\Else.java,src\main\java\org\apache\commons\scxml\model\Else.java,True
