old,new,isSame
com.ecyrd.jspwiki.parser.PluginContent,com.ecyrd.jspwiki.parser.PluginContent,False
com.ecyrd.jspwiki.WikiContext,com.ecyrd.jspwiki.WikiContext,False
com.ecyrd.jspwiki.WikiEngine,com.ecyrd.jspwiki.WikiEngine,False
com.ecyrd.jspwiki.plugin.PluginException,com.ecyrd.jspwiki.plugin.PluginException,False
com.ecyrd.jspwiki.plugin.WikiPlugin,com.ecyrd.jspwiki.plugin.WikiPlugin,False
com.ecyrd.jspwiki.render.RenderingManager,com.ecyrd.jspwiki.render.RenderingManager,False
com.ecyrd.jspwiki.parser.WikiDocument,com.ecyrd.jspwiki.parser.WikiDocument,True
com.ecyrd.jspwiki.VariableManager,com.ecyrd.jspwiki.VariableManager,False
com.ecyrd.jspwiki.plugin.PluginManager,com.ecyrd.jspwiki.plugin.PluginManager,False
com.ecyrd.jspwiki.parser.JSPWikiMarkupParser,com.ecyrd.jspwiki.parser.JSPWikiMarkupParser,False
com.ecyrd.jspwiki.rss.Feed,com.ecyrd.jspwiki.rss.Feed,False
com.ecyrd.jspwiki.TextUtil,com.ecyrd.jspwiki.TextUtil,False
com.ecyrd.jspwiki.rss.Entry,com.ecyrd.jspwiki.rss.Entry,True
com.ecyrd.jspwiki.rss.RSSGenerator,com.ecyrd.jspwiki.rss.RSSGenerator,False
com.ecyrd.jspwiki.util.CommentedPropertiesTest,com.ecyrd.jspwiki.util.CommentedPropertiesTest,False
com.ecyrd.jspwiki.util.CommentedProperties,com.ecyrd.jspwiki.util.CommentedProperties,False
com.ecyrd.jspwiki.diff.TraditionalDiffProvider,com.ecyrd.jspwiki.diff.TraditionalDiffProvider,False
com.ecyrd.jspwiki.diff.TraditionalDiffProvider.RevisionPrint,com.ecyrd.jspwiki.diff.TraditionalDiffProvider.RevisionPrint,False
com.ecyrd.jspwiki.NoRequiredPropertyException,com.ecyrd.jspwiki.NoRequiredPropertyException,True
com.ecyrd.jspwiki.diff.DiffProvider,com.ecyrd.jspwiki.diff.DiffProvider,False
com.ecyrd.jspwiki.tags.PageExistsTag,com.ecyrd.jspwiki.tags.PageExistsTag,True
com.ecyrd.jspwiki.providers.ProviderException,com.ecyrd.jspwiki.providers.ProviderException,True
com.ecyrd.jspwiki.tags.NoSuchPageTag,com.ecyrd.jspwiki.tags.NoSuchPageTag,True
com.ecyrd.jspwiki.TestEngine,com.ecyrd.jspwiki.TestEngine,False
com.ecyrd.jspwiki.tags.SearchResultsSizeTag,com.ecyrd.jspwiki.tags.SearchResultsSizeTag,True
com.ecyrd.jspwiki.tags.WikiTagBase,com.ecyrd.jspwiki.tags.WikiTagBase,False
com.ecyrd.jspwiki.forms.FormInput,com.ecyrd.jspwiki.forms.FormInput,False
com.ecyrd.jspwiki.forms.FormElement,com.ecyrd.jspwiki.forms.FormElement,True
com.ecyrd.jspwiki.forms.FormInfo,com.ecyrd.jspwiki.forms.FormInfo,False
com.ecyrd.jspwiki.WikiException,com.ecyrd.jspwiki.WikiException,True
com.ecyrd.jspwiki.auth.NoSuchPrincipalException,com.ecyrd.jspwiki.auth.NoSuchPrincipalException,True
