old,new,isSame
gateway-spi\src\main\java\org\apache\hadoop\gateway\topology\Routable.java,gateway-spi\src\main\java\org\apache\hadoop\gateway\topology\Routable.java,True
gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\api\UrlRewriteStepFlow.java,gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\api\UrlRewriteStepFlow.java,True
gateway-test-utils\src\main\java\org\apache\hadoop\test\TestUtils.java,gateway-test-utils\src\main\java\org\apache\hadoop\test\TestUtils.java,True
gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\hbase\table\FamilyContainer.java,gateway-shell\src\main\java\org\apache\hadoop\gateway\shell\hbase\table\FamilyContainer.java,True
gateway-provider-security-shiro\src\main\java\org\apache\hadoop\gateway\filter\ShiroSubjectIdentityAdapter.java,gateway-provider-security-shiro\src\main\java\org\apache\hadoop\gateway\filter\ShiroSubjectIdentityAdapter.java,False
gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\impl\form\FormPair.java,gateway-provider-rewrite\src\main\java\org\apache\hadoop\gateway\filter\rewrite\impl\form\FormPair.java,True
gateway-provider-ha\src\main\java\org\apache\hadoop\gateway\ha\provider\HaDescriptor.java,gateway-provider-ha\src\main\java\org\apache\hadoop\gateway\ha\provider\HaDescriptor.java,True
gateway-service-as\src\main\java\org\apache\hadoop\gateway\as\ASDeploymentContributor.java,gateway-service-as\src\main\java\org\apache\hadoop\gateway\as\ASDeploymentContributor.java,True
gateway-server\src\test\java\org\apache\hadoop\gateway\topology\builder\PropertyTopologyBuilderTest.java,gateway-server\src\test\java\org\apache\hadoop\gateway\topology\builder\PropertyTopologyBuilderTest.java,True
gateway-util-urltemplate\src\test\java\org\apache\hadoop\gateway\util\urltemplate\MatcherTest.java,gateway-util-urltemplate\src\test\java\org\apache\hadoop\gateway\util\urltemplate\MatcherTest.java,False
gateway-server-xforwarded-filter\src\test\java\org\apache\hadoop\gateway\filter\CompositeEnumerationTest.java,gateway-server-xforwarded-filter\src\test\java\org\apache\hadoop\gateway\filter\CompositeEnumerationTest.java,True
gateway-spi\src\main\java\org\apache\hadoop\gateway\descriptor\GatewayDescriptorExporter.java,gateway-spi\src\main\java\org\apache\hadoop\gateway\descriptor\GatewayDescriptorExporter.java,True
gateway-util-common\src\test\java\org\apache\hadoop\gateway\util\JsonUtilsTest.java,gateway-util-common\src\test\java\org\apache\hadoop\gateway\util\JsonUtilsTest.java,True
gateway-spi\src\main\java\org\apache\hadoop\gateway\deploy\ServiceDeploymentContributorBase.java,gateway-spi\src\main\java\org\apache\hadoop\gateway\deploy\ServiceDeploymentContributorBase.java,True
