old,new,isSame
org.apache.kylin.storage.hbase.util.UpdateHTableHostCLI,org.apache.kylin.storage.hbase.util.UpdateHTableHostCLI,False
org.apache.kylin.common.KylinConfig,org.apache.kylin.common.KylinConfig,False
org.apache.kylin.cube.CubeInstance,org.apache.kylin.cube.CubeInstance,False
org.apache.kylin.cube.CubeManager,org.apache.kylin.cube.CubeManager,False
org.apache.kylin.cube.CubeSegment,org.apache.kylin.cube.CubeSegment,False
org.apache.kylin.metadata.model.SegmentStatusEnum,org.apache.kylin.metadata.model.SegmentStatusEnum,True
org.apache.kylin.metadata.realization.IRealizationConstants,org.apache.kylin.metadata.realization.IRealizationConstants,False
org.apache.kylin.storage.hbase.HBaseConnection,org.apache.kylin.storage.hbase.HBaseConnection,False
org.apache.kylin.common.KylinConfigBase,org.apache.kylin.common.KylinConfigBase,False
org.apache.kylin.storage.hbase.common.HiveJDBCClientTest,org.apache.kylin.storage.hbase.common.HiveJDBCClientTest,False
org.apache.kylin.metadata.tuple.IEvaluatableTuple,org.apache.kylin.metadata.tuple.IEvaluatableTuple,True
org.apache.kylin.metadata.filter.TupleFilter,org.apache.kylin.metadata.filter.TupleFilter,False
org.apache.kylin.metadata.filter.TupleFilter.FilterOperatorEnum,org.apache.kylin.metadata.filter.TupleFilter.FilterOperatorEnum,False
org.apache.kylin.metadata.filter.IFilterCodeSystem,org.apache.kylin.metadata.filter.IFilterCodeSystem,True
org.apache.kylin.cube.cuboid.CuboidCLI,org.apache.kylin.cube.cuboid.CuboidCLI,True
org.apache.kylin.cube.CubeDescManager,org.apache.kylin.cube.CubeDescManager,False
org.apache.kylin.cube.model.CubeDesc,org.apache.kylin.cube.model.CubeDesc,False
org.apache.kylin.cube.cuboid.CuboidScheduler,org.apache.kylin.cube.cuboid.CuboidScheduler,False
org.apache.kylin.cube.cuboid.Cuboid,org.apache.kylin.cube.cuboid.Cuboid,False
org.apache.kylin.storage.hbase.steps.CubeHFileMapper,org.apache.kylin.storage.hbase.steps.CubeHFileMapper,True
org.apache.kylin.cube.model.HBaseColumnDesc,org.apache.kylin.cube.model.HBaseColumnDesc,True
org.apache.kylin.cube.model.HBaseColumnFamilyDesc,org.apache.kylin.cube.model.HBaseColumnFamilyDesc,False
org.apache.kylin.engine.mr.KylinMapper,org.apache.kylin.engine.mr.KylinMapper,False
org.apache.kylin.engine.mr.common.AbstractHadoopJob,org.apache.kylin.engine.mr.common.AbstractHadoopJob,False
org.apache.kylin.engine.mr.common.BatchConstants,org.apache.kylin.engine.mr.common.BatchConstants,False
org.apache.kylin.measure.MeasureCodec,org.apache.kylin.measure.MeasureCodec,False
