old,new,isSame
org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription,org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription,True
org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.BasicCredential,org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.BasicCredential,True
org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.CredentialsItem,org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.CredentialsItem,True
org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.LoginParameterIterator,org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.LoginParameterIterator,True
org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.NTLMCredential,org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.NTLMCredential,True
org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.SessionCredential,org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.SessionCredential,True
org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.SessionCredentialItem,org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.SessionCredentialItem,True
org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.SessionCredentialParameter,org.apache.manifoldcf.crawler.connectors.webcrawler.CredentialsDescription.SessionCredentialParameter,True
org.apache.manifoldcf.crawler.system.ManifoldCF,org.apache.manifoldcf.crawler.system.ManifoldCF,False
org.apache.manifoldcf.core.interfaces.ConfigNode,org.apache.manifoldcf.core.interfaces.ConfigNode,True
org.apache.manifoldcf.core.interfaces.ConfigParams,org.apache.manifoldcf.core.interfaces.ConfigParams,True
org.apache.manifoldcf.crawler.connectors.webcrawler.PageCredentials,org.apache.manifoldcf.crawler.connectors.webcrawler.PageCredentials,True
org.apache.manifoldcf.crawler.connectors.webcrawler.AuthenticationCredentials,org.apache.manifoldcf.crawler.connectors.webcrawler.AuthenticationCredentials,True
org.apache.manifoldcf.crawler.connectors.webcrawler.SequenceCredentials,org.apache.manifoldcf.crawler.connectors.webcrawler.SequenceCredentials,True
org.apache.manifoldcf.core.interfaces.ManifoldCFException,org.apache.manifoldcf.core.interfaces.ManifoldCFException,True
org.apache.manifoldcf.core.interfaces.Configuration,org.apache.manifoldcf.core.interfaces.Configuration,True
org.apache.manifoldcf.core.interfaces.ConfigurationNode,org.apache.manifoldcf.core.interfaces.ConfigurationNode,True
org.apache.manifoldcf.crawler.connectors.webcrawler.WebcrawlerConfig,org.apache.manifoldcf.crawler.connectors.webcrawler.WebcrawlerConfig,True
