old,new,isSame
connectors\filesystem\connector\src\test\java\org\apache\manifoldcf\crawler\connectors\filesystem\tests\HopcountPostgresqlIT.java,tests\filesystem\src\test\java\org\apache\manifoldcf\filesystem_tests\HopcountPostgresqlIT.java,False
connectors\dropbox\connector\src\main\java\org\apache\manifoldcf\crawler\connectors\dropbox\DropboxRepositoryConnector.java,connectors\dropbox\connector\src\main\java\org\apache\manifoldcf\crawler\connectors\dropbox\DropboxRepositoryConnector.java,False
connectors\gridfs\connector\src\test\java\org\apache\manifoldcf\crawler\connectors\gridfs\tests\BaseDerby.java,tests\solr\src\test\java\org\apache\manifoldcf\solr_tests\BaseDerby.java,False
framework\core\src\main\java\org\apache\manifoldcf\core\interfaces\LockException.java,framework\core\src\main\java\org\apache\manifoldcf\core\interfaces\LockException.java,True
connectors\rss\connector\src\main\java\org\apache\manifoldcf\crawler\connectors\rss\Robots.java,connectors\rss\connector\src\main\java\org\apache\manifoldcf\crawler\connectors\rss\Robots.java,False
framework\pull-agent\src\main\java\org\apache\manifoldcf\crawler\system\SetPriorityThread.java,framework\pull-agent\src\main\java\org\apache\manifoldcf\crawler\system\SetPriorityThread.java,False
framework\script-engine\src\main\java\org\apache\manifoldcf\scriptengine\VariableReference.java,framework\script-engine\src\main\java\org\apache\manifoldcf\scriptengine\VariableReference.java,True
framework\script-engine\src\main\java\org\apache\manifoldcf\scriptengine\VariableURL.java,framework\script-engine\src\main\java\org\apache\manifoldcf\scriptengine\VariableURL.java,True
framework\script-engine\src\main\java\org\apache\manifoldcf\scriptengine\VariableBase.java,framework\script-engine\src\main\java\org\apache\manifoldcf\scriptengine\VariableBase.java,True
framework\pull-agent\src\main\java\org\apache\manifoldcf\crawler\interfaces\IRepositoryConnection.java,framework\pull-agent\src\main\java\org\apache\manifoldcf\crawler\interfaces\IRepositoryConnection.java,True
framework\agents\src\main\java\org\apache\manifoldcf\agents\agentmanager\AgentManager.java,framework\agents\src\main\java\org\apache\manifoldcf\agents\agentmanager\AgentManager.java,False
framework\pull-agent\src\main\java\org\apache\manifoldcf\crawler\TransactionalCrawlerInitializationCommand.java,framework\pull-agent\src\main\java\org\apache\manifoldcf\crawler\TransactionalCrawlerInitializationCommand.java,False
framework\pull-agent\src\main\java\org\apache\manifoldcf\crawler\jobs\EventManager.java,framework\pull-agent\src\main\java\org\apache\manifoldcf\crawler\jobs\EventManager.java,False
framework\core\src\main\java\org\apache\manifoldcf\core\jdbcpool\ConnectionPool.java,framework\core\src\main\java\org\apache\manifoldcf\core\jdbcpool\ConnectionPool.java,False
framework\core\src\main\java\org\apache\manifoldcf\core\DBDrop.java,framework\core\src\main\java\org\apache\manifoldcf\core\DBDrop.java,True
framework\script-engine\src\main\java\org\apache\manifoldcf\scriptengine\BreakCommand.java,framework\script-engine\src\main\java\org\apache\manifoldcf\scriptengine\BreakCommand.java,True
connectors\gridfs\connector\src\test\java\org\apache\manifoldcf\crawler\connectors\gridfs\tests\BaseHSQLDB.java,framework\pull-agent\src\test\java\org\apache\manifoldcf\crawler\tests\BaseHSQLDB.java,False
framework\pull-agent\src\main\java\org\apache\manifoldcf\authorities\system\AuthCheckThread.java,framework\pull-agent\src\main\java\org\apache\manifoldcf\authorities\system\AuthCheckThread.java,False
connectors\hdfs\connector\src\main\java\org\apache\manifoldcf\crawler\connectors\hdfs\Messages.java,connectors\elasticsearch\connector\src\main\java\org\apache\manifoldcf\agents\output\elasticsearch\Messages.java,False
framework\agents\src\test\java\org\apache\manifoldcf\agents\tests\SanityPostgresqlTest.java,connectors\cmis\connector\src\test\java\org\apache\manifoldcf\crawler\connectors\cmis\tests\SanityPostgresqlTest.java,False
framework\pull-agent\src\main\java\org\apache\manifoldcf\crawler\interfaces\ISeedingActivity.java,framework\pull-agent\src\main\java\org\apache\manifoldcf\crawler\interfaces\ISeedingActivity.java,True
connectors\documentum\build-stub\src\main\java\com\documentum\fc\client\IDfClient.java,connectors\documentum\build-stub\src\main\java\com\documentum\fc\client\IDfClient.java,True
connectors\filesystem\connector\src\test\java\org\apache\manifoldcf\crawler\connectors\filesystem\tests\BigCrawlDerbyLT.java,tests\filesystem\src\test\java\org\apache\manifoldcf\filesystem_tests\BigCrawlDerbyLT.java,False
framework\pull-agent\src\main\java\org\apache\manifoldcf\authorities\CheckAll.java,framework\pull-agent\src\main\java\org\apache\manifoldcf\authorities\CheckAll.java,False
connectors\opensearchserver\connector\src\main\java\org\apache\manifoldcf\agents\output\opensearchserver\OpenSearchServerDelete.java,connectors\opensearchserver\connector\src\main\java\org\apache\manifoldcf\agents\output\opensearchserver\OpenSearchServerDelete.java,False
framework\core\src\main\java\org\apache\manifoldcf\core\interfaces\NullCheckClause.java,framework\core\src\main\java\org\apache\manifoldcf\core\interfaces\NullCheckClause.java,True
connectors\activedirectory\connector\src\main\java\org\apache\manifoldcf\authorities\authorities\activedirectory\ActiveDirectoryAuthority.java,connectors\activedirectory\connector\src\main\java\org\apache\manifoldcf\authorities\authorities\activedirectory\ActiveDirectoryAuthority.java,False
