old,new,isSame
org.apache.nutch.scoring.similarity.util.LuceneTokenizer,org.apache.nutch.scoring.similarity.util.LuceneTokenizer,True
org.apache.nutch.scoring.similarity.util.LuceneTokenizer.TokenizerType,org.apache.nutch.scoring.similarity.util.LuceneTokenizer.TokenizerType,True
org.apache.nutch.scoring.similarity.util.LuceneAnalyzerUtil.StemFilterType,org.apache.nutch.scoring.similarity.util.LuceneAnalyzerUtil.StemFilterType,True
org.apache.nutch.scoring.similarity.util.LuceneAnalyzerUtil,org.apache.nutch.scoring.similarity.util.LuceneAnalyzerUtil,True
org.apache.nutch.service.impl.JobWorker,org.apache.nutch.service.impl.JobWorker,True
org.apache.nutch.metadata.Nutch,org.apache.nutch.metadata.Nutch,True
org.apache.nutch.service.model.request.JobConfig,org.apache.nutch.service.model.request.JobConfig,True
org.apache.nutch.service.model.response.JobInfo,org.apache.nutch.service.model.response.JobInfo,True
org.apache.nutch.service.model.response.JobInfo.State,org.apache.nutch.service.model.response.JobInfo.State,True
org.apache.nutch.service.resources.ConfigResource,org.apache.nutch.service.resources.ConfigResource,True
org.apache.nutch.util.NutchTool,org.apache.nutch.util.NutchTool,True
org.apache.nutch.webui.pages.SearchPage,org.apache.nutch.webui.pages.SearchPage,True
org.apache.nutch.webui.pages.AbstractBasePage,org.apache.nutch.webui.pages.AbstractBasePage,True
org.apache.nutch.urlfilter.regex.TestRegexURLFilter,org.apache.nutch.urlfilter.regex.TestRegexURLFilter,True
org.apache.nutch.urlfilter.api.RegexURLFilterBaseTest,org.apache.nutch.urlfilter.api.RegexURLFilterBaseTest,True
org.apache.nutch.net.URLFilter,org.apache.nutch.net.URLFilter,True
org.apache.nutch.urlfilter.regex.RegexURLFilter,org.apache.nutch.urlfilter.regex.RegexURLFilter,True
org.apache.nutch.scoring.webgraph.ScoreUpdater,org.apache.nutch.scoring.webgraph.ScoreUpdater,False
org.apache.nutch.crawl.CrawlDatum,org.apache.nutch.crawl.CrawlDatum,False
org.apache.nutch.crawl.CrawlDb,org.apache.nutch.crawl.CrawlDb,False
org.apache.nutch.util.NutchConfiguration,org.apache.nutch.util.NutchConfiguration,True
org.apache.nutch.util.NutchJob,org.apache.nutch.util.NutchJob,True
org.apache.nutch.util.TimingUtil,org.apache.nutch.util.TimingUtil,True
org.apache.nutch.scoring.webgraph.Node,org.apache.nutch.scoring.webgraph.Node,True
org.apache.nutch.scoring.webgraph.WebGraph,org.apache.nutch.scoring.webgraph.WebGraph,False
org.apache.nutch.hostdb.HostDatum,org.apache.nutch.hostdb.HostDatum,True
org.apache.nutch.net.urlnormalizer.host.HostURLNormalizer,org.apache.nutch.net.urlnormalizer.host.HostURLNormalizer,False
org.apache.nutch.net.URLNormalizer,org.apache.nutch.net.URLNormalizer,True
org.apache.nutch.plugin.Extension,org.apache.nutch.plugin.Extension,True
org.apache.nutch.plugin.PluginRepository,org.apache.nutch.plugin.PluginRepository,True
org.apache.nutch.util.URLUtil,org.apache.nutch.util.URLUtil,True
org.apache.nutch.plugin.ExtensionPoint,org.apache.nutch.plugin.ExtensionPoint,True
org.apache.nutch.plugin.PluginDescriptor,org.apache.nutch.plugin.PluginDescriptor,True
org.apache.nutch.webui.pages.StatisticsPage,org.apache.nutch.webui.pages.StatisticsPage,True
org.apache.nutch.parsefilter.naivebayes.Train,org.apache.nutch.parsefilter.naivebayes.Train,True
org.apache.nutch.crawl.TestInjector,org.apache.nutch.crawl.TestInjector,True
org.apache.nutch.crawl.Injector,org.apache.nutch.crawl.Injector,False
org.apache.nutch.crawl.CrawlDBTestUtil,org.apache.nutch.crawl.CrawlDBTestUtil,True
org.apache.nutch.net.TestURLNormalizers,org.apache.nutch.net.TestURLNormalizers,True
org.apache.nutch.net.URLNormalizers,org.apache.nutch.net.URLNormalizers,True
org.apache.nutch.net.urlnormalizer.pass.TestPassURLNormalizer,org.apache.nutch.net.urlnormalizer.pass.TestPassURLNormalizer,True
org.apache.nutch.net.urlnormalizer.pass.PassURLNormalizer,org.apache.nutch.net.urlnormalizer.pass.PassURLNormalizer,True
org.apache.nutch.service.TestNutchServer,org.apache.nutch.service.TestNutchServer,True
org.apache.nutch.service.NutchServer,org.apache.nutch.service.NutchServer,True
org.apache.nutch.urlfilter.validator.TestUrlValidator,org.apache.nutch.urlfilter.validator.TestUrlValidator,True
org.apache.nutch.urlfilter.validator.UrlValidator,org.apache.nutch.urlfilter.validator.UrlValidator,True
org.apache.nutch.crawl.TestAdaptiveFetchSchedule,org.apache.nutch.crawl.TestAdaptiveFetchSchedule,True
org.apache.nutch.crawl.FetchSchedule,org.apache.nutch.crawl.FetchSchedule,True
org.apache.nutch.crawl.AdaptiveFetchSchedule,org.apache.nutch.crawl.AdaptiveFetchSchedule,True
org.apache.nutch.parse.ext.ExtParser,org.apache.nutch.parse.ext.ExtParser,True
org.apache.nutch.protocol.Content,org.apache.nutch.protocol.Content,True
org.apache.nutch.parse.ParseResult,org.apache.nutch.parse.ParseResult,True
org.apache.nutch.parse.ParseStatus,org.apache.nutch.parse.ParseStatus,True
org.apache.nutch.parse.Parser,org.apache.nutch.parse.Parser,True
org.apache.nutch.parse.ParseData,org.apache.nutch.parse.ParseData,True
org.apache.nutch.parse.ParseImpl,org.apache.nutch.parse.ParseImpl,True
org.apache.nutch.parse.Outlink,org.apache.nutch.parse.Outlink,True
org.apache.nutch.parse.OutlinkExtractor,org.apache.nutch.parse.OutlinkExtractor,True
org.apache.nutch.util.CommandRunner,org.apache.nutch.util.CommandRunner,False
org.apache.nutch.net.protocols.Response,org.apache.nutch.net.protocols.Response,True
org.apache.nutch.metadata.HttpHeaders,org.apache.nutch.metadata.HttpHeaders,True
org.apache.nutch.metadata.Metadata,org.apache.nutch.metadata.Metadata,True
org.apache.nutch.util.CrawlCompletionStats,org.apache.nutch.util.CrawlCompletionStats,False
org.apache.nutch.util.CrawlCompletionStats.CrawlCompletionStatsCombiner,org.apache.nutch.util.CrawlCompletionStats.CrawlCompletionStatsCombiner,False
org.apache.nutch.util.CrawlCompletionStats.CrawlCompletionStatsMapper,org.apache.nutch.util.CrawlCompletionStats.CrawlCompletionStatsMapper,False
org.apache.nutch.util.CrawlCompletionStats.CrawlCompletionStatsReducer,org.apache.nutch.util.CrawlCompletionStats.CrawlCompletionStatsReducer,False
org.apache.nutch.webui.service.CrawlService,org.apache.nutch.webui.service.CrawlService,True
org.apache.nutch.webui.client.model.Crawl,org.apache.nutch.webui.client.model.Crawl,True
org.apache.nutch.webui.model.NutchInstance,org.apache.nutch.webui.model.NutchInstance,True
org.apache.nutch.net.urlnormalizer.querystring.TestQuerystringURLNormalizer,org.apache.nutch.net.urlnormalizer.querystring.TestQuerystringURLNormalizer,True
org.apache.nutch.net.urlnormalizer.querystring.QuerystringURLNormalizer,org.apache.nutch.net.urlnormalizer.querystring.QuerystringURLNormalizer,True
org.apache.nutch.parse.Parse,org.apache.nutch.parse.Parse,True
org.apache.nutch.service.model.response.NutchServerInfo,org.apache.nutch.service.model.response.NutchServerInfo,True
org.apache.nutch.scoring.webgraph.NodeReader,org.apache.nutch.scoring.webgraph.NodeReader,False
org.apache.nutch.util.FSUtils,org.apache.nutch.util.FSUtils,True
org.apache.nutch.indexer.filter.MimeTypeIndexingFilterTest,org.apache.nutch.indexer.filter.MimeTypeIndexingFilterTest,True
org.apache.nutch.crawl.Inlinks,org.apache.nutch.crawl.Inlinks,True
org.apache.nutch.indexer.NutchDocument,org.apache.nutch.indexer.NutchDocument,True
org.apache.nutch.indexer.filter.MimeTypeIndexingFilter,org.apache.nutch.indexer.filter.MimeTypeIndexingFilter,True
org.apache.nutch.util.TableUtil,org.apache.nutch.util.TableUtil,True
org.apache.nutch.util.StringUtil,org.apache.nutch.util.StringUtil,True
org.apache.nutch.indexwriter.dummy.DummyIndexWriter,org.apache.nutch.indexwriter.dummy.DummyIndexWriter,True
org.apache.nutch.indexer.IndexWriter,org.apache.nutch.indexer.IndexWriter,True
org.apache.nutch.indexer.IndexerMapReduce,org.apache.nutch.indexer.IndexerMapReduce,False
org.apache.nutch.crawl.LinkDb,org.apache.nutch.crawl.LinkDb,False
org.apache.nutch.net.URLFilters,org.apache.nutch.net.URLFilters,False
