old,new,isSame
src\test\org\apache\nutch\util\TestSuffixStringMatcher.java,src\test\org\apache\nutch\util\TestSuffixStringMatcher.java,True
nutchgora\src\java\org\apache\nutch\tools\ResolveUrls.java,src\java\org\apache\nutch\tools\ResolveUrls.java,True
nutchgora\src\test\org\apache\nutch\util\AbstractNutchTest.java,src\test\org\apache\nutch\util\AbstractNutchTest.java,True
src\java\org\apache\nutch\tools\arc\ArcRecordReader.java,src\java\org\apache\nutch\tools\arc\ArcRecordReader.java,True
nutchgora\src\java\org\apache\nutch\net\protocols\ProtocolException.java,src\java\org\apache\nutch\net\protocols\ProtocolException.java,True
nutchgora\src\java\org\apache\nutch\plugin\ExtensionPoint.java,src\java\org\apache\nutch\plugin\ExtensionPoint.java,True
nutchgora\src\java\org\apache\nutch\metadata\CreativeCommons.java,src\java\org\apache\nutch\metadata\CreativeCommons.java,True
nutchgora\src\plugin\language-identifier\src\java\org\apache\nutch\analysis\lang\HTMLLanguageParser.java,src\plugin\language-identifier\src\java\org\apache\nutch\analysis\lang\HTMLLanguageParser.java,True
nutchgora\src\plugin\protocol-ftp\src\java\org\apache\nutch\protocol\ftp\Client.java,src\plugin\protocol-ftp\src\java\org\apache\nutch\protocol\ftp\Client.java,True
nutchgora\src\plugin\protocol-ftp\src\java\org\apache\nutch\protocol\ftp\FtpException.java,src\plugin\protocol-ftp\src\java\org\apache\nutch\protocol\ftp\FtpException.java,True
src\plugin\lib-http\src\java\org\apache\nutch\protocol\http\api\BlockedException.java,src\plugin\lib-http\src\java\org\apache\nutch\protocol\http\api\BlockedException.java,True
nutchgora\src\java\org\apache\nutch\util\ToolUtil.java,src\java\org\apache\nutch\util\ToolUtil.java,True
src\plugin\parse-tika\src\java\org\apache\nutch\parse\tika\TikaConfig.java,src\plugin\parse-tika\src\java\org\apache\nutch\parse\tika\TikaConfig.java,True
src\plugin\urlfilter-regex\src\java\org\apache\nutch\urlfilter\regex\RegexURLFilter.java,src\plugin\urlfilter-regex\src\java\org\apache\nutch\urlfilter\regex\RegexURLFilter.java,True
src\plugin\protocol-file\src\java\org\apache\nutch\protocol\file\FileResponse.java,src\plugin\protocol-file\src\java\org\apache\nutch\protocol\file\FileResponse.java,False
nutchgora\src\java\org\apache\nutch\crawl\DbUpdateReducer.java,src\java\org\apache\nutch\crawl\DbUpdateReducer.java,False
src\plugin\microformats-reltag\src\java\org\apache\nutch\microformats\reltag\RelTagIndexingFilter.java,src\plugin\microformats-reltag\src\java\org\apache\nutch\microformats\reltag\RelTagIndexingFilter.java,True
nutchgora\src\test\org\apache\nutch\metadata\TestMetadata.java,src\test\org\apache\nutch\metadata\TestMetadata.java,True
src\java\org\apache\nutch\util\domain\DomainSuffix.java,src\java\org\apache\nutch\util\domain\DomainSuffix.java,True
nutchgora\src\plugin\parse-html\src\java\org\apache\nutch\parse\html\DOMContentUtils.java,src\plugin\parse-html\src\java\org\apache\nutch\parse\html\DOMContentUtils.java,True
src\java\org\apache\nutch\parse\ParseException.java,src\java\org\apache\nutch\parse\ParseException.java,True
nutchgora\src\java\org\apache\nutch\api\JobStatus.java,src\java\org\apache\nutch\api\JobStatus.java,True
nutchgora\src\plugin\parse-zip\src\java\org\apache\nutch\parse\zip\ZipParser.java,src\plugin\parse-zip\src\java\org\apache\nutch\parse\zip\ZipParser.java,True
nutchgora\src\java\org\apache\nutch\crawl\TextProfileSignature.java,src\java\org\apache\nutch\crawl\TextProfileSignature.java,True
src\java\org\apache\nutch\storage\WebPage.java,src\java\org\apache\nutch\storage\WebPage.java,True
src\test\org\apache\nutch\util\CrawlTestUtil.java,src\test\org\apache\nutch\util\CrawlTestUtil.java,True
nutchgora\src\plugin\parse-html\src\java\org\apache\nutch\parse\html\HTMLMetaProcessor.java,src\plugin\parse-html\src\java\org\apache\nutch\parse\html\HTMLMetaProcessor.java,True
src\java\org\apache\nutch\net\URLFilters.java,src\java\org\apache\nutch\net\URLFilters.java,True
src\java\org\apache\nutch\indexer\solr\SolrIndexerJob.java,src\java\org\apache\nutch\indexer\solr\SolrIndexerJob.java,False
src\java\org\apache\nutch\parse\OutlinkExtractor.java,src\java\org\apache\nutch\parse\OutlinkExtractor.java,True
nutchgora\src\plugin\urlfilter-automaton\src\test\org\apache\nutch\urlfilter\automaton\TestAutomatonURLFilter.java,src\plugin\urlfilter-automaton\src\test\org\apache\nutch\urlfilter\automaton\TestAutomatonURLFilter.java,True
nutchgora\src\java\org\apache\nutch\crawl\NutchWritable.java,src\java\org\apache\nutch\crawl\NutchWritable.java,True
