old,new,isSame
parquet.thrift.ParquetWriteProtocol,parquet.thrift.ParquetWriteProtocol,False
parquet.thrift.ParquetWriteProtocol.EnumWriteProtocol,parquet.thrift.ParquetWriteProtocol.EnumWriteProtocol,False
parquet.thrift.ParquetWriteProtocol.Events,parquet.thrift.ParquetWriteProtocol.Events,False
parquet.thrift.ParquetWriteProtocol.FieldBaseWriteProtocol,parquet.thrift.ParquetWriteProtocol.FieldBaseWriteProtocol,False
parquet.thrift.ParquetWriteProtocol.ListWriteProtocol,parquet.thrift.ParquetWriteProtocol.ListWriteProtocol,False
parquet.thrift.ParquetWriteProtocol.ListWriteProtocol.ListWriteProtocol.(Anon_1),parquet.thrift.ParquetWriteProtocol.ListWriteProtocol.ListWriteProtocol.(Anon_1),False
parquet.thrift.ParquetWriteProtocol.MapWriteProtocol,parquet.thrift.ParquetWriteProtocol.MapWriteProtocol,False
parquet.thrift.ParquetWriteProtocol.MapWriteProtocol.MapWriteProtocol.(Anon_2),parquet.thrift.ParquetWriteProtocol.MapWriteProtocol.MapWriteProtocol.(Anon_2),False
parquet.thrift.ParquetWriteProtocol.MapWriteProtocol.MapWriteProtocol.(Anon_3),parquet.thrift.ParquetWriteProtocol.MapWriteProtocol.MapWriteProtocol.(Anon_3),False
parquet.thrift.ParquetWriteProtocol.MessageWriteProtocol,parquet.thrift.ParquetWriteProtocol.MessageWriteProtocol,False
parquet.thrift.ParquetWriteProtocol.PrimitiveWriteProtocol,parquet.thrift.ParquetWriteProtocol.PrimitiveWriteProtocol,False
parquet.thrift.ParquetWriteProtocol.StructWriteProtocol,parquet.thrift.ParquetWriteProtocol.StructWriteProtocol,False
parquet.thrift.ParquetWriteProtocol.StructWriteProtocol.StructWriteProtocol.(for_loop_5).(Anon_4),parquet.thrift.ParquetWriteProtocol.StructWriteProtocol.StructWriteProtocol.(for_loop_5).(Anon_4),False
parquet.Log,parquet.Log,True
parquet.io.ColumnIO,parquet.io.ColumnIO,True
parquet.io.GroupColumnIO,parquet.io.GroupColumnIO,True
parquet.io.MessageColumnIO,parquet.io.MessageColumnIO,True
parquet.io.ParquetEncodingException,parquet.io.ParquetEncodingException,True
parquet.io.PrimitiveColumnIO,parquet.io.PrimitiveColumnIO,False
parquet.io.api.Binary,parquet.io.api.Binary,False
parquet.io.api.RecordConsumer,parquet.io.api.RecordConsumer,True
parquet.thrift.struct.ThriftField,parquet.thrift.struct.ThriftField,True
parquet.thrift.struct.ThriftType,parquet.thrift.struct.ThriftType,False
parquet.thrift.struct.ThriftType.EnumType,parquet.thrift.struct.ThriftType.EnumType,False
parquet.thrift.struct.ThriftType.EnumValue,parquet.thrift.struct.ThriftType.EnumValue,False
parquet.thrift.struct.ThriftType.ListType,parquet.thrift.struct.ThriftType.ListType,False
parquet.thrift.struct.ThriftType.MapType,parquet.thrift.struct.ThriftType.MapType,False
parquet.thrift.struct.ThriftType.SetType,parquet.thrift.struct.ThriftType.SetType,False
parquet.thrift.struct.ThriftType.StructType,parquet.thrift.struct.ThriftType.StructType,False
parquet.thrift.ParquetProtocol,parquet.thrift.ParquetProtocol,False
parquet.thrift.struct.ThriftTypeID,parquet.thrift.struct.ThriftTypeID,True
parquet.schema.Type,parquet.schema.Type,True
parquet.avro.AvroWriteSupport,parquet.avro.AvroWriteSupport,False
parquet.avro.AvroWriteSupport.writeArray.T,parquet.avro.AvroWriteSupport.writeArray.T,False
parquet.avro.AvroWriteSupport.writeMap.V,parquet.avro.AvroWriteSupport.writeMap.V,False
parquet.hadoop.api.WriteSupport,parquet.hadoop.api.WriteSupport,True
parquet.schema.GroupType,parquet.schema.GroupType,True
parquet.schema.MessageType,parquet.schema.MessageType,False
parquet.hadoop.api.WriteSupport.WriteContext,parquet.hadoop.api.WriteSupport.WriteContext,True
parquet.avro.AvroSchemaConverter,parquet.avro.AvroSchemaConverter,False
parquet.schema.Type.Repetition,parquet.schema.Type.Repetition,True
parquet.column.values.bitpacking.TestByteBasedBitPackingEncoder,parquet.column.values.bitpacking.TestByteBasedBitPackingEncoder,True
parquet.column.values.bitpacking.ByteBasedBitPackingEncoder,parquet.column.values.bitpacking.ByteBasedBitPackingEncoder,True
parquet.column.values.bitpacking.Packer,parquet.column.values.bitpacking.Packer,True
parquet.column.values.ValuesWriter,parquet.column.values.ValuesWriter,True
parquet.bytes.BytesInput,parquet.bytes.BytesInput,False
parquet.pig.summary.NumberSummaryData,parquet.pig.summary.NumberSummaryData,True
parquet.pig.summary.SummaryData,parquet.pig.summary.SummaryData,True
parquet.pig.summary.ValueStat,parquet.pig.summary.ValueStat,True
parquet.hadoop.codec.SnappyCodec,parquet.hadoop.codec.SnappyCodec,True
parquet.hadoop.codec.SnappyCompressor,parquet.hadoop.codec.SnappyCompressor,True
parquet.hadoop.codec.SnappyDecompressor,parquet.hadoop.codec.SnappyDecompressor,True
parquet.hadoop.codec.NonBlockedDecompressorStream,parquet.hadoop.codec.NonBlockedDecompressorStream,True
parquet.hadoop.codec.NonBlockedCompressorStream,parquet.hadoop.codec.NonBlockedCompressorStream,True
parquet.column.values.bitpacking.BaseBitPackingReader,parquet.column.values.bitpacking.BaseBitPackingReader,True
parquet.column.values.bitpacking.BaseBitPackingWriter,parquet.column.values.bitpacking.BaseBitPackingWriter,True
parquet.column.values.bitpacking.BitPacking,parquet.column.values.bitpacking.BitPacking,True
parquet.column.values.bitpacking.BitPacking.BitPackingReader,parquet.column.values.bitpacking.BitPacking.BitPackingReader,True
parquet.column.values.bitpacking.BitPacking.BitPackingWriter,parquet.column.values.bitpacking.BitPacking.BitPackingWriter,True
parquet.column.values.bitpacking.EightBitPackingReader,parquet.column.values.bitpacking.EightBitPackingReader,True
parquet.column.values.bitpacking.EightBitPackingWriter,parquet.column.values.bitpacking.EightBitPackingWriter,True
parquet.column.values.bitpacking.FiveBitPackingReader,parquet.column.values.bitpacking.FiveBitPackingReader,True
parquet.column.values.bitpacking.FiveBitPackingWriter,parquet.column.values.bitpacking.FiveBitPackingWriter,True
parquet.column.values.bitpacking.FourBitPackingReader,parquet.column.values.bitpacking.FourBitPackingReader,True
parquet.column.values.bitpacking.FourBitPackingWriter,parquet.column.values.bitpacking.FourBitPackingWriter,True
parquet.column.values.bitpacking.OneBitPackingReader,parquet.column.values.bitpacking.OneBitPackingReader,True
parquet.column.values.bitpacking.OneBitPackingWriter,parquet.column.values.bitpacking.OneBitPackingWriter,True
parquet.column.values.bitpacking.SevenBitPackingReader,parquet.column.values.bitpacking.SevenBitPackingReader,True
parquet.column.values.bitpacking.SevenBitPackingWriter,parquet.column.values.bitpacking.SevenBitPackingWriter,True
parquet.column.values.bitpacking.SixBitPackingReader,parquet.column.values.bitpacking.SixBitPackingReader,True
parquet.column.values.bitpacking.SixBitPackingWriter,parquet.column.values.bitpacking.SixBitPackingWriter,True
parquet.column.values.bitpacking.ThreeBitPackingReader,parquet.column.values.bitpacking.ThreeBitPackingReader,True
parquet.column.values.bitpacking.ThreeBitPackingWriter,parquet.column.values.bitpacking.ThreeBitPackingWriter,True
parquet.column.values.bitpacking.TwoBitPackingReader,parquet.column.values.bitpacking.TwoBitPackingReader,True
parquet.column.values.bitpacking.TwoBitPackingWriter,parquet.column.values.bitpacking.TwoBitPackingWriter,True
parquet.column.values.bitpacking.ZeroBitPackingReader,parquet.column.values.bitpacking.ZeroBitPackingReader,True
parquet.column.values.bitpacking.ZeroBitPackingWriter,parquet.column.values.bitpacking.ZeroBitPackingWriter,True
parquet.bytes.BytesUtils,parquet.bytes.BytesUtils,False
parquet.pig.TestTupleRecordConsumer,parquet.pig.TestTupleRecordConsumer,False
parquet.pig.TestTupleRecordConsumer.newTupleWriter.T,parquet.pig.TestTupleRecordConsumer.newTupleWriter.T,False
parquet.pig.TestTupleRecordConsumer.testMapSchema.(Anon_1),parquet.pig.TestTupleRecordConsumer.testMapSchema.(Anon_1),False
parquet.pig.TestTupleRecordConsumer.testMapSchema.(Anon_2),parquet.pig.TestTupleRecordConsumer.testMapSchema.(Anon_2),False
parquet.pig.TestTupleRecordConsumer.testMapSchema.(Anon_3),parquet.pig.TestTupleRecordConsumer.testMapSchema.(Anon_3),False
parquet.example.data.Group,parquet.example.data.Group,True
parquet.example.data.GroupWriter,parquet.example.data.GroupWriter,True
parquet.example.data.simple.SimpleGroup,parquet.example.data.simple.SimpleGroup,True
parquet.example.data.simple.convert.GroupRecordConverter,parquet.example.data.simple.convert.GroupRecordConverter,True
parquet.hadoop.api.InitContext,parquet.hadoop.api.InitContext,True
parquet.hadoop.api.ReadSupport.ReadContext,parquet.hadoop.api.ReadSupport.ReadContext,True
parquet.io.ConverterConsumer,parquet.io.ConverterConsumer,True
