old,new,isSame
org.apache.sysml.test.integration.functions.recompile.SparsityRecompileTest,org.apache.sysml.test.integration.functions.recompile.SparsityRecompileTest,False
org.apache.sysml.hops.OptimizerUtils,org.apache.sysml.hops.OptimizerUtils,False
org.apache.sysml.parser.DMLTranslator,org.apache.sysml.parser.DMLTranslator,False
org.apache.sysml.parser.Expression.ValueType,org.apache.sysml.parser.Expression.ValueType,False
org.apache.sysml.runtime.matrix.MatrixCharacteristics,org.apache.sysml.runtime.matrix.MatrixCharacteristics,False
org.apache.sysml.runtime.matrix.data.MatrixBlock,org.apache.sysml.runtime.matrix.data.MatrixBlock,False
org.apache.sysml.runtime.matrix.data.OutputInfo,org.apache.sysml.runtime.matrix.data.OutputInfo,False
org.apache.sysml.runtime.matrix.data.MatrixValue.CellIndex,org.apache.sysml.runtime.matrix.data.MatrixValue.CellIndex,False
org.apache.sysml.runtime.util.DataConverter,org.apache.sysml.runtime.util.DataConverter,False
org.apache.sysml.runtime.util.MapReduceTool,org.apache.sysml.runtime.util.MapReduceTool,False
org.apache.sysml.test.integration.AutomatedTestBase,org.apache.sysml.test.integration.AutomatedTestBase,False
org.apache.sysml.test.integration.TestConfiguration,org.apache.sysml.test.integration.TestConfiguration,True
org.apache.sysml.test.utils.TestUtils,org.apache.sysml.test.utils.TestUtils,False
org.apache.sysml.utils.Statistics,org.apache.sysml.utils.Statistics,False
org.apache.sysml.parser.Expression,org.apache.sysml.parser.Expression,False
org.apache.sysml.runtime.matrix.data.MatrixValue,org.apache.sysml.runtime.matrix.data.MatrixValue,False
org.apache.sysml.test.integration.applications.NaiveBayesParforTest,org.apache.sysml.test.integration.applications.NaiveBayesParforTest,True
org.apache.sysml.test.integration.AutomatedTestBase.ScriptType,org.apache.sysml.test.integration.AutomatedTestBase.ScriptType,False
org.apache.sysml.test.integration.functions.misc.RewriteSimplifyRowColSumMVMultTest,org.apache.sysml.test.integration.functions.misc.RewriteSimplifyRowColSumMVMultTest,False
org.apache.sysml.test.integration.functions.binary.matrix.ElementwiseMultiplicationTest,org.apache.sysml.test.integration.functions.binary.matrix.ElementwiseMultiplicationTest,True
org.apache.sysml.api.DMLException,org.apache.sysml.api.DMLException,True
org.apache.sysml.runtime.matrix.data.AddDummyWeightConverter,org.apache.sysml.runtime.matrix.data.AddDummyWeightConverter,True
org.apache.sysml.runtime.matrix.data.MatrixIndexes,org.apache.sysml.runtime.matrix.data.MatrixIndexes,False
org.apache.sysml.runtime.matrix.data.WeightedPair,org.apache.sysml.runtime.matrix.data.WeightedPair,False
org.apache.sysml.runtime.matrix.data.Converter,org.apache.sysml.runtime.matrix.data.Converter,True
org.apache.sysml.runtime.matrix.data.Pair,org.apache.sysml.runtime.matrix.data.Pair,True
org.apache.sysml.runtime.matrix.data.WeightedCell,org.apache.sysml.runtime.matrix.data.WeightedCell,False
org.apache.sysml.runtime.matrix.data.TextToBinaryCellConverter,org.apache.sysml.runtime.matrix.data.TextToBinaryCellConverter,True
org.apache.sysml.runtime.matrix.data.BinaryBlockToBinaryCellConverter,org.apache.sysml.runtime.matrix.data.BinaryBlockToBinaryCellConverter,False
org.apache.sysml.runtime.matrix.data.IdenticalConverter,org.apache.sysml.runtime.matrix.data.IdenticalConverter,True
org.apache.sysml.runtime.matrix.data.MatrixCell,org.apache.sysml.runtime.matrix.data.MatrixCell,False
org.apache.sysml.runtime.matrix.mapred.MRJobConfiguration,org.apache.sysml.runtime.matrix.mapred.MRJobConfiguration,False
org.apache.sysml.runtime.matrix.mapred.MRJobConfiguration.ConvertTarget,org.apache.sysml.runtime.matrix.mapred.MRJobConfiguration.ConvertTarget,False
org.apache.sysml.runtime.matrix.mapred.MRJobConfiguration.MatrixChar_N_ReducerGroups,org.apache.sysml.runtime.matrix.mapred.MRJobConfiguration.MatrixChar_N_ReducerGroups,False
org.apache.sysml.api.DMLScript,org.apache.sysml.api.DMLScript,False
org.apache.sysml.conf.ConfigurationManager,org.apache.sysml.conf.ConfigurationManager,False
org.apache.sysml.conf.DMLConfig,org.apache.sysml.conf.DMLConfig,False
org.apache.sysml.lops.Lop,org.apache.sysml.lops.Lop,False
org.apache.sysml.runtime.DMLRuntimeException,org.apache.sysml.runtime.DMLRuntimeException,True
org.apache.sysml.runtime.controlprogram.ParForProgramBlock.PDataPartitionFormat,org.apache.sysml.runtime.controlprogram.ParForProgramBlock.PDataPartitionFormat,False
org.apache.sysml.runtime.controlprogram.parfor.stat.InfrastructureAnalyzer,org.apache.sysml.runtime.controlprogram.parfor.stat.InfrastructureAnalyzer,False
org.apache.sysml.runtime.controlprogram.parfor.util.IDSequence,org.apache.sysml.runtime.controlprogram.parfor.util.IDSequence,False
org.apache.sysml.runtime.instructions.Instruction,org.apache.sysml.runtime.instructions.Instruction,False
org.apache.sysml.runtime.instructions.MRInstructionParser,org.apache.sysml.runtime.instructions.MRInstructionParser,False
org.apache.sysml.runtime.instructions.mr.AggregateBinaryInstruction,org.apache.sysml.runtime.instructions.mr.AggregateBinaryInstruction,False
org.apache.sysml.runtime.instructions.mr.AggregateInstruction,org.apache.sysml.runtime.instructions.mr.AggregateInstruction,False
org.apache.sysml.runtime.instructions.mr.AppendGInstruction,org.apache.sysml.runtime.instructions.mr.AppendGInstruction,False
org.apache.sysml.runtime.instructions.mr.AppendMInstruction,org.apache.sysml.runtime.instructions.mr.AppendMInstruction,False
