old,new,isSame
src\main\java\org\apache\tika\parser\AutoDetectParser.java,tika-core\src\main\java\org\apache\tika\parser\AutoDetectParser.java,False
src\main\java\org\apache\tika\utils\RereadableInputStream.java,tika-core\src\main\java\org\apache\tika\utils\RereadableInputStream.java,True
src\main\java\org\apache\tika\parser\html\HtmlParser.java,tika-parsers\src\main\java\org\apache\tika\parser\html\HtmlParser.java,False
src\test\java\org\apache\tika\mime\MimeTypeTest.java,tika-parsers\src\test\java\org\apache\tika\mime\MimeTypeTest.java,False
src\main\java\org\apache\tika\mime\HexCoDec.java,tika-core\src\main\java\org\apache\tika\mime\HexCoDec.java,False
src\main\java\org\apache\tika\mime\MimeType.java,tika-core\src\main\java\org\apache\tika\mime\MimeType.java,False
src\main\java\org\apache\tika\utils\RegexUtils.java,tika-core\src\main\java\org\apache\tika\utils\RegexUtils.java,True
src\test\java\org\apache\tika\parser\microsoft\ExcelParserTest.java,tika-parsers\src\test\java\org\apache\tika\parser\microsoft\ExcelParserTest.java,False
src\main\java\org\apache\tika\metadata\Metadata.java,tika-core\src\main\java\org\apache\tika\metadata\Metadata.java,False
src\main\java\org\apache\tika\parser\opendocument\OpenOfficeParser.java,tika-parsers\src\main\java\org\apache\tika\parser\opendocument\OpenOfficeParser.java,False
src\test\java\org\apache\tika\metadata\TestMetadata.java,tika-core\src\test\java\org\apache\tika\metadata\TestMetadata.java,False
src\main\java\org\apache\tika\parser\rtf\RTFParser.java,tika-parsers\src\main\java\org\apache\tika\parser\rtf\RTFParser.java,False
src\test\java\org\apache\tika\TestParsers.java,tika-parsers\src\test\java\org\apache\tika\TestParsers.java,False
src\main\java\org\apache\tika\parser\xml\XMLParser.java,tika-parsers\src\main\java\org\apache\tika\parser\xml\XMLParser.java,False
src\main\java\org\apache\tika\mime\MimeTypesReader.java,tika-core\src\main\java\org\apache\tika\mime\MimeTypesReader.java,False
src\test\java\org\apache\tika\mime\PatternsTest.java,tika-core\src\test\java\org\apache\tika\mime\PatternsTest.java,False
src\test\java\org\apache\tika\TestRereadableInputStream.java,tika-core\src\test\java\org\apache\tika\TestRereadableInputStream.java,True
src\main\java\org\apache\tika\metadata\DublinCore.java,tika-core\src\main\java\org\apache\tika\metadata\DublinCore.java,False
src\main\java\org\apache\tika\metadata\MSOffice.java,tika-core\src\main\java\org\apache\tika\metadata\MSOffice.java,False
src\main\java\org\apache\tika\metadata\TikaMimeKeys.java,tika-core\src\main\java\org\apache\tika\metadata\TikaMimeKeys.java,False
src\main\java\org\apache\tika\mime\Magic.java,tika-core\src\main\java\org\apache\tika\mime\Magic.java,False
src\main\java\org\apache\tika\utils\ParseUtils.java,tika-core\src\main\java\org\apache\tika\utils\ParseUtils.java,False
src\main\java\org\apache\tika\mime\Clause.java,tika-core\src\main\java\org\apache\tika\mime\Clause.java,False
src\main\java\org\apache\tika\parser\microsoft\OfficeParser.java,tika-parsers\src\main\java\org\apache\tika\parser\microsoft\OfficeParser.java,False
src\main\java\org\apache\tika\parser\txt\TXTParser.java,tika-parsers\src\main\java\org\apache\tika\parser\txt\TXTParser.java,False
src\main\java\org\apache\tika\mime\MagicMatch.java,tika-core\src\main\java\org\apache\tika\mime\MagicMatch.java,False
src\main\java\org\apache\tika\sax\WriteOutContentHandler.java,tika-core\src\main\java\org\apache\tika\sax\WriteOutContentHandler.java,False
src\main\java\org\apache\tika\mime\Patterns.java,tika-core\src\main\java\org\apache\tika\mime\Patterns.java,False
src\test\java\org\apache\tika\utils\RegexUtilsTest.java,tika-core\src\test\java\org\apache\tika\utils\RegexUtilsTest.java,True
src\test\java\org\apache\tika\parser\txt\TXTParserTest.java,tika-parsers\src\test\java\org\apache\tika\parser\txt\TXTParserTest.java,False
src\test\java\org\apache\tika\mime\MimeTypesTest.java,tika-parsers\src\test\java\org\apache\tika\mime\MimeTypesTest.java,False
src\main\java\org\apache\tika\mime\MimeTypesFactory.java,tika-core\src\main\java\org\apache\tika\mime\MimeTypesFactory.java,False
src\main\java\org\apache\tika\parser\pdf\PDF2XHTML.java,tika-parsers\src\main\java\org\apache\tika\parser\pdf\PDF2XHTML.java,False
src\main\java\org\apache\tika\config\TikaConfig.java,tika-core\src\main\java\org\apache\tika\config\TikaConfig.java,False
src\test\java\org\apache\tika\parser\AutoDetectParserTest.java,tika-parsers\src\test\java\org\apache\tika\parser\AutoDetectParserTest.java,False
src\main\java\org\apache\tika\metadata\CreativeCommons.java,tika-core\src\main\java\org\apache\tika\metadata\CreativeCommons.java,False
src\main\java\org\apache\tika\mime\MimeTypeException.java,tika-core\src\main\java\org\apache\tika\mime\MimeTypeException.java,False
src\main\java\org\apache\tika\parser\ParserPostProcessor.java,tika-core\src\main\java\org\apache\tika\parser\ParserPostProcessor.java,False
src\main\java\org\apache\tika\parser\pdf\PDFParser.java,tika-parsers\src\main\java\org\apache\tika\parser\pdf\PDFParser.java,False
src\main\java\org\apache\tika\sax\TeeContentHandler.java,tika-core\src\main\java\org\apache\tika\sax\TeeContentHandler.java,False
src\main\java\org\apache\tika\mime\MimeTypes.java,tika-core\src\main\java\org\apache\tika\mime\MimeTypes.java,False
src\main\java\org\apache\tika\metadata\HttpHeaders.java,tika-core\src\main\java\org\apache\tika\metadata\HttpHeaders.java,False
src\test\java\org\apache\tika\parser\html\HtmlParserTest.java,tika-parsers\src\test\java\org\apache\tika\parser\html\HtmlParserTest.java,False
