old,new,isSame
activemq-web-console\src\main\java\org\apache\activemq\web\controller\SendMessage.java,activemq-web-console\src\main\java\org\apache\activemq\web\controller\SendMessage.java,False
activemq-core\src\main\java\org\apache\activemq\openwire\v1\ActiveMQTempDestinationMarshaller.java,activemq-openwire-legacy\src\main\java\org\apache\activemq\openwire\v5\ActiveMQTempDestinationMarshaller.java,False
activemq-core\src\main\java\org\apache\activemq\openwire\v4\RemoveInfoMarshaller.java,activemq-client\src\main\java\org\apache\activemq\openwire\v8\RemoveInfoMarshaller.java,False
activemq-core\src\main\java\org\apache\activemq\openwire\v4\ControlCommandMarshaller.java,activemq-client\src\main\java\org\apache\activemq\openwire\v1\ControlCommandMarshaller.java,False
activemq-core\src\test\java\org\apache\activemq\openwire\v1\JournalTraceTest.java,activemq-unit-tests\src\test\java\org\apache\activemq\openwire\v2\JournalTraceTest.java,False
activemq-core\src\main\java\org\apache\activemq\openwire\v5\MarshallerFactory.java,activemq-client\src\main\java\org\apache\activemq\openwire\v1\MarshallerFactory.java,False
activemq-web\src\main\java\org\apache\activemq\web\SessionFilter.java,activemq-web\src\main\java\org\apache\activemq\web\SessionFilter.java,False
activemq-core\src\main\java\org\apache\activemq\broker\MutableBrokerFilter.java,activemq-broker\src\main\java\org\apache\activemq\broker\MutableBrokerFilter.java,False
activemq-optional\src\main\java\org\apache\activemq\store\amq\reader\MessageLocation.java,activemq-amq-store\src\main\java\org\apache\activemq\store\amq\reader\MessageLocation.java,True
activemq-core\src\main\java\org\apache\activemq\openwire\v4\NetworkBridgeFilterMarshaller.java,activemq-openwire-legacy\src\main\java\org\apache\activemq\openwire\v3\NetworkBridgeFilterMarshaller.java,False
activemq-core\src\test\java\org\apache\activemq\openwire\v2\ConsumerInfoTest.java,activemq-unit-tests\src\test\java\org\apache\activemq\openwire\v6\ConsumerInfoTest.java,False
activemq-core\src\main\java\org\apache\activemq\broker\UserIDBroker.java,activemq-broker\src\main\java\org\apache\activemq\broker\UserIDBroker.java,False
activemq-core\src\main\java\org\apache\activemq\spring\ActiveMQXAConnectionFactory.java,activemq-client\src\main\java\org\apache\activemq\ActiveMQXAConnectionFactory.java,False
activemq-core\src\test\java\org\apache\activemq\config\BrokerPropertiesTest.java,activemq-unit-tests\src\test\java\org\apache\activemq\config\BrokerPropertiesTest.java,False
activemq-core\src\main\java\org\apache\activemq\transport\stomp\ResponseHandler.java,activemq-stomp\src\main\java\org\apache\activemq\transport\stomp\ResponseHandler.java,True
kahadb\src\main\java\org\apache\kahadb\util\SequenceSet.java,activemq-kahadb-store\src\main\java\org\apache\activemq\store\kahadb\disk\util\SequenceSet.java,False
activemq-core\src\main\java\org\apache\activemq\openwire\v4\ExceptionResponseMarshaller.java,activemq-openwire-legacy\src\main\java\org\apache\activemq\openwire\v5\ExceptionResponseMarshaller.java,False
activemq-optional\src\main\java\org\apache\activemq\transport\http\HttpClientTransport.java,activemq-http\src\main\java\org\apache\activemq\transport\http\HttpClientTransport.java,False
activemq-core\src\main\java\org\apache\activemq\openwire\v4\IntegerResponseMarshaller.java,activemq-client\src\main\java\org\apache\activemq\openwire\v8\IntegerResponseMarshaller.java,False
activemq-core\src\test\java\org\apache\activemq\usecases\TwoBrokerTopicSendReceiveUsingJavaConfigurationTest.java,activemq-unit-tests\src\test\java\org\apache\activemq\usecases\TwoBrokerTopicSendReceiveUsingJavaConfigurationTest.java,False
activemq-core\src\test\java\org\apache\activemq\usecases\ExceptionListenerTest.java,activemq-unit-tests\src\test\java\org\apache\activemq\usecases\ExceptionListenerTest.java,True
activemq-optional\src\main\java\org\apache\activemq\tool\AcidTestTool.java,trash\activemq-optional\src\main\java\org\apache\activemq\tool\AcidTestTool.java,True
activemq-console\src\main\java\org\apache\activemq\console\command\AbstractAmqCommand.java,activemq-console\src\main\java\org\apache\activemq\console\command\AbstractAmqCommand.java,False
activemq-core\src\main\java\org\apache\activemq\openwire\v4\DataResponseMarshaller.java,activemq-client\src\main\java\org\apache\activemq\openwire\v8\DataResponseMarshaller.java,False
activemq-core\src\test\java\org\apache\activemq\openwire\v4\ConnectionIdTest.java,activemq-unit-tests\src\test\java\org\apache\activemq\openwire\v3\ConnectionIdTest.java,False
activemq-core\src\main\java\org\apache\activemq\Disposable.java,activemq-client\src\main\java\org\apache\activemq\Disposable.java,True
activemq-core\src\test\java\org\apache\activemq\usecases\ThreeBrokerTopicNetworkTest.java,activemq-unit-tests\src\test\java\org\apache\activemq\usecases\ThreeBrokerTopicNetworkTest.java,False
activemq-core\src\main\java\org\apache\activemq\transport\udp\SimpleBufferPool.java,activemq-client\src\main\java\org\apache\activemq\transport\udp\SimpleBufferPool.java,True
activemq-core\src\main\java\org\apache\activemq\openwire\v3\ActiveMQObjectMessageMarshaller.java,activemq-client\src\main\java\org\apache\activemq\openwire\v9\ActiveMQObjectMessageMarshaller.java,False
activemq-core\src\test\java\org\apache\activemq\bugs\AMQ2356Test.java,activemq-unit-tests\src\test\java\org\apache\activemq\bugs\AMQ2356Test.java,False
activemq-core\src\main\java\org\apache\activemq\command\BaseCommand.java,activemq-client\src\main\java\org\apache\activemq\command\BaseCommand.java,False
activemq-core\src\main\java\org\apache\activemq\ConnectionAudit.java,activemq-client\src\main\java\org\apache\activemq\ConnectionAudit.java,False
activemq-core\src\main\java\org\apache\activemq\broker\region\Subscription.java,activemq-broker\src\main\java\org\apache\activemq\broker\region\Subscription.java,False
activemq-core\src\main\java\org\apache\activemq\openwire\v1\ActiveMQQueueMarshaller.java,activemq-client\src\main\java\org\apache\activemq\openwire\v9\ActiveMQQueueMarshaller.java,False
activemq-core\src\test\java\org\apache\activemq\transport\tcp\TcpTransportBrokerTest.java,activemq-unit-tests\src\test\java\org\apache\activemq\transport\tcp\TcpTransportBrokerTest.java,True
