old,new,isSame
jdk-1.5\wicket-objectssizeof-agent\src\test\wicket\util\license\ApacheLicenceHeaderTest.java,jdk-1.4\wicket-datetime\src\test\java\org\apache\wicket\util\license\ApacheLicenceHeaderTest.java,False
jdk-1.4\wicket\src\main\java\org\apache\wicket\request\target\resource\ISharedResourceRequestTarget.java,jdk-1.4\wicket\src\main\java\org\apache\wicket\request\target\resource\ISharedResourceRequestTarget.java,True
jdk-1.5\wicket-auth-roles\src\main\java\org\apache\wicket\authentication\pages\SignOutPage.java,jdk-1.5\wicket-auth-roles\src\main\java\org\apache\wicket\authentication\pages\SignOutPage.java,True
jdk-1.4\wicket\src\test\java\org\apache\wicket\ajax\markup\html\componentMap\SimpleTestPage.java,jdk-1.4\wicket\src\test\java\org\apache\wicket\ajax\markup\html\componentMap\SimpleTestPage.java,True
jdk-1.4\wicket\src\main\java\org\apache\wicket\markup\html\link\StatelessLink.java,jdk-1.4\wicket\src\main\java\org\apache\wicket\markup\html\link\StatelessLink.java,True
jdk-1.5\wicket-examples\src\main\java\org\apache\wicket\examples\linkomatic\Popup.java,jdk-1.5\wicket-examples\src\main\java\org\apache\wicket\examples\linkomatic\Popup.java,True
jdk-1.4\wicket-quickstart\src\main\java\org\apache\wicket\quickstart\Start.java,jdk-1.4\wicket-quickstart\src\main\java\org\apache\wicket\quickstart\Start.java,False
jdk-1.4\wicket\src\main\java\org\apache\wicket\settings\IRequestLoggerSettings.java,jdk-1.4\wicket\src\main\java\org\apache\wicket\settings\IRequestLoggerSettings.java,True
jdk-1.5\wicket-examples\src\main\java\org\apache\wicket\examples\repeater\OIRPage.java,jdk-1.5\wicket-examples\src\main\java\org\apache\wicket\examples\repeater\OIRPage.java,True
jdk-1.4\wicket\src\main\java\org\apache\wicket\model\IModel.java,jdk-1.4\wicket\src\main\java\org\apache\wicket\model\IModel.java,True
jdk-1.4\wicket\src\main\java\org\apache\wicket\authorization\IUnauthorizedComponentInstantiationListener.java,jdk-1.4\wicket\src\main\java\org\apache\wicket\authorization\IUnauthorizedComponentInstantiationListener.java,True
jdk-1.5\wicket-examples\src\main\java\org\apache\wicket\examples\compref\SelectPage.java,jdk-1.5\wicket-examples\src\main\java\org\apache\wicket\examples\compref\SelectPage.java,True
jdk-1.4\wicket\src\test\java\org\apache\wicket\markup\html\header\threelayers2\AbstractBasePage.java,jdk-1.4\wicket\src\test\java\org\apache\wicket\markup\html\header\threelayers\AbstractBasePage.java,False
jdk-1.5\wicket-examples\src\main\java\org\apache\wicket\examples\hangman\Game.java,jdk-1.5\wicket-examples\src\main\java\org\apache\wicket\examples\hangman\Game.java,True
jdk-1.4\wicket\src\test\java\org\apache\wicket\markup\html\autolink\BasePage.java,jdk-1.4\wicket\src\test\java\org\apache\wicket\markup\html\autolink\sub\BasePage.java,False
jdk-1.4\wicket\src\main\java\org\apache\wicket\util\time\Duration.java,jdk-1.4\wicket\src\main\java\org\apache\wicket\util\time\Duration.java,False
jdk-1.4\wicket\src\test\java\org\apache\wicket\markup\html\header\threelayers\AbstractSecurePage.java,jdk-1.4\wicket\src\test\java\org\apache\wicket\markup\html\header\threelayers2\AbstractSecurePage.java,False
jdk-1.4\wicket\src\main\java\org\apache\wicket\markup\repeater\IItemReuseStrategy.java,jdk-1.4\wicket\src\main\java\org\apache\wicket\markup\repeater\IItemReuseStrategy.java,True
jdk-1.4\wicket\src\test\java\org\apache\wicket\stateless\StatelessComponentPage.java,jdk-1.4\wicket\src\test\java\org\apache\wicket\stateless\StatelessComponentPage.java,True
