old,new,isSame
org.apache.hadoop.hbase.HConstants,org.apache.hadoop.hbase.HConstants,False
org.apache.hadoop.hbase.HRegionInfo,org.apache.hadoop.hbase.HRegionInfo,False
org.apache.hadoop.hbase.KeyValue,org.apache.hadoop.hbase.KeyValue,False
org.apache.hadoop.hbase.ServerName,org.apache.hadoop.hbase.ServerName,False
org.apache.hadoop.hbase.client.Result,org.apache.hadoop.hbase.client.Result,False
org.apache.hadoop.hbase.util.Bytes,org.apache.hadoop.hbase.util.Bytes,False
org.apache.hadoop.hbase.MediumTests,org.apache.hadoop.hbase.MediumTests,True
org.apache.hadoop.hbase.ipc.TestDelayedRpc,org.apache.hadoop.hbase.ipc.TestDelayedRpc,False
org.apache.hadoop.hbase.ipc.TestDelayedRpc.FaultyTestRpc,org.apache.hadoop.hbase.ipc.TestDelayedRpc.FaultyTestRpc,False
org.apache.hadoop.hbase.ipc.TestDelayedRpc.ListAppender,org.apache.hadoop.hbase.ipc.TestDelayedRpc.ListAppender,False
org.apache.hadoop.hbase.ipc.TestDelayedRpc.TestRpc,org.apache.hadoop.hbase.ipc.TestDelayedRpc.TestRpc,False
org.apache.hadoop.hbase.ipc.TestDelayedRpc.TestRpcImpl,org.apache.hadoop.hbase.ipc.TestDelayedRpc.TestRpcImpl,False
org.apache.hadoop.hbase.ipc.TestDelayedRpc.TestRpcImpl.test.(Anon_1),org.apache.hadoop.hbase.ipc.TestDelayedRpc.TestRpcImpl.test.(Anon_1),False
org.apache.hadoop.hbase.ipc.TestDelayedRpc.TestThread,org.apache.hadoop.hbase.ipc.TestDelayedRpc.TestThread,False
org.apache.hadoop.hbase.HBaseConfiguration,org.apache.hadoop.hbase.HBaseConfiguration,False
org.apache.hadoop.hbase.ipc.RpcServer,org.apache.hadoop.hbase.ipc.RpcServer,False
org.apache.hadoop.hbase.ipc.Delayable,org.apache.hadoop.hbase.ipc.Delayable,False
org.apache.hadoop.hbase.ipc.HBaseServer,org.apache.hadoop.hbase.ipc.HBaseServer,False
org.apache.hadoop.hbase.io.hfile.HFileWriterV2,org.apache.hadoop.hbase.io.hfile.HFileWriterV2,False
org.apache.hadoop.hbase.io.hfile.HFileWriterV2.WriterFactoryV2,org.apache.hadoop.hbase.io.hfile.HFileWriterV2.WriterFactoryV2,False
org.apache.hadoop.hbase.io.hfile.HFileWriterV2.addBloomFilter.(Anon_1),org.apache.hadoop.hbase.io.hfile.HFileWriterV2.addBloomFilter.(Anon_1),False
org.apache.hadoop.hbase.KeyValue.KeyComparator,org.apache.hadoop.hbase.KeyValue.KeyComparator,False
org.apache.hadoop.hbase.io.encoding.DataBlockEncoding,org.apache.hadoop.hbase.io.encoding.DataBlockEncoding,False
org.apache.hadoop.hbase.io.hfile.HFile.Writer,org.apache.hadoop.hbase.io.hfile.HFile.Writer,False
org.apache.hadoop.hbase.io.hfile.HFileBlock.BlockWritable,org.apache.hadoop.hbase.io.hfile.HFileBlock.BlockWritable,False
org.apache.hadoop.hbase.util.ChecksumType,org.apache.hadoop.hbase.util.ChecksumType,False
org.apache.hadoop.hbase.util.BloomFilterWriter,org.apache.hadoop.hbase.util.BloomFilterWriter,False
org.apache.hadoop.hbase.io.hfile.HFile,org.apache.hadoop.hbase.io.hfile.HFile,False
org.apache.hadoop.hbase.io.hfile.HFileBlock,org.apache.hadoop.hbase.io.hfile.HFileBlock,False
org.apache.hadoop.hbase.io.hfile.AbstractHFileWriter,org.apache.hadoop.hbase.io.hfile.AbstractHFileWriter,False
org.apache.hadoop.hbase.io.hfile.InlineBlockWriter,org.apache.hadoop.hbase.io.hfile.InlineBlockWriter,False
org.apache.hadoop.hbase.io.hfile.HFileBlockIndex.BlockIndexWriter,org.apache.hadoop.hbase.io.hfile.HFileBlockIndex.BlockIndexWriter,False
org.apache.hadoop.hbase.io.hfile.HFileBlock.Writer,org.apache.hadoop.hbase.io.hfile.HFileBlock.Writer,False
org.apache.hadoop.hbase.io.hfile.HFileDataBlockEncoder,org.apache.hadoop.hbase.io.hfile.HFileDataBlockEncoder,False
org.apache.hadoop.hbase.io.hfile.CacheConfig,org.apache.hadoop.hbase.io.hfile.CacheConfig,False
org.apache.hadoop.hbase.io.hfile.BlockType,org.apache.hadoop.hbase.io.hfile.BlockType,False
org.apache.hadoop.hbase.io.hfile.FixedFileTrailer,org.apache.hadoop.hbase.io.hfile.FixedFileTrailer,False
org.apache.hadoop.hbase.io.hfile.HFileBlockIndex,org.apache.hadoop.hbase.io.hfile.HFileBlockIndex,False
org.apache.hadoop.hbase.io.hfile.BlockCacheKey,org.apache.hadoop.hbase.io.hfile.BlockCacheKey,False
org.apache.hadoop.hbase.io.hfile.BlockCache,org.apache.hadoop.hbase.io.hfile.BlockCache,False
org.apache.hadoop.hbase.io.hfile.HFileReaderV2,org.apache.hadoop.hbase.io.hfile.HFileReaderV2,False
org.apache.hadoop.hbase.util.BloomFilterBase,org.apache.hadoop.hbase.util.BloomFilterBase,False
org.apache.hadoop.hbase.io.hfile.HFile.WriterFactory,org.apache.hadoop.hbase.io.hfile.HFile.WriterFactory,False
org.apache.hadoop.hbase.security.access.ZKPermissionWatcher,org.apache.hadoop.hbase.security.access.ZKPermissionWatcher,False
org.apache.hadoop.hbase.zookeeper.ZKUtil,org.apache.hadoop.hbase.zookeeper.ZKUtil,False
org.apache.hadoop.hbase.zookeeper.ZooKeeperListener,org.apache.hadoop.hbase.zookeeper.ZooKeeperListener,False
org.apache.hadoop.hbase.zookeeper.ZooKeeperWatcher,org.apache.hadoop.hbase.zookeeper.ZooKeeperWatcher,False
org.apache.hadoop.hbase.security.access.TableAuthManager,org.apache.hadoop.hbase.security.access.TableAuthManager,False
org.apache.hadoop.hbase.zookeeper.ZKUtil.NodeAndData,org.apache.hadoop.hbase.zookeeper.ZKUtil.NodeAndData,False
org.apache.hadoop.hbase.regionserver.TestRSStatusServlet,org.apache.hadoop.hbase.regionserver.TestRSStatusServlet,False
org.apache.hadoop.hbase.HTableDescriptor,org.apache.hadoop.hbase.HTableDescriptor,False
org.apache.hadoop.hbase.SmallTests,org.apache.hadoop.hbase.SmallTests,True
org.apache.hadoop.hbase.regionserver.HRegionServer,org.apache.hadoop.hbase.regionserver.HRegionServer,False
org.apache.hadoop.hbase.zookeeper.ZooKeeperNodeTracker,org.apache.hadoop.hbase.zookeeper.ZooKeeperNodeTracker,False
org.apache.hadoop.hbase.Chore,org.apache.hadoop.hbase.Chore,False
org.apache.hadoop.hbase.util.EnvironmentEdgeManager,org.apache.hadoop.hbase.util.EnvironmentEdgeManager,False
org.apache.hadoop.hbase.util.HasThread,org.apache.hadoop.hbase.util.HasThread,False
org.apache.hadoop.hbase.util.Sleeper,org.apache.hadoop.hbase.util.Sleeper,False
org.apache.hadoop.hbase.Stoppable,org.apache.hadoop.hbase.Stoppable,False
org.apache.hadoop.hbase.regionserver.TestMinVersions,org.apache.hadoop.hbase.regionserver.TestMinVersions,False
org.apache.hadoop.hbase.client.Delete,org.apache.hadoop.hbase.client.Delete,False
org.apache.hadoop.hbase.client.Get,org.apache.hadoop.hbase.client.Get,False
org.apache.hadoop.hbase.client.Put,org.apache.hadoop.hbase.client.Put,False
org.apache.hadoop.hbase.filter.TimestampsFilter,org.apache.hadoop.hbase.filter.TimestampsFilter,False
org.apache.hadoop.hbase.HBaseTestCase,org.apache.hadoop.hbase.HBaseTestCase,False
org.apache.hadoop.hbase.regionserver.HRegion,org.apache.hadoop.hbase.regionserver.HRegion,False
org.apache.hadoop.hbase.LargeTests,org.apache.hadoop.hbase.LargeTests,True
org.apache.hadoop.hbase.client.replication.ReplicationAdmin,org.apache.hadoop.hbase.client.replication.ReplicationAdmin,False
org.apache.hadoop.hbase.HBaseTestingUtility,org.apache.hadoop.hbase.HBaseTestingUtility,False
org.apache.hadoop.hbase.client.HTable,org.apache.hadoop.hbase.client.HTable,False
org.apache.hadoop.hbase.HColumnDescriptor,org.apache.hadoop.hbase.HColumnDescriptor,False
org.apache.hadoop.hbase.regionserver.ConstantSizeRegionSplitPolicy,org.apache.hadoop.hbase.regionserver.ConstantSizeRegionSplitPolicy,False
org.apache.hadoop.hbase.client.HBaseAdmin,org.apache.hadoop.hbase.client.HBaseAdmin,False
org.apache.hadoop.hbase.MiniHBaseCluster,org.apache.hadoop.hbase.MiniHBaseCluster,False
org.apache.hadoop.hbase.master.HMaster,org.apache.hadoop.hbase.master.HMaster,False
org.apache.hadoop.hbase.master.MasterFileSystem,org.apache.hadoop.hbase.master.MasterFileSystem,False
org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager,org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager,False
org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager.NodeFailoverWorker,org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager.NodeFailoverWorker,False
org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager.OtherRegionServerWatcher,org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager.OtherRegionServerWatcher,False
org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager.PeersWatcher,org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager.PeersWatcher,False
org.apache.hadoop.hbase.replication.ReplicationZookeeper,org.apache.hadoop.hbase.replication.ReplicationZookeeper,False
org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceInterface,org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceInterface,False
org.apache.hadoop.hbase.replication.regionserver.ReplicationSource,org.apache.hadoop.hbase.replication.regionserver.ReplicationSource,False
org.apache.hadoop.hbase.regionserver.FlushRequester,org.apache.hadoop.hbase.regionserver.FlushRequester,False
org.apache.hadoop.hbase.io.encoding.TestDataBlockEncoders,org.apache.hadoop.hbase.io.encoding.TestDataBlockEncoders,False
org.apache.hadoop.hbase.KeyValue.Type,org.apache.hadoop.hbase.KeyValue.Type,False
org.apache.hadoop.hbase.io.encoding.DataBlockEncoder.EncodedSeeker,org.apache.hadoop.hbase.io.encoding.DataBlockEncoder.EncodedSeeker,False
org.apache.hadoop.hbase.io.encoding.DataBlockEncoder,org.apache.hadoop.hbase.io.encoding.DataBlockEncoder,False
org.apache.hadoop.hbase.master.TestRestartCluster,org.apache.hadoop.hbase.master.TestRestartCluster,False
org.apache.hadoop.hbase.client.MetaScanner,org.apache.hadoop.hbase.client.MetaScanner,False
org.apache.hadoop.hbase.util.Threads,org.apache.hadoop.hbase.util.Threads,False
org.apache.hadoop.hbase.zookeeper.ZKAssign,org.apache.hadoop.hbase.zookeeper.ZKAssign,False
org.apache.hadoop.hbase.zookeeper.TestZKTable,org.apache.hadoop.hbase.zookeeper.TestZKTable,False
org.apache.hadoop.hbase.zookeeper.TestZKTable.testTableStates.(Anon_1),org.apache.hadoop.hbase.zookeeper.TestZKTable.testTableStates.(Anon_1),False
org.apache.hadoop.hbase.Abortable,org.apache.hadoop.hbase.Abortable,False
org.apache.hadoop.hbase.zookeeper.ZKTable,org.apache.hadoop.hbase.zookeeper.ZKTable,False
org.apache.hadoop.hbase.zookeeper.TestZooKeeperNodeTracker,org.apache.hadoop.hbase.zookeeper.TestZooKeeperNodeTracker,False
org.apache.hadoop.hbase.io.HeapSize,org.apache.hadoop.hbase.io.HeapSize,False
org.apache.hadoop.hbase.io.hfile.BlockType.BlockCategory,org.apache.hadoop.hbase.io.hfile.BlockType.BlockCategory,False
org.apache.hadoop.hbase.io.hfile.LruBlockCache,org.apache.hadoop.hbase.io.hfile.LruBlockCache,False
org.apache.hadoop.hbase.io.hfile.Cacheable,org.apache.hadoop.hbase.io.hfile.Cacheable,False
org.apache.hadoop.hbase.io.hfile.CacheStats,org.apache.hadoop.hbase.io.hfile.CacheStats,False
org.apache.hadoop.hbase.io.hfile.BlockCacheColumnFamilySummary,org.apache.hadoop.hbase.io.hfile.BlockCacheColumnFamilySummary,False
org.apache.hadoop.hbase.security.TokenInfo,org.apache.hadoop.hbase.security.TokenInfo,False
org.apache.hadoop.hbase.replication.TestMasterReplication,org.apache.hadoop.hbase.replication.TestMasterReplication,False
org.apache.hadoop.hbase.replication.TestMasterReplication.CoprocessorCounter,org.apache.hadoop.hbase.replication.TestMasterReplication.CoprocessorCounter,False
org.apache.hadoop.hbase.coprocessor.BaseRegionObserver,org.apache.hadoop.hbase.coprocessor.BaseRegionObserver,False
org.apache.hadoop.hbase.coprocessor.CoprocessorHost,org.apache.hadoop.hbase.coprocessor.CoprocessorHost,False
org.apache.hadoop.hbase.coprocessor.ObserverContext,org.apache.hadoop.hbase.coprocessor.ObserverContext,False
org.apache.hadoop.hbase.coprocessor.RegionCoprocessorEnvironment,org.apache.hadoop.hbase.coprocessor.RegionCoprocessorEnvironment,False
org.apache.hadoop.hbase.regionserver.wal.WALEdit,org.apache.hadoop.hbase.regionserver.wal.WALEdit,False
org.apache.hadoop.hbase.zookeeper.MiniZooKeeperCluster,org.apache.hadoop.hbase.zookeeper.MiniZooKeeperCluster,False
org.apache.hadoop.hbase.client.OperationWithAttributes,org.apache.hadoop.hbase.client.OperationWithAttributes,False
org.apache.hadoop.hbase.TestFullLogReconstruction,org.apache.hadoop.hbase.TestFullLogReconstruction,False
org.apache.hadoop.hbase.client.ResultScanner,org.apache.hadoop.hbase.client.ResultScanner,False
org.apache.hadoop.hbase.client.Scan,org.apache.hadoop.hbase.client.Scan,False
org.apache.hadoop.hbase.catalog.CatalogTracker,org.apache.hadoop.hbase.catalog.CatalogTracker,False
org.apache.hadoop.hbase.client.HConnection,org.apache.hadoop.hbase.client.HConnection,False
org.apache.hadoop.hbase.client.HConnectionTestingUtility,org.apache.hadoop.hbase.client.HConnectionTestingUtility,False
org.apache.hadoop.hbase.util.FSTableDescriptors,org.apache.hadoop.hbase.util.FSTableDescriptors,False
org.apache.hadoop.hbase.util.FSUtils,org.apache.hadoop.hbase.util.FSUtils,False
org.apache.hadoop.hbase.util.MD5Hash,org.apache.hadoop.hbase.util.MD5Hash,False
org.apache.hadoop.hbase.master.HMasterCommandLine,org.apache.hadoop.hbase.master.HMasterCommandLine,False
org.apache.hadoop.hbase.master.HMasterCommandLine.LocalHMaster,org.apache.hadoop.hbase.master.HMasterCommandLine.LocalHMaster,False
org.apache.hadoop.hbase.LocalHBaseCluster,org.apache.hadoop.hbase.LocalHBaseCluster,False
org.apache.hadoop.hbase.util.JVMClusterUtil,org.apache.hadoop.hbase.util.JVMClusterUtil,False
org.apache.hadoop.hbase.util.ServerCommandLine,org.apache.hadoop.hbase.util.ServerCommandLine,False
org.apache.hadoop.hbase.util.JVMClusterUtil.RegionServerThread,org.apache.hadoop.hbase.util.JVMClusterUtil.RegionServerThread,False
org.apache.hadoop.hbase.util.JVMClusterUtil.MasterThread,org.apache.hadoop.hbase.util.JVMClusterUtil.MasterThread,False
org.apache.hadoop.hbase.Coprocessor,org.apache.hadoop.hbase.Coprocessor,False
org.apache.hadoop.hbase.CoprocessorEnvironment,org.apache.hadoop.hbase.CoprocessorEnvironment,False
org.apache.hadoop.hbase.HConstants.OperationStatusCode,org.apache.hadoop.hbase.HConstants.OperationStatusCode,False
org.apache.hadoop.hbase.client.Mutation,org.apache.hadoop.hbase.client.Mutation,False
org.apache.hadoop.hbase.filter.FirstKeyOnlyFilter,org.apache.hadoop.hbase.filter.FirstKeyOnlyFilter,False
org.apache.hadoop.hbase.regionserver.OperationStatus,org.apache.hadoop.hbase.regionserver.OperationStatus,False
org.apache.hadoop.hbase.regionserver.RegionScanner,org.apache.hadoop.hbase.regionserver.RegionScanner,False
org.apache.hadoop.hbase.util.Pair,org.apache.hadoop.hbase.util.Pair,False
org.apache.hadoop.hbase.regionserver.InternalScanner,org.apache.hadoop.hbase.regionserver.InternalScanner,False
org.apache.hadoop.hbase.master.MasterDumpServlet,org.apache.hadoop.hbase.master.MasterDumpServlet,False
org.apache.hadoop.hbase.monitoring.LogMonitoring,org.apache.hadoop.hbase.monitoring.LogMonitoring,False
org.apache.hadoop.hbase.monitoring.StateDumpServlet,org.apache.hadoop.hbase.monitoring.StateDumpServlet,False
org.apache.hadoop.hbase.monitoring.TaskMonitor,org.apache.hadoop.hbase.monitoring.TaskMonitor,False
org.apache.hadoop.hbase.monitoring.MemoryBoundedLogMessageBuffer,org.apache.hadoop.hbase.monitoring.MemoryBoundedLogMessageBuffer,False
org.apache.hadoop.hbase.master.AssignmentManager,org.apache.hadoop.hbase.master.AssignmentManager,False
org.apache.hadoop.hbase.master.ServerManager,org.apache.hadoop.hbase.master.ServerManager,False
org.apache.hadoop.hbase.rest.model.TableRegionModel,org.apache.hadoop.hbase.rest.model.TableRegionModel,False
org.apache.hadoop.hbase.client.TestMetaScanner,org.apache.hadoop.hbase.client.TestMetaScanner,False
org.apache.hadoop.hbase.client.MetaScanner.MetaScannerVisitor,org.apache.hadoop.hbase.client.MetaScanner.MetaScannerVisitor,False
org.apache.hadoop.hbase.metrics.MetricsRate,org.apache.hadoop.hbase.metrics.MetricsRate,False
org.apache.hadoop.hbase.regionserver.TestHRegionOnCluster,org.apache.hadoop.hbase.regionserver.TestHRegionOnCluster,False
org.apache.hadoop.hbase.HRegionLocation,org.apache.hadoop.hbase.HRegionLocation,False
org.apache.hadoop.hbase.security.access.UserPermission,org.apache.hadoop.hbase.security.access.UserPermission,False
org.apache.hadoop.hbase.security.access.TablePermission,org.apache.hadoop.hbase.security.access.TablePermission,False
org.apache.hadoop.hbase.security.access.Permission.Action,org.apache.hadoop.hbase.security.access.Permission.Action,False
org.apache.hadoop.hbase.io.hfile.HFileScanner,org.apache.hadoop.hbase.io.hfile.HFileScanner,False
org.apache.hadoop.hbase.io.hfile.HFile.Reader,org.apache.hadoop.hbase.io.hfile.HFile.Reader,False
org.apache.hadoop.hbase.client.Result.getMap.(for_loop_2).(Anon_1),org.apache.hadoop.hbase.client.Result.getMap.(for_loop_2).(Anon_1),False
org.apache.hadoop.hbase.KeyValue.SplitKeyValue,org.apache.hadoop.hbase.KeyValue.SplitKeyValue,False
org.apache.hadoop.hbase.coprocessor.ColumnAggregationEndpoint,org.apache.hadoop.hbase.coprocessor.ColumnAggregationEndpoint,False
org.apache.hadoop.hbase.regionserver.compactions.CompactionProgress,org.apache.hadoop.hbase.regionserver.compactions.CompactionProgress,False
org.apache.hadoop.hbase.util.DefaultEnvironmentEdge,org.apache.hadoop.hbase.util.DefaultEnvironmentEdge,False
org.apache.hadoop.hbase.util.EnvironmentEdge,org.apache.hadoop.hbase.util.EnvironmentEdge,False
org.apache.hadoop.hbase.TestHBaseTestingUtility,org.apache.hadoop.hbase.TestHBaseTestingUtility,False
org.apache.hadoop.hbase.rest.provider.producer.PlainTextMessageBodyProducer,org.apache.hadoop.hbase.rest.provider.producer.PlainTextMessageBodyProducer,False
org.apache.hadoop.hbase.rest.Constants,org.apache.hadoop.hbase.rest.Constants,False
org.apache.hadoop.hbase.TableDescriptors,org.apache.hadoop.hbase.TableDescriptors,False
org.apache.hadoop.hbase.ClusterStatus,org.apache.hadoop.hbase.ClusterStatus,False
org.apache.hadoop.hbase.master.RegionPlan,org.apache.hadoop.hbase.master.RegionPlan,False
org.apache.hadoop.hbase.io.DoubleOutputStream,org.apache.hadoop.hbase.io.DoubleOutputStream,False
org.apache.hadoop.hbase.master.BulkReOpen,org.apache.hadoop.hbase.master.BulkReOpen,False
org.apache.hadoop.hbase.master.BulkReOpen.populatePool.(for_loop_1).(Anon_1),org.apache.hadoop.hbase.master.BulkReOpen.populatePool.(for_loop_1).(Anon_1),False
org.apache.hadoop.hbase.Server,org.apache.hadoop.hbase.Server,False
org.apache.hadoop.hbase.master.BulkAssigner,org.apache.hadoop.hbase.master.BulkAssigner,False
org.apache.hadoop.hbase.client.HConnectionManager,org.apache.hadoop.hbase.client.HConnectionManager,False
org.apache.hadoop.hbase.client.HTableInterface,org.apache.hadoop.hbase.client.HTableInterface,False
org.apache.hadoop.hbase.rest.provider.producer.ProtobufMessageBodyProducer,org.apache.hadoop.hbase.rest.provider.producer.ProtobufMessageBodyProducer,False
org.apache.hadoop.hbase.rest.ProtobufMessageHandler,org.apache.hadoop.hbase.rest.ProtobufMessageHandler,False
org.apache.hadoop.hbase.regionserver.RegionServerServices,org.apache.hadoop.hbase.regionserver.RegionServerServices,False
org.apache.hadoop.hbase.coprocessor.CoprocessorHost.Environment,org.apache.hadoop.hbase.coprocessor.CoprocessorHost.Environment,False
org.apache.hadoop.hbase.filter.FilterBase,org.apache.hadoop.hbase.filter.FilterBase,False
org.apache.hadoop.hbase.filter.Filter.ReturnCode,org.apache.hadoop.hbase.filter.Filter.ReturnCode,False
org.apache.hadoop.hbase.filter.Filter,org.apache.hadoop.hbase.filter.Filter,False
org.apache.hadoop.hbase.rest.model.TestCellSetModel,org.apache.hadoop.hbase.rest.model.TestCellSetModel,False
org.apache.hadoop.hbase.util.Base64,org.apache.hadoop.hbase.util.Base64,False
org.apache.hadoop.hbase.rest.model.CellSetModel,org.apache.hadoop.hbase.rest.model.CellSetModel,False
org.apache.hadoop.hbase.rest.model.RowModel,org.apache.hadoop.hbase.rest.model.RowModel,False
org.apache.hadoop.hbase.rest.model.CellModel,org.apache.hadoop.hbase.rest.model.CellModel,False
org.apache.hadoop.hbase.util.ProtoUtil,org.apache.hadoop.hbase.util.ProtoUtil,False
org.apache.hadoop.hbase.filter.ValueFilter,org.apache.hadoop.hbase.filter.ValueFilter,False
org.apache.hadoop.hbase.filter.CompareFilter,org.apache.hadoop.hbase.filter.CompareFilter,False
org.apache.hadoop.hbase.filter.CompareFilter.CompareOp,org.apache.hadoop.hbase.filter.CompareFilter.CompareOp,False
org.apache.hadoop.hbase.TestZooKeeper,org.apache.hadoop.hbase.TestZooKeeper,False
org.apache.hadoop.hbase.master.LoadBalancer,org.apache.hadoop.hbase.master.LoadBalancer,False
org.apache.hadoop.hbase.zookeeper.ZKConfig,org.apache.hadoop.hbase.zookeeper.ZKConfig,False
org.apache.hadoop.hbase.zookeeper.RecoverableZooKeeper,org.apache.hadoop.hbase.zookeeper.RecoverableZooKeeper,False
org.apache.hadoop.hbase.util.SortedCopyOnWriteSet,org.apache.hadoop.hbase.util.SortedCopyOnWriteSet,False
org.apache.hadoop.hbase.util.SortedCopyOnWriteSet.E,org.apache.hadoop.hbase.util.SortedCopyOnWriteSet.E,False
org.apache.hadoop.hbase.util.SortedCopyOnWriteSet.toArray.T,org.apache.hadoop.hbase.util.SortedCopyOnWriteSet.toArray.T,False
org.apache.hadoop.hbase.filter.SingleColumnValueExcludeFilter,org.apache.hadoop.hbase.filter.SingleColumnValueExcludeFilter,False
org.apache.hadoop.hbase.filter.SingleColumnValueFilter,org.apache.hadoop.hbase.filter.SingleColumnValueFilter,False
org.apache.hadoop.hbase.mapreduce.WALPlayer,org.apache.hadoop.hbase.mapreduce.WALPlayer,False
org.apache.hadoop.hbase.mapreduce.WALPlayer.HLogKeyValueMapper,org.apache.hadoop.hbase.mapreduce.WALPlayer.HLogKeyValueMapper,False
org.apache.hadoop.hbase.mapreduce.WALPlayer.HLogMapper,org.apache.hadoop.hbase.mapreduce.WALPlayer.HLogMapper,False
org.apache.hadoop.hbase.io.ImmutableBytesWritable,org.apache.hadoop.hbase.io.ImmutableBytesWritable,False
org.apache.hadoop.hbase.regionserver.wal.HLog,org.apache.hadoop.hbase.regionserver.wal.HLog,False
org.apache.hadoop.hbase.regionserver.wal.HLogKey,org.apache.hadoop.hbase.regionserver.wal.HLogKey,False
org.apache.hadoop.hbase.mapreduce.HLogInputFormat,org.apache.hadoop.hbase.mapreduce.HLogInputFormat,False
org.apache.hadoop.hbase.mapreduce.KeyValueSortReducer,org.apache.hadoop.hbase.mapreduce.KeyValueSortReducer,False
org.apache.hadoop.hbase.mapreduce.HFileOutputFormat,org.apache.hadoop.hbase.mapreduce.HFileOutputFormat,False
org.apache.hadoop.hbase.mapreduce.TableMapReduceUtil,org.apache.hadoop.hbase.mapreduce.TableMapReduceUtil,False
org.apache.hadoop.hbase.mapreduce.MultiTableOutputFormat,org.apache.hadoop.hbase.mapreduce.MultiTableOutputFormat,False
org.apache.hadoop.hbase.thrift.ThriftServer,org.apache.hadoop.hbase.thrift.ThriftServer,False
org.apache.hadoop.hbase.security.User,org.apache.hadoop.hbase.security.User,False
org.apache.hadoop.hbase.thrift.ThriftServerRunner.ImplType,org.apache.hadoop.hbase.thrift.ThriftServerRunner.ImplType,False
org.apache.hadoop.hbase.util.InfoServer,org.apache.hadoop.hbase.util.InfoServer,False
org.apache.hadoop.hbase.util.Strings,org.apache.hadoop.hbase.util.Strings,False
org.apache.hadoop.hbase.util.VersionInfo,org.apache.hadoop.hbase.util.VersionInfo,False
org.apache.hadoop.hbase.thrift.ThriftServerRunner,org.apache.hadoop.hbase.thrift.ThriftServerRunner,False
org.apache.hadoop.hbase.thrift.TBoundedThreadPoolServer,org.apache.hadoop.hbase.thrift.TBoundedThreadPoolServer,False
org.apache.hadoop.hbase.regionserver.ScanQueryMatcher,org.apache.hadoop.hbase.regionserver.ScanQueryMatcher,False
org.apache.hadoop.hbase.regionserver.ScanQueryMatcher.MatchCode,org.apache.hadoop.hbase.regionserver.ScanQueryMatcher.MatchCode,False
org.apache.hadoop.hbase.io.TimeRange,org.apache.hadoop.hbase.io.TimeRange,False
org.apache.hadoop.hbase.regionserver.DeleteTracker.DeleteResult,org.apache.hadoop.hbase.regionserver.DeleteTracker.DeleteResult,False
org.apache.hadoop.hbase.regionserver.DeleteTracker,org.apache.hadoop.hbase.regionserver.DeleteTracker,False
org.apache.hadoop.hbase.regionserver.ColumnTracker,org.apache.hadoop.hbase.regionserver.ColumnTracker,False
org.apache.hadoop.hbase.regionserver.ColumnCount,org.apache.hadoop.hbase.regionserver.ColumnCount,False
org.apache.hadoop.hbase.KeyValue.KVComparator,org.apache.hadoop.hbase.KeyValue.KVComparator,False
org.apache.hadoop.hbase.regionserver.ScanDeleteTracker,org.apache.hadoop.hbase.regionserver.ScanDeleteTracker,False
org.apache.hadoop.hbase.regionserver.ScanWildcardColumnTracker,org.apache.hadoop.hbase.regionserver.ScanWildcardColumnTracker,False
org.apache.hadoop.hbase.regionserver.ExplicitColumnTracker,org.apache.hadoop.hbase.regionserver.ExplicitColumnTracker,False
org.apache.hadoop.hbase.client.HTableFactory,org.apache.hadoop.hbase.client.HTableFactory,False
org.apache.hadoop.hbase.client.HTableInterfaceFactory,org.apache.hadoop.hbase.client.HTableInterfaceFactory,False
org.apache.hadoop.hbase.coprocessor.MasterCoprocessorEnvironment,org.apache.hadoop.hbase.coprocessor.MasterCoprocessorEnvironment,False
org.apache.hadoop.hbase.master.MasterServices,org.apache.hadoop.hbase.master.MasterServices,False
org.apache.hadoop.hbase.util.TestHBaseFsckComparator,org.apache.hadoop.hbase.util.TestHBaseFsckComparator,False
org.apache.hadoop.hbase.util.HBaseFsck.HbckInfo,org.apache.hadoop.hbase.util.HBaseFsck.HbckInfo,False
