old,new,isSame
org.apache.hadoop.hive.ql.exec.ExtractOperator,org.apache.hadoop.hive.ql.exec.ExtractOperator,False
org.apache.hadoop.hive.ql.exec.FileSinkOperator,org.apache.hadoop.hive.ql.exec.FileSinkOperator,False
org.apache.hadoop.hive.ql.exec.FilterOperator,org.apache.hadoop.hive.ql.exec.FilterOperator,False
org.apache.hadoop.hive.ql.exec.ForwardOperator,org.apache.hadoop.hive.ql.exec.ForwardOperator,False
org.apache.hadoop.hive.ql.exec.GroupByOperator,org.apache.hadoop.hive.ql.exec.GroupByOperator,False
org.apache.hadoop.hive.ql.exec.JoinOperator,org.apache.hadoop.hive.ql.exec.JoinOperator,False
org.apache.hadoop.hive.ql.exec.LateralViewForwardOperator,org.apache.hadoop.hive.ql.exec.LateralViewForwardOperator,True
org.apache.hadoop.hive.ql.exec.LateralViewJoinOperator,org.apache.hadoop.hive.ql.exec.LateralViewJoinOperator,True
org.apache.hadoop.hive.ql.exec.LimitOperator,org.apache.hadoop.hive.ql.exec.LimitOperator,True
org.apache.hadoop.hive.ql.exec.Operator,org.apache.hadoop.hive.ql.exec.Operator,False
org.apache.hadoop.hive.ql.exec.SelectOperator,org.apache.hadoop.hive.ql.exec.SelectOperator,False
org.apache.hadoop.hive.ql.exec.Utilities,org.apache.hadoop.hive.ql.exec.Utilities,False
org.apache.hadoop.hive.ql.lib.DefaultRuleDispatcher,org.apache.hadoop.hive.ql.lib.DefaultRuleDispatcher,False
org.apache.hadoop.hive.ql.lib.Dispatcher,org.apache.hadoop.hive.ql.lib.Dispatcher,True
org.apache.hadoop.hive.ql.lib.GraphWalker,org.apache.hadoop.hive.ql.lib.GraphWalker,True
org.apache.hadoop.hive.ql.lib.Node,org.apache.hadoop.hive.ql.lib.Node,True
org.apache.hadoop.hive.ql.lib.NodeProcessor,org.apache.hadoop.hive.ql.lib.NodeProcessor,True
org.apache.hadoop.hive.ql.lib.PreOrderWalker,org.apache.hadoop.hive.ql.lib.PreOrderWalker,True
org.apache.hadoop.hive.ql.lib.Rule,org.apache.hadoop.hive.ql.lib.Rule,True
org.apache.hadoop.hive.ql.lib.RuleRegExp,org.apache.hadoop.hive.ql.lib.RuleRegExp,False
org.apache.hadoop.hive.ql.parse.SemanticException,org.apache.hadoop.hive.ql.parse.SemanticException,True
org.apache.hadoop.hive.ql.plan.OperatorDesc,org.apache.hadoop.hive.ql.plan.OperatorDesc,True
org.apache.hadoop.hive.ql.optimizer.physical.PhysicalPlanResolver,org.apache.hadoop.hive.ql.optimizer.physical.PhysicalPlanResolver,True
org.apache.hadoop.hive.ql.optimizer.physical.PhysicalContext,org.apache.hadoop.hive.ql.optimizer.physical.PhysicalContext,False
org.apache.hadoop.hive.ql.exec.Task,org.apache.hadoop.hive.ql.exec.Task,False
org.apache.hadoop.hive.ql.plan.MapredWork,org.apache.hadoop.hive.ql.plan.MapredWork,False
org.apache.hadoop.hive.ql.exec.CommonJoinOperator,org.apache.hadoop.hive.ql.exec.CommonJoinOperator,False
org.apache.hadoop.hive.ql.plan.DescFunctionDesc,org.apache.hadoop.hive.ql.plan.DescFunctionDesc,True
org.apache.hadoop.hive.ql.plan.Explain,org.apache.hadoop.hive.ql.plan.Explain,False
org.apache.hadoop.hive.ql.plan.DDLDesc,org.apache.hadoop.hive.ql.plan.DDLDesc,True
org.apache.hadoop.hive.ql.udf.xml.UDFXPathUtil,org.apache.hadoop.hive.ql.udf.xml.UDFXPathUtil,False
org.apache.hadoop.hive.ql.udf.xml.UDFXPathUtil.ReusableStringReader,org.apache.hadoop.hive.ql.udf.xml.UDFXPathUtil.ReusableStringReader,False
org.apache.hadoop.hive.metastore.TableType,org.apache.hadoop.hive.metastore.TableType,True
