old,new,isSame
org.jruby.javasupport.test.JavaSupportTestSuite,org.jruby.javasupport.test.JavaSupportTestSuite,True
org.jruby.javasupport.test.TestBSF,org.jruby.javasupport.test.TestBSF,False
org.jruby.javasupport.test.TestNativeException,org.jruby.javasupport.test.TestNativeException,True
org.jruby.lexer.yacc.CapturingByteListLexerSource,org.jruby.lexer.yacc.CapturingByteListLexerSource,True
org.jruby.lexer.yacc.ByteListLexerSource,org.jruby.lexer.yacc.ByteListLexerSource,True
org.jruby.RubyEnumerator,org.jruby.RubyEnumerator,False
org.jruby.RubyEnumerator.(Anon_1),org.jruby.RubyEnumerator.(Anon_1),False
org.jruby.anno.JRubyMethod,org.jruby.anno.JRubyMethod,False
org.jruby.javasupport.util.RuntimeHelpers,org.jruby.javasupport.util.RuntimeHelpers,False
org.jruby.runtime.Block,org.jruby.runtime.Block,False
org.jruby.runtime.BlockCallback,org.jruby.runtime.BlockCallback,True
org.jruby.runtime.ObjectAllocator,org.jruby.runtime.ObjectAllocator,True
org.jruby.runtime.ThreadContext,org.jruby.runtime.ThreadContext,False
org.jruby.runtime.Visibility,org.jruby.runtime.Visibility,True
org.jruby.runtime.builtin.IRubyObject,org.jruby.runtime.builtin.IRubyObject,False
org.jruby.RubyObject,org.jruby.RubyObject,False
org.jruby.Ruby,org.jruby.Ruby,False
org.jruby.RubyClass,org.jruby.RubyClass,False
org.jruby.RubyModule,org.jruby.RubyModule,False
org.jruby.RubyString,org.jruby.RubyString,False
org.jruby.runtime.load.LoadService,org.jruby.runtime.load.LoadService,False
org.jruby.RubyArray,org.jruby.RubyArray,False
org.jruby.CompatVersion,org.jruby.CompatVersion,True
org.jruby.RubyEnumerable,org.jruby.RubyEnumerable,False
org.jruby.RubyNumeric,org.jruby.RubyNumeric,False
org.jruby.test.TestCommandlineParser,org.jruby.test.TestCommandlineParser,False
org.jruby.test.TestCommandlineParser.testParsingWithDashDash.TestableCommandlineParser,org.jruby.test.TestCommandlineParser.testParsingWithDashDash.TestableCommandlineParser,False
org.jruby.RubyInstanceConfig,org.jruby.RubyInstanceConfig,False
org.jruby.runtime.CallSite,org.jruby.runtime.CallSite,False
org.jruby.runtime.MethodIndex,org.jruby.runtime.MethodIndex,False
org.jruby.RubyFixnum,org.jruby.RubyFixnum,False
org.jruby.runtime.Arity,org.jruby.runtime.Arity,False
org.jruby.ast.ArgsNode,org.jruby.ast.ArgsNode,False
org.jruby.ast.ArrayNode,org.jruby.ast.ArrayNode,False
org.jruby.ast.AttrAssignNode,org.jruby.ast.AttrAssignNode,False
org.jruby.ast.CallNode,org.jruby.ast.CallNode,False
org.jruby.ast.Node,org.jruby.ast.Node,False
org.jruby.ast.types.IArityNode,org.jruby.ast.types.IArityNode,True
org.jruby.ast.DefnNode,org.jruby.ast.DefnNode,False
org.jruby.MetaClass,org.jruby.MetaClass,False
org.jruby.ast.types.INameNode,org.jruby.ast.types.INameNode,True
org.jruby.ast.visitor.NodeVisitor,org.jruby.ast.visitor.NodeVisitor,False
org.jruby.common.IRubyWarnings.ID,org.jruby.common.IRubyWarnings.ID,False
org.jruby.internal.runtime.methods.DynamicMethod,org.jruby.internal.runtime.methods.DynamicMethod,False
org.jruby.internal.runtime.methods.WrapperMethod,org.jruby.internal.runtime.methods.WrapperMethod,False
