old,new,isSame
src\org\jruby\compiler\ir\dataflow\analyses\LiveVariablesProblem.java,src\org\jruby\ir\dataflow\analyses\LiveVariablesProblem.java,False
test\org\jruby\test\TestCodeCache.java,test\org\jruby\test\TestCodeCache.java,False
src\org\jruby\java\invokers\StaticFieldSetter.java,src\org\jruby\java\invokers\StaticFieldSetter.java,True
src\org\jruby\ant\RakeImport.java,src\org\jruby\ant\RakeImport.java,True
src\org\jruby\ast\UntilNode.java,src\org\jruby\ast\UntilNode.java,True
src\org\jruby\parser\RubyParser.java,src\org\jruby\parser\RubyParser.java,True
src\org\jruby\runtime\DynamicScope.java,src\org\jruby\runtime\DynamicScope.java,False
src\org\jruby\RubyProc.java,src\org\jruby\RubyProc.java,False
src\org\jruby\RubyIconv.java,src\org\jruby\ext\iconv\RubyIconv.java,False
src\org\jruby\RubyMath.java,src\org\jruby\RubyMath.java,False
src\org\jruby\runtime\callsite\GtCallSite.java,src\org\jruby\runtime\callsite\GtCallSite.java,False
src\org\jruby\compiler\ir\operands\Operand.java,src\org\jruby\ir\operands\Operand.java,False
src\org\jruby\ext\DelegateLibrary.java,src\org\jruby\ext\delegate\DelegateLibrary.java,False
src\org\jruby\RubySymbol.java,src\org\jruby\RubySymbol.java,False
test\org\jruby\test\TestHelper.java,test\org\jruby\test\TestHelper.java,True
test\org\jruby\test\FailingTest.java,test\org\jruby\test\FailingTest.java,True
src\org\jruby\util\Qsort.java,src\org\jruby\util\Qsort.java,False
src\org\jruby\util\collections\WeakHashSet.java,src\org\jruby\util\collections\WeakHashSet.java,True
src\org\jruby\util\func\Function1.java,src\org\jruby\util\func\Function1.java,True
src\org\jruby\javasupport\proxy\InternalJavaProxy.java,src\org\jruby\javasupport\proxy\InternalJavaProxy.java,True
src\org\jruby\RubyYielder.java,src\org\jruby\RubyYielder.java,False
src\org\jruby\lexer\yacc\RubyYaccLexer.java,src\org\jruby\lexer\yacc\RubyYaccLexer.java,False
src\org\jruby\ast\DVarNode.java,src\org\jruby\ast\DVarNode.java,False
src\org\jruby\RubyKernel.java,src\org\jruby\RubyKernel.java,False
src\org\jruby\java\invokers\RubyToJavaInvoker.java,src\org\jruby\java\invokers\RubyToJavaInvoker.java,False
src\org\jruby\util\Sprintf.java,src\org\jruby\util\Sprintf.java,False
test\org\jruby\test\TestRubyCollect.java,test\org\jruby\test\TestRubyCollect.java,True
test\org\jruby\test\TestRubyException.java,test\org\jruby\test\TestRubyException.java,False
spec\java_integration\fixtures\PrivateConstructor.java,spec\java_integration\fixtures\PrivateConstructor.java,True
test\org\jruby\test\TestRubyInstanceConfig.java,test\org\jruby\test\TestRubyInstanceConfig.java,False
src\org\jruby\compiler\NotCompilableException.java,src\org\jruby\compiler\NotCompilableException.java,True
src\org\jruby\runtime\encoding\EncodingCapable.java,src\org\jruby\runtime\encoding\EncodingCapable.java,False
src\org\jruby\runtime\scope\TwoVarDynamicScope.java,src\org\jruby\runtime\scope\TwoVarDynamicScope.java,False
src\org\jruby\runtime\load\Library.java,src\org\jruby\runtime\load\Library.java,True
src\org\jruby\runtime\load\IAutoloadMethod.java,src\org\jruby\runtime\load\IAutoloadMethod.java,False
src\org\jruby\management\ParserStatsMBean.java,src\org\jruby\management\ParserStatsMBean.java,True
src\org\jruby\compiler\ir\dataflow\FlowGraphNode.java,src\org\jruby\ir\dataflow\FlowGraphNode.java,False
src\org\jruby\ext\ffi\jffi\FFIUtil.java,src\org\jruby\ext\ffi\jffi\FFIUtil.java,False
src\org\jruby\RubyRegexp.java,src\org\jruby\RubyRegexp.java,False
src\org\jruby\lexer\yacc\LexerSource.java,src\org\jruby\lexer\yacc\LexerSource.java,False
src\org\jruby\internal\runtime\methods\TraceableJittedMethod.java,src\org\jruby\internal\runtime\methods\TraceableJittedMethod.java,False
src\org\jruby\runtime\CompiledBlock19.java,src\org\jruby\runtime\CompiledBlock19.java,False
src\org\jruby\exceptions\MainExitException.java,src\org\jruby\exceptions\MainExitException.java,True
src\org\jruby\compiler\impl\ChildScopedBodyCompiler19.java,src\org\jruby\compiler\impl\ChildScopedBodyCompiler19.java,False
spec\java_integration\fixtures\JavaIterable.java,spec\java_integration\fixtures\JavaIterable.java,True
src\org\jruby\compiler\ir\Tuple.java,src\org\jruby\ir\Tuple.java,False
src\org\jruby\ext\ffi\Struct.java,src\org\jruby\ext\ffi\Struct.java,False
src\org\jruby\runtime\callsite\CachingCallSite.java,src\org\jruby\runtime\callsite\CachingCallSite.java,False
src\org\jruby\ast\HashNode.java,src\org\jruby\ast\HashNode.java,True
src\org\jruby\ext\ffi\StructByValue.java,src\org\jruby\ext\ffi\StructByValue.java,False
src\org\jruby\anno\JRubyClass.java,src\org\jruby\anno\JRubyClass.java,True
src\org\jruby\compiler\InvocationCompiler.java,src\org\jruby\compiler\InvocationCompiler.java,False
test\org\jruby\runtime\EventHookTest.java,test\org\jruby\runtime\EventHookTest.java,True
test\org\jruby\test\TestRubySymbol.java,test\org\jruby\test\TestRubySymbol.java,True
src\org\jruby\RubyNil.java,src\org\jruby\RubyNil.java,False
