old,new,isSame
org.apache.wicket.markup.html.image.resource.RenderedDynamicImageResource,org.apache.wicket.markup.html.image.resource.RenderedDynamicImageResource,False
org.apache.wicket.util.time.Time,org.apache.wicket.util.time.Time,False
org.apache.wicket.protocol.http.RequestUtils,org.apache.wicket.protocol.http.RequestUtils,False
org.apache.wicket.Application,org.apache.wicket.Application,False
org.apache.wicket.util.string.Strings,org.apache.wicket.util.string.Strings,False
org.apache.wicket.settings.IRequestCycleSettings,org.apache.wicket.settings.IRequestCycleSettings,False
org.apache.wicket.validation.IErrorMessageSource,org.apache.wicket.validation.IErrorMessageSource,False
org.apache.wicket.protocol.http.WicketPanel,org.apache.wicket.protocol.http.WicketPanel,True
org.apache.wicket.markup.html.panel.Panel,org.apache.wicket.markup.html.panel.Panel,False
org.apache.wicket.validation.ValidationError,org.apache.wicket.validation.ValidationError,False
org.apache.wicket.util.lang.Classes,org.apache.wicket.util.lang.Classes,False
org.apache.wicket.validation.IValidationError,org.apache.wicket.validation.IValidationError,False
org.apache.wicket.examples.guice.service.MyService,org.apache.wicket.examples.guice.service.MyService,True
org.apache.wicket.examples.guice.service.IMyService,org.apache.wicket.examples.guice.service.IMyService,True
org.apache.wicket.WicketRuntimeException,org.apache.wicket.WicketRuntimeException,True
org.apache.wicket.util.license.ApacheLicenceHeaderTest,org.apache.wicket.util.license.ApacheLicenceHeaderTest,False
org.apache.wicket.util.license.ApacheLicenseHeaderTestCase,org.apache.wicket.util.license.ApacheLicenseHeaderTestCase,False
org.apache.wicket.extensions.ajax.markup.html.repeater.data.table.AjaxFallbackHeadersToolbar,org.apache.wicket.extensions.ajax.markup.html.repeater.data.table.AjaxFallbackHeadersToolbar,False
org.apache.wicket.extensions.ajax.markup.html.repeater.data.table.AjaxFallbackHeadersToolbar.newSortableHeader.(Anon_1),org.apache.wicket.extensions.ajax.markup.html.repeater.data.table.AjaxFallbackHeadersToolbar.newSortableHeader.(Anon_1),False
org.apache.wicket.ajax.AjaxRequestTarget,org.apache.wicket.ajax.AjaxRequestTarget,False
org.apache.wicket.ajax.IAjaxCallDecorator,org.apache.wicket.ajax.IAjaxCallDecorator,False
org.apache.wicket.extensions.ajax.markup.html.repeater.data.sort.AjaxFallbackOrderByBorder,org.apache.wicket.extensions.ajax.markup.html.repeater.data.sort.AjaxFallbackOrderByBorder,False
org.apache.wicket.extensions.markup.html.repeater.data.sort.ISortStateLocator,org.apache.wicket.extensions.markup.html.repeater.data.sort.ISortStateLocator,False
org.apache.wicket.extensions.markup.html.repeater.data.table.DataTable,org.apache.wicket.extensions.markup.html.repeater.data.table.DataTable,False
org.apache.wicket.extensions.markup.html.repeater.data.table.HeadersToolbar,org.apache.wicket.extensions.markup.html.repeater.data.table.HeadersToolbar,False
org.apache.wicket.markup.html.WebMarkupContainer,org.apache.wicket.markup.html.WebMarkupContainer,False
org.apache.wicket.extensions.markup.html.repeater.data.table.AbstractToolbar,org.apache.wicket.extensions.markup.html.repeater.data.table.AbstractToolbar,False
org.apache.wicket.resource.IPropertiesFactory,org.apache.wicket.resource.IPropertiesFactory,False
org.apache.wicket.resource.Properties,org.apache.wicket.resource.Properties,False
org.apache.wicket.util.resource.locator.ResourceNameIterator,org.apache.wicket.util.resource.locator.ResourceNameIterator,False
org.apache.wicket.resource.loader.ComponentStringResourceLoader,org.apache.wicket.resource.loader.ComponentStringResourceLoader,False
org.apache.wicket.settings.IResourceSettings,org.apache.wicket.settings.IResourceSettings,False
org.apache.wicket.markup.html.debug.WicketComponentTreeTestPage,org.apache.wicket.markup.html.debug.WicketComponentTreeTestPage,True
org.apache.wicket.markup.html.WebPage,org.apache.wicket.markup.html.WebPage,False
org.apache.wicket.markup.html.basic.Label,org.apache.wicket.markup.html.basic.Label,False
org.apache.wicket.markup.html.debug.PageView,org.apache.wicket.markup.html.debug.PageView,False
org.apache.wicket.model.Model,org.apache.wicket.model.Model,False
org.apache.wicket.util.value.ValueMap,org.apache.wicket.util.value.ValueMap,False
org.apache.wicket.examples.forminput.Multiply,org.apache.wicket.examples.forminput.Multiply,False
org.apache.wicket.markup.html.form.FormComponentPanel,org.apache.wicket.markup.html.form.FormComponentPanel,False
org.apache.wicket.markup.html.form.TextField,org.apache.wicket.markup.html.form.TextField,False
org.apache.wicket.model.IModel,org.apache.wicket.model.IModel,False
org.apache.wicket.model.PropertyModel,org.apache.wicket.model.PropertyModel,False
org.apache.wicket.util.collections.IntHashMap,org.apache.wicket.util.collections.IntHashMap,False
org.apache.wicket.util.collections.IntHashMap.Entry,org.apache.wicket.util.collections.IntHashMap.Entry,False
org.apache.wicket.util.collections.IntHashMap.EntryIterator,org.apache.wicket.util.collections.IntHashMap.EntryIterator,False
org.apache.wicket.util.collections.IntHashMap.EntrySet,org.apache.wicket.util.collections.IntHashMap.EntrySet,False
org.apache.wicket.util.collections.IntHashMap.HashIterator,org.apache.wicket.util.collections.IntHashMap.HashIterator,False
org.apache.wicket.util.collections.IntHashMap.KeyIterator,org.apache.wicket.util.collections.IntHashMap.KeyIterator,False
org.apache.wicket.util.collections.IntHashMap.KeySet,org.apache.wicket.util.collections.IntHashMap.KeySet,False
org.apache.wicket.util.collections.IntHashMap.ValueIterator,org.apache.wicket.util.collections.IntHashMap.ValueIterator,False
org.apache.wicket.util.collections.IntHashMap.Values,org.apache.wicket.util.collections.IntHashMap.Values,False
org.apache.wicket.markup.html.header.testing3.TestPage,org.apache.wicket.markup.html.header.testing3.TestPage,False
org.apache.wicket.markup.html.header.testing3.TestPage.TestPage.(Anon_1),org.apache.wicket.markup.html.header.testing3.TestPage.TestPage.(Anon_1),False
org.apache.wicket.markup.html.link.Link,org.apache.wicket.markup.html.link.Link,False
org.apache.wicket.markup.html.header.testing3.Panel1,org.apache.wicket.markup.html.header.testing3.Panel1,True
org.apache.wicket.markup.html.header.testing3.Panel2,org.apache.wicket.markup.html.header.testing3.Panel2,True
org.apache.wicket.util.diff.RevisionVisitor,org.apache.wicket.util.diff.RevisionVisitor,True
org.apache.wicket.util.diff.Revision,org.apache.wicket.util.diff.Revision,False
org.apache.wicket.util.diff.DeleteDelta,org.apache.wicket.util.diff.DeleteDelta,False
org.apache.wicket.util.diff.ChangeDelta,org.apache.wicket.util.diff.ChangeDelta,False
org.apache.wicket.util.diff.AddDelta,org.apache.wicket.util.diff.AddDelta,False
org.apache.wicket.examples.captcha.CaptchaApplication,org.apache.wicket.examples.captcha.CaptchaApplication,False
org.apache.wicket.Page,org.apache.wicket.Page,False
org.apache.wicket.examples.WicketExampleApplication,org.apache.wicket.examples.WicketExampleApplication,False
org.apache.wicket.examples.captcha.Captcha,org.apache.wicket.examples.captcha.Captcha,False
org.apache.wicket.Component,org.apache.wicket.Component,False
org.apache.wicket.RestartResponseAtInterceptPageException,org.apache.wicket.RestartResponseAtInterceptPageException,False
org.apache.wicket.Session,org.apache.wicket.Session,False
org.apache.wicket.authorization.Action,org.apache.wicket.authorization.Action,True
org.apache.wicket.authorization.IAuthorizationStrategy,org.apache.wicket.authorization.IAuthorizationStrategy,False
org.apache.wicket.settings.ISecuritySettings,org.apache.wicket.settings.ISecuritySettings,False
org.apache.wicket.markup.html.tree.BaseTree,org.apache.wicket.markup.html.tree.BaseTree,False
org.apache.wicket.markup.html.tree.BaseTree.ILinkCallback,org.apache.wicket.markup.html.tree.BaseTree.ILinkCallback,False
org.apache.wicket.markup.html.tree.BaseTree.JunctionBorder,org.apache.wicket.markup.html.tree.BaseTree.JunctionBorder,False
org.apache.wicket.markup.html.tree.BaseTree.newJunctionLink.(Anon_2),org.apache.wicket.markup.html.tree.BaseTree.newJunctionLink.(Anon_2),False
org.apache.wicket.markup.html.tree.BaseTree.newJunctionLink.(Anon_3),org.apache.wicket.markup.html.tree.BaseTree.newJunctionLink.(Anon_3),False
org.apache.wicket.markup.html.tree.BaseTree.newJunctionLink.(Anon_4),org.apache.wicket.markup.html.tree.BaseTree.newJunctionLink.(Anon_4),False
org.apache.wicket.markup.html.tree.BaseTree.newLink.(Anon_5),org.apache.wicket.markup.html.tree.BaseTree.newLink.(Anon_5),False
org.apache.wicket.markup.html.tree.BaseTree.newLink.(Anon_6),org.apache.wicket.markup.html.tree.BaseTree.newLink.(Anon_6),False
org.apache.wicket.markup.html.tree.BaseTree.newLink.(Anon_7),org.apache.wicket.markup.html.tree.BaseTree.newLink.(Anon_7),False
org.apache.wicket.markup.html.tree.BaseTree.populateTreeItem.(Anon_1),org.apache.wicket.markup.html.tree.BaseTree.populateTreeItem.(Anon_1),False
org.apache.wicket.IClusterable,org.apache.wicket.IClusterable,True
org.apache.wicket.MarkupContainer,org.apache.wicket.MarkupContainer,False
org.apache.wicket.ajax.markup.html.AjaxFallbackLink,org.apache.wicket.ajax.markup.html.AjaxFallbackLink,False
org.apache.wicket.ajax.markup.html.AjaxLink,org.apache.wicket.ajax.markup.html.AjaxLink,False
org.apache.wicket.ajax.markup.html.IAjaxLink,org.apache.wicket.ajax.markup.html.IAjaxLink,True
org.apache.wicket.markup.ComponentTag,org.apache.wicket.markup.ComponentTag,False
org.apache.wicket.markup.html.IHeaderResponse,org.apache.wicket.markup.html.IHeaderResponse,False
org.apache.wicket.markup.html.tree.AbstractTree,org.apache.wicket.markup.html.tree.AbstractTree,False
org.apache.wicket.markup.html.tree.ITreeState,org.apache.wicket.markup.html.tree.ITreeState,False
org.apache.wicket.markup.html.autolink.AutolinkTest,org.apache.wicket.markup.html.autolink.AutolinkTest,False
org.apache.wicket.WicketTestCase,org.apache.wicket.WicketTestCase,False
org.apache.wicket.markup.html.autolink.sub.PageB,org.apache.wicket.markup.html.autolink.sub.PageB,True
org.apache.wicket.markup.resolver.AutoLinkResolver,org.apache.wicket.markup.resolver.AutoLinkResolver,False
org.apache.wicket.markup.html.autolink.MyPage,org.apache.wicket.markup.html.autolink.MyPage,True
org.apache.wicket.markup.html.autolink.PageA,org.apache.wicket.markup.html.autolink.PageA,True
org.apache.wicket.markup.html.header.threelayers.InheritanceHeadTest,org.apache.wicket.markup.html.header.threelayers.InheritanceHeadTest,False
org.apache.wicket.markup.html.header.threelayers.MeldingPage,org.apache.wicket.markup.html.header.threelayers.MeldingPage,True
org.apache.wicket.util.tester.DummyHomePage,org.apache.wicket.util.tester.DummyHomePage,False
org.apache.wicket.util.tester.DummyHomePage.TestLink,org.apache.wicket.util.tester.DummyHomePage.TestLink,False
org.apache.wicket.util.tester.ITestPageSource,org.apache.wicket.util.tester.ITestPageSource,False
org.apache.wicket.extensions.Initializer,org.apache.wicket.extensions.Initializer,False
org.apache.wicket.IInitializer,org.apache.wicket.IInitializer,False
org.apache.wicket.extensions.ajax.markup.html.form.upload.UploadProgressBar,org.apache.wicket.extensions.ajax.markup.html.form.upload.UploadProgressBar,False
org.apache.wicket.extensions.ajax.markup.html.form.upload.UploadProgressBar.ComponentInitializer,org.apache.wicket.extensions.ajax.markup.html.form.upload.UploadProgressBar.ComponentInitializer,False
