old,new,isSame
org.apache.flume.sink.hdfs.BucketWriter,org.apache.flume.sink.hdfs.BucketWriter,False
org.apache.flume.sink.hdfs.BucketWriter.close.(Anon_3),org.apache.flume.sink.hdfs.BucketWriter.close.(Anon_3),False
org.apache.flume.sink.hdfs.BucketWriter.doOpen.(Anon_2),org.apache.flume.sink.hdfs.BucketWriter.doOpen.(Anon_2),False
org.apache.flume.sink.hdfs.BucketWriter.flush.(Anon_4),org.apache.flume.sink.hdfs.BucketWriter.flush.(Anon_4),False
org.apache.flume.sink.hdfs.BucketWriter.open.(Anon_1),org.apache.flume.sink.hdfs.BucketWriter.open.(Anon_1),False
org.apache.flume.sink.hdfs.BucketWriter.runPrivileged.T,org.apache.flume.sink.hdfs.BucketWriter.runPrivileged.T,False
org.apache.flume.Context,org.apache.flume.Context,True
org.apache.flume.Event,org.apache.flume.Event,True
org.apache.flume.instrumentation.SinkCounter,org.apache.flume.instrumentation.SinkCounter,True
org.apache.flume.sink.FlumeFormatter,org.apache.flume.sink.FlumeFormatter,True
org.apache.flume.sink.hdfs.HDFSEventSink,org.apache.flume.sink.hdfs.HDFSEventSink,False
org.apache.flume.sink.hdfs.HDFSWriter,org.apache.flume.sink.hdfs.HDFSWriter,True
org.apache.flume.conf.Configurable,org.apache.flume.conf.Configurable,False
org.apache.flume.interceptor.CensoringInterceptor,org.apache.flume.interceptor.CensoringInterceptor,True
org.apache.flume.interceptor.CensoringInterceptor.Builder,org.apache.flume.interceptor.CensoringInterceptor.Builder,True
org.apache.flume.interceptor.Interceptor,org.apache.flume.interceptor.Interceptor,False
org.apache.flume.interceptor.Interceptor.Builder,org.apache.flume.interceptor.Interceptor.Builder,False
org.apache.flume.channel.jdbc.ConfigurationConstants,org.apache.flume.channel.jdbc.ConfigurationConstants,True
org.apache.flume.event.EventBuilder,org.apache.flume.event.EventBuilder,False
org.apache.flume.interceptor.InterceptorBuilderFactory,org.apache.flume.interceptor.InterceptorBuilderFactory,True
org.apache.flume.interceptor.InterceptorType,org.apache.flume.interceptor.InterceptorType,False
org.apache.flume.FlumeException,org.apache.flume.FlumeException,True
org.apache.flume.channel.jdbc.impl.DerbySchemaHandler,org.apache.flume.channel.jdbc.impl.DerbySchemaHandler,True
org.apache.flume.channel.jdbc.JdbcChannelException,org.apache.flume.channel.jdbc.JdbcChannelException,True
org.apache.flume.channel.jdbc.impl.PersistableEvent.HeaderEntry,org.apache.flume.channel.jdbc.impl.PersistableEvent.HeaderEntry,True
org.apache.flume.channel.jdbc.impl.PersistableEvent.SpillableString,org.apache.flume.channel.jdbc.impl.PersistableEvent.SpillableString,True
org.apache.flume.channel.jdbc.impl.PersistableEvent,org.apache.flume.channel.jdbc.impl.PersistableEvent,True
org.apache.flume.channel.jdbc.impl.SchemaHandler,org.apache.flume.channel.jdbc.impl.SchemaHandler,True
org.apache.flume.channel.jdbc.impl.PersistableEvent.Builder,org.apache.flume.channel.jdbc.impl.PersistableEvent.Builder,True
org.apache.flume.source.SequenceGeneratorSource,org.apache.flume.source.SequenceGeneratorSource,False
org.apache.flume.ChannelException,org.apache.flume.ChannelException,True
org.apache.flume.CounterGroup,org.apache.flume.CounterGroup,True
org.apache.flume.EventDeliveryException,org.apache.flume.EventDeliveryException,True
org.apache.flume.PollableSource,org.apache.flume.PollableSource,True
org.apache.flume.source.AbstractSource,org.apache.flume.source.AbstractSource,False
org.apache.flume.PollableSource.Status,org.apache.flume.PollableSource.Status,True
org.apache.flume.channel.ChannelProcessor,org.apache.flume.channel.ChannelProcessor,False
org.apache.flume.conf.ComponentConfiguration,org.apache.flume.conf.ComponentConfiguration,True
org.apache.flume.serialization.AvroEventSerializerConfigurationConstants,org.apache.flume.serialization.AvroEventSerializerConfigurationConstants,True
org.apache.flume.channel.TestMemoryChannelConcurrency,org.apache.flume.channel.TestMemoryChannelConcurrency,True
org.apache.flume.channel.TestMemoryChannelConcurrency.testConcurrentSinksAndSources.(for_loop_4).(Anon_4),org.apache.flume.channel.TestMemoryChannelConcurrency.testConcurrentSinksAndSources.(for_loop_4).(Anon_4),True
org.apache.flume.channel.TestMemoryChannelConcurrency.testConcurrentSinksAndSources.(for_loop_4).(Anon_5),org.apache.flume.channel.TestMemoryChannelConcurrency.testConcurrentSinksAndSources.(for_loop_4).(Anon_5),True
org.apache.flume.channel.TestMemoryChannelConcurrency.testManyThreads.(for_loop_1).(Anon_3),org.apache.flume.channel.TestMemoryChannelConcurrency.testManyThreads.(for_loop_1).(Anon_3),True
org.apache.flume.channel.TestMemoryChannelConcurrency.testTransactionConcurrency.(Anon_1),org.apache.flume.channel.TestMemoryChannelConcurrency.testTransactionConcurrency.(Anon_1),True
org.apache.flume.channel.TestMemoryChannelConcurrency.testTransactionConcurrency.(Anon_2),org.apache.flume.channel.TestMemoryChannelConcurrency.testTransactionConcurrency.(Anon_2),True
org.apache.flume.Channel,org.apache.flume.Channel,False
org.apache.flume.Transaction,org.apache.flume.Transaction,True
org.apache.flume.conf.Configurables,org.apache.flume.conf.Configurables,True
org.apache.flume.channel.MemoryChannel,org.apache.flume.channel.MemoryChannel,False
org.apache.flume.channel.file.TestFlumeEvent,org.apache.flume.channel.file.TestFlumeEvent,True
