old,new,isSame
core\src\main\java\org\apache\mahout\classifier\sgd\DefaultGradient.java,core\src\main\java\org\apache\mahout\classifier\sgd\DefaultGradient.java,True
core\src\main\java\org\apache\mahout\classifier\discriminative\LinearTrainer.java,core\src\main\java\org\apache\mahout\classifier\discriminative\LinearTrainer.java,True
core\src\main\java\org\apache\mahout\vectorizer\collocations\llr\Gram.java,core\src\main\java\org\apache\mahout\vectorizer\collocations\llr\Gram.java,False
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\SoftCluster.java,core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\SoftCluster.java,False
core\src\test\java\org\apache\mahout\cf\taste\impl\eval\AverageAbsoluteDifferenceRecommenderEvaluatorTest.java,core\src\test\java\org\apache\mahout\cf\taste\impl\eval\AverageAbsoluteDifferenceRecommenderEvaluatorTest.java,True
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\convertors\ContextStatusUpdater.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\convertors\ContextStatusUpdater.java,True
core\src\test\java\org\apache\mahout\df\mapreduce\partial\Step0JobTest.java,core\src\test\java\org\apache\mahout\df\mapreduce\partial\Step0JobTest.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\neighborhood\CachingUserNeighborhood.java,core\src\main\java\org\apache\mahout\cf\taste\impl\neighborhood\CachingUserNeighborhood.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\SamplingCandidateItemsStrategy.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\SamplingCandidateItemsStrategy.java,False
core\src\test\java\org\apache\mahout\cf\taste\impl\model\MemoryIDMigratorTest.java,core\src\test\java\org\apache\mahout\cf\taste\impl\model\MemoryIDMigratorTest.java,True
math\src\main\java\org\apache\mahout\math\matrix\impl\SparseDoubleMatrix1D.java,math\src\main\java\org\apache\mahout\math\matrix\impl\SparseDoubleMatrix1D.java,False
utils\src\main\java\org\apache\mahout\clustering\evaluation\RepresentativePointsMapper.java,utils\src\main\java\org\apache\mahout\clustering\evaluation\RepresentativePointsMapper.java,False
core\src\main\java\org\apache\mahout\cf\taste\similarity\ItemSimilarity.java,core\src\main\java\org\apache\mahout\cf\taste\similarity\ItemSimilarity.java,False
core\src\main\java\org\apache\mahout\cf\taste\hadoop\EntityCountWritable.java,core\src\main\java\org\apache\mahout\cf\taste\hadoop\EntityCountWritable.java,True
examples\src\main\java\org\apache\mahout\cf\taste\example\jester\JesterRecommender.java,examples\src\main\java\org\apache\mahout\cf\taste\example\jester\JesterRecommender.java,False
core\src\test\java\org\apache\mahout\cf\taste\impl\transforms\InverseUserFrequencyTest.java,core\src\test\java\org\apache\mahout\cf\taste\impl\transforms\InverseUserFrequencyTest.java,True
math\src\main\java\org\apache\mahout\math\SingularValueDecomposition.java,math\src\main\java\org\apache\mahout\math\SingularValueDecomposition.java,False
math\src\main\java\org\apache\mahout\math\matrix\impl\AbstractMatrix1D.java,math\src\main\java\org\apache\mahout\math\matrix\impl\AbstractMatrix1D.java,False
core\src\main\java\org\apache\mahout\df\data\DescriptorUtils.java,core\src\main\java\org\apache\mahout\df\data\DescriptorUtils.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\TreeClusteringRecommender.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\TreeClusteringRecommender.java,False
core\src\main\java\org\apache\mahout\clustering\dirichlet\models\DistanceMeasureClusterDistribution.java,core\src\main\java\org\apache\mahout\clustering\dirichlet\models\DistanceMeasureClusterDistribution.java,False
examples\src\main\java\org\apache\mahout\classifier\bayes\WikipediaDatasetCreatorMapper.java,examples\src\main\java\org\apache\mahout\classifier\bayes\WikipediaDatasetCreatorMapper.java,False
core\src\main\java\org\apache\mahout\classifier\sgd\ElasticBandPrior.java,core\src\main\java\org\apache\mahout\classifier\sgd\ElasticBandPrior.java,False
core\src\test\java\org\apache\mahout\cf\taste\impl\model\file\FileIDMigratorTest.java,core\src\test\java\org\apache\mahout\cf\taste\impl\model\file\FileIDMigratorTest.java,True
core\src\main\java\org\apache\mahout\cf\taste\similarity\UserSimilarity.java,core\src\main\java\org\apache\mahout\cf\taste\similarity\UserSimilarity.java,True
core\src\main\java\org\apache\mahout\math\VarLongWritable.java,core\src\main\java\org\apache\mahout\math\VarLongWritable.java,False
utils\src\main\java\org\apache\mahout\utils\vectors\arff\ARFFModel.java,utils\src\main\java\org\apache\mahout\utils\vectors\arff\ARFFModel.java,True
examples\src\test\java\org\apache\mahout\ga\watchmaker\cd\tool\DescriptionUtilsTest.java,examples\src\test\java\org\apache\mahout\ga\watchmaker\cd\tool\DescriptionUtilsTest.java,True
core\src\main\java\org\apache\mahout\df\data\conditions\Condition.java,core\src\main\java\org\apache\mahout\df\data\conditions\Condition.java,True
core\src\main\java\org\apache\mahout\classifier\ClassifierResult.java,core\src\main\java\org\apache\mahout\classifier\ClassifierResult.java,True
core\src\main\java\org\apache\mahout\classifier\ResultAnalyzer.java,core\src\main\java\org\apache\mahout\classifier\ResultAnalyzer.java,False
core\src\main\java\org\apache\mahout\clustering\lda\LDAState.java,core\src\main\java\org\apache\mahout\clustering\lda\LDAState.java,False
core\src\main\java\org\apache\mahout\clustering\canopy\CanopyDriver.java,core\src\main\java\org\apache\mahout\clustering\canopy\CanopyDriver.java,False
examples\src\test\java\org\apache\mahout\ga\watchmaker\cd\hadoop\CDMahoutEvaluatorTest.java,examples\src\test\java\org\apache\mahout\ga\watchmaker\cd\hadoop\CDMahoutEvaluatorTest.java,True
core\src\main\java\org\apache\mahout\clustering\kmeans\KMeansCombiner.java,core\src\main\java\org\apache\mahout\clustering\kmeans\KMeansCombiner.java,True
core\src\main\java\org\apache\mahout\cf\taste\hadoop\ToEntityPrefsMapper.java,core\src\main\java\org\apache\mahout\cf\taste\hadoop\ToEntityPrefsMapper.java,True
core\src\test\java\org\apache\mahout\common\DummyOutputCollector.java,core\src\test\java\org\apache\mahout\common\DummyOutputCollector.java,True
core\src\test\java\org\apache\mahout\common\distance\UserDefinedDistanceMeasure.java,core\src\test\java\org\apache\mahout\common\distance\UserDefinedDistanceMeasure.java,True
math\src\test\java\org\apache\mahout\common\RandomUtilsTest.java,math\src\test\java\org\apache\mahout\common\RandomUtilsTest.java,False
math\src\main\java\org\apache\mahout\math\AbstractVector.java,math\src\main\java\org\apache\mahout\math\AbstractVector.java,False
core\src\test\java\org\apache\mahout\clustering\canopy\TestCanopyCreation.java,core\src\test\java\org\apache\mahout\clustering\canopy\TestCanopyCreation.java,False
examples\src\main\java\org\apache\mahout\classifier\sgd\RunLogistic.java,examples\src\main\java\org\apache\mahout\classifier\sgd\RunLogistic.java,False
math\src\main\java\org\apache\mahout\math\RandomAccessSparseVector.java,math\src\main\java\org\apache\mahout\math\RandomAccessSparseVector.java,False
core\src\test\java\org\apache\mahout\cf\taste\impl\similarity\TanimotoCoefficientSimilarityTest.java,core\src\test\java\org\apache\mahout\cf\taste\impl\similarity\TanimotoCoefficientSimilarityTest.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\common\LongPrimitiveIterator.java,core\src\main\java\org\apache\mahout\cf\taste\impl\common\LongPrimitiveIterator.java,True
core\src\main\java\org\apache\mahout\classifier\bayes\common\BayesParameters.java,core\src\main\java\org\apache\mahout\classifier\bayes\common\BayesParameters.java,False
math\src\main\java\org\apache\mahout\math\matrix\impl\SelectedDenseDoubleMatrix1D.java,math\src\main\java\org\apache\mahout\math\matrix\impl\SelectedDenseDoubleMatrix1D.java,True
core\src\main\java\org\apache\mahout\clustering\minhash\MinHashMapper.java,core\src\main\java\org\apache\mahout\clustering\minhash\MinHashMapper.java,False
math\src\main\java\org\apache\mahout\common\RandomWrapper.java,math\src\main\java\org\apache\mahout\common\RandomWrapper.java,False
math\src\test\java\org\apache\mahout\math\TestVectorView.java,math\src\test\java\org\apache\mahout\math\TestVectorView.java,False
examples\src\main\java\org\apache\mahout\clustering\display\ClustersFilter.java,examples\src\main\java\org\apache\mahout\clustering\display\ClustersFilter.java,True
examples\src\test\java\org\apache\mahout\classifier\sgd\TrainLogisticTest.java,examples\src\test\java\org\apache\mahout\classifier\sgd\TrainLogisticTest.java,False
core\src\main\java\org\apache\mahout\df\DecisionForest.java,core\src\main\java\org\apache\mahout\df\DecisionForest.java,False
math\src\test\java\org\apache\mahout\math\TestMatrixView.java,math\src\test\java\org\apache\mahout\math\TestMatrixView.java,False
examples\src\main\java\org\apache\mahout\ga\watchmaker\travellingsalesman\ExecutionPanel.java,examples\src\main\java\org\apache\mahout\ga\watchmaker\travellingsalesman\ExecutionPanel.java,True
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\ParallelFPGrowthCombiner.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\ParallelFPGrowthCombiner.java,False
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansCombiner.java,core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansCombiner.java,True
examples\src\main\java\org\apache\mahout\clustering\syntheticcontrol\canopy\Job.java,examples\src\main\java\org\apache\mahout\clustering\syntheticcontrol\fuzzykmeans\Job.java,False
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\AggregatorMapper.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\AggregatorMapper.java,True
examples\src\main\java\org\apache\mahout\clustering\minhash\LastfmDataConverter.java,examples\src\main\java\org\apache\mahout\clustering\minhash\LastfmDataConverter.java,False
core\src\test\java\org\apache\mahout\clustering\spectral\common\TestMatrixDiagonalizeJob.java,core\src\test\java\org\apache\mahout\clustering\spectral\common\TestMatrixDiagonalizeJob.java,True
core\src\main\java\org\apache\mahout\classifier\naivebayes\ComplementaryNaiveBayesClassifier.java,core\src\main\java\org\apache\mahout\classifier\naivebayes\ComplementaryNaiveBayesClassifier.java,False
core\src\main\java\org\apache\mahout\math\hadoop\MatrixMultiplicationJob.java,core\src\main\java\org\apache\mahout\math\hadoop\MatrixMultiplicationJob.java,False
utils\src\main\java\org\apache\mahout\clustering\conversion\meanshift\InputMapper.java,utils\src\main\java\org\apache\mahout\clustering\conversion\meanshift\InputMapper.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\similarity\jdbc\MySQLJDBCItemSimilarity.java,core\src\main\java\org\apache\mahout\cf\taste\impl\similarity\jdbc\MySQLJDBCItemSimilarity.java,False
utils\src\test\java\org\apache\mahout\clustering\dirichlet\TestL1ModelClustering.java,utils\src\test\java\org\apache\mahout\clustering\dirichlet\TestL1ModelClustering.java,False
core\src\test\java\org\apache\mahout\classifier\bayes\CBayesClassifierTest.java,core\src\test\java\org\apache\mahout\classifier\bayes\CBayesClassifierTest.java,False
core\src\main\java\org\apache\mahout\clustering\minhash\HashFactory.java,core\src\main\java\org\apache\mahout\clustering\minhash\HashFactory.java,False
core\src\test\java\org\apache\mahout\clustering\ClusteringTestUtils.java,core\src\test\java\org\apache\mahout\clustering\ClusteringTestUtils.java,True
core\src\main\java\org\apache\mahout\clustering\lda\LDAUtil.java,core\src\main\java\org\apache\mahout\clustering\lda\LDAUtil.java,True
core\src\main\java\org\apache\mahout\fpm\pfpgrowth\ParallelCountingReducer.java,core\src\main\java\org\apache\mahout\fpm\pfpgrowth\ParallelCountingReducer.java,True
math\src\test\java\org\apache\mahout\math\VectorTest.java,math\src\test\java\org\apache\mahout\math\VectorTest.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\AllUnknownItemsCandidateItemsStrategy.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\AllUnknownItemsCandidateItemsStrategy.java,False
core\src\test\java\org\apache\mahout\cf\taste\impl\model\file\FileDataModelTest.java,core\src\test\java\org\apache\mahout\cf\taste\impl\model\file\FileDataModelTest.java,False
examples\src\main\java\org\apache\mahout\clustering\syntheticcontrol\canopy\Job.java,examples\src\main\java\org\apache\mahout\clustering\syntheticcontrol\meanshift\Job.java,False
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\CachingRecommender.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\CachingRecommender.java,False
core\src\main\java\org\apache\mahout\math\hadoop\similarity\vector\DistributedLoglikelihoodVectorSimilarity.java,core\src\main\java\org\apache\mahout\math\hadoop\similarity\vector\DistributedLoglikelihoodVectorSimilarity.java,False
math\src\main\java\org\apache\mahout\math\jet\stat\Probability.java,math\src\main\java\org\apache\mahout\math\jet\stat\Probability.java,False
core\src\main\java\org\apache\mahout\classifier\discriminative\TrainingException.java,core\src\main\java\org\apache\mahout\classifier\discriminative\TrainingException.java,True
math\src\main\java\org\apache\mahout\math\jet\random\NegativeBinomial.java,math\src\main\java\org\apache\mahout\math\jet\random\NegativeBinomial.java,False
math\src\test\java\org\apache\mahout\math\VectorListTest.java,math\src\test\java\org\apache\mahout\math\VectorListTest.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\slopeone\file\FileDiffStorage.java,core\src\main\java\org\apache\mahout\cf\taste\impl\recommender\slopeone\file\FileDiffStorage.java,False
examples\src\test\java\org\apache\mahout\ga\watchmaker\cd\hadoop\CDReducerTest.java,examples\src\test\java\org\apache\mahout\ga\watchmaker\cd\hadoop\CDReducerTest.java,True
core\src\main\java\org\apache\mahout\vectorizer\tfidf\TFIDFPartialVectorReducer.java,core\src\main\java\org\apache\mahout\vectorizer\tfidf\TFIDFPartialVectorReducer.java,False
core\src\main\java\org\apache\mahout\df\split\DefaultIgSplit.java,core\src\main\java\org\apache\mahout\df\split\DefaultIgSplit.java,True
core\src\main\java\org\apache\mahout\cf\taste\impl\similarity\jdbc\AbstractJDBCItemSimilarity.java,core\src\main\java\org\apache\mahout\cf\taste\impl\similarity\jdbc\AbstractJDBCItemSimilarity.java,False
