old,new,isSame
org.apache.mahout.classifier.sequencelearning.hmm.HmmUtils,org.apache.mahout.classifier.sequencelearning.hmm.HmmUtils,False
org.apache.mahout.math.DenseMatrix,org.apache.mahout.math.DenseMatrix,False
org.apache.mahout.math.DenseVector,org.apache.mahout.math.DenseVector,False
org.apache.mahout.math.Matrix,org.apache.mahout.math.Matrix,True
org.apache.mahout.math.RandomAccessSparseVector,org.apache.mahout.math.RandomAccessSparseVector,False
org.apache.mahout.math.SparseMatrix,org.apache.mahout.math.SparseMatrix,False
org.apache.mahout.math.Vector,org.apache.mahout.math.Vector,False
org.apache.mahout.classifier.sequencelearning.hmm.HmmModel,org.apache.mahout.classifier.sequencelearning.hmm.HmmModel,True
org.apache.mahout.math.VectorIterable,org.apache.mahout.math.VectorIterable,True
org.apache.mahout.math.decomposer.hebbian.HebbianUpdater,org.apache.mahout.math.decomposer.hebbian.HebbianUpdater,False
org.apache.mahout.math.function.PlusMult,org.apache.mahout.math.function.PlusMult,False
org.apache.mahout.math.decomposer.hebbian.EigenUpdater,org.apache.mahout.math.decomposer.hebbian.EigenUpdater,True
org.apache.mahout.math.decomposer.hebbian.TrainingState,org.apache.mahout.math.decomposer.hebbian.TrainingState,True
org.apache.mahout.common.mapreduce.MergeVectorsReducer,org.apache.mahout.common.mapreduce.MergeVectorsReducer,False
org.apache.mahout.math.SequentialAccessSparseVector,org.apache.mahout.math.SequentialAccessSparseVector,False
org.apache.mahout.math.VectorWritable,org.apache.mahout.math.VectorWritable,False
org.apache.mahout.cf.taste.impl.recommender.RandomRecommender,org.apache.mahout.cf.taste.impl.recommender.RandomRecommender,True
org.apache.mahout.cf.taste.common.Refreshable,org.apache.mahout.cf.taste.common.Refreshable,True
org.apache.mahout.cf.taste.common.TasteException,org.apache.mahout.cf.taste.common.TasteException,True
org.apache.mahout.cf.taste.impl.common.LongPrimitiveIterator,org.apache.mahout.cf.taste.impl.common.LongPrimitiveIterator,True
org.apache.mahout.cf.taste.model.DataModel,org.apache.mahout.cf.taste.model.DataModel,True
org.apache.mahout.cf.taste.model.PreferenceArray,org.apache.mahout.cf.taste.model.PreferenceArray,True
org.apache.mahout.cf.taste.recommender.IDRescorer,org.apache.mahout.cf.taste.recommender.IDRescorer,True
org.apache.mahout.cf.taste.recommender.RecommendedItem,org.apache.mahout.cf.taste.recommender.RecommendedItem,True
org.apache.mahout.common.RandomUtils,org.apache.mahout.common.RandomUtils,False
org.apache.mahout.cf.taste.impl.recommender.AbstractRecommender,org.apache.mahout.cf.taste.impl.recommender.AbstractRecommender,True
org.apache.mahout.cf.taste.impl.common.SkippingIterator,org.apache.mahout.cf.taste.impl.common.SkippingIterator,True
org.apache.mahout.cf.taste.impl.recommender.GenericRecommendedItem,org.apache.mahout.cf.taste.impl.recommender.GenericRecommendedItem,True
org.apache.mahout.cf.taste.example.kddcup.track2.TrackItemSimilarity,org.apache.mahout.cf.taste.example.kddcup.track2.TrackItemSimilarity,False
org.apache.mahout.cf.taste.example.kddcup.KDDCupDataModel,org.apache.mahout.cf.taste.example.kddcup.KDDCupDataModel,True
org.apache.mahout.cf.taste.impl.common.FastByIDMap,org.apache.mahout.cf.taste.impl.common.FastByIDMap,False
org.apache.mahout.cf.taste.impl.common.FastIDSet,org.apache.mahout.cf.taste.impl.common.FastIDSet,False
org.apache.mahout.cf.taste.similarity.ItemSimilarity,org.apache.mahout.cf.taste.similarity.ItemSimilarity,True
org.apache.mahout.common.iterator.FileLineIterable,org.apache.mahout.common.iterator.FileLineIterable,False
org.apache.mahout.cf.taste.example.kddcup.track2.TrackData,org.apache.mahout.cf.taste.example.kddcup.track2.TrackData,True
org.apache.mahout.common.distance.WeightedManhattanDistanceMeasure,org.apache.mahout.common.distance.WeightedManhattanDistanceMeasure,False
org.apache.mahout.math.Vector.Element,org.apache.mahout.math.Vector.Element,False
org.apache.mahout.common.distance.WeightedDistanceMeasure,org.apache.mahout.common.distance.WeightedDistanceMeasure,False
org.apache.mahout.common.iterator.sequencefile.SequenceFileIterable,org.apache.mahout.common.iterator.sequencefile.SequenceFileIterable,True
org.apache.mahout.common.iterator.sequencefile.SequenceFileIterable.K,org.apache.mahout.common.iterator.sequencefile.SequenceFileIterable.K,True
