old,new,isSame
maven-plugin-api\src\main\java\org\apache\maven\plugin\MojoFailureException.java,maven-plugin-api\src\main\java\org\apache\maven\plugin\MojoFailureException.java,True
maven-model\src\test\java\org\apache\maven\model\PluginConfigurationTest.java,maven-model\src\test\java\org\apache\maven\model\PluginConfigurationTest.java,True
maven-model\src\test\java\org\apache\maven\model\ScmTest.java,maven-model\src\test\java\org\apache\maven\model\ScmTest.java,True
maven-core\src\main\java\org\apache\maven\AbstractMavenLifecycleParticipant.java,maven-core\src\main\java\org\apache\maven\AbstractMavenLifecycleParticipant.java,True
maven-artifact\src\main\java\org\apache\maven\artifact\Artifact.java,maven-artifact\src\main\java\org\apache\maven\artifact\Artifact.java,True
maven-model-builder\src\main\java\org\apache\maven\model\locator\ModelLocator.java,maven-model-builder\src\main\java\org\apache\maven\model\locator\ModelLocator.java,True
maven-core\src\main\java\org\apache\maven\classrealm\ClassRealmManagerDelegate.java,maven-core\src\main\java\org\apache\maven\classrealm\ClassRealmManagerDelegate.java,True
maven-model\src\test\java\org\apache\maven\model\ModelTest.java,maven-model\src\test\java\org\apache\maven\model\ModelTest.java,True
maven-core\src\test\java\org\apache\maven\lifecycle\LifecycleExecutorSubModulesTest.java,maven-core\src\test\java\org\apache\maven\lifecycle\LifecycleExecutorSubModulesTest.java,True
maven-core\src\main\java\org\apache\maven\repository\RepositorySystem.java,maven-core\src\main\java\org\apache\maven\repository\RepositorySystem.java,True
maven-core\src\main\java\org\apache\maven\plugin\version\PluginVersionResult.java,maven-core\src\main\java\org\apache\maven\plugin\version\PluginVersionResult.java,True
maven-core\src\main\java\org\apache\maven\plugin\PluginExecutionException.java,maven-core\src\main\java\org\apache\maven\plugin\PluginExecutionException.java,True
maven-artifact\src\main\java\org\apache\maven\artifact\repository\ArtifactRepositoryPolicy.java,maven-artifact\src\main\java\org\apache\maven\artifact\repository\ArtifactRepositoryPolicy.java,True
maven-embedder\src\main\java\org\apache\maven\cli\transfer\BatchModeMavenTransferListener.java,maven-embedder\src\main\java\org\apache\maven\cli\transfer\BatchModeMavenTransferListener.java,True
maven-core\src\main\java\org\apache\maven\project\artifact\ActiveProjectArtifact.java,maven-core\src\main\java\org\apache\maven\project\artifact\ActiveProjectArtifact.java,True
maven-artifact\src\main\java\org\apache\maven\artifact\repository\metadata\RepositoryMetadataStoreException.java,maven-artifact\src\main\java\org\apache\maven\artifact\repository\metadata\RepositoryMetadataStoreException.java,True
maven-core\src\main\java\org\apache\maven\toolchain\ToolchainPrivate.java,maven-core\src\main\java\org\apache\maven\toolchain\ToolchainPrivate.java,True
maven-embedder\src\test\error-reporting-projects\project-dep-missing\src\test\java\org\apache\maven\test\error\mojoFailure\AppTest.java,maven-core\src\test\projects\lifecycle-executor\project-with-additional-lifecycle-elements\src\test\java\org\apache\maven\lifecycle\test\AppTest.java,False
maven-settings-builder\src\main\java\org\apache\maven\settings\crypto\SettingsDecryptionRequest.java,maven-settings-builder\src\main\java\org\apache\maven\settings\crypto\SettingsDecryptionRequest.java,True
maven-core\src\main\java\org\apache\maven\project\ProjectBuilder.java,maven-core\src\main\java\org\apache\maven\project\ProjectBuilder.java,True
maven-model-builder\src\main\java\org\apache\maven\model\path\PathTranslator.java,maven-model-builder\src\main\java\org\apache\maven\model\path\PathTranslator.java,True
maven-core\src\main\java\org\apache\maven\project\ExtensionDescriptorBuilder.java,maven-core\src\main\java\org\apache\maven\project\ExtensionDescriptorBuilder.java,True
maven-model-builder\src\main\java\org\apache\maven\model\profile\DefaultProfileActivationContext.java,maven-model-builder\src\main\java\org\apache\maven\model\profile\DefaultProfileActivationContext.java,True
