old,new,isSame
ignite\src\main\java\org\apache\zeppelin\ignite\IgniteInterpreter.java,ignite\src\main\java\org\apache\zeppelin\ignite\IgniteInterpreter.java,False
zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\InterpreterInfoSerializer.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\InterpreterInfoSerializer.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\resource\ResourcePoolConnector.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\resource\ResourcePoolConnector.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\zeppelinhub\websocket\ZeppelinhubClient.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\zeppelinhub\websocket\ZeppelinhubClient.java,False
zeppelin-interpreter\src\test\java\org\apache\zeppelin\scheduler\RemoteSchedulerTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\scheduler\RemoteSchedulerTest.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\GitNotebookRepo.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\GitNotebookRepo.java,True
zeppelin-server\src\test\java\org\apache\zeppelin\integration\AuthenticationIT.java,zeppelin-server\src\test\java\org\apache\zeppelin\integration\AuthenticationIT.java,True
postgresql\src\main\java\org\apache\zeppelin\postgresql\PostgreSqlInterpreter.java,postgresql\src\main\java\org\apache\zeppelin\postgresql\PostgreSqlInterpreter.java,True
zeppelin-server\src\test\java\org\apache\zeppelin\socket\NotebookServerTest.java,zeppelin-server\src\test\java\org\apache\zeppelin\socket\NotebookServerTest.java,True
zeppelin-server\src\main\java\org\apache\zeppelin\rest\ZeppelinRestApi.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\ZeppelinRestApi.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\ClassloaderInterpreter.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\ClassloaderInterpreter.java,True
livy\src\main\java\org\apache\zeppelin\livy\LivySparkInterpreter.java,livy\src\main\java\org\apache\zeppelin\livy\LivySparkInterpreter.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\Repository.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\Repository.java,True
zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\InterpreterContextTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\InterpreterContextTest.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\install\InstallInterpreter.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\install\InstallInterpreter.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterServer.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterServer.java,True
alluxio\src\test\java\org\apache\zeppelin\alluxio\AlluxioInterpreterTest.java,alluxio\src\test\java\org\apache\zeppelin\alluxio\AlluxioInterpreterTest.java,True
livy\src\main\java\org\apache\zeppelin\livy\LivySparkSQLInterpreter.java,livy\src\main\java\org\apache\zeppelin\livy\LivySparkSQLInterpreter.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\resource\Resource.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\resource\Resource.java,True
zeppelin-server\src\main\java\org\apache\zeppelin\rest\NotebookRestApi.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\NotebookRestApi.java,True
flink\src\test\java\org\apache\zeppelin\flink\FlinkInterpreterTest.java,flink\src\test\java\org\apache\zeppelin\flink\FlinkInterpreterTest.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\Constants.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\Constants.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\search\LuceneSearch.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\search\LuceneSearch.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\InterpreterCompletion.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\InterpreterCompletion.java,True
zeppelin-server\src\test\java\org\apache\zeppelin\integration\ParagraphActionsIT.java,zeppelin-server\src\test\java\org\apache\zeppelin\integration\ParagraphActionsIT.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\ExecutorFactory.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\ExecutorFactory.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\DependencyResolver.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\DependencyResolver.java,True
zeppelin-server\src\test\java\org\apache\zeppelin\rest\ZeppelinRestApiTest.java,zeppelin-server\src\test\java\org\apache\zeppelin\rest\ZeppelinRestApiTest.java,True
zeppelin-zengine\src\test\java\org\apache\zeppelin\interpreter\mock\MockInterpreter11.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\interpreter\mock\MockInterpreter11.java,True
spark\src\main\java\org\apache\zeppelin\spark\ZeppelinRContext.java,spark\src\main\java\org\apache\zeppelin\spark\ZeppelinRContext.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\user\UserCredentials.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\user\UserCredentials.java,True
zeppelin-server\src\test\java\org\apache\zeppelin\rest\AbstractTestRestApi.java,zeppelin-server\src\test\java\org\apache\zeppelin\rest\AbstractTestRestApi.java,False
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\zeppelinhub\websocket\scheduler\ZeppelinHeartbeat.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\zeppelinhub\websocket\scheduler\ZeppelinHeartbeat.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\display\AngularObjectRegistryListener.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\display\AngularObjectRegistryListener.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\DependencyContext.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\DependencyContext.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\VFSNotebookRepo.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\VFSNotebookRepo.java,False
jdbc\src\main\java\org\apache\zeppelin\jdbc\JDBCInterpreter.java,jdbc\src\main\java\org\apache\zeppelin\jdbc\JDBCInterpreter.java,False
python\src\main\java\org\apache\zeppelin\python\PythonInterpreter.java,python\src\main\java\org\apache\zeppelin\python\PythonInterpreter.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterEventClient.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterEventClient.java,True
file\src\main\java\org\apache\zeppelin\file\HDFSCommand.java,file\src\main\java\org\apache\zeppelin\file\HDFSCommand.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\zeppelinhub\websocket\scheduler\ZeppelinHubHeartbeat.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\zeppelinhub\websocket\scheduler\ZeppelinHubHeartbeat.java,True
zeppelin-server\src\test\java\org\apache\zeppelin\WebDriverManager.java,zeppelin-server\src\test\java\org\apache\zeppelin\WebDriverManager.java,True
zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\RunParagraphWithParametersRequest.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\RunParagraphWithParametersRequest.java,True
zeppelin-server\src\main\java\org\apache\zeppelin\server\ZeppelinServer.java,zeppelin-server\src\main\java\org\apache\zeppelin\server\ZeppelinServer.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterProcessListener.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterProcessListener.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\resource\ResourceId.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\resource\ResourceId.java,True
lens\src\main\java\org\apache\zeppelin\lens\LensInterpreter.java,lens\src\main\java\org\apache\zeppelin\lens\LensInterpreter.java,True
zeppelin-server\src\main\java\org\apache\zeppelin\rest\SecurityRestApi.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\SecurityRestApi.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\Job.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\Job.java,True
angular\src\main\java\org\apache\zeppelin\angular\AngularInterpreter.java,angular\src\main\java\org\apache\zeppelin\angular\AngularInterpreter.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterOutputListener.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterOutputListener.java,True
zeppelin-interpreter\src\test\java\org\apache\zeppelin\dep\DependencyResolverTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\dep\DependencyResolverTest.java,True
livy\src\main\java\org\apache\zeppelin\livy\LivyPySparkInterpreter.java,livy\src\main\java\org\apache\zeppelin\livy\LivyPySparkInterpreter.java,True
python\src\main\java\org\apache\zeppelin\python\PythonProcess.java,python\src\main\java\org\apache\zeppelin\python\PythonProcess.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterPropertyBuilder.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterPropertyBuilder.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\resource\DistributedResourcePool.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\resource\DistributedResourcePool.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\JobListener.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\JobListener.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\AbstractDependencyResolver.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\dep\AbstractDependencyResolver.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\ParallelScheduler.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\ParallelScheduler.java,True
zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\zeppelinhub\websocket\protocol\ZeppelinhubMessageTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\zeppelinhub\websocket\protocol\ZeppelinhubMessageTest.java,True
zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\InterpreterOutputChangeWatcherTest.java,zeppelin-interpreter\src\test\java\org\apache\zeppelin\interpreter\InterpreterOutputChangeWatcherTest.java,True
flink\src\main\java\org\apache\zeppelin\flink\FlinkInterpreter.java,flink\src\main\java\org\apache\zeppelin\flink\FlinkInterpreter.java,False
cassandra\src\main\java\org\apache\zeppelin\cassandra\ParsingException.java,cassandra\src\main\java\org\apache\zeppelin\cassandra\ParsingException.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\SchedulerFactory.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\SchedulerFactory.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\annotation\Experimental.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\annotation\Experimental.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\NotebookAuthorizationInfoSaving.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\NotebookAuthorizationInfoSaving.java,True
spark\src\main\java\org\apache\zeppelin\spark\SparkSqlInterpreter.java,spark\src\main\java\org\apache\zeppelin\spark\SparkSqlInterpreter.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\Scheduler.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\scheduler\Scheduler.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\InterpreterContextRunnerPool.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\InterpreterContextRunnerPool.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterContextRunner.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreterContextRunner.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\Notebook.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\Notebook.java,True
zeppelin-zengine\src\test\java\org\apache\zeppelin\interpreter\mock\MockInterpreter1.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\interpreter\mock\MockInterpreter1.java,True
zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\zeppelinhub\websocket\ZeppelinClientTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\zeppelinhub\websocket\ZeppelinClientTest.java,True
zeppelin-server\src\test\java\org\apache\zeppelin\CommandExecutor.java,zeppelin-server\src\test\java\org\apache\zeppelin\CommandExecutor.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\NotebookRepo.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\NotebookRepo.java,True
spark\src\main\java\org\apache\zeppelin\spark\SparkInterpreter.java,spark\src\main\java\org\apache\zeppelin\spark\SparkInterpreter.java,False
zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\NewNotebookRequest.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\NewNotebookRequest.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterOutputChangeListener.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\InterpreterOutputChangeListener.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\NotebookAuthorization.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\NotebookAuthorization.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreter.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\remote\RemoteInterpreter.java,True
scalding\src\test\java\org\apache\zeppelin\scalding\ScaldingInterpreterTest.java,scalding\src\test\java\org\apache\zeppelin\scalding\ScaldingInterpreterTest.java,True
zeppelin-server\src\main\java\org\apache\zeppelin\rest\GetUserList.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\GetUserList.java,False
zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\NoteTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\NoteTest.java,True
zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\NoteInterpreterLoaderTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\NoteInterpreterLoaderTest.java,True
zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\GitNotebookRepoTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\GitNotebookRepoTest.java,True
zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\NotebookRepoSyncTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\NotebookRepoSyncTest.java,True
zeppelin-server\src\test\java\org\apache\zeppelin\rest\ZeppelinSparkClusterTest.java,zeppelin-server\src\test\java\org\apache\zeppelin\rest\ZeppelinSparkClusterTest.java,False
zeppelin-server\src\test\java\org\apache\zeppelin\security\SecurityUtilsTest.java,zeppelin-server\src\test\java\org\apache\zeppelin\security\SecurityUtilsTest.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\InterpreterOption.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\InterpreterOption.java,True
lens\src\main\java\org\apache\zeppelin\lens\LensBootstrap.java,lens\src\main\java\org\apache\zeppelin\lens\LensBootstrap.java,True
zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\NewParagraphRequest.java,zeppelin-server\src\main\java\org\apache\zeppelin\rest\message\NewParagraphRequest.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\InterpreterFactory.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\interpreter\InterpreterFactory.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\resource\RemoteResource.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\resource\RemoteResource.java,True
spark\src\test\java\org\apache\zeppelin\spark\SparkSqlInterpreterTest.java,spark\src\test\java\org\apache\zeppelin\spark\SparkSqlInterpreterTest.java,False
zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\RemoteInterpreterEventType.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\RemoteInterpreterEventType.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\display\AngularObjectWatcher.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\display\AngularObjectWatcher.java,True
zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\NotebookRepoSync.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\notebook\repo\NotebookRepoSync.java,True
ignite\src\test\java\org\apache\zeppelin\ignite\IgniteInterpreterTest.java,ignite\src\test\java\org\apache\zeppelin\ignite\IgniteInterpreterTest.java,True
livy\src\main\java\org\apache\zeppelin\livy\LivyOutputStream.java,livy\src\main\java\org\apache\zeppelin\livy\LivyOutputStream.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\user\UsernamePassword.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\user\UsernamePassword.java,True
lens\src\main\java\org\apache\zeppelin\lens\ExecutionDetail.java,lens\src\main\java\org\apache\zeppelin\lens\ExecutionDetail.java,True
zeppelin-interpreter\src\main\java\org\apache\zeppelin\user\AuthenticationInfo.java,zeppelin-interpreter\src\main\java\org\apache\zeppelin\user\AuthenticationInfo.java,True
hbase\src\test\java\org\apache\zeppelin\hbase\HbaseInterpreterTest.java,hbase\src\test\java\org\apache\zeppelin\hbase\HbaseInterpreterTest.java,True
elasticsearch\src\main\java\org\apache\zeppelin\elasticsearch\ElasticsearchInterpreter.java,elasticsearch\src\main\java\org\apache\zeppelin\elasticsearch\ElasticsearchInterpreter.java,True
spark\src\main\java\org\apache\zeppelin\spark\ZeppelinContext.java,spark\src\main\java\org\apache\zeppelin\spark\ZeppelinContext.java,False
zeppelin-server\src\test\java\org\apache\zeppelin\rest\SecurityRestApiTest.java,zeppelin-server\src\test\java\org\apache\zeppelin\rest\SecurityRestApiTest.java,False
zeppelin-zengine\src\main\java\org\apache\zeppelin\util\Util.java,zeppelin-zengine\src\main\java\org\apache\zeppelin\util\Util.java,True
zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\zeppelinhub\ZeppelinHubRepoTest.java,zeppelin-zengine\src\test\java\org\apache\zeppelin\notebook\repo\zeppelinhub\ZeppelinHubRepoTest.java,True
