old,new,isSame
src\main\org\apache\tools\ant\taskdefs\Get.java,src\main\org\apache\tools\ant\taskdefs\Get.java,False
src\testcases\org\apache\tools\ant\taskdefs\MkdirTest.java,src\testcases\org\apache\tools\ant\taskdefs\MkdirTest.java,False
src\main\org\apache\tools\ant\types\CommandlineJava.java,src\main\org\apache\tools\ant\types\CommandlineJava.java,False
src\testcases\org\apache\tools\ant\taskdefs\optional\TraXLiaisonTest.java,src\testcases\org\apache\tools\ant\taskdefs\optional\TraXLiaisonTest.java,False
src\main\org\apache\tools\ant\taskdefs\Recorder.java,src\main\org\apache\tools\ant\taskdefs\Recorder.java,False
src\testcases\org\apache\tools\ant\taskdefs\AntTest.java,src\testcases\org\apache\tools\ant\taskdefs\AntTest.java,False
src\main\org\apache\tools\ant\taskdefs\optional\depend\constantpool\ConstantPool.java,src\main\org\apache\tools\ant\taskdefs\optional\depend\constantpool\ConstantPool.java,False
src\testcases\org\apache\tools\ant\types\PatternSetTest.java,src\testcases\org\apache\tools\ant\types\PatternSetTest.java,False
src\testcases\org\apache\tools\ant\util\regexp\JakartaRegexpMatcherTest.java,src\testcases\org\apache\tools\ant\util\regexp\JakartaRegexpMatcherTest.java,False
src\main\org\apache\tools\ant\taskdefs\KeySubst.java,src\main\org\apache\tools\ant\taskdefs\KeySubst.java,False
src\main\org\apache\tools\ant\taskdefs\optional\junit\SummaryJUnitResultFormatter.java,src\main\org\apache\tools\ant\taskdefs\optional\junit\SummaryJUnitResultFormatter.java,True
src\main\org\apache\tools\ant\taskdefs\Move.java,src\main\org\apache\tools\ant\taskdefs\Move.java,False
src\main\org\apache\tools\ant\taskdefs\compilers\JavacExternal.java,src\main\org\apache\tools\ant\taskdefs\compilers\JavacExternal.java,False
src\main\org\apache\tools\ant\taskdefs\compilers\Jvc.java,src\main\org\apache\tools\ant\taskdefs\compilers\Jvc.java,False
src\etc\testcases\taskdefs\fixcrlf\input\Junk2.java,src\etc\testcases\taskdefs\fixcrlf\expected\Junk2.java,True
src\main\org\apache\tools\ant\taskdefs\optional\ejb\WeblogicDeploymentTool.java,src\main\org\apache\tools\ant\taskdefs\optional\ejb\WeblogicDeploymentTool.java,False
src\main\org\apache\tools\ant\taskdefs\optional\depend\ClassFile.java,src\main\org\apache\tools\ant\taskdefs\optional\sitraka\bytecode\ClassFile.java,False
src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Revert.java,src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Revert.java,False
src\main\org\apache\tools\ant\taskdefs\optional\depend\Depend.java,src\main\org\apache\tools\ant\taskdefs\optional\depend\Depend.java,False
src\testcases\org\apache\tools\ant\util\FileUtilsTest.java,src\testcases\org\apache\tools\ant\util\FileUtilsTest.java,False
src\main\org\apache\tools\ant\taskdefs\optional\ejb\BorlandDeploymentTool.java,src\main\org\apache\tools\ant\taskdefs\optional\ejb\BorlandDeploymentTool.java,False
src\main\org\apache\tools\ant\taskdefs\optional\PropertyFile.java,src\main\org\apache\tools\ant\taskdefs\optional\PropertyFile.java,False
src\main\org\apache\tools\ant\taskdefs\compilers\Gcj.java,src\main\org\apache\tools\ant\taskdefs\compilers\Gcj.java,False
src\testcases\org\apache\tools\ant\taskdefs\GUnzipTest.java,src\testcases\org\apache\tools\ant\taskdefs\GUnzipTest.java,False
src\main\org\apache\tools\ant\taskdefs\SQLExec.java,src\main\org\apache\tools\ant\taskdefs\SQLExec.java,False
src\main\org\apache\tools\ant\taskdefs\optional\ide\VAJBuildInfo.java,src\main\org\apache\tools\ant\taskdefs\optional\ide\VAJBuildInfo.java,False
src\main\org\apache\tools\ant\taskdefs\optional\ANTLR.java,src\main\org\apache\tools\ant\taskdefs\optional\ANTLR.java,False
src\main\org\apache\tools\ant\taskdefs\optional\ejb\EjbcHelper.java,src\main\org\apache\tools\ant\taskdefs\optional\ejb\EjbcHelper.java,False
src\main\org\apache\tools\ant\taskdefs\Typedef.java,src\main\org\apache\tools\ant\taskdefs\Typedef.java,False
src\main\org\apache\tools\ant\taskdefs\optional\ejb\WLRun.java,src\main\org\apache\tools\ant\taskdefs\optional\ejb\WLRun.java,False
src\main\org\apache\tools\ant\taskdefs\compilers\Javac12.java,src\main\org\apache\tools\ant\taskdefs\compilers\Javac12.java,False
src\main\org\apache\tools\ant\taskdefs\optional\ccm\CCMCheckinDefault.java,src\main\org\apache\tools\ant\taskdefs\optional\ccm\CCMCheckinDefault.java,True
src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Counter.java,src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Counter.java,False
src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Change.java,src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Change.java,False
src\testcases\org\apache\tools\ant\taskdefs\TaskdefTestContainerTask.java,src\testcases\org\example\tasks\TaskdefTestContainerTask.java,False
src\main\org\apache\tools\ant\taskdefs\optional\sitraka\bytecode\attributes\AttributeInfo.java,src\main\org\apache\tools\ant\taskdefs\optional\sitraka\bytecode\attributes\AttributeInfo.java,False
src\main\org\apache\tools\ant\util\DOMElementWriter.java,src\main\org\apache\tools\ant\util\DOMElementWriter.java,False
src\main\org\apache\tools\ant\taskdefs\optional\ide\VAJAntToolGUI.java,src\main\org\apache\tools\ant\taskdefs\optional\ide\VAJAntToolGUI.java,False
src\testcases\org\apache\tools\ant\taskdefs\TaskdefsTest.java,src\testcases\org\apache\tools\ant\taskdefs\TaskdefsTest.java,False
src\testcases\org\apache\tools\ant\util\regexp\Jdk14RegexpMatcherTest.java,src\testcases\org\apache\tools\ant\util\regexp\Jdk14RegexpMatcherTest.java,False
src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSHISTORY.java,src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSHISTORY.java,False
src\main\org\apache\tools\ant\taskdefs\rmic\RmicAdapterFactory.java,src\main\org\apache\tools\ant\taskdefs\rmic\RmicAdapterFactory.java,False
src\main\org\apache\tools\ant\taskdefs\Transform.java,src\main\org\apache\tools\ant\taskdefs\Transform.java,True
src\testcases\org\apache\tools\ant\types\FileListTest.java,src\testcases\org\apache\tools\ant\types\FileListTest.java,True
src\main\org\apache\tools\ant\taskdefs\Delete.java,src\main\org\apache\tools\ant\taskdefs\Delete.java,False
src\main\org\apache\tools\ant\util\GlobPatternMapper.java,src\main\org\apache\tools\ant\util\GlobPatternMapper.java,True
src\main\org\apache\tools\ant\types\FilterSetCollection.java,src\main\org\apache\tools\ant\types\FilterSetCollection.java,False
src\etc\testcases\taskdefs\fixcrlf\expected\Junk7.java,src\etc\testcases\taskdefs\fixcrlf\expected\Junk7.java,True
src\main\org\apache\tools\ant\taskdefs\JikesOutputParser.java,src\main\org\apache\tools\ant\taskdefs\JikesOutputParser.java,False
src\main\org\apache\tools\ant\DirectoryScanner.java,src\main\org\apache\tools\ant\DirectoryScanner.java,False
src\main\org\apache\tools\ant\taskdefs\optional\jdepend\JDependTask.java,src\main\org\apache\tools\ant\taskdefs\optional\jdepend\JDependTask.java,False
src\testcases\org\apache\tools\zip\AsiExtraFieldTest.java,src\testcases\org\apache\tools\zip\AsiExtraFieldTest.java,False
src\testcases\org\apache\tools\ant\taskdefs\optional\XalanLiaisonTest.java,src\testcases\org\apache\tools\ant\taskdefs\optional\XalanLiaisonTest.java,False
src\main\org\apache\tools\ant\util\RegexpPatternMapper.java,src\main\org\apache\tools\ant\util\RegexpPatternMapper.java,False
src\main\org\apache\tools\ant\taskdefs\optional\junit\XMLResultAggregator.java,src\main\org\apache\tools\ant\taskdefs\optional\junit\XMLResultAggregator.java,False
src\main\org\apache\tools\ant\taskdefs\Rename.java,src\main\org\apache\tools\ant\taskdefs\Rename.java,False
src\testcases\org\apache\tools\ant\taskdefs\FailTest.java,src\testcases\org\apache\tools\ant\taskdefs\FailTest.java,False
src\main\org\apache\tools\ant\taskdefs\optional\sitraka\CovMerge.java,src\main\org\apache\tools\ant\taskdefs\optional\sitraka\CovMerge.java,False
src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Submit.java,src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Submit.java,False
src\main\org\apache\tools\ant\taskdefs\optional\Javah.java,src\main\org\apache\tools\ant\taskdefs\optional\Javah.java,False
src\main\org\apache\tools\ant\taskdefs\Available.java,src\main\org\apache\tools\ant\taskdefs\Available.java,False
src\main\org\apache\tools\ant\ProjectHelper.java,src\main\org\apache\tools\ant\ProjectHelper.java,False
src\main\org\apache\tools\ant\util\regexp\JakartaOroMatcher.java,src\main\org\apache\tools\ant\util\regexp\JakartaOroMatcher.java,False
src\main\org\apache\tools\ant\taskdefs\optional\dotnet\Ilasm.java,src\main\org\apache\tools\ant\taskdefs\optional\dotnet\Ilasm.java,False
