old,new,isSame
gnu.regexp.RETokenEnd,gnu.regexp.RETokenEnd,True
gnu.regexp.REToken,gnu.regexp.REToken,False
gnu.regexp.CharIndexed,gnu.regexp.CharIndexed,False
gnu.regexp.REMatch,gnu.regexp.REMatch,False
gnu.regexp.RE,gnu.regexp.RE,False
org.gjt.sp.jedit.io.FileVFS,org.gjt.sp.jedit.io.FileVFS,False
org.gjt.sp.util.Log,org.gjt.sp.util.Log,False
org.gjt.sp.jedit.io.VFS,org.gjt.sp.jedit.io.VFS,False
org.gjt.sp.jedit.io.VFS.DirectoryEntry,org.gjt.sp.jedit.io.VFS.DirectoryEntry,False
org.gjt.sp.jedit.Buffer,org.gjt.sp.jedit.Buffer,False
org.gjt.sp.jedit.View,org.gjt.sp.jedit.View,False
org.gjt.sp.jedit.io.FileRootsVFS,org.gjt.sp.jedit.io.FileRootsVFS,False
org.gjt.sp.jedit.MiscUtilities,org.gjt.sp.jedit.MiscUtilities,False
org.gjt.sp.jedit.io.VFSManager,org.gjt.sp.jedit.io.VFSManager,False
org.gjt.sp.jedit.jEdit,org.gjt.sp.jedit.jEdit,False
BeanShellFileList,BeanShellFileList,True
FileListImpl,FileListImpl,True
SimpleFileList,SimpleFileList,True
SimpleFilePair,SimpleFilePair,True
VariantFileList,VariantFileList,True
WideFileList,WideFileList,True
WideFilePair,WideFilePair,True
ScriptWriter,ScriptWriter,False
com.microstar.xml.XmlParser,com.microstar.xml.XmlParser,True
com.microstar.xml.XmlHandler,com.microstar.xml.XmlHandler,True
org.gjt.sp.jedit.textarea.ScrollListener,org.gjt.sp.jedit.textarea.ScrollListener,True
org.gjt.sp.jedit.textarea.JEditTextArea,org.gjt.sp.jedit.textarea.JEditTextArea,False
org.gjt.sp.jedit.gui.HistoryTextField,org.gjt.sp.jedit.gui.HistoryTextField,False
org.gjt.sp.jedit.gui.HistoryTextField.ActionHandler,org.gjt.sp.jedit.gui.HistoryTextField.ActionHandler,False
org.gjt.sp.jedit.gui.HistoryTextField.HistoryBorder,org.gjt.sp.jedit.gui.HistoryTextField.HistoryBorder,False
org.gjt.sp.jedit.gui.HistoryTextField.MouseHandler,org.gjt.sp.jedit.gui.HistoryTextField.MouseHandler,False
org.gjt.sp.jedit.gui.HistoryModel,org.gjt.sp.jedit.gui.HistoryModel,False
org.gjt.sp.jedit.GUIUtilities,org.gjt.sp.jedit.GUIUtilities,False
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.BeanShell,False
org.gjt.sp.jedit.gui.BeanShellErrorDialog,org.gjt.sp.jedit.gui.BeanShellErrorDialog,False
bsh.NameSpace,bsh.NameSpace,False
bsh.Interpreter,bsh.Interpreter,False
org.gjt.sp.jedit.EditPane,org.gjt.sp.jedit.EditPane,False
bsh.EvalError,bsh.EvalError,False
