old,new,isSame
org.apache.log4j.PatternLayout,org.apache.log4j.PatternLayout,False
org.apache.log4j.Category,org.apache.log4j.Category,False
org.apache.log4j.Priority,org.apache.log4j.Priority,False
org.apache.log4j.Layout,org.apache.log4j.Layout,True
org.apache.log4j.spi.LoggingEvent,org.apache.log4j.spi.LoggingEvent,False
org.apache.log4j.NDC,org.apache.log4j.NDC,True
org.apache.log4j.helpers.PatternParser,org.apache.log4j.helpers.PatternParser,False
org.apache.log4j.helpers.PatternConverter,org.apache.log4j.helpers.PatternConverter,True
org.apache.log4j.helpers.OptionConverter,org.apache.log4j.helpers.OptionConverter,False
org.apache.log4j.test.UnitTestBoundedFIFO,org.apache.log4j.test.UnitTestBoundedFIFO,False
org.apache.log4j.helpers.BoundedFIFO,org.apache.log4j.helpers.BoundedFIFO,False
org.apache.log4j.helpers.Loader,org.apache.log4j.helpers.Loader,False
org.apache.log4j.helpers.LogLog,org.apache.log4j.helpers.LogLog,False
org.apache.log4j.SimpleLayout,org.apache.log4j.SimpleLayout,False
org.apache.log4j.test.Shallow,org.apache.log4j.test.Shallow,False
org.apache.log4j.PropertyConfigurator,org.apache.log4j.PropertyConfigurator,False
org.apache.log4j.xml.DOMConfigurator,org.apache.log4j.xml.DOMConfigurator,False
org.apache.log4j.or.ObjectRenderer,org.apache.log4j.or.ObjectRenderer,True
org.apache.log4j.examples.NumberCruncherClient,org.apache.log4j.examples.NumberCruncherClient,True
org.apache.log4j.examples.NumberCruncher,org.apache.log4j.examples.NumberCruncher,True
org.apache.log4j.RollingFileAppender,org.apache.log4j.RollingFileAppender,False
org.apache.log4j.helpers.QuietWriter,org.apache.log4j.helpers.QuietWriter,True
org.apache.log4j.helpers.CountingQuietWriter,org.apache.log4j.helpers.CountingQuietWriter,True
org.apache.log4j.FileAppender,org.apache.log4j.FileAppender,False
org.apache.log4j.xml.DC,org.apache.log4j.xml.DC,True
org.apache.log4j.xml.Transform,org.apache.log4j.xml.Transform,True
org.apache.log4j.helpers.DateLayout,org.apache.log4j.helpers.DateLayout,False
org.apache.log4j.BasicConfigurator,org.apache.log4j.BasicConfigurator,False
org.apache.log4j.performance.SystemTime,org.apache.log4j.performance.SystemTime,True
org.apache.log4j.AppenderSkeleton,org.apache.log4j.AppenderSkeleton,False
org.apache.log4j.net.test.SyslogMin,org.apache.log4j.net.test.SyslogMin,True
org.apache.log4j.Appender,org.apache.log4j.Appender,False
org.apache.log4j.net.SocketAppender,org.apache.log4j.net.SocketAppender,False
org.apache.log4j.xml.XMLLayout,org.apache.log4j.xml.XMLLayout,False
org.apache.log4j.spi.LocationInfo,org.apache.log4j.spi.LocationInfo,False
org.apache.log4j.spi.ErrorHandler,org.apache.log4j.spi.ErrorHandler,True
org.apache.log4j.spi.ErrorCode,org.apache.log4j.spi.ErrorCode,True
org.apache.log4j.xml.examples.ReportParserError,org.apache.log4j.xml.examples.ReportParserError,True
org.apache.log4j.helpers.OnlyOnceErrorHandler,org.apache.log4j.helpers.OnlyOnceErrorHandler,False
org.apache.log4j.CategoryKey,org.apache.log4j.CategoryKey,True
org.apache.log4j.or.ThreadGroupRenderer,org.apache.log4j.or.ThreadGroupRenderer,True
org.apache.log4j.helpers.FormattingInfo,org.apache.log4j.helpers.FormattingInfo,True
org.apache.log4j.test.ShortSocketServer,org.apache.log4j.test.ShortSocketServer,False
org.apache.log4j.net.SocketNode,org.apache.log4j.net.SocketNode,False
org.apache.log4j.net.SocketServer,org.apache.log4j.net.SocketServer,False
org.apache.log4j.spi.RootCategory,org.apache.log4j.spi.RootCategory,False
org.apache.log4j.spi.AppenderAttachable,org.apache.log4j.spi.AppenderAttachable,True
org.apache.log4j.spi.CategoryFactory,org.apache.log4j.spi.CategoryFactory,True
org.apache.log4j.helpers.NullEnumeration,org.apache.log4j.helpers.NullEnumeration,True
org.apache.log4j.helpers.AppenderAttachableImpl,org.apache.log4j.helpers.AppenderAttachableImpl,True
org.apache.log4j.or.RendererMap,org.apache.log4j.or.RendererMap,True
org.apache.log4j.Hierarchy,org.apache.log4j.Hierarchy,False
org.apache.log4j.spi.OptionHandler,org.apache.log4j.spi.OptionHandler,False
org.apache.log4j.net.JMSSink,org.apache.log4j.net.JMSSink,True
org.apache.log4j.or.MessageRenderer,org.apache.log4j.or.MessageRenderer,True
org.apache.log4j.examples.NumberCruncherServer,org.apache.log4j.examples.NumberCruncherServer,True
org.apache.log4j.xml.examples.XMLSample,org.apache.log4j.xml.examples.XMLSample,True
org.apache.log4j.varia.test.Loop,org.apache.log4j.varia.test.Loop,True
org.apache.log4j.or.DefaultRenderer,org.apache.log4j.or.DefaultRenderer,True
org.apache.log4j.test.ROFile,org.apache.log4j.test.ROFile,True
org.apache.log4j.xml.test.SubClassTest,org.apache.log4j.xml.test.SubClassTest,False
org.apache.log4j.xml.examples.XCategory,org.apache.log4j.xml.examples.XCategory,False
org.apache.log4j.spi.Filter,org.apache.log4j.spi.Filter,True
org.apache.log4j.varia.Roller,org.apache.log4j.varia.Roller,True
org.apache.log4j.varia.ExternallyRolledFileAppender,org.apache.log4j.varia.ExternallyRolledFileAppender,False
org.apache.log4j.test.Hello,org.apache.log4j.test.Hello,True
org.apache.log4j.net.JMSAppender,org.apache.log4j.net.JMSAppender,False
org.apache.log4j.performance.ConcatVsArray,org.apache.log4j.performance.ConcatVsArray,True
org.apache.log4j.performance.ListVsVector,org.apache.log4j.performance.ListVsVector,True
org.apache.log4j.performance.ListVsVector.Chain,org.apache.log4j.performance.ListVsVector.Chain,True
org.apache.log4j.helpers.RelativeTimeDateFormat,org.apache.log4j.helpers.RelativeTimeDateFormat,True
org.apache.log4j.helpers.AbsoluteTimeDateFormat,org.apache.log4j.helpers.AbsoluteTimeDateFormat,True
org.apache.log4j.helpers.DateTimeDateFormat,org.apache.log4j.helpers.DateTimeDateFormat,True
org.apache.log4j.helpers.ISO8601DateFormat,org.apache.log4j.helpers.ISO8601DateFormat,True
exercise.echo.client.EchoClient,exercise.echo.client.EchoClient,True
exercise.echo.Echo,exercise.echo.Echo,True
org.apache.log4j.DefaultCategoryFactory,org.apache.log4j.DefaultCategoryFactory,True
org.apache.log4j.test.CategoryWrapper,org.apache.log4j.test.CategoryWrapper,False
org.apache.log4j.performance.NotLogging,org.apache.log4j.performance.NotLogging,False
org.apache.log4j.helpers.SyslogQuietWriter,org.apache.log4j.helpers.SyslogQuietWriter,True
org.apache.log4j.net.SyslogAppender,org.apache.log4j.net.SyslogAppender,False
org.apache.log4j.helpers.SyslogWriter,org.apache.log4j.helpers.SyslogWriter,True
org.apache.log4j.nt.test.NTMin,org.apache.log4j.nt.test.NTMin,True
org.apache.log4j.nt.NTEventLogAppender,org.apache.log4j.nt.NTEventLogAppender,False
org.apache.log4j.xml.examples.XPriority,org.apache.log4j.xml.examples.XPriority,False
org.apache.log4j.test.PatternTest,org.apache.log4j.test.PatternTest,False
org.apache.log4j.test.DefaultInit,org.apache.log4j.test.DefaultInit,True
org.apache.log4j.xml.test.DisableOverrideTest,org.apache.log4j.xml.test.DisableOverrideTest,False
org.apache.log4j.performance.NewVsSetLen,org.apache.log4j.performance.NewVsSetLen,True
org.apache.log4j.examples.Sort,org.apache.log4j.examples.Sort,True
org.apache.log4j.examples.SortAlgo,org.apache.log4j.examples.SortAlgo,False
org.apache.log4j.test.ConfigurationFileParsing,org.apache.log4j.test.ConfigurationFileParsing,False
org.apache.log4j.spi.Configurator,org.apache.log4j.spi.Configurator,True
org.apache.log4j.helpers.FileWatchdog,org.apache.log4j.helpers.FileWatchdog,False
org.apache.log4j.spi.TriggeringEventEvaluator,org.apache.log4j.spi.TriggeringEventEvaluator,True
org.apache.log4j.net.SimpleSocketServer,org.apache.log4j.net.SimpleSocketServer,True
org.apache.log4j.examples.MyCategoryFactory,org.apache.log4j.examples.MyCategoryFactory,True
org.apache.log4j.examples.MyCategory,org.apache.log4j.examples.MyCategory,False
org.apache.log4j.net.SocketAppender.Connector,org.apache.log4j.net.SocketAppender.Connector,False
org.apache.log4j.ProvisionNode,org.apache.log4j.ProvisionNode,True
org.apache.log4j.test.SysoutConfigurator,org.apache.log4j.test.SysoutConfigurator,False
org.apache.log4j.test.L7D,org.apache.log4j.test.L7D,True
org.apache.log4j.xml.examples.XTest,org.apache.log4j.xml.examples.XTest,True
org.apache.log4j.test.StressNDC,org.apache.log4j.test.StressNDC,True
org.apache.log4j.net.test.SMTPMin,org.apache.log4j.net.test.SMTPMin,True
org.apache.log4j.xml.XMLWatchdog,org.apache.log4j.xml.XMLWatchdog,False
org.apache.log4j.performance.NOPWriter,org.apache.log4j.performance.NOPWriter,True
org.apache.log4j.xml.test.DOMTest,org.apache.log4j.xml.test.DOMTest,False
org.apache.log4j.performance.NullAppender,org.apache.log4j.performance.NullAppender,True
org.apache.log4j.test.UnitTestCyclicBuffer,org.apache.log4j.test.UnitTestCyclicBuffer,True
org.apache.log4j.helpers.CyclicBuffer,org.apache.log4j.helpers.CyclicBuffer,False
org.apache.log4j.test.A,org.apache.log4j.test.A,True
org.apache.log4j.test.B,org.apache.log4j.test.B,True
org.apache.log4j.test.UTObjectRenderer,org.apache.log4j.test.UTObjectRenderer,True
org.apache.log4j.test.UnitTestOR,org.apache.log4j.test.UnitTestOR,True
org.apache.log4j.test.X,org.apache.log4j.test.X,True
org.apache.log4j.test.Y,org.apache.log4j.test.Y,True
org.apache.log4j.net.test.SocketMin,org.apache.log4j.net.test.SocketMin,True
org.apache.log4j.test.MultipleAppenders,org.apache.log4j.test.MultipleAppenders,True
org.apache.log4j.AsyncAppender,org.apache.log4j.AsyncAppender,False
org.apache.log4j.Dispatcher,org.apache.log4j.Dispatcher,False
org.apache.log4j.TTCCLayout,org.apache.log4j.TTCCLayout,False
org.apache.log4j.test.SpacePad,org.apache.log4j.test.SpacePad,True
org.apache.log4j.StressCategory,org.apache.log4j.StressCategory,True
org.apache.log4j.StressCategory.CT,org.apache.log4j.StressCategory.CT,True
org.apache.log4j.examples.MyPatternParser,org.apache.log4j.examples.MyPatternParser,True
org.apache.log4j.examples.MyPatternParser.UserDirPatternConverter,org.apache.log4j.examples.MyPatternParser.UserDirPatternConverter,True
org.apache.log4j.varia.HUP,org.apache.log4j.varia.HUP,False
org.apache.log4j.varia.HUPNode,org.apache.log4j.varia.HUPNode,False
org.apache.log4j.test.StressAsyncAppender,org.apache.log4j.test.StressAsyncAppender,False
org.apache.log4j.test.UnitTestCategory,org.apache.log4j.test.UnitTestCategory,False
org.apache.log4j.test.UnitTestCategory.CountingAppender,org.apache.log4j.test.UnitTestCategory.CountingAppender,False
org.apache.log4j.test.Min,org.apache.log4j.test.Min,False
org.apache.log4j.test.Finalize,org.apache.log4j.test.Finalize,True
org.apache.log4j.net.DefaultEvaluator,org.apache.log4j.net.DefaultEvaluator,False
org.apache.log4j.net.SMTPAppender,org.apache.log4j.net.SMTPAppender,False
exercise.echo.server.EchoServer,exercise.echo.server.EchoServer,True
org.apache.log4j.test.DelayedLoop,org.apache.log4j.test.DelayedLoop,True
org.apache.log4j.varia.DenyAllFilter,org.apache.log4j.varia.DenyAllFilter,False
