old,new,isSame
src\java\org\apache\poi\hssf\record\BOFRecord.java,src\java\org\apache\poi\hssf\record\BOFRecord.java,False
src\java\org\apache\poi\util\ShortList.java,src\java\org\apache\poi\util\ShortList.java,True
src\scratchpad\src\org\apache\poi\hdf\model\hdftypes\definitions\FIBAbstractType.java,src\scratchpad\src\org\apache\poi\hdf\model\hdftypes\definitions\FIBAbstractType.java,False
src\scratchpad\src\org\apache\poi\hdf\model\hdftypes\PropertyNode.java,src\scratchpad\src\org\apache\poi\hdf\extractor\util\PropertyNode.java,False
src\testcases\org\apache\poi\hssf\record\TestUnitsRecord.java,src\testcases\org\apache\poi\hssf\record\TestUnitsRecord.java,True
src\testcases\org\apache\poi\poifs\filesystem\TestDocument.java,src\testcases\org\apache\poi\poifs\filesystem\TestDocument.java,False
src\examples\src\org\apache\poi\hssf\usermodel\examples\BigExample.java,src\examples\src\org\apache\poi\hssf\usermodel\examples\BigExample.java,False
src\java\org\apache\poi\poifs\storage\HeaderBlockConstants.java,src\java\org\apache\poi\poifs\storage\HeaderBlockConstants.java,False
src\java\org\apache\poi\poifs\property\Property.java,src\java\org\apache\poi\poifs\property\Property.java,False
src\scratchpad\src\org\apache\poi\hdf\model\hdftypes\StyleSheet.java,src\scratchpad\src\org\apache\poi\hdf\model\hdftypes\StyleSheet.java,False
src\scratchpad\src\org\apache\poi\hdf\extractor\TextPiece.java,src\scratchpad\src\org\apache\poi\hdf\model\hdftypes\TextPiece.java,False
src\java\org\apache\poi\poifs\dev\POIFSViewable.java,src\java\org\apache\poi\poifs\dev\POIFSViewable.java,True
src\java\org\apache\poi\util\BinaryTree.java,src\java\org\apache\poi\util\BinaryTree.java,True
src\testcases\org\apache\poi\util\LocalTestNode.java,src\testcases\org\apache\poi\util\LocalTestNode.java,True
src\testcases\org\apache\poi\hssf\record\TestLineFormatRecord.java,src\testcases\org\apache\poi\hssf\record\TestLineFormatRecord.java,True
src\scratchpad\src\org\apache\poi\hdf\generator\HDFRecordUtil.java,src\scratchpad\src\org\apache\poi\hdf\generator\HDFRecordUtil.java,True
src\java\org\apache\poi\poifs\filesystem\DirectoryNode.java,src\java\org\apache\poi\poifs\filesystem\DirectoryNode.java,False
src\java\org\apache\poi\hssf\record\AreaRecord.java,src\java\org\apache\poi\hssf\record\AreaRecord.java,False
