old,new,isSame
org.apache.velocity.app.event.EventHandlerMethodExecutor,org.apache.velocity.app.event.EventHandlerMethodExecutor,True
org.apache.velocity.app.event.EventHandler,org.apache.velocity.app.event.EventHandler,True
org.apache.turbine.services.weather.WeatherService,org.apache.turbine.services.weather.WeatherService,True
org.apache.velocity.runtime.directive.Foreach,org.apache.velocity.runtime.directive.Foreach,False
org.apache.velocity.runtime.directive.Foreach.NullHolderContext,org.apache.velocity.runtime.directive.Foreach.NullHolderContext,False
org.apache.velocity.app.event.EventCartridge,org.apache.velocity.app.event.EventCartridge,False
org.apache.velocity.context.Context,org.apache.velocity.context.Context,True
org.apache.velocity.context.InternalContextAdapter,org.apache.velocity.context.InternalContextAdapter,True
org.apache.velocity.exception.MethodInvocationException,org.apache.velocity.exception.MethodInvocationException,False
org.apache.velocity.exception.ParseErrorException,org.apache.velocity.exception.ParseErrorException,True
org.apache.velocity.exception.ResourceNotFoundException,org.apache.velocity.exception.ResourceNotFoundException,True
org.apache.velocity.exception.TemplateInitException,org.apache.velocity.exception.TemplateInitException,True
org.apache.velocity.exception.VelocityException,org.apache.velocity.exception.VelocityException,True
org.apache.velocity.runtime.RuntimeConstants,org.apache.velocity.runtime.RuntimeConstants,False
org.apache.velocity.runtime.RuntimeServices,org.apache.velocity.runtime.RuntimeServices,False
org.apache.velocity.runtime.parser.node.ASTReference,org.apache.velocity.runtime.parser.node.ASTReference,False
org.apache.velocity.runtime.parser.node.Node,org.apache.velocity.runtime.parser.node.Node,False
org.apache.velocity.runtime.parser.node.SimpleNode,org.apache.velocity.runtime.parser.node.SimpleNode,False
org.apache.velocity.runtime.resource.Resource,org.apache.velocity.runtime.resource.Resource,False
org.apache.velocity.util.introspection.Info,org.apache.velocity.util.introspection.Info,False
org.apache.velocity.util.introspection.IntrospectionCacheData,org.apache.velocity.util.introspection.IntrospectionCacheData,True
org.apache.velocity.runtime.directive.Directive,org.apache.velocity.runtime.directive.Directive,False
org.apache.velocity.runtime.parser.Token,org.apache.velocity.runtime.parser.Token,True
org.apache.velocity.context.InternalHousekeepingContext,org.apache.velocity.context.InternalHousekeepingContext,False
org.apache.velocity.util.introspection.Uberspect,org.apache.velocity.util.introspection.Uberspect,True
org.apache.velocity.runtime.log.Log,org.apache.velocity.runtime.log.Log,False
org.apache.velocity.test.util.introspection.ClassMapTestCase,org.apache.velocity.test.util.introspection.ClassMapTestCase,False
