dataset,model,recall,f1,g1,acc,tp,fp,tn,fn,precision,auc_roc
ECLIPSE-2007,autogluon_best_f1,4.23316349,2.624266026,2.241917517,-4.594628561,-0.422697259,-1.863873367,-27.29915662,-6.40006586,0.928782307,-5.536695978
ECLIPSE-2007,KNN,2.632955844,4.969264354,-2.382075555,-7.553233667,-1.94611401,-8.979882056,-31.29727893,-7.565277731,5.920129911,-4.710031392
ECLIPSE-2007,LR,3.258359051,5.94506473,0.825088748,-4.928440755,-1.351587025,-10.66951376,-28.0414479,-6.530027431,7.654248245,-4.381066995
ECLIPSE-2007,NB,4.06271512,3.802388232,1.657947142,-4.643097668,-0.581395349,-5.294310023,-27.69373486,-6.873529412,3.401097986,-4.383955745
ECLIPSE-2007,RF,3.345667592,1.728715149,1.630118346,-4.605720084,-1.273667602,-1.497234381,-27.23315155,-6.018382353,0.122221455,-5.05828465
ECLIPSE-2007,SVM,3.428912651,3.839966329,1.072378563,-5.262998564,-1.185730966,-6.652763168,-28.13625257,-6.350685054,4.177564488,-4.444997015
IND-JLMIV+R-2020,autogluon_best_f1,0,-2.022244692,-1.187643224,-2.900131533,-20,0,-47.36842105,0,0,-2.245544083
IND-JLMIV+R-2020,KNN,0,0,-1.457428017,-5.292114955,-11.11111111,-16.66666667,-48.60050891,0,0,-2.580446181
IND-JLMIV+R-2020,LR,0,0,0,-4.121750159,-11.76470588,-12.5,-48.33333333,-5.555555556,0,-1.674016426
IND-JLMIV+R-2020,NB,0,6.72541744,0,-3.24187615,-11.11111111,-26.19047619,-51.15207373,0,7.493540052,-0.875787
IND-JLMIV+R-2020,RF,0,-6.281833616,-3.277439024,-2.900131533,-21.05263158,0,-47.36842105,0,-6.25,-3.162055336
IND-JLMIV+R-2020,SVM,0,0,-0.244851321,-3.792035064,-9.090909091,-14.28571429,-47.85894207,0,0,-1.931239848
JIRA-HA-2019,autogluon_best_f1,1.542207792,1.261701262,0,-3.604024841,-11.11111111,-5.042016807,-51.55325444,-18.12080537,0,-1.810266092
JIRA-HA-2019,KNN,1.942186089,7.721218848,-0.518403999,-6.08205346,-9.722222222,-29.58057395,-50.72254335,-23.36448598,11.13547707,-1.680315023
JIRA-HA-2019,LR,2.755177908,16.16613419,0.046092103,-5.517553582,-5.960264901,-22.86821705,-40.38461538,-18.60465116,14.89022864,-1.32066475
JIRA-HA-2019,NB,5.238027026,14.05405405,0.947465533,-5.059693007,-1.136363636,-17.73584906,-52.49169435,-25.71428571,10.92558558,-0.157150093
JIRA-HA-2019,RF,2.28960396,0.274963143,0.12243849,-3.899993811,-11.11111111,-6.849315068,-51.66543301,-17.30769231,-0.026757643,-2.664520503
JIRA-HA-2019,SVM,3.092783505,10.01328021,0.092046069,-2.8871333,-2.666666667,-20.83333333,-47.26618705,-19.71830986,5.19450859,-1.040183304
JIRA-RA-2019,autogluon_best_f1,1.865671642,3.296703297,0.531533013,-4.96973962,-2.702702703,-8.888888889,-50.7515473,-7.142857143,2.857142857,-3.805181615
JIRA-RA-2019,KNN,2.380952381,11.95838696,0,-8.904389213,-3.076923077,-23.01886792,-56.84754522,-12.44019139,18.05494019,-3.300195908
JIRA-RA-2019,LR,2.272727273,10.49998786,0.010216349,-8.265255761,-0.769230769,-25,-54.0950455,-8.75,13.86733186,-3.545083968
JIRA-RA-2019,NB,2.817231153,14.84894367,0,-7.645437,-2.083333333,-23.23232323,-60.97560976,-9.782608696,10.84803002,-3.566939942
JIRA-RA-2019,RF,3.543913713,6.431928176,0.729885605,-4.359338875,-3.225806452,-8.771929825,-55.27950311,-20,4.975396391,-2.974087811
JIRA-RA-2019,SVM,3.633291086,10.4309735,0.004496326,-7.865129207,-2.745098039,-20,-54.5177665,-10.58823529,6.517273576,-2.722517794
MA-SZZ-2020,autogluon_best_f1,-3.560606061,-10.22101281,-6.919671874,-7.09173715,-68.8172043,-7.692307692,-84.47412354,0,-12.41830065,-4.663559781
MA-SZZ-2020,KNN,0,0.809889173,-5.231726575,-5.197430897,-65.06024096,-80,-84.35643564,-56.36363636,5.217659772,-3.349164927
MA-SZZ-2020,LR,7.328950572,7.692307692,-2.198955648,-4.366197183,-60.41666667,-78.40909091,-85.49019608,-77.77777778,9.516129032,-2.765868467
MA-SZZ-2020,NB,7.485772654,18.04444444,-3.6521561,-6.481262327,-64.70588235,-79.28571429,-85.84337349,-78.57142857,14.58333333,-2.370151085
MA-SZZ-2020,RF,-3.320650294,-9.090909091,-7.161320939,-7.229057875,-68.8172043,-1.136363636,-84.5,0,-12.27741331,-6.023348381
MA-SZZ-2020,SVM,10,7.291666667,-1.826331623,-5.088954932,-64.28571429,-72.97297297,-84.24153166,-81.48148148,3.963744589,-3.990131409
Metrics-Repo-2010,autogluon_best_f1,8.219178082,5.966386555,0,-1.477690996,-7.692307692,-7.52688172,-37.19008264,-20,1.050420168,-0.970193969
Metrics-Repo-2010,KNN,5.46875,7.617389061,-0.483057891,-1.962161269,-7.894736842,-15.78947368,-38.81278539,-20,0.949796472,-1.335758836
Metrics-Repo-2010,LR,4.135435513,6.015158845,-0.635003724,-2.521008403,-10.89108911,-18.3908046,-38.00904977,-22.22222222,2.530626844,-0.291948996
Metrics-Repo-2010,NB,5.633802817,6.538992409,1.569731384,-2.530714462,-10.71428571,-18.51851852,-33.33333333,-21.05263158,1.737215562,0
Metrics-Repo-2010,RF,6.666666667,6.217025162,-0.472233649,-2.235937553,-8.219178082,-8.571428571,-42.46575342,-20,0.961538462,-1.96536862
Metrics-Repo-2010,SVM,6.666666667,6.657166124,0,-1.743498818,-10.18518519,-12.5,-37.0212766,-21.15384615,2.828332514,-1.181131507
