old,new,isSame
core\src\test\java\org\apache\calcite\test\InduceGroupingTypeTest.java,core\src\test\java\org\apache\calcite\test\InduceGroupingTypeTest.java,True
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableUncollectRule.java,core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableUncollectRule.java,False
core\src\main\java\org\apache\calcite\schema\ExtensibleTable.java,core\src\main\java\org\apache\calcite\schema\ExtensibleTable.java,True
core\src\main\java\org\apache\calcite\jdbc\CalciteStatement.java,core\src\main\java\org\apache\calcite\jdbc\CalciteStatement.java,False
core\src\main\java\org\apache\calcite\rel\metadata\RelMdColumnUniqueness.java,core\src\main\java\org\apache\calcite\rel\metadata\RelMdColumnUniqueness.java,False
core\src\main\java\org\apache\calcite\interpreter\BindableRel.java,core\src\main\java\org\apache\calcite\interpreter\BindableRel.java,True
core\src\main\java\org\apache\calcite\rel\core\Join.java,core\src\main\java\org\apache\calcite\rel\core\Join.java,False
linq4j\src\main\java\org\apache\calcite\linq4j\tree\ConditionalExpression.java,linq4j\src\main\java\org\apache\calcite\linq4j\tree\ConditionalExpression.java,False
mongodb\src\main\java\org\apache\calcite\adapter\mongodb\MongoSchema.java,mongodb\src\main\java\org\apache\calcite\adapter\mongodb\MongoSchema.java,True
core\src\main\java\org\apache\calcite\adapter\java\ReflectiveSchema.java,core\src\main\java\org\apache\calcite\adapter\java\ReflectiveSchema.java,True
avatica\src\main\java\org\apache\calcite\avatica\AvaticaJdbc41Factory.java,avatica\core\src\main\java\org\apache\calcite\avatica\AvaticaJdbc41Factory.java,False
core\src\main\java\org\apache\calcite\rel\rules\JoinCommuteRule.java,core\src\main\java\org\apache\calcite\rel\rules\JoinCommuteRule.java,False
core\src\main\java\org\apache\calcite\sql\SqlFunction.java,core\src\main\java\org\apache\calcite\sql\SqlFunction.java,False
core\src\test\java\org\apache\calcite\test\RelMetadataTest.java,core\src\test\java\org\apache\calcite\test\RelMetadataTest.java,False
linq4j\src\main\java\org\apache\calcite\linq4j\tree\DynamicExpression.java,linq4j\src\main\java\org\apache\calcite\linq4j\tree\DynamicExpression.java,True
core\src\main\java\org\apache\calcite\model\JsonTable.java,core\src\main\java\org\apache\calcite\model\JsonTable.java,False
core\src\main\java\org\apache\calcite\rel\logical\LogicalTableFunctionScan.java,core\src\main\java\org\apache\calcite\rel\logical\LogicalTableFunctionScan.java,False
core\src\main\java\org\apache\calcite\sql\SqlPostfixOperator.java,core\src\main\java\org\apache\calcite\sql\SqlPostfixOperator.java,False
