old,new,isSame
org.apache.cayenne.ObjectContext,org.apache.cayenne.ObjectContext,False
org.apache.cayenne.ObjectId,org.apache.cayenne.ObjectId,True
org.apache.cayenne.PersistenceState,org.apache.cayenne.PersistenceState,True
org.apache.cayenne.Persistent,org.apache.cayenne.Persistent,True
org.apache.cayenne.graph.GraphManager,org.apache.cayenne.graph.GraphManager,True
org.apache.cayenne.reflect.ClassDescriptor,org.apache.cayenne.reflect.ClassDescriptor,False
org.apache.cayenne.map.EntityResolver,org.apache.cayenne.map.EntityResolver,False
org.apache.cayenne.ejbql.parser.EJBQLDbPath,org.apache.cayenne.ejbql.parser.EJBQLDbPath,True
org.apache.cayenne.ejbql.EJBQLExpressionVisitor,org.apache.cayenne.ejbql.EJBQLExpressionVisitor,True
org.apache.cayenne.ejbql.parser.EJBQLPath,org.apache.cayenne.ejbql.parser.EJBQLPath,True
org.apache.cayenne.testdo.mt.MtTable1Subclass,org.apache.cayenne.testdo.mt.MtTable1Subclass,True
org.apache.cayenne.testdo.mt.auto._MtTable1Subclass,org.apache.cayenne.testdo.mt.auto._MtTable1Subclass,False
org.apache.cayenne.swing.PropertyBinding,org.apache.cayenne.swing.PropertyBinding,True
org.apache.cayenne.swing.PropertyBinding.PropertyBinding.(Anon_1),org.apache.cayenne.swing.PropertyBinding.PropertyBinding.(Anon_1),True
org.apache.cayenne.swing.BindingBase,org.apache.cayenne.swing.BindingBase,True
org.apache.cayenne.swing.BoundComponent,org.apache.cayenne.swing.BoundComponent,True
org.apache.cayenne.testdo.locking.TimeLockingTestEntity,org.apache.cayenne.testdo.locking.TimeLockingTestEntity,True
org.apache.cayenne.testdo.locking.auto._TimeLockingTestEntity,org.apache.cayenne.testdo.locking.auto._TimeLockingTestEntity,False
org.apache.cayenne.DataChannel,org.apache.cayenne.DataChannel,True
org.apache.cayenne.query.EJBQLQuery,org.apache.cayenne.query.EJBQLQuery,False
org.apache.cayenne.access.DataContext,org.apache.cayenne.access.DataContext,False
org.apache.cayenne.CayenneDataObject,org.apache.cayenne.CayenneDataObject,False
org.apache.cayenne.access.types.MockEnum,org.apache.cayenne.access.types.MockEnum,True
org.apache.cayenne.map.DataMap,org.apache.cayenne.map.DataMap,False
org.apache.cayenne.util.XMLEncoder,org.apache.cayenne.util.XMLEncoder,False
org.apache.cayenne.util.XMLSerializable,org.apache.cayenne.util.XMLSerializable,True
org.apache.cayenne.modeler.dialog.validator.ValidatorDialog,org.apache.cayenne.modeler.dialog.validator.ValidatorDialog,False
org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.ValidationRenderer,org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.ValidationRenderer,False
org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.ValidatorTableModel,org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.ValidatorTableModel,False
org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.initController.(Anon_1),org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.initController.(Anon_1),False
org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.initController.(Anon_2),org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.initController.(Anon_2),False
org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.initController.(Anon_3),org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.initController.(Anon_3),False
org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.initController.(Anon_4),org.apache.cayenne.modeler.dialog.validator.ValidatorDialog.initController.(Anon_4),False
org.apache.cayenne.modeler.Application,org.apache.cayenne.modeler.Application,False
org.apache.cayenne.modeler.CayenneModelerFrame,org.apache.cayenne.modeler.CayenneModelerFrame,False
org.apache.cayenne.modeler.action.ValidateAction,org.apache.cayenne.modeler.action.ValidateAction,False
org.apache.cayenne.modeler.util.CayenneDialog,org.apache.cayenne.modeler.util.CayenneDialog,False
org.apache.cayenne.validation.ValidationFailure,org.apache.cayenne.validation.ValidationFailure,True
org.apache.cayenne.modeler.dialog.validator.ValidationDisplayHandler,org.apache.cayenne.modeler.dialog.validator.ValidationDisplayHandler,False
org.apache.cayenne.testdo.embeddable.Embeddable1,org.apache.cayenne.testdo.embeddable.Embeddable1,True
org.apache.cayenne.testdo.embeddable.auto._Embeddable1,org.apache.cayenne.testdo.embeddable.auto._Embeddable1,True
org.apache.cayenne.ConfigurationException,org.apache.cayenne.ConfigurationException,False
org.apache.cayenne.query.StatementFetchSizeTest,org.apache.cayenne.query.StatementFetchSizeTest,False
org.apache.cayenne.query.SelectQuery,org.apache.cayenne.query.SelectQuery,False
org.apache.cayenne.query.RelationshipQuery,org.apache.cayenne.query.RelationshipQuery,True
org.apache.cayenne.query.SQLTemplate,org.apache.cayenne.query.SQLTemplate,False
org.apache.cayenne.query.QueryMetadata,org.apache.cayenne.query.QueryMetadata,False
org.apache.cayenne.testdo.relationship.ToOneFK1,org.apache.cayenne.testdo.relationship.ToOneFK1,True
org.apache.cayenne.testdo.relationship.auto._ToOneFK1,org.apache.cayenne.testdo.relationship.auto._ToOneFK1,False
org.apache.cayenne.testdo.relationship.auto._ToManyFkDep,org.apache.cayenne.testdo.relationship.auto._ToManyFkDep,False
org.apache.cayenne.testdo.relationship.ToManyFkRoot,org.apache.cayenne.testdo.relationship.ToManyFkRoot,True
org.apache.cayenne.testdo.relationship.ToManyRoot2,org.apache.cayenne.testdo.relationship.ToManyRoot2,True
org.apache.cayenne.access.DataDomainInsertBucket,org.apache.cayenne.access.DataDomainInsertBucket,False
org.apache.cayenne.CayenneRuntimeException,org.apache.cayenne.CayenneRuntimeException,False
org.apache.cayenne.dba.PkGenerator,org.apache.cayenne.dba.PkGenerator,False
org.apache.cayenne.map.DbAttribute,org.apache.cayenne.map.DbAttribute,False
org.apache.cayenne.map.DbEntity,org.apache.cayenne.map.DbEntity,False
org.apache.cayenne.map.DbJoin,org.apache.cayenne.map.DbJoin,True
org.apache.cayenne.map.DbRelationship,org.apache.cayenne.map.DbRelationship,False
org.apache.cayenne.map.EntitySorter,org.apache.cayenne.map.EntitySorter,False
org.apache.cayenne.map.ObjAttribute,org.apache.cayenne.map.ObjAttribute,False
org.apache.cayenne.map.ObjEntity,org.apache.cayenne.map.ObjEntity,False
org.apache.cayenne.query.InsertBatchQuery,org.apache.cayenne.query.InsertBatchQuery,True
org.apache.cayenne.query.Query,org.apache.cayenne.query.Query,False
org.apache.cayenne.access.DataDomainSyncBucket,org.apache.cayenne.access.DataDomainSyncBucket,False
org.apache.cayenne.access.DataDomainFlushAction,org.apache.cayenne.access.DataDomainFlushAction,False
org.apache.cayenne.access.DbEntityClassDescriptor,org.apache.cayenne.access.DbEntityClassDescriptor,True
org.apache.cayenne.access.DataDomainDBDiffBuilder,org.apache.cayenne.access.DataDomainDBDiffBuilder,True
org.apache.cayenne.access.DataNode,org.apache.cayenne.access.DataNode,False
org.apache.cayenne.access.DataDomain,org.apache.cayenne.access.DataDomain,False
org.apache.cayenne.map.Entity,org.apache.cayenne.map.Entity,False
org.apache.cayenne.dba.DbAdapter,org.apache.cayenne.dba.DbAdapter,False
org.apache.cayenne.map.Attribute,org.apache.cayenne.map.Attribute,True
org.apache.cayenne.reflect.Property,org.apache.cayenne.reflect.Property,True
org.apache.cayenne.access.trans.LOBBatchQueryWrapper,org.apache.cayenne.access.trans.LOBBatchQueryWrapper,True
org.apache.cayenne.access.trans.LOBBatchQueryWrapper.convertToBlobValue.(Anon_1),org.apache.cayenne.access.trans.LOBBatchQueryWrapper.convertToBlobValue.(Anon_1),True
org.apache.cayenne.query.BatchQuery,org.apache.cayenne.query.BatchQuery,False
org.apache.cayenne.map.DbRelationshipDetected,org.apache.cayenne.map.DbRelationshipDetected,True
org.apache.cayenne.map.ClientEntityResolverTest,org.apache.cayenne.map.ClientEntityResolverTest,False
org.apache.cayenne.remote.hessian.service.HessianUtil,org.apache.cayenne.remote.hessian.service.HessianUtil,False
org.apache.cayenne.testdo.mt.ClientMtTable1,org.apache.cayenne.testdo.mt.ClientMtTable1,True
org.apache.cayenne.testdo.mt.MtTable1,org.apache.cayenne.testdo.mt.MtTable1,True
org.apache.cayenne.util.EntityMergeSupport,org.apache.cayenne.util.EntityMergeSupport,False
org.apache.cayenne.dba.TypesMapping,org.apache.cayenne.dba.TypesMapping,False
org.apache.cayenne.map.ObjRelationship,org.apache.cayenne.map.ObjRelationship,False
org.apache.cayenne.map.naming.BasicNamingStrategy,org.apache.cayenne.map.naming.BasicNamingStrategy,True
org.apache.cayenne.map.naming.NamingStrategy,org.apache.cayenne.map.naming.NamingStrategy,True
org.apache.cayenne.util.EntityMergeListener,org.apache.cayenne.util.EntityMergeListener,True
org.apache.cayenne.util.DeleteRuleUpdater,org.apache.cayenne.util.DeleteRuleUpdater,True
org.apache.cayenne.map.Relationship,org.apache.cayenne.map.Relationship,False
org.apache.cayenne.xml.XMLEncoder,org.apache.cayenne.xml.XMLEncoder,False
org.apache.cayenne.xml.XMLMappingDescriptor,org.apache.cayenne.xml.XMLMappingDescriptor,False
org.apache.cayenne.xml.XMLSerializable,org.apache.cayenne.xml.XMLSerializable,False
org.apache.cayenne.xml.SerializableEntity,org.apache.cayenne.xml.SerializableEntity,False
org.apache.cayenne.xml.XMLUtil,org.apache.cayenne.xml.XMLUtil,False
org.apache.cayenne.testdo.relationship.MeaningfulFK,org.apache.cayenne.testdo.relationship.MeaningfulFK,True
org.apache.cayenne.testdo.relationship.auto._MeaningfulFK,org.apache.cayenne.testdo.relationship.auto._MeaningfulFK,False
org.apache.cayenne.map.event.EmbeddableListener,org.apache.cayenne.map.event.EmbeddableListener,True
org.apache.cayenne.map.event.EmbeddableEvent,org.apache.cayenne.map.event.EmbeddableEvent,True
org.apache.cayenne.remote.ClientChannelServerDiffsListener1,org.apache.cayenne.remote.ClientChannelServerDiffsListener1,True
org.apache.cayenne.testdo.mt.MtTable2,org.apache.cayenne.testdo.mt.MtTable2,True
org.apache.cayenne.testdo.mt.auto._MtTable1,org.apache.cayenne.testdo.mt.auto._MtTable1,False
org.apache.cayenne.PersistentObject,org.apache.cayenne.PersistentObject,False
org.apache.cayenne.tutorial.persistent.auto._Painting,org.apache.cayenne.tutorial.persistent.auto._Painting,True
org.apache.cayenne.tutorial.persistent.Artist,org.apache.cayenne.tutorial.persistent.Artist,True
org.apache.cayenne.tutorial.persistent.Gallery,org.apache.cayenne.tutorial.persistent.Gallery,True
org.apache.cayenne.testdo.mt.auto._MtMeaningfulPk,org.apache.cayenne.testdo.mt.auto._MtMeaningfulPk,False
org.apache.cayenne.testdo.mt.MtTable3,org.apache.cayenne.testdo.mt.MtTable3,True
org.apache.cayenne.testdo.mt.auto._MtTable3,org.apache.cayenne.testdo.mt.auto._MtTable3,False
org.apache.cayenne.testdo.locking.auto._SimpleLockingTestEntity,org.apache.cayenne.testdo.locking.auto._SimpleLockingTestEntity,False
org.apache.cayenne.dba.frontbase.FrontBaseAdapter,org.apache.cayenne.dba.frontbase.FrontBaseAdapter,False
org.apache.cayenne.dba.openbase.OpenBaseAdapter,org.apache.cayenne.dba.openbase.OpenBaseAdapter,False
org.apache.cayenne.map.SQLResult,org.apache.cayenne.map.SQLResult,True
org.apache.cayenne.query.CapsStrategy,org.apache.cayenne.query.CapsStrategy,True
org.apache.cayenne.query.ObjectIdQuery,org.apache.cayenne.query.ObjectIdQuery,True
org.apache.cayenne.DataObject,org.apache.cayenne.DataObject,False
org.apache.cayenne.reflect.SimpleAttributeProperty,org.apache.cayenne.reflect.SimpleAttributeProperty,True
org.apache.cayenne.reflect.BaseProperty,org.apache.cayenne.reflect.BaseProperty,True
org.apache.cayenne.reflect.AttributeProperty,org.apache.cayenne.reflect.AttributeProperty,True
org.apache.cayenne.reflect.Accessor,org.apache.cayenne.reflect.Accessor,True
org.apache.cayenne.reflect.PropertyVisitor,org.apache.cayenne.reflect.PropertyVisitor,True
org.apache.cayenne.reflect.PropertyException,org.apache.cayenne.reflect.PropertyException,False
org.apache.cayenne.conn.PoolManager,org.apache.cayenne.conn.PoolManager,False
org.apache.cayenne.modeler.action.NavigateBackwardAction,org.apache.cayenne.modeler.action.NavigateBackwardAction,True
org.apache.cayenne.modeler.ProjectController,org.apache.cayenne.modeler.ProjectController,False
org.apache.cayenne.modeler.util.CayenneAction,org.apache.cayenne.modeler.util.CayenneAction,False
org.apache.cayenne.testdo.locking.LockingHelper,org.apache.cayenne.testdo.locking.LockingHelper,True
org.apache.cayenne.testdo.locking.auto._LockingHelper,org.apache.cayenne.testdo.locking.auto._LockingHelper,False
org.apache.cayenne.map.MockRelationship,org.apache.cayenne.map.MockRelationship,False
org.apache.cayenne.testdo.inheritance_flat.Role,org.apache.cayenne.testdo.inheritance_flat.Role,True
org.apache.cayenne.testdo.inheritance_flat.auto._Role,org.apache.cayenne.testdo.inheritance_flat.auto._Role,False
org.apache.cayenne.access.types.MockEnum2,org.apache.cayenne.access.types.MockEnum2,True
org.apache.cayenne.exp.parser.ASTDbPath,org.apache.cayenne.exp.parser.ASTDbPath,False
org.apache.cayenne.exp.Expression,org.apache.cayenne.exp.Expression,False
org.apache.cayenne.exp.parser.ASTPath,org.apache.cayenne.exp.parser.ASTPath,True
org.apache.cayenne.exp.parser.ExpressionParserTreeConstants,org.apache.cayenne.exp.parser.ExpressionParserTreeConstants,True
org.apache.cayenne.modeler.dialog.db.MergerOptionsView,org.apache.cayenne.modeler.dialog.db.MergerOptionsView,True
org.apache.cayenne.testdo.relationship.FkOfDifferentType,org.apache.cayenne.testdo.relationship.FkOfDifferentType,True
org.apache.cayenne.testdo.relationship.auto._FkOfDifferentType,org.apache.cayenne.testdo.relationship.auto._FkOfDifferentType,False
org.apache.cayenne.access.jdbc.BatchQueryBuilderFactory,org.apache.cayenne.access.jdbc.BatchQueryBuilderFactory,False
org.apache.cayenne.dba.AutoAdapter,org.apache.cayenne.dba.AutoAdapter,False
org.apache.cayenne.dba.sybase.SybaseAdapter,org.apache.cayenne.dba.sybase.SybaseAdapter,False
org.apache.cayenne.reflect.LifecycleCallbackRegistry,org.apache.cayenne.reflect.LifecycleCallbackRegistry,False
org.apache.cayenne.util.ResourceLocator,org.apache.cayenne.util.ResourceLocator,False
org.apache.cayenne.conf.ResourceFinder,org.apache.cayenne.conf.ResourceFinder,False
org.apache.cayenne.ejbql.parser.EJBQLLike,org.apache.cayenne.ejbql.parser.EJBQLLike,True
org.apache.cayenne.ejbql.parser.SimpleNode,org.apache.cayenne.ejbql.parser.SimpleNode,True
org.apache.cayenne.graph.GraphDiff,org.apache.cayenne.graph.GraphDiff,True
org.apache.cayenne.QueryResponse,org.apache.cayenne.QueryResponse,True
org.apache.cayenne.access.DataContextQueryCachingTest,org.apache.cayenne.access.DataContextQueryCachingTest,False
org.apache.cayenne.DataRow,org.apache.cayenne.DataRow,False
org.apache.cayenne.cache.MapQueryCache,org.apache.cayenne.cache.MapQueryCache,True
org.apache.cayenne.cache.QueryCache,org.apache.cayenne.cache.QueryCache,True
org.apache.cayenne.query.QueryCacheStrategy,org.apache.cayenne.query.QueryCacheStrategy,True
org.apache.cayenne.access.MockDataNode,org.apache.cayenne.access.MockDataNode,False
org.apache.cayenne.BaseContext,org.apache.cayenne.BaseContext,False
org.apache.cayenne.query.AbstractQuery,org.apache.cayenne.query.AbstractQuery,False
org.apache.cayenne.exp.parser.ASTIn,org.apache.cayenne.exp.parser.ASTIn,True
org.apache.cayenne.exp.parser.ConditionNode,org.apache.cayenne.exp.parser.ConditionNode,True
org.apache.cayenne.exp.parser.ASTList,org.apache.cayenne.exp.parser.ASTList,True
org.apache.cayenne.exp.parser.ASTEqual,org.apache.cayenne.exp.parser.ASTEqual,False
org.apache.cayenne.exp.parser.ASTFalse,org.apache.cayenne.exp.parser.ASTFalse,True
org.apache.cayenne.access.DataRowStore,org.apache.cayenne.access.DataRowStore,False
org.apache.cayenne.access.ObjectStore,org.apache.cayenne.access.ObjectStore,False
org.apache.cayenne.access.ObjectStoreTest,org.apache.cayenne.access.ObjectStoreTest,False
org.apache.cayenne.MockDataObject,org.apache.cayenne.MockDataObject,True
org.apache.cayenne.util.Util,org.apache.cayenne.util.Util,False
org.apache.cayenne.validation.ValidationResult,org.apache.cayenne.validation.ValidationResult,True
org.apache.cayenne.modeler.event.DataMapDisplayListener,org.apache.cayenne.modeler.event.DataMapDisplayListener,True
org.apache.cayenne.modeler.event.DataMapDisplayEvent,org.apache.cayenne.modeler.event.DataMapDisplayEvent,False
org.apache.cayenne.modeler.undo.CreateDataMapEntityListenerUndoableEdit,org.apache.cayenne.modeler.undo.CreateDataMapEntityListenerUndoableEdit,False
