old,new,isSame
framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\ejbql\parser\EJBQLDbPath.java,framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\ejbql\parser\EJBQLDbPath.java,True
framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\mt\MtTable1Subclass.java,framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\mt\MtTable1Subclass.java,True
framework\cayenne-modeler\src\main\java\org\apache\cayenne\swing\PropertyBinding.java,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\swing\PropertyBinding.java,True
framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\locking\TimeLockingTestEntity.java,framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\locking\TimeLockingTestEntity.java,True
framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\art\auto\_ArtistCallbackTest.java,framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\testmap\auto\_ArtistCallbackTest.java,False
framework\cayenne-jpa-unpublished\src\test\java\org\apache\cayenne\jpa\entity\MockEnum.java,framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\access\types\MockEnum.java,False
framework\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\validator\ValidatorDialog.java,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\validator\ValidatorDialog.java,False
framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\embeddable\Embeddable1.java,framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\embeddable\Embeddable1.java,True
framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\query\StatementFetchSizeTest.java,framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\query\StatementFetchSizeTest.java,False
framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\relationship\ToOneFK1.java,framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\relationship\ToOneFK1.java,True
