old,new,isSame
org.apache.commons.beanutils.converters.StringConverter,org.apache.commons.beanutils.converters.StringConverter,False
org.apache.commons.beanutils.locale.converters.DateLocaleConverter,org.apache.commons.beanutils.locale.converters.DateLocaleConverter,False
org.apache.commons.beanutils.ConversionException,org.apache.commons.beanutils.ConversionException,True
org.apache.commons.beanutils.locale.BaseLocaleConverter,org.apache.commons.beanutils.locale.BaseLocaleConverter,False
org.apache.commons.beanutils.locale.LocaleConvertUtilsTestCase,org.apache.commons.beanutils.locale.LocaleConvertUtilsTestCase,False
org.apache.commons.beanutils.locale.LocaleConvertUtils,org.apache.commons.beanutils.locale.LocaleConvertUtils,False
org.apache.commons.beanutils.ConvertUtilsTestCase,org.apache.commons.beanutils.ConvertUtilsTestCase,False
org.apache.commons.beanutils.Converter,org.apache.commons.beanutils.Converter,True
org.apache.commons.beanutils.ConvertUtilsBean,org.apache.commons.beanutils.ConvertUtilsBean,False
org.apache.commons.beanutils.PassTestException,org.apache.commons.beanutils.PassTestException,True
org.apache.commons.beanutils.ConvertUtils,org.apache.commons.beanutils.ConvertUtils,False
org.apache.commons.beanutils.ThrowExceptionConverter,org.apache.commons.beanutils.ThrowExceptionConverter,True
org.apache.commons.beanutils.converters.FloatConverter,org.apache.commons.beanutils.converters.FloatConverter,False
org.apache.commons.beanutils.BeanPropertyValueEqualsPredicate,org.apache.commons.beanutils.BeanPropertyValueEqualsPredicate,False
org.apache.commons.beanutils.TestBean,org.apache.commons.beanutils.TestBean,False
org.apache.commons.beanutils.SonOfAlphaBean,org.apache.commons.beanutils.SonOfAlphaBean,True
org.apache.commons.beanutils.AlphaBean,org.apache.commons.beanutils.AlphaBean,True
org.apache.commons.beanutils.converters.ByteConverterTestCase,org.apache.commons.beanutils.converters.ByteConverterTestCase,False
org.apache.commons.beanutils.converters.NumberConverterTestBase,org.apache.commons.beanutils.converters.NumberConverterTestBase,False
org.apache.commons.beanutils.converters.ByteConverter,org.apache.commons.beanutils.converters.ByteConverter,False
org.apache.commons.beanutils.MethodUtils,org.apache.commons.beanutils.MethodUtils,False
org.apache.commons.beanutils.PropertyUtils,org.apache.commons.beanutils.PropertyUtils,True
org.apache.commons.beanutils.AbstractParent,org.apache.commons.beanutils.AbstractParent,True
org.apache.commons.beanutils.Child,org.apache.commons.beanutils.Child,True
org.apache.commons.beanutils.priv.PublicSubBean,org.apache.commons.beanutils.priv.PublicSubBean,True
org.apache.commons.beanutils.priv.PackageBean,org.apache.commons.beanutils.priv.PackageBean,True
org.apache.commons.beanutils.BeanUtilsTestCase,org.apache.commons.beanutils.BeanUtilsTestCase,False
org.apache.commons.beanutils.BeanUtilsBean,org.apache.commons.beanutils.BeanUtilsBean,False
org.apache.commons.beanutils.BeanUtils,org.apache.commons.beanutils.BeanUtils,False
org.apache.commons.beanutils.MappedPropertyDescriptor,org.apache.commons.beanutils.MappedPropertyDescriptor,False
org.apache.commons.beanutils.locale.converters.SqlTimestampLocaleConverter,org.apache.commons.beanutils.locale.converters.SqlTimestampLocaleConverter,True
org.apache.commons.collections.ReferenceMap,org.apache.commons.collections.ReferenceMap,True
org.apache.commons.collections.ReferenceMap.Entry,org.apache.commons.collections.ReferenceMap.Entry,True
org.apache.commons.collections.ReferenceMap.EntryIterator,org.apache.commons.collections.ReferenceMap.EntryIterator,True
org.apache.commons.collections.ReferenceMap.KeyIterator,org.apache.commons.collections.ReferenceMap.KeyIterator,True
org.apache.commons.collections.ReferenceMap.SoftRef,org.apache.commons.collections.ReferenceMap.SoftRef,True
org.apache.commons.collections.ReferenceMap.ValueIterator,org.apache.commons.collections.ReferenceMap.ValueIterator,True
org.apache.commons.collections.ReferenceMap.WeakRef,org.apache.commons.collections.ReferenceMap.WeakRef,True
org.apache.commons.collections.ReferenceMap.entrySet.(Anon_1),org.apache.commons.collections.ReferenceMap.entrySet.(Anon_1),True
org.apache.commons.collections.ReferenceMap.keySet.(Anon_2),org.apache.commons.collections.ReferenceMap.keySet.(Anon_2),True
org.apache.commons.collections.ReferenceMap.values.(Anon_3),org.apache.commons.collections.ReferenceMap.values.(Anon_3),True
org.apache.commons.collections.keyvalue.DefaultMapEntry,org.apache.commons.collections.keyvalue.DefaultMapEntry,True
org.apache.commons.collections.KeyValue,org.apache.commons.collections.KeyValue,True
org.apache.commons.beanutils.locale.converters.LongLocaleConverter,org.apache.commons.beanutils.locale.converters.LongLocaleConverter,False
org.apache.commons.beanutils.locale.converters.DecimalLocaleConverter,org.apache.commons.beanutils.locale.converters.DecimalLocaleConverter,False
org.apache.commons.beanutils.converters.ConverterTestSuite,org.apache.commons.beanutils.converters.ConverterTestSuite,False
org.apache.commons.beanutils.converters.DoubleConverterTestCase,org.apache.commons.beanutils.converters.DoubleConverterTestCase,False
org.apache.commons.beanutils.converters.FileConverterTestCase,org.apache.commons.beanutils.converters.FileConverterTestCase,True
org.apache.commons.beanutils.converters.FloatConverterTestCase,org.apache.commons.beanutils.converters.FloatConverterTestCase,False
org.apache.commons.beanutils.converters.IntegerConverterTestCase,org.apache.commons.beanutils.converters.IntegerConverterTestCase,False
org.apache.commons.beanutils.converters.LongConverterTestCase,org.apache.commons.beanutils.converters.LongConverterTestCase,False
org.apache.commons.beanutils.converters.ShortConverterTestCase,org.apache.commons.beanutils.converters.ShortConverterTestCase,False
org.apache.commons.beanutils.converters.StringArrayConverterTestCase,org.apache.commons.beanutils.converters.StringArrayConverterTestCase,False
org.apache.commons.beanutils.converters.URLConverterTestCase,org.apache.commons.beanutils.converters.URLConverterTestCase,False
org.apache.commons.beanutils.locale.converters.DoubleLocaleConverter,org.apache.commons.beanutils.locale.converters.DoubleLocaleConverter,False
org.apache.commons.beanutils.converters.ByteArrayConverter,org.apache.commons.beanutils.converters.ByteArrayConverter,False
org.apache.commons.beanutils.converters.AbstractArrayConverter,org.apache.commons.beanutils.converters.AbstractArrayConverter,False
org.apache.commons.beanutils.DynaProperty,org.apache.commons.beanutils.DynaProperty,False
org.apache.commons.beanutils.DynaClass,org.apache.commons.beanutils.DynaClass,True
org.apache.commons.beanutils.DynaBean,org.apache.commons.beanutils.DynaBean,True
org.apache.commons.beanutils.LazyDynaBean,org.apache.commons.beanutils.LazyDynaBean,False
org.apache.commons.beanutils.BasicDynaBean,org.apache.commons.beanutils.BasicDynaBean,False
org.apache.commons.beanutils.LazyDynaMap,org.apache.commons.beanutils.LazyDynaMap,False
org.apache.commons.beanutils.WrapDynaBean,org.apache.commons.beanutils.WrapDynaBean,False
org.apache.commons.beanutils.BasicDynaClass,org.apache.commons.beanutils.BasicDynaClass,False
org.apache.commons.beanutils.BenchBean,org.apache.commons.beanutils.BenchBean,True
org.apache.commons.beanutils.converters.LongConverter,org.apache.commons.beanutils.converters.LongConverter,False
org.apache.commons.beanutils.locale.converters.BigDecimalLocaleConverter,org.apache.commons.beanutils.locale.converters.BigDecimalLocaleConverter,False
org.apache.commons.beanutils.converters.ClassConverter,org.apache.commons.beanutils.converters.ClassConverter,False
org.apache.commons.beanutils.BeanToPropertyValueTransformer,org.apache.commons.beanutils.BeanToPropertyValueTransformer,False
org.apache.commons.beanutils.BeanificationTestCase,org.apache.commons.beanutils.BeanificationTestCase,False
org.apache.commons.beanutils.BeanificationTestCase.Signal,org.apache.commons.beanutils.BeanificationTestCase.Signal,False
org.apache.commons.beanutils.BeanificationTestCase.TestClassLoader,org.apache.commons.beanutils.BeanificationTestCase.TestClassLoader,False
