old,new,isSame
src\java\org\apache\commons\codec\BinaryEncoder.java,src\java\org\apache\commons\codec\BinaryEncoder.java,True
src\test\org\apache\commons\codec\binary\HexTest.java,src\test\org\apache\commons\codec\binary\HexTest.java,False
src\test\org\apache\commons\codec\language\RefinedSoundexTest.java,src\test\org\apache\commons\codec\language\RefinedSoundexTest.java,False
src\test\org\apache\commons\codec\language\SoundexTest.java,src\test\org\apache\commons\codec\language\SoundexTest.java,False
src\java\org\apache\commons\codec\binary\Hex.java,src\java\org\apache\commons\codec\binary\Hex.java,False
src\java\org\apache\commons\codec\StringEncoder.java,src\java\org\apache\commons\codec\StringEncoder.java,True
src\java\org\apache\commons\codec\language\RefinedSoundex.java,src\java\org\apache\commons\codec\language\RefinedSoundex.java,False
src\test\org\apache\commons\codec\language\AllTests.java,src\test\org\apache\commons\codec\language\AllTests.java,True
src\java\org\apache\commons\codec\Encoder.java,src\java\org\apache\commons\codec\Encoder.java,True
src\test\org\apache\commons\codec\binary\Base64Test.java,src\test\org\apache\commons\codec\binary\Base64Test.java,False
src\java\org\apache\commons\codec\net\URLCodec.java,src\java\org\apache\commons\codec\net\URLCodec.java,False
src\test\org\apache\commons\codec\net\URLCodecTest.java,src\test\org\apache\commons\codec\net\URLCodecTest.java,False
src\java\org\apache\commons\codec\language\Metaphone.java,src\java\org\apache\commons\codec\language\Metaphone.java,False
src\test\org\apache\commons\codec\language\MetaphoneTest.java,src\test\org\apache\commons\codec\language\MetaphoneTest.java,False
src\test\org\apache\commons\codec\digest\DigestUtilsTest.java,src\test\org\apache\commons\codec\digest\DigestUtilsTest.java,True
src\test\org\apache\commons\codec\BinaryEncoderAbstractTest.java,src\test\org\apache\commons\codec\BinaryEncoderAbstractTest.java,True
src\java\org\apache\commons\codec\DecoderException.java,src\java\org\apache\commons\codec\DecoderException.java,True
src\java\org\apache\commons\codec\Decoder.java,src\java\org\apache\commons\codec\Decoder.java,True
src\java\org\apache\commons\codec\language\DoubleMetaphone.java,src\java\org\apache\commons\codec\language\DoubleMetaphone.java,False
src\java\org\apache\commons\codec\EncoderException.java,src\java\org\apache\commons\codec\EncoderException.java,True
src\java\org\apache\commons\codec\StringDecoder.java,src\java\org\apache\commons\codec\StringDecoder.java,True
src\test\org\apache\commons\codec\language\DoubleMetaphoneTest.java,src\test\org\apache\commons\codec\language\DoubleMetaphoneTest.java,False
src\java\org\apache\commons\codec\binary\Base64.java,src\java\org\apache\commons\codec\binary\Base64.java,False
src\java\org\apache\commons\codec\StringEncoderComparator.java,src\java\org\apache\commons\codec\StringEncoderComparator.java,False
src\java\org\apache\commons\codec\language\Soundex.java,src\java\org\apache\commons\codec\language\Soundex.java,False
src\java\org\apache\commons\codec\BinaryDecoder.java,src\java\org\apache\commons\codec\BinaryDecoder.java,True
src\test\org\apache\commons\codec\StringEncoderComparatorTest.java,src\test\org\apache\commons\codec\StringEncoderComparatorTest.java,True
src\java\org\apache\commons\codec\digest\DigestUtils.java,src\java\org\apache\commons\codec\digest\DigestUtils.java,True
src\test\org\apache\commons\codec\StringEncoderAbstractTest.java,src\test\org\apache\commons\codec\StringEncoderAbstractTest.java,True
PROPOSAL.html,PROPOSAL.html,True
src\java\org\apache\commons\codec\binary\package.html,src\java\org\apache\commons\codec\binary\package.html,False
src\java\org\apache\commons\codec\binary\package.html,src\java\org\apache\commons\codec\digest\package.html,False
src\java\org\apache\commons\codec\binary\package.html,src\java\org\apache\commons\codec\language\package.html,False
src\java\org\apache\commons\codec\binary\package.html,src\java\org\apache\commons\codec\net\package.html,False
src\java\org\apache\commons\codec\overview.html,src\java\org\apache\commons\codec\overview.html,False
src\java\org\apache\commons\codec\binary\package.html,src\java\org\apache\commons\codec\package.html,False
xdocs\style\project.css,xdocs\style\project.css,False
